maprojid,commit_ccnonexempt,adopt_nccother,typecategory,totalplannedcommit,adopt_nccfederal,maxdate,commit_noncitycost,commit_total,allocate_nccstate,commit_citycost,spent_total,commit_nccstate,magencyname,allocate_ccnonexempt,nccstate,magencyacro
826CRO-534,0.0,0.0,Fixed Asset,6161000,0.0,2030-06-01T00:00:00.000,0.0,10057225.23,0.0,10057225.23,12591027.23,0.0,Department of Environmental Protection,0.0,0,DEP
806HANACORSR,3600000.0,0.0,Fixed Asset,600000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,3600000.0,0.0,Housing Preservation and Development,600000.0,0,HPD
846P-200LFHH,2403040.52,0.0,"ITT, Vehicles, and Equipment",335000,0.0,2032-06-01T00:00:00.000,0.0,569252.36,0.0,569252.36,2403040.52,0.0,Department of Parks and Recreation,334707.12,0,DPR
806HAM24MRTA,0.0,0.0,Fixed Asset,11215000,0.0,2026-06-01T00:00:00.000,0.0,1569720.42,0.0,1569720.42,0.0,0.0,Housing Preservation and Development,9645279.58,0,HPD
126PV018-RTN,0.0,0.0,,0,0.0,2033-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Cultural Affairs,0.0,0,DCLA
841HWD10324,0.0,0.0,Lump Sum,300000,0.0,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Transportation,300000.0,0,DOT
850HLDNMTS03,205853.0,0.0,"ITT, Vehicles, and Equipment",0,0.0,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,205853.0,0.0,Department of Design and Construction,147.0,0,DDC
038LBM25SWPR,0.0,0.0,"ITT, Vehicles, and Equipment",415000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Brooklyn Public Library,415000.0,0,BPL
826AGRI-18,0.0,0.0,,0,0.0,2027-06-01T00:00:00.000,0.0,5762405.24,0.0,5762405.24,35002029.21,0.0,Department of Environmental Protection,0.0,0,DEP
850HLMNUMMHC,0.0,0.0,"ITT, Vehicles, and Equipment",0,0.0,2026-06-01T00:00:00.000,0.0,94780.0,0.0,94780.0,0.0,0.0,Department of Design and Construction,220.0,0,DDC
856PW77X215,0.0,0.0,Fixed Asset,2596000,0.0,2030-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Citywide Administrative Services,2616000.0,0,DCAS
850HWMP2019,37122100.6,1077000.0,Fixed Asset,0,5000000.0,2032-06-01T00:00:00.000,479544.25,1467563.53,0.0,988019.28,37717925.77,0.0,Department of Design and Construction,7192880.12,0,DDC
850SANDHW14,7441742.55,0.0,Fixed Asset,0,12068000.0,2032-06-01T00:00:00.000,208485.27,532759.41,0.0,324274.14,19295300.43,0.0,Department of Design and Construction,6983.31,0,DDC
801SPARCCUNY,19256902.94,0.0,,512110000,0.0,2030-06-01T00:00:00.000,0.0,26839780.06,0.0,26839780.06,19256902.94,0.0,Department of Small Business Services,490219317.0,0,SBS
806NRUTLAND,0.0,0.0,,500000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Housing Preservation and Development,500000.0,0,HPD
801BATIMPRO,14795294.86,0.0,Fixed Asset,9801000,0.0,2030-06-01T00:00:00.000,0.0,3767427.54,0.0,3767427.54,14795294.86,0.0,Department of Small Business Services,8802277.6,0,SBS
