queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_address,comparable_rental_3_expense_per_sqft,comparable_rental_1_address,comparable_rental_2_market_value_per_sqft,comparable_rental_2_gross_sqft,comparable_rental_1_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_1_year_built,comparable_rental_2_estimated_gross_income,latitude,comparable_rental_3_market_value_per_sqft,comparable_rental_3_full_market_value,longitude,comparable_rental_3_distance_from_coop_in_miles,comparable_rental_1_estimated_gross_income,comparable_rental_1_full_market_value,comparable_rental_3_address,comparable_rental_2_estimated_expense,comparable_rental_3_year_built,comparable_rental_1_total_units,census_tract,comparable_rental_2_full_market_value,comparable_rental_2_boro_block_lot,queens_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_year_built,queens_cooperatives_comparable_properties_net_operating_income
4-02235-0025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 71 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.76,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 72 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",59.12,137500.0,61.6,104644,1951,2270096.0,,44.59,"3,091,000",,0,1652162,6446000,110 72 AVENUE,784152.0,1958,108,,8129000.0,4-02238-0019,141656,1939.0,1276320
4-04591-0135,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""10 166 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.02,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""19 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.2,147700.0,56.34,58380,1971,2655707.0,,60.06,"8,800,000",,1.48,929352,3289000,23 WATERS EDGE DRIVE,938256.0,1969,60,,11550000.0,4-05865-0112,40692,1973.0,388608
4-05002-0042,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.21,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",51.4,68250.0,60.24,76140,1969,1016660.0,40.774986,47.43,"4,675,000",-73.750975,0.33,1290387,4587000,143 41 AVENUE,507616.0,1963,84,1483.0,3508000.0,4-05003-0028,117420,1951.0,875953
4-06527-0052,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 MELBOURNE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""135 GRAND CENTRAL PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",43.66,52662.0,49.81,125164,1952,894727.0,, , ,, ,1891424,6235000, ,456580.0, ,181,,2299000.0,4-06712-0032,115212,1961.0,972390
4-16230-0044,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""130 BEACH 121 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.78,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""131 OCEAN"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",52.03,32000.0,31.91,35159,1957,516160.0,40.577032,46.95,"2,817,000",-73.840589,4.77,375968,1122000,23 MOTT AVENUE,247680.0,1960,48,93402.0,1665000.0,4-15890-0030,41120,2004.0,293185
4-01281-0025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 82 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.18,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""80 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.42,46854.0,67.75,73800,1950,659570.0,,63.09,"5,741,000",,0.05,1235305,5000000,35 81 STREET,287502.0,1939,90,,2222000.0,4-01456-0029,68406,1937.0,384010
4-01545-0033,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 ST JAMES AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 CORNISH AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",35.74,47846.0,36.02,68326,1940,563272.0,, , ,, ,783829,2461000, ,295761.0, ,65,,1710000.0,4-01559-0007,115861,1940.0,648822
4-02113-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 99 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.17,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",33.47,142260.0,40.8,119985,1952,1656287.0,,44.64,"5,446,000",,0.32,1653282,4895000,102 62 AVENUE,912871.0,1956,132,,4762000.0,4-02115-0001,131340,1946.0,912813
4-09209-0055,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""115 84 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4.9,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",50.86,40700.0,29.8,55200,1931,508750.0,,29.92,"1,155,000",,0.25,521445,1645000,85 118 STREET,161697.0,1931,42,,2070000.0,4-09234-0034,55600,1939.0,311360
4-04588-0023,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""162 POWELLS COVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",62.24,51450.0,50.1,49000,1959,749547.0,40.79452, , ,-73.831318, ,686259,2455000, ,286083.0, ,54,945.0,3202000.0,4-05122-0022,40692,1963.0,339779
4-03341-0030,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""114 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4.84,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",81.38,53455.0,93.27,57909,1937,928106.0,,60.92,"3,179,000",,0.05,1067820,5401000,111 76 ROAD,316087.0,1939,66,,4350000.0,4-03340-0052,63636,1939.0,728632
4-05938-0007,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""18 215 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.84,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.94,147700.0,78.2,147700,1973,2856450.0,,85.23,"5,654,000",,2.06,2655707,11550000,44 DOUGLASTON PARKWAY,979445.0,1976,152,,11660000.0,4-05865-0118,324261,1973.0,3313185
4-05878-0075,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""209 18 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.02,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.94,147700.0,78.2,147700,1973,2856450.0,,60.06,"8,800,000",,0.41,2655707,11550000,23 WATERS EDGE DRIVE,979445.0,1969,152,,11660000.0,4-05865-0118,196000,1973.0,2279480
4-02212-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.28,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.86,139052.0,58.17,133323,1941,1926710.0,,64.52,"6,271,000",,0.15,2071133,7755000,104 68 DRIVE,885248.0,1942,118,,6655000.0,4-02210-0001,110184,1940.0,1012591
4-03254-0020,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""2 STATION SQUARE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",112.69,15378.0,108.49,25550,1937,362975.0,40.719241, , ,-73.845325, ,697263,2772000, ,125362.0, ,36,737.0,1733000.0,4-03256-0031,22450,1930.0,355159
4-05180-0022,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.53,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 ASH AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.08,44800.0,37.05,38894,1920,563959.0,,30.53,"2,728,000",,0.28,508410,1441000,134 FRANKLIN AVENUE,274323.0,1920,48,,1661000.0,4-05186-0046,94139,1916.0,609079
4-01837-0104,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 BROADWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.3,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 BROADWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",45.64,107010.0,47.43,179494,1956,1443059.0,40.65727,41.57,"4,845,000",-73.830126,0.2,2629810,8514000,86 ST JAMES AVENUE,593171.0,1963,194,884.0,4884000.0,4-01842-0031,192640,1962.0,1094196
4-01267-0016,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.65,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",22.66,22860.0,21.62,19010,1914,194226.0,,31.49,"1,096,000",,0.24,155382,411000,33 84 STREET,107687.0,1929,20,,518000.0,4-01268-0010,15530,1912.0,58859
4-00206-0101,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""39 GREENPOINT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 44 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",44.49,14340.0,59.73,14732,1931,212604.0,, , ,, ,245330,880000, ,120135.0, ,23,,638000.0,4-00192-0040,14000,1929.0,98420
4-04788-0008,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""30 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.39,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",60.24,76140.0,38.6,129650,1957,1290387.0,,50.1,"2,455,000",,0.22,1677253,5005000,147 34 AVENUE,463275.0,1959,120,,4587000.0,4-04995-0073,122514,1969.0,933557
4-01279-0015,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.51,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",48.13,17080.0,51.69,27200,1925,233144.0,,124.04,"778,000",,0.15,398479,1406000,37 80 STREET,108759.0,1931,32,,822000.0,4-01286-0027,12948,1923.0,94261
4-08363-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""251 61 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",9.07,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.3,174200.0,77.52,138500,1949,3579610.0,,77.29,"1,892,000",,1.93,2812551,10736000,87 WINCHESTER BOULEVARD,1387893.0,1965,177,,13640000.0,4-07672-0002,189016,1949.0,2268192
4-09824-0043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 88 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.25,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 171 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.67,63460.0,47.74,62676,1961,925869.0,40.694694,51.85,"2,092,000",-73.841267,0.06,892177,2992000,169 88 AVENUE,433491.0,1960,81,12602.0,3025000.0,4-09827-0008,59160,1959.0,459081
4-05878-0003,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""18 211 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.02,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.94,147700.0,78.2,147700,1973,2856450.0,,60.06,"8,800,000",,0.41,2655707,11550000,23 WATERS EDGE DRIVE,979445.0,1969,152,,11660000.0,4-05865-0118,407712,1973.0,4398397
4-02236-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""72 110 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.36,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 72 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.04,49664.0,44.59,69322,1958,744938.0,,60.67,"2,912,000",,0.15,995531,3091000,72 AUSTIN STREET,275088.0,1920,67,,2783000.0,4-02234-0031,60500,1940.0,572330
4-06103-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""209 34 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""208 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",77.78,8640.0,72.0,24140,1950,162258.0,, , ,, ,513458,1738000, ,68759.0, ,26,,672000.0,4-06233-0029,18600,1931.0,223200
4-05938-0003,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""17 215 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",60.77,114402.0,78.2,147700,1973,1961788.0,, , ,, ,2655707,11550000, ,703879.0, ,152,,6952000.0,4-08092-0005,324260,1963.0,2632528
4-01188-0055,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""60 BROADWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.29,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""32 70 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.8,65810.0,48.14,65810,1964,970225.0,40.657316,48.13,"3,168,000",-73.829942,0.35,962423,3168000,32 69 STREET,414197.0,1965,74,884.0,3146000.0,4-01165-0027,131412,1964.0,1153797
4-05122-0029,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 MAPLE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",9.68,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 MAIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.94,130548.0,52.68,140633,1962,2028789.0,,76.66,"9,975,000",,0.15,2207580,7409000,42 MAIN STREET,943647.0,1962,155,,7433000.0,4-05121-0017,147897,1963.0,1206840
4-16227-0037,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""117 OCEAN"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""131 OCEAN"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",52.03,32000.0,31.91,35159,1957,516160.0,, , ,, ,375968,1122000, ,247680.0, ,48,,1665000.0,4-15890-0030,81900,2004.0,638820
4-02267-0136,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 GRAND CENTRL PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.47,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",99.26,59500.0,99.62,75455,1938,1187511.0,,93.27,"5,401,000",,0.15,1312344,7517000,111 76 ROAD,361742.0,1937,73,,5906000.0,4-03341-0016,79200,1937.0,556776
4-03291-0080,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""150 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",75.18,51545.0,60.92,52182,1939,871260.0,40.717289, , ,-73.840943, ,873936,3179000, ,335400.0, ,61,76901.0,3875000.0,4-03334-0292,52454,1929.0,584862
4-12944-0036,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""233 233 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""202 HOLLIS AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",24.11,23724.0,41.13,8194,1949,224724.0,, , ,, ,107997,337000, ,121431.0, ,20,,572000.0,4-11085-0001,53680,1940.0,364487
4-02133-0016,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""102 66 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.02,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 66 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",38.63,255400.0,37.1,338016,1939,3608648.0,,37.67,"5,225,000",,0.1,4423544,12540000,102 67 DRIVE,1640096.0,1960,312,,9867000.0,4-02103-0001,552840,1938.0,3305984
4-03084-0046,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.13,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",48.23,50400.0,47.94,42450,1954,750456.0,,47.67,"2,860,000",,0.13,709394,2035000,65 SAUNDERS STREET,397656.0,1940,52,,2431000.0,4-03097-0038,106140,1952.0,873533
4-03253-0051,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""20 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.17,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""109 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",75.59,61930.0,68.42,90000,1939,1064433.0,40.718418,80.58,"11,212,000",-73.845879,0.18,1472009,6158000,150 GREENWAY TERRACE,416675.0,1941,76,737.0,4681000.0,4-02225-0001,85075,1939.0,889884
4-05863-0035,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""14 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",9.78,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",66.81,20400.0,85.05,27420,1955,374019.0,,72,"1,738,000",,1.37,586622,2332000,208 41 AVENUE,184525.0,1950,36,,1363000.0,4-06206-0001,32155,1948.0,385860
4-01284-0015,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 73 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.31,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""74 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",55.19,194450.0,80.64,147000,1954,2909818.0,,48.18,"8,503,000",,0.29,2820675,11854000,40 79 STREET,1351832.0,1956,217,,10732000.0,4-01273-0001,160573,1940.0,1286190
4-02167-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.01,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",43.6,73470.0,45.46,82730,1955,996649.0,,50.46,"5,627,000",,0.17,1121421,3761000,105 62 ROAD,512489.0,1956,76,,3203000.0,4-02145-0028,98085,1955.0,646380
4-01946-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 58 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.29,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""98 57 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",38.03,234000.0,38.93,235000,1962,2924628.0,,38.25,"8,988,000",,0.22,2929673,9149000,97 HOR HARDING EXPWY SR N,1597308.0,1963,237,,8898000.0,4-01918-0075,235440,1962.0,1553904
4-09713-0113,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 BURDEN CRESCENT"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 PERSHING CRESCENT"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",38.5,92000.0,45.1,109500,1949,1281657.0,, , ,, ,1481617,4938000, ,342363.0, ,108,,3542000.0,4-09649-0053,61050,1953.0,519536
4-07670-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""223 65 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",9.07,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.3,174200.0,77.52,138500,1949,3579610.0,,77.29,"1,892,000",,1.23,2812551,10736000,87 WINCHESTER BOULEVARD,1387893.0,1965,177,,13640000.0,4-07672-0002,147700,1949.0,1772400
4-01334-0022,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""59 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""61 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",38.95,86988.0,29.7,85568,1962,1022572.0,, , ,, ,1026159,2541000, ,436114.0, ,88,,3388000.0,4-01230-0045,85804,1931.0,470636
4-02264-0101,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4.84,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",60.93,20220.0,58.83,60025,1951,286662.0,,60.92,"3,179,000",,0.12,976877,3531000,111 76 ROAD,105428.0,1939,92,,1232000.0,4-02265-0086,39716,1964.0,279204
4-06792-0600,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""161 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.03,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 141 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",57.42,270499.0,38.11,357885,1958,4181556.0,,57.68,"15,433,000",,1.63,4439301,13640000,43 KISSENA BOULEVARD,1915291.0,1962,291,,15533000.0,4-05137-0012,789880,1962.0,5402779
4-02116-0065,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 66 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.08,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""101 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.67,60000.0,53.17,61242,1954,884608.0,,37.96,"2,354,000",,0.26,930184,3256000,65 BOOTH STREET,367796.0,1941,62,,2860000.0,4-03086-0002,52800,1940.0,371184
4-02093-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""61 98 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""98 67 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",71.95,1741458.0,60.43,275197,1959,29086139.0,, , ,, ,4668060,16631000, ,11769152.0, ,286,,125304000.0,4-03175-0001,580800,1960.0,3364037
