queens_cooperatives_comparable_properties_address,queens_cooperatives_comparable_properties_gross_income_per_sqft,queens_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_neighborhood,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_distance_from_coop_in_miles,comparable_rental_1_distance_from_coop_in_miles,nta,comparable_rental_3_building_classification,comparable_rental_3_boro_block_lot,bin,community_board,queens_cooperatives_comparable_properties_year_built,comparable_rental_1_boro_block_lot,comparable_rental_3_estimated_expense,comparable_rental_3_gross_sqft,comparable_rental_3_gross_income_per_sqft,community_council,queens_cooperatives_comparable_properties_total_units,comparable_rental_2_building_classification,comparable_rental_3_neighborhood
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""6 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.75,60.53,FOREST HILLS,18.37,0.22,0.25,,D1-ELEVATOR,4-02226-0001,,,1920,4-03272-0001,"566,401","90,000",16.36,,122,D7-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""133 LAURELTON PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.36,38.28,SO. JAMAICA-BAISLEY PARK,13.36,2.34,2.4,,C1-WALK-UP,4-10942-0101,,,1950,4-12351-0011,"57,440","8,194",13.49,,60,C1-WALK-UP,ST. ALBANS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""52 39 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.84,46.68,WOODSIDE,14.53,0.24,0.24,, ,,,,1951,4-01314-0017, , , ,,67,C1-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 165 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.11,42.77,JAMAICA,13.11,0.19,0.13,,D1-ELEVATOR,4-09820-0049,,,1958,4-09814-0116,"425,472","50,976",14.07,,86,D1-ELEVATOR,JAMAICA
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""251 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,44.15,OAKLAND GARDENS,20.31,1.41,1.44,,C9-WALK-UP,4-07943-0050,,,1952,4-07660-0002,"222,104","24,480",20.77,,256,C9-WALK-UP,QUEENS VILLAGE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.79,51.82,FOREST HILLS,14.98,0.18,0.12,,D7-ELEVATOR,4-02222-0001,,,1939,4-02211-0018,"527,960","73,020",18.32,,72,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""10 166 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.57,WHITESTONE,15.92,1.21,1.33,,D1-ELEVATOR,4-05958-0030,,,1958,4-04157-0002,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""89 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.44,37.61,WOODHAVEN,12.44,1.88,1.98,,D1-ELEVATOR,4-08840-0144,,,1962,4-08847-0214,"321,564","51,000",10.25,,150,D1-ELEVATOR,WOODHAVEN
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""138 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.48,54.47,FLUSHING-NORTH,15.44,0.0,0.0,,D7-ELEVATOR,4-05137-0005,,,1961,4-05137-0084,"2,239,228","317,305",17.31,,194,D3-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""74 260 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.38,64.43,FRESH MEADOWS,18.51,6.48,3.47,, ,,,,1948,4-07117-0008, , , ,,176,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""244 57 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.12,60.5,DOUGLASTON,14.12,,0.15,, ,,,,1953,4-08276-0658, , , ,,120, , 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 84 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.21,37.15,BRIARWOOD,16.69,0.18,0.07,,D1-ELEVATOR,4-09710-0002,,,1961,4-09712-0161,"528,438","73,280",17.01,,62,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""212 23 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.98,59.99,BAYSIDE,16.57,0.24,0.2,Steinway                                                                   ,D3-ELEVATOR,4-05865-0112,,1.0,1963,4-05958-0030,"938,256","147,700",17.98,22.0,124,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""201 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,48.36,BAYSIDE,21.27,0.62,0.43,, ,,,,1949,4-06215-0002, , , ,,14,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.1,35.77,JACKSON HEIGHTS,12.1,0.14,0.14,,D1-ELEVATOR,4-01432-0034,,,1951,4-01448-0032,"268,966","50,900",11.89,,90,D1-ELEVATOR,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""118 UNION TURNPIKE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.9,75.14,FOREST HILLS,13.67,0.0,0.0,,D1-ELEVATOR,4-03340-0052,,,1973,4-03334-0299,"316,087","53,455",17.36,,206,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""102 67 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.72,41.35,FOREST HILLS,13.83,0.05,0.0,,D1-ELEVATOR,4-02136-0033,,,1952,4-02134-0013,"724,709","118,800",13.55,,144,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.07,53.57,FLUSHING-NORTH,18.04,0.12,0.0,,D1-ELEVATOR,4-05182-0001,,,1956,4-05180-0059,"536,838","119,185",15.07,,144,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 66 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.83,52.41,FOREST HILLS,13.83,0.19,0.19,,D1-ELEVATOR,4-02136-0033,,,1949,4-02134-0013,"724,709","118,800",13.55,,120,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 43 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.79,45.29,SUNNYSIDE,12.79,0.05,0.05,,D1-ELEVATOR,4-00161-0026,,,1941,4-00163-0031,"433,243","67,578",12.66,,60,D1-ELEVATOR,SUNNYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""138 ELDER AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.93,45.66,FLUSHING-NORTH,16.95,0.08,0.5,, ,,,,1963,4-05049-0043, , , ,,126,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.31,50.02,REGO PARK,15.19,0.19,0.09,,D1-ELEVATOR,4-03173-0046,,,1950,4-03171-0001,"309,080","61,536",11.58,,110,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""101 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.15,37.5,RICHMOND HILL,11.67,0.38,0.31,, ,,,,1931,4-09519-0031, , , ,,32,C1-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 51 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,37.55,SUNNYSIDE,14.59,0.05,0.0,,D9-ELEVATOR,4-01315-0078,,,1930,4-00131-0013,"282,174","38,813",14.52,,42,D7-ELEVATOR,WOODSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""153 88 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.71,42.61,WOODHAVEN,14.02,1.98,1.62,,D1-ELEVATOR,4-08847-0357,,,1961,4-09306-0030,"304,997","42,000",13.71,,81,D1-ELEVATOR,WOODHAVEN
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 CROCHERON AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.97,29.67,FLUSHING-NORTH,15.23,0.17,0.15,,D3-ELEVATOR,4-05330-0001,,,1951,4-05294-0006,"385,246","71,150",12.49,,49,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 175 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.5,44.59,JAMAICA,14.23,0.11,0.11,,D1-ELEVATOR,4-09834-0056,,,1961,4-09827-0018,"696,922","100,947",13.46,,90,D1-ELEVATOR,JAMAICA
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 110 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.36,59.47,FOREST HILLS,15.04,0.05,0.0,,D1-ELEVATOR,4-02235-0047,,,1949,4-02225-0006,"399,138","69,322",14.36,,84,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""72 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.27,56.52,FOREST HILLS,16.51,0.19,0.14,,D1-ELEVATOR,4-02265-0079,,,1951,4-02238-0019,"419,664","60,025",16.27,,179,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""59 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.36,46.25,CORONA,13.94,0.2,0.07,,D1-ELEVATOR,4-02121-0051,,,1965,4-01958-0026,"778,405","103,400",15.5,,192,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""200 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,35.78,BAYSIDE,21.27,0.67,0.47,Douglas Manor-Douglaston-Little Neck                                       , ,,4168362.0,11.0,1950,4-06215-0002, , , ,19.0,32,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""61 160 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.0,59.41,BRIARWOOD,15.11,1.11,1.57,,D1-ELEVATOR,4-09666-0040,,,1966,4-06636-0001,"580,744","69,384",16.41,,184,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 84 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.53,38.68,BRIARWOOD,12.76,0.32,0.22,,D1-ELEVATOR,4-09715-0146,,,1952,4-09716-0126,"735,654","109,500",13.53,,78,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""97 62 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.38,38.64,REGO PARK,11.38,,0.0,, ,,,,1955,4-02086-0040, , , ,,1098, , 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""44 DOUGLASTON PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",18.25,59.51,DOUGLASTON,17.15,2.09,0.0,, ,,,,1963,4-08092-0005, , , ,,44,D3-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""106 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,46.22,FOREST HILLS,15.53,0.21,0.19,,D7-ELEVATOR,4-02137-0027,,,1946,4-02210-0018,"1,121,338","156,762",14.22,,128,D7-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 UNION STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.9,39.0,FLUSHING-NORTH,14.96,0.19,0.19,,D1-ELEVATOR,4-05146-0001,,,1954,4-05145-0001,"1,025,882","131,187",14.75,,60,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 FRAME PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.82,46.58,FLUSHING-NORTH,17.13,0.13,0.06,,D1-ELEVATOR,4-05040-0027,,,1963,4-05101-0042,"716,946","111,848",14.18,,65,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 51 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.59,35.84,ELMHURST,13.59,0.13,0.13,,D1-ELEVATOR,4-01544-0001,,,1953,4-01581-0028,"400,433","68,326",11.47,,91,D1-ELEVATOR,ELMHURST
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 50 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.52,37.41,SUNNYSIDE,14.26,0.05,0.0,,D9-ELEVATOR,4-01315-0078,,,1940,4-00134-0029,"282,174","38,813",14.52,,43,D1-ELEVATOR,WOODSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""78 CLOVERDALE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,45.69,OAKLAND GARDENS,20.31,0.65,0.8,,C9-WALK-UP,4-07943-0050,,,1950,4-07660-0002,"222,104","24,480",20.77,,198,C9-WALK-UP,QUEENS VILLAGE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""136 MAPLE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.82,51.17,FLUSHING-NORTH,16.08,0.24,0.12,,D1-ELEVATOR,4-05042-0066,,,1973,4-05121-0050,"504,988","68,257",14.82,,52,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""199 17 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.36,46.76,BAYSIDE,12.52,1.74,1.74,, ,,,,1952,4-06277-0002, , , ,,152,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 71 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,38.35,FLUSHING-SOUTH,15.98,0.14,0.33,,C9-WALK-UP,4-06683-0017,,,1949,4-06595-0032,"252,193","38,908",14.43,,56,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""162 POWELLS COVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.3,WHITESTONE,15.92,1.25,1.39,Whitestone                                                                 ,D1-ELEVATOR,4-05958-0030,,7.0,1958,4-04157-0002,"1,028,325","146,525",16.57,19.0,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""204 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",18.78,77.75,BAYSIDE,21.27,0.54,0.42,Douglas Manor-Douglaston-Little Neck                                       ,C9-WALK-UP,4-06206-0001,,11.0,1949,4-06215-0002,"184,525","20,400",18.33,19.0,14,C9-WALK-UP,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""175 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.64,44.93,JAMAICA,15.47,0.41,0.12,,D6-ELEVATOR,4-09845-0086,,,1969,4-09833-0035,"554,374","85,434",14.66,,345,D1-ELEVATOR,JAMAICA
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.78,45.25,REGO PARK,13.78,0.27,0.05,,D1-ELEVATOR,4-02121-0021,,,1947,4-02113-0034,"874,477","122,000",13.95,,98,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""118 METROPOLITAN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.58,53.6,KEW GARDENS,14.58,0.0,0.0,,D1-ELEVATOR,4-03321-0037,,,1954,4-03322-0014,"547,161","70,059",14.73,,148,D1-ELEVATOR,KEW GARDENS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""54 LITTLE NECK PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.44,58.13,FLUSHING-NORTH,15.46,5.24,5.24,,D3-ELEVATOR,4-05200-0052,,,1962,4-05137-0012,"1,891,320","245,626",15.2,,252,D3-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 68 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,31.37,FLUSHING-SOUTH,15.98,0.73,0.27,,C9-WALK-UP,4-06683-0017,,,1950,4-06595-0032,"252,193","38,908",14.43,,80,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 MELBOURNE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.05,54.61,BRIARWOOD,15.11,1.19,1.32,, ,,,,1954,4-06636-0001, , , ,,106,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""117 UNION TURNPIKE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.24,20.06,KEW GARDENS,14.99,0.35,0.32,, ,,,,1923,4-03329-0054, , , ,,108,D3-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 99 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.78,45.26,REGO PARK,13.78,0.27,0.05,,D1-ELEVATOR,4-02121-0021,,,1947,4-02113-0034,"874,477","122,000",13.95,,100,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.63,51.24,FLUSHING-NORTH,15.18,0.21,0.17,,D1-ELEVATOR,4-05053-0011,,,1951,4-05052-0036,"515,515","76,649",12.74,,84,D7-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""15 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.37,48.32,BAYSIDE,12.52,1.76,1.76,, ,,,,1954,4-06277-0002, , , ,,168,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""27 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.9,37.14,FLUSHING-NORTH,14.01,0.48,0.41,,D1-ELEVATOR,4-05003-0028,,,1954,4-04986-0018,"507,616","68,250",14.9,,48,D6-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""162 POWELLS COVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.11,BAYSIDE,16.57,1.22,1.5,Whitestone                                                                 , ,,,7.0,1956,4-05958-0030, , , ,19.0,108,D3-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""39 57 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.43,38.94,WOODSIDE,17.43,0.33,0.1,,D1-ELEVATOR,4-01336-0052,,,1963,4-01229-0055,"248,222","42,924",16.75,,60,D1-ELEVATOR,WOODSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""166 9 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.3,BAYSIDE,17.98,1.48,1.16,,D1-ELEVATOR,4-05958-0030,,,1958,4-05865-0112,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.2,46.49,FLUSHING-NORTH,15.4,0.13,0.13,,D7-ELEVATOR,4-05023-0001,,,1962,4-05046-0040,"546,687","76,032",14.85,,74,D3-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""196 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",18.0,73.93,FRESH MEADOWS,18.15,0.13,0.32,,C9-WALK-UP,4-07115-0002,,,1952,4-07117-0300,"5,082,238","614,916",19.72,,140,C9-WALK-UP,FRESH MEADOWS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""7 166 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.3,BAYSIDE,17.98,1.48,1.16,,D1-ELEVATOR,4-05958-0030,,,1958,4-05865-0112,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""45 KEW GARDENS ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.85,45.48,KEW GARDENS,14.85,0.19,0.0,Kew Gardens                                                                ,D3-ELEVATOR,4-03353-0001,4080154.0,9.0,1940,4-03358-0052,"1,002,827","124,343",15.49,29.0,96,D1-ELEVATOR,KEW GARDENS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""131 KEW GARDENS ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.93,67.23,KEW GARDENS,15.3,0.26,0.29,,D1-ELEVATOR,4-09649-0053,,,1960,4-09245-0240,"342,363","92,000",13.93,,84,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""61 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.59,44.57,REGO PARK,15.1,0.11,0.11,,D7-ELEVATOR,4-03075-0023,,,1939,4-03078-0050,"480,935","68,700",14.36,,108,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.94,43.61,DOUGLASTON,17.15,1.2,2.0,,D3-ELEVATOR,4-05865-0118,,,1952,4-08092-0005,"979,445","147,700",19.34,,583,D9-ELEVATOR,BAYSIDE
