queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_expense_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_3_total_units,comparable_rental_1_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_1_building_classification,queens_cooperatives_comparable_properties_estimated_expense,borough,queens_cooperatives_comparable_properties_neighborhood,comparable_rental_3_net_operating_income,postcode,comparable_rental_3_estimated_gross_income,comparable_rental_1_estimated_expense,comparable_rental_2_neighborhood,comparable_rental_1_net_operating_income,comparable_rental_2_address,bbl,comparable_rental_2_gross_income_per_sqft,queens_cooperatives_comparable_properties_full_market_value,queens_cooperatives_comparable_properties_building_classification,comparable_rental_2_total_units,queens_cooperatives_comparable_properties_estimated_gross_income
4-03179-0020,6.77,6.38,62,6.77,678585.0,D1-ELEVATOR,502625,4,FOREST HILLS,"668,688",,"930,184",165174,REGO PARK,207770,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""101 67 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.95,3564000,D4-ELEVATOR,61.0,1134433
4-05049-0001,7.22,6.03,52,7.11,278449.0,D1-ELEVATOR,557420,4,FLUSHING-NORTH,"438,162",,"679,416",739440,FLUSHING-NORTH,683280,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.0,3003000,D4-ELEVATOR,50.0,1041495
4-04756-0001,7.78,5.44, ,9.68,611569.0,C1-WALK-UP,1235012,4,WHITESTONE, ,, ,241346,WHITESTONE,232782,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""19 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.92,7425000,C6-WALK-UP,60.0,2744472
4-03084-0039,6.13,6.13,56,5.3,516812.0,D1-ELEVATOR,429100,4,REGO PARK,"352,800",,"750,456",356279,REGO PARK,551870,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.74,3905000,D4-ELEVATOR,61.0,1031800
4-07629-0002,7.84,6.91, ,4.31,2045519.0,C9-WALK-UP,1636992,4,OAKLAND GARDENS, ,, ,897160,HOLLISWOOD,1711526,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 FRANCIS"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.31,9502000,C6-WALK-UP,288.0,3010896
4-03205-0012,6.35,6.77, ,5.74,207770.0,D1-ELEVATOR,154991,4,FOREST HILLS, ,, ,407556,FOREST HILLS,686903,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.28,1473000,D4-ELEVATOR,20.0,369293
4-05181-0001,7.24,6.04,96,5.3,546613.0,D1-ELEVATOR,514318,4,FLUSHING-NORTH,"754,898",,"1,379,388",564352,FLUSHING-NORTH,556020,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""142 BARCLAY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.4,3234000,D4-ELEVATOR,63.0,1094293
4-08535-0002,8.45,9.15, ,7.76,816863.0,C9-WALK-UP,1303260,4,GLEN OAKS, ,, ,1597486,KEW GARDENS,2210345,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 125 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.91,8102000,C6-WALK-UP,103.0,2680552
4-06574-0002,6.7,6.48,48,7.3,632188.0,C9-WALK-UP,140164,4,FLUSHING-SOUTH,"309,398",,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,660000,C6-WALK-UP,96.0,313800
4-01474-0047,4.97,, ,4.97,,D1-ELEVATOR,346180,4,JACKSON HEIGHTS, ,, ,493985, ,620218,,,,2497000,D4-ELEVATOR,,780821
4-02238-0001,4.2,6.78,76,5.7,942912.0,D1-ELEVATOR,809465,4,FOREST HILLS,"905,608",,"1,472,009",784152,FOREST HILLS,1485944,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 72 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.79,7756000,D4-ELEVATOR,108.0,2060731
4-02141-0001,6.72,7.15, ,6.28,1108589.0,D7-ELEVATOR,1037568,4,FOREST HILLS, ,, ,879222,FOREST HILLS,1177543,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.22,8269000,D4-ELEVATOR,149.0,2232624
4-02268-0014,7.03,6.08,61,5.47,825769.0,D1-ELEVATOR,369792,4,FOREST HILLS,"621,476",,"873,936",316931,FOREST HILLS,750889,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,19.96,2431000,D4-ELEVATOR,66.0,739584
4-01272-0001,6.13,6.95,59,5.84,1557986.0,D1-ELEVATOR,327967,4,JACKSON HEIGHTS,"445,971",,"813,728",321027,JACKSON HEIGHTS,332705,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.96,1914000,D4-ELEVATOR,195.0,725487
4-03276-0024,7.14,5.91, ,8.36,612019.0,D7-ELEVATOR,475524,4,FOREST HILLS, ,11375.0, ,401486,FOREST HILLS,402483,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4032760024.0,17.36,3168000,D4-ELEVATOR,60.0,1136196
4-01449-0032,5.55,4.99, ,6.11,400363.0,D1-ELEVATOR,410145,4,JACKSON HEIGHTS, ,, ,594847,JACKSON HEIGHTS,600661,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 83 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10.09,2640000,D4-ELEVATOR,72.0,826202
4-03312-0001,5.34,7.81,186,6.59,484808.0,D1-ELEVATOR,1120567,4,KEW GARDENS,"1,612,042",11363.0,"2,920,280",357727,KEW GARDENS,456342,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.73,11220000,D4-ELEVATOR,84.0,3091002
4-06632-0001,6.7,6.48,48,7.3,632188.0,C9-WALK-UP,1017522,4,FLUSHING-SOUTH,"309,398",,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,5797000,C6-WALK-UP,96.0,2278035
4-07912-0050,5.58,8.68, ,5.58,644950.0,D1-ELEVATOR,1194968,4,HOLLIS HILLS, ,, ,558398,HOLLISWOOD,756301,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""188 87 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.1,9317000,D4-ELEVATOR,96.0,2811816
4-03170-0001,7.46,7.02,123,7.46,829426.0,D1-ELEVATOR,1022915,4,REGO PARK,"1,076,324",,"1,872,338",1026891,FOREST HILLS,862881,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""102 67 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.0,5670000,D4-ELEVATOR,135.0,1881286
4-05137-0011,6.8,7.03,322,7.08,2250043.0,D3-ELEVATOR,1839393,4,FLUSHING-NORTH,"3,253,059",,"5,492,287",1915291,FLUSHING-NORTH,2266265,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.44,14630000,D4-ELEVATOR,287.0,4187325
4-05051-0020,6.88,8.01,161,6.88,679276.0,D1-ELEVATOR,744684,4,FLUSHING-NORTH,"1,320,935",,"2,171,479",729072,FLUSHING-NORTH,878194,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.94,5841000,D4-ELEVATOR,101.0,1643068
4-04754-0001,7.79,5.44, ,9.68,611569.0,C1-WALK-UP,918828,4,WHITESTONE, ,, ,241346,WHITESTONE,232782,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""19 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.92,4301000,C6-WALK-UP,60.0,2041815
4-02874-0002,6.5,6.09,107,6.15,901160.0,D1-ELEVATOR,613808,4,MIDDLE VILLAGE,"920,939",,"1,579,261",453635,REGO PARK,700640,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""62 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.1,5192000,D4-ELEVATOR,101.0,1472195
4-02148-0001,6.42,6.42,206,6.15,1968552.0,D7-ELEVATOR,1853525,4,FOREST HILLS,"1,265,657",,"2,691,329",1923485,REGO PARK,2506873,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""98 65 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.13,15441000,D4-ELEVATOR,240.0,4079486
4-06669-0007,6.7,6.48,48,7.3,632188.0,C9-WALK-UP,271216,4,FLUSHING-SOUTH,"309,398",,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,1551000,C6-WALK-UP,96.0,607200
4-02135-0050,6.37,6.1,126,4.27,885509.0,D1-ELEVATOR,437237,4,FOREST HILLS,"1,117,277",,"2,003,898",261496,FOREST HILLS,668688,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.55,3811000,D4-ELEVATOR,109.0,987730
4-03340-0036,5.91,5.91,66,4.84,612019.0,D1-ELEVATOR,308396,4,FOREST HILLS,"750,889",,"1,067,820",252460,FOREST HILLS,621476,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.36,2893000,D4-ELEVATOR,60.0,905880
4-05023-0039,6.53,7.47,106,9.09,633780.0,D1-ELEVATOR,476044,4,FLUSHING-NORTH,"969,956",,"1,636,401",729629,FLUSHING-NORTH,697013,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""142 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.8,2816000,D4-ELEVATOR,92.0,1169332
4-03159-0070,5.3,5.3,98,5.92,551870.0,D6-ELEVATOR,399503,4,REGO PARK,"765,493",,"1,398,935",630737,REGO PARK,820138,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.52,2904000,D4-ELEVATOR,66.0,1019111
4-03193-0001,6.77,6.77,62,6.38,207770.0,D3-ELEVATOR,307047,4,FOREST HILLS,"668,688",,"930,184",452085,FOREST HILLS,678585,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.28,2475000,D4-ELEVATOR,20.0,693009
4-01462-0001,5.53,4.76, ,6.51,367401.0,D1-ELEVATOR,452907,4,JACKSON HEIGHTS, ,, ,331802,JACKSON HEIGHTS,282362,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10.9,2926000,D4-ELEVATOR,72.0,940212
4-02099-0040,6.76,6.92,113,6.43,822902.0,D1-ELEVATOR,1097013,4,REGO PARK,"676,243",,"1,339,055",807051,REGO PARK,873568,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.78,7401000,D4-ELEVATOR,132.0,2216745
4-07342-0028,8.4,6.39, ,8.4,608473.0,C9-WALK-UP,430618,4,BAYSIDE, ,, ,390398,BAYSIDE,374597,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.21,2992000,C6-WALK-UP,84.0,843805
4-05863-0200,6.35,6.35,121,6.63,1717451.0,D3-ELEVATOR,631825,4,BAYSIDE,"1,399,185",,"2,427,510",979445,BAYSIDE,1877005,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.98,5973000,D4-ELEVATOR,152.0,1789010
4-01264-0001,6.5,5.87, ,7.95,601444.0,D1-ELEVATOR,591175,4,JACKSON HEIGHTS, ,, ,826800,JACKSON HEIGHTS,825760,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""78 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.49,4356000,D4-ELEVATOR,96.0,1342422
4-16129-0001,6.33,6.86, ,5.8,973698.0,D1-ELEVATOR,3451198,4,HAMMELS, ,, ,4863388,FAR ROCKAWAY,3592854,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""249 HEYSON ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.65,19279000,D4-ELEVATOR,149.0,6471678
4-01679-0001,6.07,6.48, ,6.03,378120.0,D1-ELEVATOR,238351,4,EAST ELMHURST, ,11102.0, ,251590,ELMHURST,290973,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""93 LAMONT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4004900101.0,12.0,1695000,D4-ELEVATOR,90.0,491230
4-05938-0005,8.24,6.63,66,6.35,1877005.0,D3-ELEVATOR,2706872,4,BAYSIDE,"1,138,362",,"1,525,470",938256,BAYSIDE,1717451,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,19.34,19690000,D4-ELEVATOR,152.0,6354350
4-01226-0001,5.46,5.04,61,5.01,458054.0,D1-ELEVATOR,793769,4,WOODSIDE,"355,155",,"652,538",436114,WOODSIDE,586458,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 51 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10.09,5665000,D4-ELEVATOR,112.0,1741640
4-02236-0033,5.76,5.67,50,5.76,496408.0,D1-ELEVATOR,453502,4,FOREST HILLS,"402,483",,"803,969",399138,FOREST HILLS,596393,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""108 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.25,4246000,D4-ELEVATOR,66.0,1130606
4-00169-0032,7.03,8.38,46,6.9,92469.0,C1-WALK-UP,133458,4,SUNNYSIDE,"259,877",,"491,574",90798,SUNNYSIDE,77482,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""45 42 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.83,854000,C6-WALK-UP,20.0,283241
4-03156-0114,6.13,6.13,112,4.27,516812.0,D1-ELEVATOR,461074,4,REGO PARK,"788,827",,"1,562,752",261496,REGO PARK,668688,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.74,4224000,D4-ELEVATOR,61.0,1108684
4-02250-0001,6.78,5.76,118,6.78,596393.0,D1-ELEVATOR,713798,4,FOREST HILLS,"1,485,944",,"2,270,096",709250,FOREST HILLS,942912,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 72 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.36,6485000,D4-ELEVATOR,67.0,1662371
4-01219-0006,7.23,7.23,40,3.37,210754.0,C7-WALK-UP,271306,4,WOODSIDE,"249,165",,"498,330",148208,WOODSIDE,465396,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 62 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.03,1463000,C6-WALK-UP,39.0,526476
4-06633-0001,6.7,6.48,48,7.3,632188.0,C9-WALK-UP,1017522,4,FLUSHING-SOUTH,"309,398",,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,5819000,C6-WALK-UP,96.0,2278035
4-01458-0001,5.35,5.94, ,4.76,585774.0,D1-ELEVATOR,585697,4,JACKSON HEIGHTS, ,, ,284387,JACKSON HEIGHTS,367401,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.17,3905000,D4-ELEVATOR,84.0,1263353
4-00569-0056,7.17,7.17,21,8.44,64664.0,C1-WALK-UP,237599,4,ASTORIA,"129,285",,"215,216",130444,ASTORIA,119800,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""23 31 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.97,1483000,C6-WALK-UP,12.0,462938
4-00141-0015,4.95,9.69,82,4.95,233147.0,D7-ELEVATOR,696762,4,SUNNYSIDE,"422,628",,"855,871",395387,SUNNYSIDE,685145,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 45 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.11,6248000,D4-ELEVATOR,52.0,1905890
4-05865-0040,8.0,9.05,26,7.32,189494.0,C9-WALK-UP,298120,4,BAYSIDE,"277,369",,"513,458",200607,BAYSIDE,386015,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""203 42 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.33,1804000,C6-WALK-UP,27.0,745300
4-09736-0108,6.88,6.88,108,7.29,778723.0,D1-ELEVATOR,1203229,4,BRIARWOOD,"745,963",,"1,481,617",755120,BRIARWOOD,898381,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 85 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.67,7848000,D4-ELEVATOR,120.0,2390719
4-01253-0011,5.69,5.87, ,5.94,601444.0,D1-ELEVATOR,1099268,4,JACKSON HEIGHTS, ,, ,557800,JACKSON HEIGHTS,585774,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""78 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.49,6930000,D4-ELEVATOR,96.0,2407185
4-10538-0010,5.58,6.58,84,5.58,172420.0,D1-ELEVATOR,1548584,4,HOLLISWOOD,"579,732",,"1,079,295",558398,HOLLIS,756301,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 193 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,11.55,12870000,D4-ELEVATOR,36.0,3643890
4-08107-0024,6.35,6.35,152,6.15,1717451.0,D1-ELEVATOR,391020,4,DOUGLASTON,"1,877,005",,"2,856,450",703879,BAYSIDE,1257909,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.98,2761000,D4-ELEVATOR,152.0,1107172
4-00162-0034,5.87,5.87,82,5.87,424335.0,D1-ELEVATOR,383194,4,SUNNYSIDE,"422,628",,"855,871",359869,SUNNYSIDE,424437,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 42 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.79,2959000,D4-ELEVATOR,60.0,834931
4-02134-0032,7.46,7.46,109,5.88,862881.0,D1-ELEVATOR,1057291,4,FOREST HILLS,"885,509",,"1,610,218",796014,FOREST HILLS,1076324,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""102 67 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.72,5860000,D4-ELEVATOR,135.0,1944508
4-05374-0016,6.88,5.64,181,6.88,1320935.0,D1-ELEVATOR,818665,4,FLUSHING-NORTH,"1,573,860",,"2,337,713",729072,FLUSHING-NORTH,878194,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.39,3850000,D4-ELEVATOR,161.0,1806299
4-05015-0012,8.01,6.83,109,8.01,668173.0,D1-ELEVATOR,605220,4,FLUSHING-NORTH,"697,013",,"1,426,642",212385,FLUSHING-NORTH,249515,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 147 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.16,3465000,D4-ELEVATOR,95.0,1316220
4-03155-0055,6.49,6.49,56,4.27,225146.0,D1-ELEVATOR,352641,4,REGO PARK,"352,800",,"750,456",261496,REGO PARK,668688,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.02,3102000,D4-ELEVATOR,38.0,816127
4-03079-0100,6.03,6.09,60,7.73,901160.0,D1-ELEVATOR,506629,4,REGO PARK,"536,059",,"901,793",532953,REGO PARK,472969,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""62 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.1,3861000,D4-ELEVATOR,101.0,1225823
4-01177-0001,7.6,8.62,40,7.66,220743.0,C1-WALK-UP,300980,4,JACKSON HEIGHTS,"257,694",,"478,875",208333,JACKSON HEIGHTS,232754,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""89 32 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.89,2660000,C6-WALK-UP,39.0,668844
4-03080-0043,6.03,7.73,101,5.86,472969.0,D1-ELEVATOR,287812,4,REGO PARK,"901,160",,"1,510,717",365734,REGO PARK,536059,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""62 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.59,2596000,D4-ELEVATOR,60.0,696381
4-03205-0008,6.77,6.77,56,5.74,207770.0,D1-ELEVATOR,165242,4,FOREST HILLS,"633,826",,"1,049,921",407556,FOREST HILLS,686903,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.28,1426000,D4-ELEVATOR,20.0,372954
4-01841-0001,5.54,4.85,113,5.54,835562.0,D1-ELEVATOR,608270,4,ELMHURST,"928,568",,"1,590,806",593171,ELMHURST,849888,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""56 94 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.63,3971000,D4-ELEVATOR,112.0,1481148
4-10262-0006,6.0,4.78,56,6.56,128972.0,C9-WALK-UP,313956,4,SOUTH JAMAICA,"436,356",,"628,874",184562,SO. JAMAICA-BAISLEY PARK,190953,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""116 169 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,9.86,2252000,C6-WALK-UP,24.0,639947
4-01461-0006,5.73,6.6, ,4.85,308220.0,D1-ELEVATOR,305226,4,JACKSON HEIGHTS, ,, ,245841,JACKSON HEIGHTS,403305,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 86 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.25,2376000,D4-ELEVATOR,48.0,694082
4-04591-0103,7.02,6.35,121,5.44,1717451.0,D3-ELEVATOR,285658,4,BEECHHURST,"1,399,185",,"2,427,510",317783,BAYSIDE,611569,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.98,1529000,D4-ELEVATOR,152.0,674266
4-01949-0106,7.17,6.7,122,5.5,1551935.0,D1-ELEVATOR,1215315,4,CORONA,"824,385",,"1,602,790",475143,CORONA,729448,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""97 HOR"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.75,7566000,D4-ELEVATOR,233.0,2364525
4-01238-0040,6.15,6.83, ,5.46,334804.0,D7-ELEVATOR,1280750,4,WOODSIDE, ,, ,297383,SUNNYSIDE,355155,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 50 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.59,8041000,D4-ELEVATOR,48.0,2767669
