unique_id,work_id,floor_ac_receptacles,sign_total_aw_guage,from_floor,floor_detail,floor_transformers,item,sign_id,sign_lamp_wattage
00424C16-9F57-E811-8117-005056B627E4.FF414C16-9F57-E811-8117-005056B627E4.0,00424C16-9F57-E811-8117-005056B627E4,0,,2.0,,0,Floor Descriptions - Total Units,0,0
00C51060-A862-E911-8120-005056B627E6.0.0,00C51060-A862-E911-8120-005056B627E6,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
00090BAC-9D50-E911-8120-005056B627E4.0.0,00090BAC-9D50-E911-8120-005056B627E4,0,,,,0,3Ø up to 225 amps,0,0
00D43B87-5E12-E811-8117-005056B627E4.0.0,00D43B87-5E12-E811-8117-005056B627E4,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
011C487D-E341-E911-811F-005056B627E6.0.0,011C487D-E341-E911-811F-005056B627E6,0,,,,0,101 to 200 amps,0,0
0014FF3D-CE2F-E811-8117-005056B627E4.0.0,0014FF3D-CE2F-E811-8117-005056B627E4,0,,,,0,Up to 100 amps,0,0
007A0CF6-B927-E811-8117-005056B627E4.0.0,007A0CF6-B927-E811-8117-005056B627E4,0,,,,0,Up to 100 amps,0,0
00133AD2-F861-E911-8120-005056B627E6.0.0,00133AD2-F861-E911-8120-005056B627E6,0,,,,0,Up to #2 conductor,0,0
00C93AEC-EBF3-E711-8116-005056B627E6.0.0,00C93AEC-EBF3-E711-8116-005056B627E6,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
0070E050-744D-E811-8117-005056B627E4.A03A6A0F-6D4D-E811-8117-005056B627E4.0,0070E050-744D-E811-8117-005056B627E4,0,,37.0,OPEN AREA AND PRIVATE OFFICES,0,Floor Descriptions - Total Units,0,0
003CB1A2-DB41-E811-8117-005056B627E4.0.0,003CB1A2-DB41-E811-8117-005056B627E4,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
00FB0077-520B-E811-8117-005056B627E4.0.0,00FB0077-520B-E811-8117-005056B627E4,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
007820A2-0668-E811-8119-005056B627E6.E1B7CC59-0668-E811-8119-005056B627E6.0,007820A2-0668-E811-8119-005056B627E6,0,,29.0,TRAUNCH #2,0,Floor Descriptions - Total Units,0,0
00521718-27EC-E811-811A-005056B627E6.FF511718-27EC-E811-811A-005056B627E6.0,00521718-27EC-E811-811A-005056B627E6,0,,,,0,Floor Descriptions - Total Units,0,0
00EFFA0D-FC85-E811-811A-005056B627E4.0.0,00EFFA0D-FC85-E811-811A-005056B627E4,0,,,,0,3Ø up to 225 amps,0,0
00B020CE-FCE1-E811-811B-005056B627E4.0.0,00B020CE-FCE1-E811-811B-005056B627E4,0,,,,0,Up to 100 amps,0,0
0047EA88-1E8A-E811-811A-005056B627E4.DC8BE1E1-1D8A-E811-811A-005056B627E4.0,0047EA88-1E8A-E811-811A-005056B627E4,0,,1.0,first floor triplex apartment,0,Floor Descriptions - Total Units,0,0
0017299E-3F17-E811-8117-005056B627E4.190FF191-3F17-E811-8117-005056B627E4.0,0017299E-3F17-E811-8117-005056B627E4,1,,3.0,,0,Floor Descriptions - Total Units,0,0
011832AB-DDCB-E811-811A-005056B627E6.0.0,011832AB-DDCB-E811-811A-005056B627E6,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
003D98CE-2B2E-E911-811E-005056B627E6.0.0,003D98CE-2B2E-E911-811E-005056B627E6,0,,,,0,Up to #2 conductor,0,0
00DAD765-C48A-E811-811A-005056B627E4.0.0,00DAD765-C48A-E811-811A-005056B627E4,0,,,,0,3Ø up to 225 amps,0,0
0030B0D6-52B7-E811-811B-005056B627E4.E4C27499-51B7-E811-811B-005056B627E4.0,0030B0D6-52B7-E811-811B-005056B627E4,0,,,,0,Floor Descriptions - Total Units,0,0
01027011-A116-E811-8117-005056B627E4.0.0,01027011-A116-E811-8117-005056B627E4,0,,,,0,Up to 100 amps,0,0
007E1374-7C21-E811-8117-005056B627E4.91BCA85D-7C21-E811-8117-005056B627E4.0,007E1374-7C21-E811-8117-005056B627E4,0,,,Open Rooms,0,Floor Descriptions - Total Units,0,0
006E1696-565D-E911-8120-005056B627E6.0.0,006e1696-565d-e911-8120-005056b627e6,0,,,,0,Up to #2 conductor,0,0
0105A860-2AFA-E811-811A-005056B627E6.0.0,0105A860-2AFA-E811-811A-005056B627E6,0,,,,0,Up to #2 conductor,0,0
00EEFB68-41C6-E811-811B-005056B627E4.0.0,00EEFB68-41C6-E811-811B-005056B627E4,0,,,,0,Over #2 to 1/0,0,0
012056E7-A815-E811-8117-005056B627E4.0.0,012056E7-A815-E811-8117-005056B627E4,0,,,,0,3Ø up to 225 amps,0,0
0121FBB9-479F-E811-811B-005056B627E4.0.0,0121FBB9-479F-E811-811B-005056B627E4,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
00A4A5C8-2F8C-E811-811A-005056B627E4.FFA3A5C8-2F8C-E811-811A-005056B627E4.0,00A4A5C8-2F8C-E811-811A-005056B627E4,0,,1.0,General wiring in upstairs apartment,0,Floor Descriptions - Total Units,0,0
002C3D1B-11E8-E811-811A-005056B627E6.0.9E5E1B89-0DE8-E811-811A-005056B627E6,002C3D1B-11E8-E811-811A-005056B627E6,0,#12,,,0,Upto 30 sq. ft,9E5E1B89-0DE8-E811-811A-005056B627E6,0
00E80331-DE45-E911-8120-005056B627E4.0.0,00E80331-DE45-E911-8120-005056B627E4,0,,,,0,Up to #2 conductor,0,0
01177FFF-41FA-E811-811A-005056B627E6.FF167FFF-41FA-E811-811A-005056B627E6.0,01177FFF-41FA-E811-811A-005056B627E6,0,,,1st floor apt #1,0,Floor Descriptions - Total Units,0,0
002A096C-C320-E811-8117-005056B627E4.0.0,002A096C-C320-E811-8117-005056B627E4,0,,,,0,Over #2 to 1/0,0,0
00E7FDA7-9819-E911-811D-8CFAEDA547D3.0.0,00E7FDA7-9819-E911-811D-8CFAEDA547D3,0,,,,0,Up to 100 amps,0,0
0111A937-FC73-E811-811A-005056B627E4.0.0,0111A937-FC73-E811-811A-005056B627E4,0,,,,0,601 to 1200 amps,0,0
