address_1,senior_care_community_number_1,residence_hall_dormitory,state_province,worship_facility_gross_floor,supermarket_grocery_gross,census_tract,senior_care_community_number_2,energy_alerts,data_center_pdu_input_site,hotel_amount_of_laundry,estimated_data_flag_other,estimated_data_flag_natural,hospital_general_medical_5,senior_care_community_number_3,national_median_site_eui,refrigerated_warehouse_gross,site_energy_use_kbtu,weather_normalized_source,multifamily_housing_number_3,multifamily_housing_gross,supermarket_grocery_worker,supermarket_grocery_number_1,residence_hall_dormitory_4,hospital_general_medical,electricity_sourced_from,estimated_data_flag_diesel,bank_branch_worker_density,retail_store_gross_floor,multifamily_housing_maximum,k_12_school_cooking_facilities,multifamily_housing_number_4,medical_office_number_of,supermarket_grocery_percent,outdoor_water_use_all_water,hotel_gym_fitness_center,hotel_full_service_spa_floor,medical_office_percent_that,retail_store_number_of_walk,estimated_data_flag_fuel_1,supermarket_grocery_walk,supermarket_grocery_weekly,source_energy_use_kbtu,multifamily_housing_primary,bank_branch_weekly_operating,retail_store_exterior_entrance,data_center_national_median,k_12_school_refrigeration,percent_better_than_national,bank_branch_number_of_workers
565 5th Avenue,Not Available,Not Available,New York,Not Available,Not Available,94.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96,Not Available,33358884.9,291.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15998,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,92787739.2,Not Available,Not Available,1,Not Available,Not Available,6.6,Not Available
12-16 Vestry Street,Not Available,Not Available,New York,Not Available,Not Available,33.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,70.7,Not Available,3361548.5,162.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9327868,Not Available,Not Available,Not Available,Not Available,Not Available,-14.3,Not Available
166 East 35th St.,Not Available,Not Available,New York,Not Available,Not Available,72.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6771876.9,149.6,Not Available,74798,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10753398.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
222 East 34th Street,Not Available,Not Available,New York,Not Available,Not Available,70.0,Not Available,Less than 1 year of data<br>Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,480,413144,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15228,19,Not Available,579,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available
470 Park Avenue South,Not Available,Not Available,New York,Not Available,Not Available,74.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,93.4,Not Available,16179649.5,165,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,49585073.9,Not Available,60,Not Available,Not Available,Not Available,-40.7,210
1115 BROADWAY,Not Available,Not Available,New York,Not Available,Not Available,58.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,80,Not Available,17038829.7,155.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14860,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,49735794,Not Available,Not Available,1,Not Available,Not Available,-30.9,Not Available
90 Church Street,Not Available,Not Available,New York,Not Available,Not Available,21.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96.1,Not Available,70748546.6,164.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,204623520.3,Not Available,Not Available,Not Available,1.82,Not Available,-40.4,Not Available
828-850 Madison Ave,Not Available,Not Available,New York,Not Available,Not Available,122.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.1,Not Available,947322.6,173.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18231,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,3164057.6,Not Available,Not Available,1,Not Available,Not Available,-7.4,Not Available
275 Seventh Avenue,Not Available,Not Available,New York,Not Available,Not Available,91.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,98.9,Not Available,45964474,208.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.45,Not Available,Not Available,Not Available,Not Available,220,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,126984387,Not Available,50,Not Available,Not Available,Not Available,-22.3,330
248 East Sunrise Hwy.,Not Available,Not Available,New York,Not Available,46970,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,242.8,Not Available,10207643.9,581.6,Not Available,Not Available,0.75,43,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.19,168,26891191.6,Not Available,Not Available,Not Available,Not Available,Not Available,-10.5,Not Available
727 Beekman Rd.,Not Available,Not Available,New York,Not Available,40000,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,186.3,Not Available,6768258.3,559.5,Not Available,Not Available,0.75,41,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.18,168,22605982.9,Not Available,Not Available,Not Available,Not Available,Not Available,-9.2,Not Available
251 Park Avenue South,Not Available,Not Available,New York,Not Available,Not Available,50.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,117.6,Not Available,4892553.1,80.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8581157.7,Not Available,Not Available,Not Available,Not Available,Not Available,-60,Not Available
32 Old Slip,Not Available,Not Available,New York,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.17,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,76,Not Available,Not Available,Not Available,Not Available,996
79 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,52.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,58,Not Available,28482990.4,273.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,72808081.5,Not Available,Not Available,Not Available,Not Available,Not Available,80.8,Not Available
995 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,142.0,Not Available,Overlapping meter entries<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35,151627,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17,Not Available,80,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,District Steam,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
598 BROADWAY,Not Available,Not Available,New York,Not Available,Not Available,43.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,68,Not Available,4044927.2,154.6,5,19404,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11088,5,Not Available,11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,12401836,Not Available,Not Available,1,1.82,Not Available,-24.3,Not Available
140 Meisner Ave,9,Not Available,New York,Not Available,Not Available,279.0,150,Not Available,Not Available,Not Available,Not Available,No,Not Available,15,151.4,Not Available,29795015.1,284,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12471.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,57527046.1,Not Available,Not Available,Not Available,Not Available,Not Available,-6.7,Not Available
