property_name,city,swimming_pool_location_of,retail_store_number_of_open,retail_store_worker_density,senior_care_community_gross,target_site_eui_kbtu_ft,hotel_number_of_rooms,k_12_school_weekend_operation,hospital_general_medical_3,energy_star_certification_4,electricity_use_grid_purchase_1,swimming_pool_months_in_use,multifamily_housing_number_1,energy_current_date,natural_gas_use_kbtu,supermarket_grocery_cooking,data_center_it_site_energy,fuel_oil_4_use_kbtu,district_hot_water_use_kbtu,space_alerts,office_gross_floor_area_ft,avoided_emissions_offsite,estimated_data_flag_district_2,refrigerated_warehouse_weekly,swimming_pool_approximate,energy_star_certification_2,fuel_oil_2_use_kbtu,custom_property_id_1_id,multifamily_housing_percent,hospital_general_medical_4,bank_branch_percent_that,office_computer_density_number,hotel_room_density_number,hotel_worker_density_number,office_percent_that_can_be,longitude,multifamily_housing_number_2,property_floor_area_buildings,county,year_built,natural_gas_use_therms,senior_care_community_maximum,data_center_gross_floor_area,non_refrigerated_warehouse,district_steam_use_kbtu,supermarket_grocery_number,nta,estimated_data_flag,worship_facility_computer,residence_hall_dormitory_3,multifamily_housing_number,release_date,multifamily_housing_government,worship_facility_cooking,bbl,borough,energy_star_certification,non_refrigerated_warehouse_5,non_refrigerated_warehouse_4,total_ghg_emissions_mtco2e
838 Fifth Avenue Condominium,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,1282548.9,Not Available,4,31-DEC-12,128070,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1041101,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.970339,24,62857,NEW YORK,1951,1280.7,Not Available,Not Available,Not Available,2695946.93,Not Available,Upper East Side-Carnegie Hill,No,Not Available,Not Available,11,2013-05-31T12:02:12.000,0,Not Available,1013797504.0,MANHATTAN,Not Available,Not Available,Not Available,630.52
866 UN Plaza,NY,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,4917129,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,370842,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1040072,Not Available,Not Available,100,3.24,Not Available,Not Available,100,-73.966834,Not Available,376326,NEW YORK,1966,Not Available,Not Available,Not Available,Not Available,21355701.32,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-05-28T05:53:25.000,Not Available,Not Available,1013607501.0,MANHATTAN,Not Available,Not Available,Not Available,3261.21
640 Fifth Avenue,New York,Not Available,0,5.13,Not Available,0,Not Available,Not Available,Not Available,25-MAY-11,7898229.7,Not Available,Not Available,31-JAN-13,Not Available,Not Available,0,Not Available,Not Available,Not Available,314861,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (27-JUN-11),Not Available,1034516,Not Available,Not Available,Not Available,3.28,Not Available,Not Available,100,-73.977122,Not Available,356686,NEW YORK,1949,Not Available,Not Available,2824,Not Available,4076440.79,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-28T05:53:25.000,Not Available,Not Available,1012670034.0,MANHATTAN,Not Available,Not Available,Not Available,2851.99
Boulevard Alp,Flushing,Not Available,Not Available,Not Available,165906,0,Not Available,Not Available,Not Available,Not Available,1525920,Not Available,Not Available,31-DEC-12,18818200,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,4531560,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.80987,Not Available,165906,QUEENS,2005,188182,239,Not Available,Not Available,Not Available,Not Available,Pomonok-Flushing Heights-Hillcrest,No,Not Available,Not Available,Not Available,2013-05-31T11:08:30.000,Not Available,Not Available,4067970079.0,QUEENS,Not Available,Not Available,Not Available,1489.95
327 Central Park West Condominium,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,695771,Not Available,10,31-DEC-12,217108,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1031638,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.966491,120,102972,NEW YORK,1929,2171.1,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,No,Not Available,Not Available,80,2013-05-30T10:19:25.000,0,Not Available,1012067501.0,MANHATTAN,Not Available,Not Available,Not Available,632.56
520 East 72nd Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,5,Not Available,1355904.7,Not Available,16,31-DEC-12,16240705.42,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,1386974.35,1078436,100,13,Not Available,Not Available,Not Available,Not Available,Not Available,-73.953199,0,172396,NEW YORK,1964,162407.1,Not Available,Not Available,Not Available,Not Available,Not Available,Lenox Hill-Roosevelt Island,No,Not Available,Not Available,215,2013-05-31T12:02:12.000,0,Not Available,1014830038.0,MANHATTAN,Not Available,Not Available,Not Available,1400.4
Mary Woodard Lasker Medical Research Center,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,4101677.4,Not Available,Not Available,31-DEC-12,21171496.77,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>",44908,Not Available,Not Available,Not Available,Not Available,No Status Available,29679.77,1062993,Not Available,Not Available,Not Available,2.2,Not Available,Not Available,100,,Not Available,69705,NEW YORK,1995,211715,Not Available,Not Available,Not Available,Not Available,Not Available,,No,Not Available,Not Available,Not Available,2013-04-22T06:40:49.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,2442.46
Gotham Towne House Owners Corporation,New York,Not Available,0,1,Not Available,0,Not Available,Not Available,Not Available,Not Available,1277538.1,Not Available,18,31-DEC-12,4567.74,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1036911,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.968628,0,135849,NEW YORK,1960,45.7,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,80,2013-05-30T10:19:25.000,0,Not Available,1013120028.0,MANHATTAN,Not Available,Not Available,Not Available,959.31
251 West 39th Street Realty Co. LLC,New York,Not Available,0,1.17,Not Available,0,Not Available,Not Available,Not Available,Not Available,814514,Not Available,Not Available,31-DEC-12,356303.23,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>",30700,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1014498,Not Available,Not Available,Not Available,1.69,Not Available,Not Available,91.94,-73.989771,Not Available,110900,NEW YORK,1926,3563,Not Available,Not Available,32900,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-31T08:13:56.000,Not Available,Not Available,1007890014.0,MANHATTAN,Not Available,1,42,1067.46
394 ARGYLE RD HCM,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,674254.3,Not Available,Not Available,31-DEC-12,8615662,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3118644,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.966036,Not Available,176670,KINGS,1959,86156.6,Not Available,Not Available,Not Available,Not Available,Not Available,Flatbush,No,Not Available,Not Available,Not Available,2013-05-29T08:05:34.000,0,Not Available,3051550017.0,BROOKLYN,Not Available,Not Available,Not Available,674.35
Riverbridge Court Condominium,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,411790.6,Not Available,0,31-DEC-12,612922.38,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1087550;1087600,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.949651,92,65865,NEW YORK,2005,6129.2,Not Available,Not Available,Not Available,Not Available,Not Available,Hamilton Heights,No,0,Not Available,46,2013-05-30T10:19:25.000,0,0,1020957501.0,MANHATTAN,Not Available,Not Available,Not Available,164.52
110 Post,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,333200,Not Available,4,31-DEC-10,8920200,Not Available,Not Available,0,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1064782,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.920509,0,106215,NEW YORK,1939,89202,Not Available,Not Available,Not Available,Not Available,Not Available,Marble Hill-Inwood,Yes,Not Available,Not Available,0,2013-05-31T07:17:44.000,0,Not Available,1022220035.0,MANHATTAN,Not Available,Not Available,Not Available,581.29
"151 West, LLC",New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,247858.6,Not Available,4,31-DEC-12,4024854.55,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1062451,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.948374,0,62604,NEW YORK,1914,40248.5,Not Available,Not Available,Not Available,Not Available,Not Available,Hamilton Heights,No,Not Available,Not Available,0,2013-05-30T05:49:08.000,0,Not Available,1020970040.0,MANHATTAN,Not Available,Not Available,Not Available,293.52
0509 Maspeth,Maspeth,Not Available,Not Available,Not Available,Not Available,195.8,Not Available,Not Available,Not Available,Not Available,2830217.1,Not Available,Not Available,28-FEB-13,3246220.97,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.887298,Not Available,52336,QUEENS,Not Available,32462.2,Not Available,Not Available,Not Available,Not Available,10,Elmhurst,No,Not Available,Not Available,Not Available,2013-05-15T06:33:10.000,Not Available,Not Available,4024920079.0,QUEENS,Not Available,Not Available,Not Available,1079.34
502 PARK AVE,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,5097615,Not Available,10,31-DEC-12,135206,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1040756,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.969739,276,307398,NEW YORK,2002,1352.1,Not Available,Not Available,Not Available,11316600.66,Not Available,Upper East Side-Carnegie Hill,No,Not Available,Not Available,138,2013-05-28T13:59:57.000,0,Not Available,1013747502.0,MANHATTAN,Not Available,Not Available,Not Available,2533.63
