manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_neighborhood,comparable_rental_1_total_units,census_tract,nta,comparable_rental_1_gross_sqft,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_building_classification,comparable_rental_2_est_gross_income,community_board
1-01510-0030,"{'latitude': '40.628095178301', 'longitude': '-74.033664126849', 'human_address': '{""address"": ""163 81 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",59149,11900000.0,204.0,UPPER EAST SIDE (59-79),45,,,52848,158.0,D3-ELEVATOR,2414899.0,
1-00537-0001,"{'latitude': '40.728831343129', 'longitude': '-73.999316700766', 'human_address': '{""address"": ""208 THOMPSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",44249,3930000.0,214.0,GREENWICH VILLAGE-CENTRAL,22,65.0,West Village                                                               ,11170,211.0,C7-WALK-UP,801000.0,2.0
1-00485-0014,"{'latitude': '40.723705207562', 'longitude': '-74.000207029575', 'human_address': '{""address"": ""122 SPRING STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",19302,1810000.0,90.0,SOHO,36,49.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,15918,104.0,D9-ELEVATOR,436668.0,2.0
1-01550-0007,"{'latitude': '40.622683267615', 'longitude': '-74.03100789745', 'human_address': '{""address"": ""311 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",113000,21800000.0,144.0,UPPER EAST SIDE (79-96),72,,,104209,147.0,D6-ELEVATOR,4670380.0,
1-01009-0018,"{'latitude': '40.646225894267', 'longitude': '-74.021203736961', 'human_address': '{""address"": ""125 56 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9816,1420000.0,163.0,MIDTOWN WEST,11,,,7603,135.0,C4-WALK-UP,305265.0,
1-01401-0027,"{'latitude': '40.774036345616', 'longitude': '-73.982550364156', 'human_address': '{""address"": ""137 66 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",62352,6990000.0,109.0,UPPER EAST SIDE (79-96),42,,,62472,176.0,D3-ELEVATOR,1688719.0,
1-01882-0008,"{'latitude': '40.803417539063', 'longitude': '-73.96481883597', 'human_address': '{""address"": ""535 CATHEDRAL PARKWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",150429,13300000.0,77.0,UPPER WEST SIDE (96-116),140,199.0,Morningside Heights                                                        ,168140,73.0,D9-ELEVATOR,3551321.0,9.0
1-00389-0020,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""204 7 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10800,1110000.0,102.0,ALPHABET CITY,18,,,10827,115.0,C4-WALK-UP,267000.0,
1-00349-0014,"{'latitude': '40.720395702494', 'longitude': '-73.9850174805', 'human_address': '{""address"": ""153 STANTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8085,828000.0,90.0,CHINATOWN,16,3001.0,Chinatown                                                                  ,9040,46.0,C7-WALK-UP,200000.0,3.0
1-00229-0020,"{'latitude': '40.721924549944', 'longitude': '-74.0028330499', 'human_address': '{""address"": ""71 GRAND STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",42240,7470000.0,169.0,SOHO,53,47.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,43280,171.0,D6-ELEVATOR,1604052.0,2.0
1-01829-0029,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""1864 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",55917,2990000.0,56.0,HARLEM-CENTRAL,76,,,63284,25.4,D1-ELEVATOR,885064.0,
1-01049-0001,"{'latitude': '40.642636738736', 'longitude': '-74.018243770589', 'human_address': '{""address"": ""345 58 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",588527,125000000.0,61.0,CLINTON,442,,,400612,140.0,D6-ELEVATOR,58981570.0,
1-01410-0005,"{'latitude': '40.632733532435', 'longitude': '-74.033015558456', 'human_address': '{""address"": ""103 75 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",64853,14100000.0,211.0,UPPER EAST SIDE (59-79),60,,,64344,159.0,D7-ELEVATOR,2882037.0,
1-02002-0041,"{'latitude': '40.82092255865', 'longitude': '-73.954846102567', 'human_address': '{""address"": ""607 136 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",19480,1090000.0,58.0,HARLEM-WEST,24,,,19056,39.2,C1-WALK-UP,322390.0,
1-01207-0034,"{'latitude': '40.790241503809', 'longitude': '-73.965787457505', 'human_address': '{""address"": ""336 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",202485,13600000.0,108.0,UPPER WEST SIDE (79-96),114,143.0,park-cemetery-etc-Manhattan                                                ,134183,95.0,D3-ELEVATOR,3285925.0,64.0
1-00632-0045,"{'latitude': '40.734883780386', 'longitude': '-74.007005904116', 'human_address': '{""address"": ""731 GREENWICH STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",23398,2580000.0,295.0,GREENWICH VILLAGE-WEST,22,75.0,West Village                                                               ,9395,167.0,C4-WALK-UP,525000.0,2.0
1-00393-0051,"{'latitude': '40.668687169574', 'longitude': '-73.986960215192', 'human_address': '{""address"": ""367 10 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10728,1050000.0,108.0,ALPHABET CITY,18,,,8700,55.0,C7-WALK-UP,254000.0,
1-00620-0053,"{'latitude': '40.734739888861', 'longitude': '-74.004173039724', 'human_address': '{""address"": ""88 CHARLES STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9700,1770000.0,190.0,GREENWICH VILLAGE-WEST,19,73.0,West Village                                                               ,7050,188.0,C1-WALK-UP,361000.0,2.0
1-01391-0031,"{'latitude': '40.632157367469', 'longitude': '-74.033923161956', 'human_address': '{""address"": ""65 76 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",91285,8950000.0,104.0,UPPER EAST SIDE (79-96),97,,,87192,153.0,D6-ELEVATOR,2160468.0,
1-00586-0081,"{'latitude': '40.730558041425', 'longitude': '-74.003912236335', 'human_address': '{""address"": ""25 LEROY STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9415,1770000.0,190.0,GREENWICH VILLAGE-WEST,19,67.0,West Village                                                               ,7050,188.0,C1-WALK-UP,361000.0,2.0
1-00769-0050,"{'latitude': '40.602053243839', 'longitude': '-74.00573926595', 'human_address': '{""address"": ""220 20 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8020,2010000.0,174.0,CHELSEA,12,,,4876,168.0,C5-WALK-UP,431000.0,
1-02179-0080,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""867 181 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",73272,3210000.0,51.0,WASHINGTON HEIGHTS UPPER,45,,,54288,51.0,D7-ELEVATOR,949154.0,
1-00891-0003,"{'latitude': '40.748067841335', 'longitude': '-73.980475904252', 'human_address': '{""address"": ""35 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",153693,23200000.0,209.0,MURRAY HILL,223,80.0,Murray Hill-Kips Bay                                                       ,182767,155.0,D6-ELEVATOR,4728000.0,6.0
1-01429-0013,"{'latitude': '40.632657422965', 'longitude': '-74.029487029207', 'human_address': '{""address"": ""225 74 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",86988,13200000.0,174.0,UPPER EAST SIDE (59-79),90,,,82065,154.0,D3-ELEVATOR,2827503.0,
1-01368-0039,"{'latitude': '40.642145937012', 'longitude': '-74.016039922503', 'human_address': '{""address"": ""424 57 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",29376,3760000.0,138.0,UPPER EAST SIDE (59-79),40,,,29500,177.0,D3-ELEVATOR,807570.0,
1-00144-0023,"{'latitude': '40.717320021154', 'longitude': '-74.008390860041', 'human_address': '{""address"": ""84 THOMAS STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",37960,6270000.0,161.0,MIDTOWN EAST,60,33.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,40266,157.0,D1-ELEVATOR,1345026.0,1.0
1-00891-0083,"{'latitude': '40.656446959723', 'longitude': '-74.008008388057', 'human_address': '{""address"": ""110 36 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",40000,10300000.0,177.0,MURRAY HILL,48,,,20660,163.0,D1-ELEVATOR,2210000.0,
1-01493-0037,"{'latitude': '40.777439698812', 'longitude': '-73.959323850123', 'human_address': '{""address"": ""950 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",98800,20000000.0,191.0,UPPER EAST SIDE (79-96),108,142.0,Upper East Side-Carnegie Hill                                              ,103304,140.0,D7-ELEVATOR,4068244.0,8.0
1-01579-0044,"{'latitude': '40.623368105579', 'longitude': '-74.024739780097', 'human_address': '{""address"": ""512 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10830,1790000.0,163.0,UPPER EAST SIDE (79-96),20,,,10715,153.0,C5-WALK-UP,383777.0,
1-01511-0001,"{'latitude': '40.777799427624', 'longitude': '-73.958775263685', 'human_address': '{""address"": ""969 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",128635,17800000.0,139.0,UPPER EAST SIDE (79-96),117,140.0,Upper East Side-Carnegie Hill                                              ,123524,159.0,D6-ELEVATOR,3830555.0,8.0
1-01294-0033,"{'latitude': '40.762528939566', 'longitude': '-73.970223633118', 'human_address': '{""address"": ""480 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",375239,35100000.0,170.0,MIDTOWN EAST,310,11202.0,Midtown-Midtown South                                                      ,297703,154.0,D7-ELEVATOR,7527089.0,5.0
1-00622-0017,"{'latitude': '40.735684176992', 'longitude': '-74.005036388872', 'human_address': '{""address"": ""398 BLEECKER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",5984,1770000.0,190.0,GREENWICH VILLAGE-WEST,19,73.0,West Village                                                               ,7050,170.0,C1-WALK-UP,361000.0,2.0
1-01877-0042,"{'latitude': '40.800925745852', 'longitude': '-73.966935868921', 'human_address': '{""address"": ""234 106 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",66492,6670000.0,96.0,UPPER WEST SIDE (96-116),47,,,64650,104.0,D7-ELEVATOR,1610240.0,
1-02058-0040,"{'latitude': '40.822918413834', 'longitude': '-73.947506758658', 'human_address': '{""address"": ""302 CONVENT AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",59196,2620000.0,48.5,HARLEM-UPPER,37,227.0,Hamilton Heights                                                           ,42860,30.6,D7-ELEVATOR,775416.0,9.0
1-00881-0047,"{'latitude': '40.600569472276', 'longitude': '-74.000142834035', 'human_address': '{""address"": ""160 26 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",31283,8740000.0,171.0,GRAMERCY,69,,,62400,167.0,D9-ELEVATOR,1876000.0,
1-00642-0042,"{'latitude': '40.738759858332', 'longitude': '-74.007797307502', 'human_address': '{""address"": ""92 HORATIO STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",44385,3370000.0,151.0,GREENWICH VILLAGE-WEST,23,79.0,West Village                                                               ,12144,164.0,D1-ELEVATOR,724200.0,2.0
1-00607-0038,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""475 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",62772,,,,34,,,19545,162.0,D7-ELEVATOR,,
1-01066-0063,"{'latitude': '40.641722545841', 'longitude': '-74.015319414721', 'human_address': '{""address"": ""458 57 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10100,1920000.0,168.0,CLINTON,20,,,9690,68.0,C4-WALK-UP,412202.0,
1-01746-0021,"{'latitude': '40.802072129195', 'longitude': '-73.943324911221', 'human_address': '{""address"": ""1831 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",138050,8910000.0,103.0,HARLEM-CENTRAL,133,184.0,East Harlem North                                                          ,105280,104.0,D3-ELEVATOR,2151271.0,11.0
1-00816-0031,"{'latitude': '40.60899778482', 'longitude': '-74.005738924986', 'human_address': '{""address"": ""3 14 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",350000,53800000.0,157.0,MURRAY HILL,272,,,218985,149.0,D6-ELEVATOR,11543598.0,
1-01517-0014,"{'latitude': '40.623305366777', 'longitude': '-74.036793956133', 'human_address': '{""address"": ""123 88 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9860,,,,20,,,9735,221.0,C4-WALK-UP,,
1-01507-0056,"{'latitude': '40.61592035086', 'longitude': '-74.037731701388', 'human_address': '{""address"": ""16 96 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",67704,10800000.0,157.0,UPPER EAST SIDE (79-96),65,,,66731,136.0,D6-ELEVATOR,2309430.0,
1-01232-0061,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""512 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",68072,8760000.0,137.0,UPPER WEST SIDE (79-96),68,,,75144,104.0,D3-ELEVATOR,1880141.0,
1-01376-0051,"{'latitude': '40.765253885315', 'longitude': '-73.970205646677', 'human_address': '{""address"": ""681 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",163787,26800000.0,161.0,UPPER EAST SIDE (59-79),145,11401.0,Upper East Side-Carnegie Hill                                              ,165527,151.0,D6-ELEVATOR,5750346.0,8.0
1-01388-0068,"{'latitude': '40.773617580188', 'longitude': '-73.966185677206', 'human_address': '{""address"": ""927 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",90881,8950000.0,104.0,UPPER EAST SIDE (79-96),97,130.0,Upper East Side-Carnegie Hill                                              ,87192,154.0,D6-ELEVATOR,2160468.0,8.0
1-01870-0004,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""790 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",166617,13000000.0,73.0,UPPER WEST SIDE (96-116),140,,,168140,73.0,D9-ELEVATOR,3477472.0,
1-01170-0023,"{'latitude': '40.629851094217', 'longitude': '-74.03090563455', 'human_address': '{""address"": ""215 78 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",62403,9620000.0,137.0,UPPER WEST SIDE (79-96),86,,,71890,140.0,D1-ELEVATOR,2064827.0,
1-01053-0009,"{'latitude': '40.649668706099', 'longitude': '-74.007248863051', 'human_address': '{""address"": ""453 43 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8450,1580000.0,193.0,CLINTON,20,,,9155,144.0,C4-WALK-UP,322492.0,
1-01141-0039,"{'latitude': '40.636639034869', 'longitude': '-74.031547455314', 'human_address': '{""address"": ""120 70 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",66917,12800000.0,153.0,UPPER WEST SIDE (79-96),61,,,76193,154.0,D3-ELEVATOR,2751520.0,
1-00745-0018,"{'latitude': '40.659653258365', 'longitude': '-73.990547175871', 'human_address': '{""address"": ""331 21 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10500,1340000.0,138.0,CHELSEA,20,,,9545,116.0,C4-WALK-UP,287000.0,
1-01360-9002,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""870 UNITED NATIONS PLAZA"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",443522,61300000.0,158.0,MIDTOWN EAST,275,8603.0,Turtle Bay-East Midtown                                                    ,229973,142.0,D9-ELEVATOR,13163054.0,6.0
1-00422-0060,"{'latitude': '40.722518102483', 'longitude': '-73.989738921154', 'human_address': '{""address"": ""237 ELDRIDGE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",23260,2430000.0,117.0,CHINATOWN,36,3601.0,Chinatown                                                                  ,21320,120.0,C7-WALK-UP,587000.0,3.0
1-00622-0066,"{'latitude': '40.735369414282', 'longitude': '-74.004442836333', 'human_address': '{""address"": ""79 PERRY STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8555,1780000.0,193.0,GREENWICH VILLAGE-WEST,24,73.0,West Village                                                               ,13000,174.0,C1-WALK-UP,362000.0,2.0
1-00510-0037,"{'latitude': '40.724730434675', 'longitude': '-73.996241019425', 'human_address': '{""address"": ""129 CROSBY STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",25244,4330000.0,200.0,SOHO,32,43.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,25480,140.0,D9-ELEVATOR,882728.0,2.0
1-01580-0019,"{'latitude': '40.623169763826', 'longitude': '-74.024283169871', 'human_address': '{""address"": ""531 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9185,1380000.0,152.0,UPPER EAST SIDE (79-96),20,,,9713,158.0,C1-WALK-UP,296509.0,
1-01988-0094,"{'latitude': '40.819099643273', 'longitude': '-73.952616284286', 'human_address': '{""address"": ""513 135 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",13170,534000.0,41.0,HARLEM-WEST,15,,,9185,49.8,C4-WALK-UP,171618.0,
1-01129-0055,"{'latitude': '40.631730047554', 'longitude': '-74.03568125702', 'human_address': '{""address"": ""44 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",118168,16000000.0,146.0,UPPER WEST SIDE (79-96),54,,,104942,168.0,D3-ELEVATOR,3442772.0,
1-01504-0040,"{'latitude': '40.784445417421', 'longitude': '-73.954224694217', 'human_address': '{""address"": ""1172 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",121642,10900000.0,90.0,UPPER EAST SIDE (79-96),41,16001.0,Upper East Side-Carnegie Hill                                              ,113052,149.0,D6-ELEVATOR,2638410.0,8.0
1-00561-0009,"{'latitude': '40.572048953326', 'longitude': '-74.114671535193', 'human_address': '{""address"": ""30 10 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",43010,7510000.0,174.0,GREENWICH VILLAGE-WEST,62,,,45496,163.0,D6-ELEVATOR,1612000.0,
1-02099-0036,"{'latitude': '40.873337880794', 'longitude': '-73.911571077503', 'human_address': '{""address"": ""3681 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",67254,2620000.0,36.6,HARLEM-UPPER,49,237.0,Hamilton Heights                                                           ,60165,27.5,D1-ELEVATOR,931829.0,9.0
1-01207-0015,"{'latitude': '40.618840134606', 'longitude': '-74.038742888383', 'human_address': '{""address"": ""37 93 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",53478,4040000.0,90.0,UPPER WEST SIDE (59-79),61,,,50600,87.0,D9-ELEVATOR,974581.0,
1-00791-0031,"{'latitude': '40.667348194532', 'longitude': '-73.992927906608', 'human_address': '{""address"": ""115 15 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6175,,,,23,,,5005,177.0,C4-WALK-UP,,
1-01977-0037,"{'latitude': '40.792488399634', 'longitude': '-73.844529016073', 'human_address': '{""address"": ""510 123 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",41214,3640000.0,105.0,MORNINGSIDE HEIGHTS,36,,,31878,104.0,D1-ELEVATOR,878572.0,
1-01534-0011,"{'latitude': '40.622681553455', 'longitude': '-74.034183742465', 'human_address': '{""address"": ""215 88 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10715,2160000.0,208.0,UPPER EAST SIDE (59-79),17,,,10925,202.0,C4-WALK-UP,439849.0,
1-00722-0022,"{'latitude': '40.658981699647', 'longitude': '-73.993974144175', 'human_address': '{""address"": ""425 24 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",18700,3520000.0,137.0,CHELSEA,25,,,11838,132.0,D3-ELEVATOR,756000.0,
1-01547-0007,"{'latitude': '40.624951425857', 'longitude': '-74.030079550971', 'human_address': '{""address"": ""311 84 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8878,1430000.0,164.0,UPPER EAST SIDE (79-96),15,,,8825,149.0,C1-WALK-UP,306806.0,
1-02122-0127,"{'latitude': '40.837274831786', 'longitude': '-73.940802701754', 'human_address': '{""address"": ""535 163 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",26650,1170000.0,54.0,WASHINGTON HEIGHTS LOWER,31,,,23380,35.0,C1-WALK-UP,346094.0,
1-00528-0035,"{'latitude': '40.72919107194', 'longitude': '-74.004119080402', 'human_address': '{""address"": ""40 DOWNING STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",36850,2190000.0,191.0,GREENWICH VILLAGE-WEST,16,67.0,West Village                                                               ,6954,72.0,C1-WALK-UP,445249.0,2.0
1-00866-0064,"{'latitude': '40.749497763362', 'longitude': '-73.981716968652', 'human_address': '{""address"": ""220 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",211910,24900000.0,162.0,MURRAY HILL,282,82.0,Murray Hill-Kips Bay                                                       ,310860,159.0,D6-ELEVATOR,5355003.0,5.0
1-01408-0041,"{'latitude': '40.632963565447', 'longitude': '-74.031049685533', 'human_address': '{""address"": ""168 74 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",61051,8390000.0,159.0,UPPER EAST SIDE (79-96),71,,,58325,144.0,D3-ELEVATOR,1801660.0,
1-01542-0014,"{'latitude': '40.628454011378', 'longitude': '-74.028449198324', 'human_address': '{""address"": ""325 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",129350,34600000.0,171.0,UPPER EAST SIDE (79-96),72,,,104209,158.0,D6-ELEVATOR,7435550.0,
1-00518-0014,"{'latitude': '40.727824102456', 'longitude': '-74.002329429564', 'human_address': '{""address"": ""64 MAC DOUGAL STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",13786,3310000.0,189.0,SOHO,24,49.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,11826,163.0,C4-WALK-UP,674908.0,2.0
1-01586-0035,"{'latitude': '40.618689289016', 'longitude': '-74.027302654056', 'human_address': '{""address"": ""530 90 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",71000,8030000.0,119.0,UPPER EAST SIDE (79-96),74,,,53130,135.0,D7-ELEVATOR,1937925.0,
1-01410-0069,"{'latitude': '40.773428722562', 'longitude': '-73.961967856889', 'human_address': '{""address"": ""829 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",103360,12300000.0,119.0,UPPER EAST SIDE (59-79),111,128.0,Upper East Side-Carnegie Hill                                              ,104440,154.0,D6-ELEVATOR,2969207.0,8.0
