gi_id,bbl,tree_latin,constructed_date,status_gro,row_onsite,asset_y_co,constructi,asset_area,asset_type,asset_leng,program_ar,dep_contra,sewer_type,:@computed_region_92fq_4b7q
2414a,3042770020.0,No Tree,2021-07-21T00:00:00.000,Constructed,ROW,183618.62,53320022-04,49.5,ROWB,11.0,Right of Way (ROW),GK26W5-04,Combined,25
RG-1A,1016960100.0,,2018-11-01T00:00:00.000,Constructed,Onsite,225925.0,,198.34,Rain Garden,0.0,Public Onsite,BEPA_CPI_18,Combined,35
127A,2044530005.0,No Tree,2020-10-22T00:00:00.000,Constructed,ROW,253108.65,GXHP07-03,80.0,ROWB,20.0,Right of Way (ROW),GXHP07-03,Combined,12
1313g,3044860001.0,No Tree,2021-05-06T00:00:00.000,Constructed,ROW,182607.86,53320022-03,90.0,ROWB,15.0,Right of Way (ROW),GK26W5-06,Combined,25
230b,3029900012.0,No Tree,2016-08-25T00:00:00.000,Constructed,ROW,198591.6,GKNC15-02,40.0,ROWB,10.0,Right of Way (ROW),GKNC15-02,Combined,30
1203A,4050020087.0,Ginkgo biloba,2019-10-21T00:00:00.000,Constructed,ROW,217875.172,GCTI11-02,40.0,ROWB,10.0,Right of Way (ROW),GQTI11-03,Combined,3
IB2482d,4054090026.0,No Tree,2022-08-31T00:00:00.000,Constructed,ROW,215480.78,GCTI10-1B,71.5,ROW Infiltration Basin with Grass Top,13.0,Right of Way (ROW),GQTI10-01,Combined,3
CLIN-06SRa,1016330001.0,,,Final Design,Onsite,228041.14,,2145.0,Subsurface Storage,67.2,Public Onsite,GM-H-CLIN,Combined,35
2-IB43a,3018100042.0,No Tree,2022-07-16T00:00:00.000,Constructed,ROW,189866.0721,GNCB14-2A,120.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GKNC14-06,Combined,49
473d,3032710039.0,Other (See notes),2016-08-25T00:00:00.000,Constructed,ROW,195658.1,GKNC15-02,100.0,ROWB,20.0,Right of Way (ROW),GKNC15-02,Combined,37
IB92033D,4048720124.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,220152.58,GQTI03-23,76.5,ROW Infiltration Basin with Grass Top,17.0,Right of Way (ROW),GQTI23-01,Combined,20
2447A,4090990139.0,No Tree,2021-05-14T00:00:00.000,Constructed,ROW,187678.303,53320022-05,64.0,ROWB,16.0,Right of Way (ROW),GK26W5-05,Combined,41
IB8b,4091670001.0,No Tree,2021-05-06T00:00:00.000,Constructed,ROW,187175.61,53320022-03,70.0,ROW Infiltration Basin with Concrete Top,14.0,Right of Way (ROW),GK26W5-06,Combined,41
4142C,2046240001.0,No Tree,2020-10-22T00:00:00.000,Constructed,ROW,257630.43,GXHP07-02,95.0,ROWRG,19.0,Right of Way (ROW),GXHP07-02,Combined,2
PP7036-1,3062850001.0,,,Final Design,ROW,161476.694,GKOH15-04,454.0,ROW Porous Concrete,227.0,Right of Way (ROW),GKOH15-04,Combined,45
IB6099D,3081280016.0,No Tree,2025-03-13T00:00:00.000,Constructed,ROW,175227.6823,GKCI05-3A,44.0,ROW Infiltration Basin with Concrete Top,11.0,Right of Way (ROW),GKCI05-03,Combined,25
IB1200c,4067920001.0,No Tree,2021-10-31T00:00:00.000,Constructed,ROW,205412.85,GCTI10-4B,75.0,ROW Infiltration Basin with Concrete Top,15.0,Right of Way (ROW),GQTI10-04,Combined,24
