severity,infraction_code5,violation_description,infraction_code1,penality_imposed,amount_paid,section_law_description1,isn_dob_bis_extract,hearing_time,nan with block,172 with block,244 with block,BQ7 with block
Non-Hazardous,,WORK WITHOUT A PERMIT WORK NOTED: HAVING CONVERTED ONE CAR GARAGE TO STORAGE AND ONE BED ROOM AT FRONT OF BUILDING . OPENING CREATED IN SIDEWALL OF GARAGE CREATING (1) ENTRANCE FROM GARAGE TO BASEMENT AREA.,B04,250,250,27-147                                                                      WORK WITHOUT A PERMIT,1423671,1030,7905.0,,,
CLASS - 2,,"28-104.7.1 PLANS FAIL TO COMPLY W/ CERTIFICATE OF OCCUPANCY (C OF O),APPLICABLE SECTION OF BLDG CODE(BC) & ADMIN CODE(AC) FOR PROFESSIONALLYCERTIFIED JOB APPLICATION#402234239,AN ALT2 APPLICATION FOR ""INTERIOR",206,800,400,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,1158972,830,1429.0,,,
CLASS - 2,,"ROOF LEAKS. LOCATION. (1) CORRIDOR @ 309 (2) RM 308 (3) RM 309 (4) RM 310 (5) RM 307. REMEDY: REPAIR ROOF, PREVENT LEAKS",204,0,0,28-302.1                                                                    FAILURE TO MAINTAIN BLDG WALL(S) OR APPURTENANCES,393176,830,3097.0,,,
CLASS - 2,,08V1.051.70Z9 05B CAR GATE SLAMMING SHUT 70Z PIT FLOODED,251,250,250,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,591,1030,8716.0,,,
CLASS - 2,,WORK W/O A PERMIT: NOTE CONSTRUCTION OF A MASONRY EXTENSION APPROX 9FT HIGH 10FT DEEP AT REAR. REMEDY: OBTAIN A PERMIT IF FEASIBLE OR RESTORE THE PREMISES TO PRIOR LEGAL CONDITION.,201,0,0,28-105.1                                                                    WORK WITHOUT A PERMIT,18642,1030,1203.0,,,
CLASS - 2,,WORK DOES NOT CONFORM TO APPROVED CONSTRUCTION DOCUMENTS OR APPROVED AMENDMENTS. NOTED SUPPORTED SCAFFOLD AT EXPOSURE # 1 IS 2' WIDE WITH NO OUTRIGGER BEAMS APPROVED PLANS SHOW 3'WIDE WITH OUTRIGGER BEAMS.,282,0,0,28-105.12.2                                                                 WRK DOESN'T CONFORM TO APPROV DOCS AND/OR APPROV AMENDMENTS,27206,1030,123.0,,,
CLASS - 1,,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34431124H ISSUED ON 2/27/04. AT TIME OF INSPECTION, CERTIFICATION STATUS W/OVERDUE COMPLIA",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1706388,830,10715.0,,,
CLASS - 1,,UNLAWFUL ACTS. FAILURE TO COMPLY WITH THE COMMISSIONER'S ORDER TO FILE A CERTIFICATE OF CORRECTION WITH THE DEPT OF BUILDINGS FOR NOTICE OF VIOLATION #34477562L/040805C07TG04. REMEDY: COMPLY WITH THE COMMISSION,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1704308,1030,4541.0,,,
CLASS - 1,,FAILURE TO COMPLY W/COMM'S ORDER TO CORRECT VIO #34682703Z FOR WORK W/O PERMIT 1ST FLR ILLEGAL PLUMBING & PARTITIONS & SUBDIVIDE. NO RECORD OF CORRECTION. REMEDY: COMPLY W/COMM'S ORDER & OBTAIN PERMIT.,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705081,830,11104.0,,,
CLASS - 2,,SEC 28-105.11 MISC VIOL: FAIL TO POST PERMIT AS REQUIRED. NOTED: SIDEWALK SHED AT EXP 1 UNDER PMT 120198516. THERE IS NO PERMIT POSTED FOR THE SHED. REMEDY: POST/PROVIDE PERMIT AS REQUIRED.,206,800,800,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,20186,830,1590.0,,,
Hazardous,,RESIDENCE ALTERED FOR OCCUPANCY AS A DWELLING FOR MORE THAN THE LEGALLY APPROVED NUMBER OF FAMILY. DEPT OF BUILDING RECORDS C/O #133057 INDICATES RESIDENCE TO BE LEGALLY APPROVED FOR A 2 FAMILY. ALTERATION WORK,BQ5,3050,3198,27-118.1                                                                    RESIDENCE ALTERED FOR OCCUPANCY BY MORE THAN LEGALLY APPROVED NUM,1728365,1030,,,,13053.0
