payment_id,contract_id_,revised_contract_start_date,payment_recipient,project_status,stimulus_funding,award_lead_city_agency,contract_value,contract_method,funding_source,revised_contract_end_date,actual_completion_date,_of_funds_spent,project_lead_city_agency,stimulus_tracker_id,payment_description
13829.0,7105781,,INGRAM LIBRARY SERVS INC.               ,Less than 50% completed,316603358.0,DOE,110000000.0,Competitive Sealed Bid,Special Education (IDEA),,,0.0,DOE,501002.0,TRADE BOOKS                             
9135.0,9011745-0001,,"LAKHI GENERAL CONTRACTORS, INC.",Completed 50% or more,2103295.0,NYCHA,2103295.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,9.26,NYCHA,109033.0,EXTERIOR BRICK & ROOF REPLACEMENT
,841 BRC270C/P,,,Less than 50% completed,30000000.0,DOT,508612678.0,Competitive Sealed Bid,Surface Transportation Program,,,0.0,DOT,101002.0,
,,,,Less than 50% completed,339374.0,NYCHA,,,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109068.0,
1768.0,291,,BROOKLYN SECTION NATIONAL COUNCIL FOR JEWISH WOMEN,Fully Completed,1903336.0,DFTA,460875.0,Funding Action,Nutrition Programs for the Elderly (Congregate Meals),,2010-04-15T00:00:00.000,0.61,DFTA,401002.0, raw/catered food and disposables 
,,,,Not Started,0.0,OPS,,,Surface Transportation Program - Displaced City Funding*,,,0.0,DDC,103010.0,
3540.0,9010793,,P.C. RICHARD & SON,Less than 50% completed,23724959.81,NYCHA,22064000.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.1,NYCHA,109004.0,ENERGY EFFICIENT REFRIGERATORS
2518.0,107016A,,YWCA of the City of New York (Main Branch),Completed 50% or more,5800000.0,DYCD,1242422.0,Competitive Sealed Proposal (RFP),Community Services Block Grant (CSBG) ARRA Funds,2011-08-31T00:00:00.000,,0.04,DYCD,414006.0,AUG PYMT
217.0,201000171128,,Church Avenue Merchants Block Association (CAMBA),Completed 50% or more,5689013.0,OMB,11753960.0,Competitive Sealed Proposal (RFP),Community Development Block Grant (CDBG),2010-06-30T00:00:00.000,,7.96,DHS,703002.0,"Shelter Services for Single, Homeless Adults"
102.0,,,SBS,Completed 50% or more,9941858.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.07,SBS,301005.0,PS
,841 BRC270C/P,,,Less than 50% completed,30000000.0,DOT,508612678.0,Competitive Sealed Bid,Surface Transportation Program,,,0.0,DOT,101002.0,
9737.0,20100001452,2009-07-01T00:00:00.000,Urban Strategies,Less than 50% completed,11837352.0,ACS,1695384.0,Negotiated Acquisition,Child Care and Development Block Grant,2010-06-30T00:00:00.000,2010-06-30T00:00:00.000,0.56,ACS,414011.0,Funding allocated to re-open pre-school classrooms previously assigned to be closed.
,,,,Completed 50% or more,4598107.0,DYCD,,,Community Services Block Grant (CSBG) ARRA Funds,,,0.0,DYCD,414004.0,
14847.0,,,,Less than 50% completed,97260106.0,DOE,,,State Fiscal Stabilization Fund - Government Services: School-Based Jobs Recovery,,,0.0,DOE,501005.0,Personal Service
3054.0,9010866,,P.C. RICHARD & SON,Less than 50% completed,23724959.81,NYCHA,,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.1,NYCHA,109004.0,ENERGY EFFICIENT REFRIGERATORS
,,,,Completed 50% or more,6475467.98,NYCHA,,,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109012.0,
14871.0,B075108,,"TEQUIPMENT, INCORPORATED                ",Less than 50% completed,14713215.0,DOE,2200000.0,Competitive Sealed Bid,State Fiscal Stabilization Fund - Government Services: Teacher Center,,,0.04,DOE,501006.0,INTERACTIVE WHITE BOARDS                
,,,,Less than 50% completed,21320000.0,NYCHA,,,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109003.0,
9874.0,B023002,,KLEAR-VIEW APPLIANCE CORP               ,Less than 50% completed,707717837.0,DOE,2348250.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,WINDOW AIR CONDITION FURNISH AND INSTALL
13601.0,7105781,,INGRAM LIBRARY SERVS INC.               ,Less than 50% completed,316603358.0,DOE,110000000.0,Competitive Sealed Bid,Special Education (IDEA),,,0.0,DOE,501002.0,TRADE BOOKS                             
