address_1,alert_meter_has_gaps,energy_star_certification_5,district_chilled_water_use,other_weekly_operating_hours,residence_hall_dormitory,green_power_onsite_kwh,avoided_emissions_offsite,multifamily_housing_gross,retail_store_percent_that,laboratory_gross_floor_area,generation_date,multifamily_housing_number_1,retail_store_walk_in,convenience_store_without,college_university_number,green_power_offsite_kwh,national_median_total_ghg,fuel_oil_no_5_and_no_6_cost,estimated_data_flag_district,fuel_oil_no_4_cost,hotel_gross_floor_area_ft,financial_office_gross_floor,financial_office_weekly,enclosed_mall_gross_floor,electricity_use_generated,office_computer_density_number,municipally_supplied_potable_2,postcode,diesel_2_use_kbtu,propane_use_kbtu,egrid_output_emissions_rate,museum_gross_floor_area_ft,percent_of_total_electricity,energy_cost_intensity_ft,source_eui_kbtu_ft,latitude,indirect_ghg_emissions_metric,other_number_of_computers,water_use_all_water_sources,site_eui_kbtu_ft,medical_office_weekly,parking_gross_floor_area,retail_store_number_of_open,district_hot_water_use_kbtu,veterinary_office_gross_floor,hospital_general_medical_10,date_property_last_modified,multifamily_housing_number_2,alert_gross_floor_area_is,weather_normalized_source_1,energy_star_certification_4,city,office_number_of_computers,number_of_buildings,percent_of_recs_retained,national_median_source_energy,adult_education_gross_floor,refrigerated_warehouse_gross,hotel_gym_fitness_center,weather_normalized_site_2
67-10 190 Lane,Ok,No,Not Available,Not Available,Not Available,Not Available,0,25000,Not Available,Not Available,2015-04-24T12:08:25.000,Not Available,Not Available,Not Available,Not Available,0,129.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,82.9,Not Available,Not Available,2.44,331.9,40.736984,77.2,Not Available,Not Available,242,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:41 PM EDT,Not Available,Ok,8307886.9,Not Available,Fresh Meadows,Not Available,1,Not Available,3081332.2,Not Available,Not Available,Not Available,51196.8
251 West 39th Street,Ok,No,Not Available,52.8,Not Available,Not Available,Not Available,Not Available,30,Not Available,2015-05-01T21:47:12.000,Not Available,0,Not Available,Not Available,Not Available,1661.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.69381,Not Available,10018,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.754746,Not Available,18,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,05/01/2015 08:35 PM EDT,Not Available,Ok,Not Available,Not Available,New York,52,1,Not Available,13654123,Not Available,Not Available,Not Available,Not Available
57 E 11th St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-22T15:14:37.000,Not Available,0,Not Available,Not Available,0,513.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.44735,Not Available,10003,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,127.9,40.732925,110.2,Not Available,Not Available,75.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,6853693.4,Not Available,New York,162.85,1,Not Available,11343413.9,Not Available,Not Available,Not Available,649.5
767 Fifth Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-17T07:50:23.000,Not Available,0,Not Available,Not Available,0,19224.3,Not Available,No,Not Available,Not Available,558809,79.73,Not Available,Not Available,2.19065,57218.1,10153,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,296.8,40.76402,19018.3,Not Available,57218.1,136.5,Not Available,41386,4,Not Available,Not Available,Not Available,12/30/2014 10:06 AM EST,Not Available,Ok,549958519.5,Not Available,New York,2632,1,Not Available,559478373.4,Not Available,Not Available,Not Available,Not Available
2315 University Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,49000,Not Available,Not Available,2015-05-18T14:10:59.000,Not Available,Not Available,Not Available,Not Available,0,364.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10468,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,168.8,40.861069,51.9,Not Available,Not Available,139.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,7984851.4,Not Available,Bronx,Not Available,1,Not Available,5869389.8,Not Available,Not Available,Not Available,3579.9
666 GREENWICH STREET,Ok,No,Not Available,Not Available,Not Available,Not Available,0,568757,Not Available,Not Available,2015-04-30T15:18:21.000,Not Available,Not Available,Not Available,Not Available,0,3309.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.62307,Not Available,10014,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,141.6,40.732234,1910.5,Not Available,0,64.2,Not Available,13513,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,76,Ok,89455150.9,Not Available,NEW YORK,146,1,Not Available,102523997.9,Not Available,Not Available,Not Available,150894.8
700 Columbus Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,472477,Not Available,Not Available,2015-04-30T14:10:00.000,0,Not Available,Not Available,Not Available,0,2558,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10025,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,66.3,40.7917,994,Not Available,Not Available,44.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/24/2015 01:51 PM EDT,10,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,57747053.1,Not Available,Not Available,Not Available,66400.4
531-539 West 21st street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T15:24:12.000,Not Available,Not Available,Not Available,Not Available,0,136.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10011,Not Available,Not Available,82.9,Not Available,Not Available,0.68,40.5,40.746918,78.9,Not Available,26.9,18,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,3647710.3,Not Available,New York,Not Available,1,Not Available,4376258.2,Not Available,Not Available,Not Available,6273.2
250 East 40th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,242239,100,Not Available,2015-07-31T14:52:07.000,0,0,Not Available,Not Available,0,1192,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10016,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,163.3,40.748664,1430.9,Not Available,Not Available,85,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,16,Ok,40095844.9,Not Available,New York,Not Available,1,Not Available,31982547.1,Not Available,Not Available,Not Available,17052.9
29 Tiffany Place,Ok,No,Not Available,Not Available,Not Available,Not Available,0,83954,Not Available,Not Available,2015-04-30T14:09:46.000,0,Not Available,Not Available,Not Available,0,483.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11231,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,140.5,40.686967,152.6,Not Available,3971.6,90.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,4,Ok,11599871.3,Not Available,Brooklyn,Not Available,1,Not Available,12477665.4,Not Available,Not Available,Not Available,55368.5
221-07 64 AVE,Ok,No,Not Available,Not Available,Not Available,Not Available,0,14900,Not Available,Not Available,2015-04-30T11:04:37.000,Not Available,Not Available,Not Available,Not Available,0,80.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11364,Not Available,Not Available,82.9,Not Available,Not Available,0,155.5,40.747411,20.7,Not Available,Not Available,114.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/28/2015 02:49 PM EDT,Not Available,Ok,2278491.5,Not Available,Oakland Gardens,Not Available,1,Not Available,1906159.8,Not Available,Not Available,Not Available,14220.3
253 W. 125th St.,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T17:57:09.000,Not Available,Not Available,Not Available,Not Available,0,169,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1063.7,10027,Not Available,Not Available,82.9,Not Available,Not Available,1.5,183.8,40.809778,255.4,Not Available,1063.7,79.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,11487335.4,Not Available,New York,Not Available,1,Not Available,5480937,Not Available,Not Available,Not Available,17298.8
225-19 69 AVENUE,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,10875,Not Available,Not Available,2015-04-30T11:04:39.000,Not Available,Not Available,Not Available,Not Available,Not Available,42.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11364,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.744564,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/29/2015 12:45 PM EDT,Not Available,Ok,Not Available,Not Available,Oakland Gardens,Not Available,1,Not Available,1391240.8,Not Available,Not Available,Not Available,11920
225 Liberty Street,Ok,No,48469803,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-20T11:13:08.000,Not Available,Not Available,Not Available,Not Available,0,19363.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.19987,18444,10281,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,191.3,40.711537,14211.1,Not Available,18444,93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:16 PM EDT,Not Available,Ok,409210476.1,Not Available,New York,4749,1,Not Available,562686912.3,Not Available,Not Available,Not Available,Not Available
222 East 41st St.,Ok,Yes,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-03-19T16:49:46.000,Not Available,Not Available,Not Available,Not Available,0,3493.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.6619,4928.3,10017,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,196.8,40.749597,2233.7,Not Available,4928.3,73.5,Not Available,6464,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:16 PM EDT,Not Available,Ok,74674094,Not Available,NY,1793,1,Not Available,118411238.9,Not Available,Not Available,Not Available,Not Available
1665 Andrews Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,63828,Not Available,Not Available,2015-04-27T14:21:03.000,0,Not Available,Not Available,Not Available,0,409.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3537.4,10453,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,81.3,40.848568,74.4,Not Available,3537.4,53.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/16/2015 12:43 PM EDT,0,Ok,5907837.5,Not Available,Bronx,Not Available,1,Not Available,10403956.5,Not Available,Not Available,Not Available,29433.7
795 Garden Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,87642,Not Available,Not Available,2015-04-30T16:26:11.000,0,Not Available,Not Available,Not Available,0,694.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6866.1,10460,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,116.6,40.849259,84,Not Available,6866.1,90.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/30/2015 01:55 PM EDT,0,Ok,9940278,Not Available,Bronx,Not Available,1,Not Available,12547992.7,Not Available,Not Available,Not Available,17232
650 Fifth Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-05-01T11:50:23.000,Not Available,0,Not Available,Not Available,0,3269.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.23199,Not Available,10019,Not Available,Not Available,82.9,Not Available,Not Available,2.39,198.7,40.759789,2490.4,Not Available,4275.1,83,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:17 PM EDT,Not Available,Ok,77194613.8,Not Available,New York,1522,1,Not Available,102257871.1,Not Available,Not Available,Not Available,Not Available
118 W 79 Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,104238,Not Available,Not Available,2015-04-30T14:09:38.000,41,Not Available,Not Available,Not Available,0,583.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10024,Not Available,Not Available,82.9,Not Available,Not Available,0,92,40.782279,114.2,Not Available,3476.9,61.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/14/2015 05:23 PM EDT,3,Ok,9571857.4,Not Available,New York,Not Available,1,Not Available,14697306.2,Not Available,Not Available,Not Available,50153.8
160 E 34th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T09:36:32.000,Not Available,Not Available,Not Available,Not Available,0,1405.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4387.2,10016,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,503.9,40.746104,1724.2,Not Available,4387.2,184.9,126,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:17 PM EDT,Not Available,Ok,58657018.1,Not Available,New York,Not Available,1,Not Available,48240948.7,Not Available,Not Available,Not Available,Not Available
430 E 67 St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T08:28:31.000,Not Available,Not Available,Not Available,Not Available,0,1417.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10065,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,932.3,40.764263,10736.4,Not Available,Not Available,441.4,Not Available,67864,Not Available,Not Available,Not Available,Not Available,11/26/2014 02:11 PM EST,Not Available,Ok,302636886.9,Not Available,New York,Not Available,1,Not Available,40382838.2,Not Available,Not Available,Not Available,Not Available
107 ARLO RD ENT,Ok,No,Not Available,Not Available,Not Available,Not Available,0,39667,Not Available,Not Available,2015-04-30T16:29:36.000,0,Not Available,Not Available,Not Available,0,201.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10301,Not Available,Not Available,82.9,Not Available,Not Available,1.53,221.9,40.620222,42.8,Not Available,Not Available,185.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:43 PM EDT,0,Ok,8648280.4,Not Available,Staten Island,Not Available,1,Not Available,4374503,Not Available,Not Available,Not Available,66924.9
162 Fifth Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T11:55:01.000,Not Available,Not Available,Not Available,Not Available,0,620.3,Not Available,Not Available,Not Available,Not Available,13500,55,Not Available,Not Available,3.35865,886.3,10010,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.740358,577.8,Not Available,886.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,Not Available,Not Available,New York,398,1,Not Available,19542638.3,Not Available,Not Available,Not Available,92.9
891 Park Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,27040,Not Available,Not Available,2015-07-31T14:52:40.000,16,Not Available,Not Available,Not Available,0,178,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10075,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,125,40.775292,41.4,Not Available,Not Available,84.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,4,Ok,3295064.2,Not Available,New York,Not Available,1,Not Available,3459232.3,Not Available,Not Available,Not Available,301.2
Kings Highway Division,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T10:32:15.000,Not Available,Not Available,Not Available,Not Available,0,2414.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11234,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,287,,849.4,Not Available,Not Available,117.9,Not Available,Not Available,Not Available,Not Available,Not Available,No,09/03/2014 11:18 PM EDT,Not Available,Ok,37386977.4,Not Available,Brooklyn,Not Available,4,Not Available,80658903.4,Not Available,Not Available,Not Available,49877.1
250 Fort Washington Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,51600,Not Available,Not Available,2015-05-18T14:10:52.000,0,Not Available,Not Available,Not Available,0,289.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10032,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,128,40.843619,54.6,Not Available,Not Available,96.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,12,Ok,6342973.1,Not Available,New York,Not Available,1,Not Available,6723191.9,Not Available,Not Available,Not Available,40728
163 East 81st Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,65721,Not Available,Not Available,2015-07-31T14:52:21.000,86,Not Available,Not Available,Not Available,0,457.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10028,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,103.3,40.776005,66.9,Not Available,Not Available,76.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,5,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,8214362.4,Not Available,Not Available,Not Available,2540
90 8 Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,73400,Not Available,Not Available,2015-04-30T14:10:03.000,0,Not Available,Not Available,Not Available,0,526.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3402.5,11215,Not Available,Not Available,82.9,Not Available,Not Available,0,111.6,40.673073,81.4,Not Available,3402.5,80.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,4,Ok,7659570.2,Not Available,Brooklyn,Not Available,1,Not Available,11785448.6,Not Available,Not Available,Not Available,36269.9
500 8th Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-28T17:05:08.000,Not Available,0,Not Available,Not Available,0,1006.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.72134,Not Available,10018,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,170.9,40.752943,860.3,Not Available,Not Available,75.7,Not Available,Not Available,3,Not Available,Not Available,Not Available,04/23/2015 05:14 PM EDT,Not Available,Ok,40193011.2,Not Available,New York,146,1,Not Available,28826574.6,Not Available,Not Available,Not Available,4030
411 East 57th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,125264,Not Available,Not Available,2015-07-31T14:52:11.000,10,Not Available,Not Available,Not Available,0,649.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10022,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,142.1,40.758108,691.3,Not Available,Not Available,78.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,16,Ok,17410207,Not Available,New York,Not Available,1,Not Available,16526324.1,Not Available,Not Available,Not Available,1525.1
155-165 E. Mosholu Pkwy N,Ok,No,Not Available,Not Available,Not Available,Not Available,0,106500,Not Available,Not Available,2015-05-18T14:11:00.000,0,Not Available,Not Available,Not Available,0,867.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10467,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,117.7,40.87606,104.2,Not Available,Not Available,91.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,0,Ok,12044148.7,Not Available,Bronx,Not Available,1,Not Available,14892668.7,Not Available,Not Available,Not Available,5816.8
1541-1551 Williamsbridge Rd.,Ok,No,Not Available,Not Available,Not Available,Not Available,0,107340,Not Available,Not Available,2015-05-18T14:10:47.000,0,Not Available,Not Available,Not Available,0,641.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10461,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,136.8,40.845856,125.4,Not Available,Not Available,102.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,13,Ok,13605380.1,Not Available,New York,Not Available,1,Not Available,14405200.6,Not Available,Not Available,Not Available,74234.1
115 East 9th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,237037,70,Not Available,2015-07-31T14:52:03.000,0,0.05556,Not Available,Not Available,0,2173,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12466.3,10003,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,91.9,40.730345,187,Not Available,12466.3,72.3,Not Available,20000,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,18,Ok,22268325.1,Not Available,New York,Not Available,1,Not Available,36192028.1,Not Available,Not Available,Not Available,Not Available
42 Broadway,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-26T12:41:39.000,Not Available,Not Available,Not Available,Not Available,0,3365.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Not Available,10006,Not Available,Not Available,82.9,Not Available,Not Available,0.89,236.1,40.70627,2070.5,Not Available,Not Available,98.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 08:31 PM EDT,Not Available,Ok,91653489.9,Not Available,New York,779.83,1,Not Available,100768207.8,Not Available,Not Available,Not Available,Not Available
225 Park Ave South,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-21T16:26:46.000,Not Available,Not Available,Not Available,Not Available,0,6081,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.34783,Not Available,10003,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,187,40.737366,2579.6,Not Available,16341.5,80.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/16/2015 11:05 AM EDT,Not Available,Ok,112836258.3,Not Available,New York,2500,1,Not Available,181045595.7,Not Available,Not Available,Not Available,33227.1
44 West 62nd Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,208567,100,Not Available,2015-07-31T14:52:33.000,30,0,Not Available,Not Available,0,1093,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.1978,Not Available,10023,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,164.5,40.770755,1385.1,Not Available,Not Available,92.5,Not Available,33380,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,7,Ok,34207231.1,Not Available,New York,3,1,Not Available,27350962.5,Not Available,Not Available,Not Available,3805.3
330 W 34th St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-30T19:13:23.000,Not Available,0,Not Available,Not Available,0,7199.3,419249.33,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.41243,4515.4,10001,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,83,40.752619,899.1,Not Available,4515.4,46.2,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,51691713.2,Not Available,New York,1500,1,Not Available,165532733.3,Not Available,Not Available,Not Available,25
4411 Broadway,Ok,No,Not Available,Not Available,Not Available,Not Available,0,85000,Not Available,Not Available,2015-04-14T10:47:29.000,Not Available,Not Available,Not Available,Not Available,0,558.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10040,Not Available,Not Available,82.9,Not Available,Not Available,0.47,17.7,40.855513,15.7,Not Available,Not Available,12.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/08/2015 09:09 AM EDT,Not Available,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,10181594.5,Not Available,Not Available,Not Available,38.7
121 EAST 24TH STREET,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-27T21:02:59.000,Not Available,Not Available,Not Available,Not Available,0,495.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.20003,Not Available,10010,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,128.4,40.740448,155.3,Not Available,1197,64.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,Not Available,Not Available,NEW YORK,70,1,Not Available,12485413.1,Not Available,Not Available,Not Available,Not Available
603 West 148th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,55454,Not Available,Not Available,2015-04-29T11:36:44.000,92,Not Available,Not Available,Not Available,0,317.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10031,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,134.4,40.828615,128.6,Not Available,Not Available,81.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,0,Ok,8693305.2,Not Available,New York,Not Available,1,Not Available,8523914.8,Not Available,Not Available,Not Available,36429.2
1025 Gerard Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,59446,Not Available,Not Available,2015-04-30T16:26:12.000,0,Not Available,Not Available,Not Available,0,411.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5642.3,10452,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,116.9,40.830975,62.1,Not Available,5642.3,88,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,0,Ok,6948650.7,Not Available,Bronx,Not Available,1,Not Available,7969312.5,Not Available,Not Available,Not Available,17082
930 Saint Nicholas Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,52550,Not Available,Not Available,2015-05-01T17:22:03.000,0,Not Available,Not Available,Not Available,0,244.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10032,Not Available,Not Available,82.9,Not Available,Not Available,0,49.5,40.832015,61.6,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/03/2015 03:47 PM EST,6,Ok,2591038.5,Not Available,New York,Not Available,1,Not Available,8454432.5,Not Available,Not Available,Not Available,2549
1535 East 14th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,78000,Not Available,Not Available,2015-05-29T15:19:32.000,Not Available,Not Available,Not Available,Not Available,0,370.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11230,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,102.8,40.611852,89.9,Not Available,Not Available,70.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,7830034.2,Not Available,Brooklyn,Not Available,1,Not Available,9190219.4,Not Available,Not Available,Not Available,42434.6
40 W 225TH ST #50,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-06-02T16:51:24.000,Not Available,0.04458,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,335.5,10463,Not Available,Not Available,82.9,Not Available,Not Available,3.93,263.4,40.873644,989.5,Not Available,335.5,99.6,Not Available,216000,49,Not Available,Not Available,Not Available,09/03/2014 11:17 PM EDT,Not Available,Ok,41163233.2,Not Available,BRONX,Not Available,1,Not Available,Not Available,Not Available,Not Available,Not Available,33342.2
