unnamed_column_1,q24_in_how_many_of_your_1,q33_i_feel_like_i_belong_1,q36_my_teachers_treat_me,q30_there_is_at_least_one,q42_in_how_many_of_your,q34_my_teachers_will_always,q49_i_feel_safe_in_my_classes_1,q4_my_teachers_use_examples,q32_there_is_time_at_school,q15_during_this_school_year_1,q49_i_feel_safe_in_my_classes,q54_at_this_school_students_1,q29_my_school_expects_all_1,q11_during_this_school_year,q14_during_this_school_year,q16_during_this_school_year_1,q59_if_you_are_a_student_1,q10_i_am_presented_with,q12_during_this_school_year,q35_my_teachers_always_do_1,q44_in_how_many_of_your_1,q5_i_see_people_of_many_races_1,q47_i_feel_safe_traveling,q55_at_this_school_students,q50_at_this_school_students_1,q53_at_this_school_students_1,q64_if_you_are_a_student_1,q63_if_you_are_a_student_1,q3_my_school_encourages_and,q19_in_how_many_of_your_1,q58_if_you_are_a_student_1,q38_when_my_teachers_tell,q6_at_this_school_we_have_1,q35_my_teachers_always_do,q15_during_this_school_year,q43_in_how_many_of_your_1,q18_in_how_many_of_your_1,q8_i_feel_that_my_teachers_1,q26_in_how_many_of_your,q13_during_this_school_year,q13_during_this_school_year_1,q41_in_how_many_of_your,q24_in_how_many_of_your,q23_in_how_many_of_your,q37_most_students_treat,q36_my_teachers_treat_me_1,unnamed_column_2,q5_i_see_people_of_many_races,q20_in_how_many_of_your
Satellite Academy High School,0.71,0.88,0.06,0.0,0.75,0.06,1.0,0.13,0.13,0.76,0.0,0.06,0.94,0.24,0.41,0.76,0.94,0.06,0.18,0.88,0.31,0.93,0.0,0.94,0.06,0.06,1.0,1.0,0.12,0.82,,0.12,0.87,0.12,0.24,0.25,0.88,0.94,0.18,0.25,0.75,0.63,0.29,0.19,0.06,0.94,0.1,0.07,0.29
Eximius College Preparatory Academy: A College Board School,0.6,0.74,0.02,0.2,0.52,0.1,0.97,0.14,0.35,0.79,0.03,0.23,0.95,0.36,0.2,0.55,0.77,0.08,0.09,0.84,0.49,0.91,0.16,0.81,0.3,0.2,0.69,0.87,0.08,0.75,,0.13,0.88,0.16,0.21,0.41,0.82,0.95,0.35,0.3,0.7,0.46,0.4,0.29,0.11,0.98,0.44,0.09,0.29
Harlem Children's Zone Promise Academy II Charter School,0.67,0.87,0.04,0.14,0.39,0.15,0.95,0.13,0.31,0.7,0.05,0.34,0.97,0.26,0.22,0.47,0.96,0.06,0.08,0.73,0.58,0.91,0.13,0.85,0.43,0.39,0.94,0.96,0.09,0.82,0.84,0.15,0.93,0.27,0.3,0.54,0.84,0.98,0.25,0.25,0.75,0.41,0.33,0.26,0.11,0.96,0.64,0.09,0.24
Humanities Preparatory Academy,0.75,0.86,0.01,0.11,0.66,0.01,0.98,0.02,0.18,0.62,0.02,0.02,0.97,0.22,0.4,0.44,0.83,0.01,0.03,0.88,0.7,0.97,0.03,0.92,0.04,0.01,0.88,0.95,0.01,0.74,,0.06,1.0,0.12,0.38,0.44,0.9,0.99,0.15,0.24,0.76,0.49,0.25,0.11,0.01,0.99,0.38,0.03,0.07
East Brooklyn Community High School,0.9,0.94,0.0,0.02,0.43,0.0,1.0,0.02,0.05,0.34,0.0,0.05,1.0,0.09,0.59,0.25,0.95,0.03,0.06,0.95,0.56,0.97,0.11,0.92,0.1,0.05,0.97,0.98,0.03,0.89,,0.02,0.95,0.05,0.66,0.51,0.94,0.97,0.03,0.08,0.92,0.38,0.1,0.05,0.03,1.0,0.44,0.03,0.06
Amistad Dual Language School,0.72,0.9,0.01,0.11,0.54,0.11,0.99,0.11,0.34,0.71,0.01,0.1,0.93,0.21,0.35,0.54,,0.02,0.08,0.84,0.54,0.95,0.09,0.99,0.16,0.07,,,0.04,0.83,0.91,0.11,0.91,0.16,0.29,0.35,0.82,0.98,0.18,0.25,0.75,0.47,0.28,0.2,0.04,0.99,0.97,0.05,0.23
Bronx Park Middle School,0.67,0.87,0.03,0.16,0.54,0.07,0.93,0.1,0.28,0.61,0.07,0.19,0.89,0.19,0.37,0.4,,0.06,0.08,0.89,0.44,0.97,0.2,0.89,0.21,0.18,,,0.04,0.76,0.87,0.08,0.92,0.11,0.39,0.47,0.81,0.91,0.26,0.27,0.73,0.43,0.33,0.22,0.12,0.97,0.41,0.03,0.27
P.S. 071 Rose E. Scala,0.72,0.82,0.03,0.19,0.55,0.09,0.94,0.16,0.46,0.61,0.06,0.37,0.9,0.21,0.32,0.41,,0.08,0.07,0.81,0.67,0.9,0.15,0.9,0.47,0.4,,,0.17,0.89,0.78,0.14,0.65,0.19,0.39,0.35,0.83,0.96,0.23,0.29,0.71,0.49,0.28,0.23,0.14,0.97,0.55,0.1,0.15
Academy of Medical Technology: A College Board School,0.71,0.87,0.02,0.17,0.56,0.08,0.98,0.12,0.3,0.68,0.02,0.26,0.94,0.2,0.31,0.44,0.84,0.09,0.05,0.84,0.45,0.93,0.14,0.85,0.35,0.26,0.77,0.89,0.09,0.83,0.9,0.07,0.8,0.16,0.32,0.41,0.88,0.94,0.2,0.26,0.74,0.47,0.29,0.19,0.12,0.98,0.51,0.07,0.21
Harlem Village Academy East Charter School,0.66,0.78,0.05,0.21,0.5,0.12,0.92,0.14,0.43,0.78,0.08,0.29,0.96,0.32,0.21,0.46,0.87,0.06,0.09,0.75,0.55,0.94,0.25,0.9,0.31,0.27,0.92,0.93,0.1,0.74,0.75,0.15,0.88,0.25,0.22,0.42,0.84,0.96,0.29,0.31,0.69,0.54,0.34,0.25,0.09,0.95,0.38,0.06,0.25
P.S. 209 Margaret Mead,0.72,0.82,0.02,0.2,0.7,0.11,0.95,0.14,0.5,0.42,0.05,0.26,0.91,0.16,0.45,0.32,,0.06,0.09,0.82,0.23,0.93,0.11,0.95,0.24,0.17,,,0.09,0.89,0.84,0.1,0.72,0.18,0.58,0.29,0.81,0.97,0.22,0.24,0.76,0.53,0.28,0.32,0.11,0.98,0.86,0.07,0.21
P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,0.78,0.94,0.04,0.08,0.35,0.04,0.96,0.04,0.12,0.41,0.04,0.2,0.96,0.06,0.49,0.3,,0.04,0.0,0.9,0.58,0.95,0.02,0.98,0.22,0.08,,,0.0,0.92,0.92,0.08,0.95,0.1,0.59,0.51,0.8,0.98,0.14,0.14,0.86,0.39,0.22,0.14,0.08,0.96,0.36,0.05,0.14
"P.S. 279 Captain Manuel Rivera, Jr.",0.79,0.92,0.01,0.13,0.51,0.07,0.93,0.11,0.2,0.63,0.07,0.25,0.94,0.18,0.38,0.44,,0.06,0.05,0.86,0.48,0.95,0.1,0.92,0.33,0.29,,,0.04,0.89,0.95,0.03,0.82,0.14,0.37,0.37,0.9,0.99,0.2,0.21,0.79,0.47,0.21,0.19,0.07,0.99,0.66,0.05,0.15
I.S. 141 The Steinway,0.68,0.9,0.04,0.23,0.48,0.12,0.97,0.16,0.45,0.6,0.03,0.25,0.91,0.18,0.39,0.45,,0.05,0.06,0.84,0.4,0.92,0.09,0.87,0.3,0.24,,,0.09,0.87,0.89,0.11,0.81,0.16,0.4,0.42,0.87,0.97,0.24,0.22,0.78,0.44,0.32,0.28,0.09,0.96,0.81,0.08,0.18
P.S. 121 Nelson A. Rockefeller,0.81,0.91,0.02,0.15,0.51,0.07,1.0,0.13,0.26,0.56,0.0,0.2,0.94,0.17,0.45,0.44,,0.04,0.04,0.85,0.55,0.95,0.05,0.98,0.24,0.19,,,0.02,0.83,0.95,0.1,0.7,0.15,0.44,0.41,0.9,0.99,0.22,0.2,0.8,0.44,0.19,0.16,0.1,0.98,0.88,0.05,0.17
Gaynor McCown Expeditionary Learning School,0.55,0.83,0.03,0.19,0.4,0.1,0.96,0.17,0.35,0.77,0.04,0.2,0.93,0.25,0.28,0.57,0.79,0.06,0.04,0.81,0.55,0.89,0.06,0.84,0.2,0.17,0.82,0.92,0.06,0.73,,0.08,0.78,0.19,0.23,0.52,0.86,0.97,0.33,0.25,0.75,0.39,0.45,0.28,0.04,0.97,0.65,0.11,0.23
P.S. K141,0.75,1.0,0.0,0.08,0.25,0.0,0.86,0.17,0.08,0.42,0.14,0.0,1.0,0.09,0.5,0.42,0.8,0.25,0.18,1.0,0.83,0.83,0.29,1.0,0.0,0.0,1.0,1.0,0.17,0.92,0.5,0.0,0.9,0.0,0.58,0.67,1.0,0.92,0.25,0.18,0.82,0.08,0.25,0.25,0.0,1.0,0.12,0.17,0.08
M.S. 113 Ronald Edmonds Learning Center,0.62,0.83,0.07,0.25,0.51,0.14,0.96,0.08,0.49,0.51,0.04,0.19,0.94,0.22,0.46,0.38,,0.07,0.08,0.77,0.39,0.9,0.1,0.94,0.31,0.24,,,0.09,0.82,0.87,0.07,0.85,0.23,0.49,0.46,0.78,0.96,0.24,0.37,0.63,0.42,0.38,0.28,0.15,0.93,0.27,0.1,0.28
I.S. 73 - The Frank Sansivieri Intermediate School,0.64,0.85,0.04,0.27,0.57,0.09,0.96,0.16,0.36,0.6,0.04,0.22,0.92,0.17,0.37,0.45,,0.06,0.05,0.84,0.31,0.93,0.13,0.92,0.21,0.19,,,0.08,0.85,0.87,0.08,0.75,0.16,0.4,0.36,0.85,0.97,0.29,0.27,0.73,0.5,0.36,0.27,0.09,0.96,0.8,0.07,0.19
Manhattan Village Academy,0.7,0.89,0.01,0.12,0.31,0.04,0.99,0.06,0.23,0.8,0.01,0.06,1.0,0.21,0.34,0.53,0.89,0.03,0.03,0.92,0.66,0.95,0.08,0.94,0.07,0.03,0.87,0.97,0.02,0.9,,0.04,0.96,0.08,0.2,0.63,0.93,0.99,0.18,0.25,0.75,0.26,0.3,0.11,0.03,0.99,0.76,0.05,0.14
Tompkins Square Middle School,0.73,0.91,0.05,0.21,0.54,0.12,0.95,0.1,0.34,0.63,0.05,0.13,0.9,0.16,0.32,0.42,,0.04,0.04,0.85,0.77,0.97,0.09,0.99,0.17,0.12,,,0.06,0.85,0.93,0.13,0.97,0.15,0.37,0.39,0.85,0.98,0.27,0.28,0.72,0.44,0.27,0.22,0.08,0.95,0.65,0.03,0.19
Washington Heights Academy,0.86,0.87,0.01,0.22,0.37,0.04,0.94,0.1,0.28,0.73,0.06,0.15,0.95,0.19,0.37,0.45,,0.06,0.04,0.88,0.7,0.93,0.06,0.96,0.24,0.16,,,0.05,0.94,0.94,0.13,0.85,0.12,0.27,0.61,0.92,0.98,0.1,0.28,0.72,0.31,0.14,0.11,0.05,0.99,0.95,0.07,0.11
Juan Morel Campos Secondary School,0.79,0.93,0.01,0.1,0.34,0.15,0.98,0.08,0.21,0.5,0.02,0.13,0.98,0.13,0.38,0.39,0.9,0.04,0.04,0.8,0.69,0.97,0.14,0.95,0.23,0.18,0.89,0.93,0.05,0.89,0.94,0.04,0.94,0.2,0.5,0.62,0.92,0.97,0.2,0.18,0.82,0.29,0.21,0.12,0.05,0.99,0.74,0.03,0.12
Brooklyn Ascend Charter School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Frank McCourt High School,0.69,0.87,0.03,0.08,0.34,0.1,0.96,0.09,0.25,0.76,0.04,0.13,0.93,0.23,0.31,0.55,0.9,0.04,0.07,0.89,0.9,0.94,0.07,0.79,0.15,0.09,0.9,0.94,0.06,0.77,,0.09,0.94,0.11,0.24,0.63,0.84,0.97,0.24,0.23,0.77,0.3,0.31,0.2,0.05,0.97,0.62,0.06,0.2
International High School at LaGuardia Community College,0.97,0.98,0.0,0.02,0.1,0.01,0.99,0.01,0.05,0.13,0.01,0.02,1.0,0.05,0.88,0.11,0.98,0.01,0.03,0.99,0.95,0.99,0.1,0.96,0.03,0.02,0.98,0.97,0.01,0.96,,0.0,0.98,0.01,0.87,0.9,0.98,0.99,0.03,0.05,0.95,0.07,0.03,0.04,0.0,1.0,0.46,0.01,0.02
Marble Hill High School for International Studies,0.75,0.96,0.04,0.05,0.63,0.04,0.93,0.1,0.13,0.67,0.07,0.13,1.0,0.08,0.52,0.52,0.83,0.15,0.04,0.96,0.58,0.95,0.13,0.91,0.17,0.13,0.95,0.83,0.05,0.88,,0.08,0.94,0.04,0.33,0.35,0.75,0.95,0.29,0.08,0.92,0.42,0.25,0.17,0.04,0.96,0.06,0.05,0.13
Sunset Park Prep,0.75,0.88,0.0,0.13,0.5,0.0,1.0,0.0,0.0,0.63,0.0,0.13,1.0,0.0,0.25,0.5,,0.0,0.0,1.0,0.13,1.0,0.0,0.88,0.25,0.13,,,0.17,1.0,0.88,0.0,1.0,0.0,0.38,0.0,0.88,1.0,0.13,0.0,1.0,0.25,0.25,0.0,0.0,1.0,0.02,0.0,0.13
Pelham Preparatory Academy,0.64,0.85,0.02,0.16,0.47,0.08,0.99,0.09,0.3,0.65,0.01,0.17,0.97,0.22,0.32,0.44,0.85,0.04,0.06,0.85,0.41,0.92,0.07,0.84,0.21,0.18,0.83,0.94,0.04,0.77,,0.07,0.86,0.15,0.35,0.45,0.84,0.99,0.26,0.23,0.77,0.42,0.36,0.19,0.09,0.98,0.46,0.08,0.21
Brooklyn International High School,0.8,0.99,0.0,0.09,0.55,0.01,1.0,0.02,0.07,0.58,0.0,0.09,0.98,0.09,0.62,0.44,0.95,0.02,0.02,0.98,0.78,0.95,0.1,0.91,0.13,0.07,0.93,0.97,0.06,0.88,,0.02,0.97,0.02,0.42,0.39,0.91,0.98,0.13,0.07,0.93,0.37,0.2,0.12,0.02,1.0,0.28,0.05,0.08
NYC Autism Charter School East Harlem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,
I.S. 068 Isaac Bildersee,0.64,0.78,0.06,0.3,0.43,0.13,0.92,0.15,0.45,0.54,0.08,0.25,0.87,0.21,0.39,0.48,,0.07,0.09,0.77,0.36,0.88,0.19,0.89,0.41,0.33,,,0.1,0.78,0.84,0.13,0.82,0.23,0.46,0.39,0.8,0.9,0.25,0.27,0.73,0.53,0.36,0.31,0.21,0.94,0.59,0.12,0.27
Democracy Prep Charter School,0.61,0.7,0.04,0.29,0.33,0.17,0.94,0.12,0.36,0.71,0.06,0.2,0.94,0.31,0.26,0.52,1.0,0.04,0.07,0.8,0.35,0.93,0.15,0.96,0.21,0.18,1.0,0.88,0.07,0.82,0.73,0.15,0.95,0.2,0.29,0.61,0.83,0.97,0.34,0.33,0.67,0.34,0.39,0.26,0.12,0.96,0.25,0.07,0.21
Queens Technical High School,0.59,0.87,0.03,0.2,0.41,0.09,0.97,0.12,0.4,0.77,0.03,0.12,0.95,0.26,0.27,0.61,0.87,0.06,0.05,0.88,0.33,0.93,0.07,0.83,0.12,0.12,0.88,0.93,0.06,0.82,,0.07,0.82,0.12,0.23,0.5,0.84,0.96,0.29,0.28,0.72,0.38,0.41,0.26,0.06,0.97,0.62,0.07,0.23
High School of Sports Management,0.66,0.81,0.06,0.17,0.5,0.14,0.95,0.11,0.39,0.74,0.05,0.19,0.94,0.23,0.25,0.58,0.83,0.03,0.01,0.84,0.51,0.91,0.13,0.8,0.26,0.19,0.78,0.92,0.08,0.79,,0.12,0.85,0.16,0.26,0.43,0.81,0.95,0.3,0.24,0.76,0.44,0.34,0.25,0.09,0.94,0.38,0.09,0.23
J.H.S. 143 Eleanor Roosevelt,0.71,0.84,0.08,0.21,0.53,0.12,0.88,0.22,0.29,0.41,0.12,0.11,0.89,0.11,0.6,0.38,,0.1,0.07,0.8,0.42,0.95,0.24,0.88,0.2,0.22,,,0.06,0.74,0.85,0.06,0.77,0.2,0.59,0.33,0.8,1.0,0.2,0.4,0.6,0.49,0.29,0.31,0.16,0.92,0.21,0.05,0.14
M.S. 301 Paul L. Dunbar,0.89,0.95,0.02,0.07,0.18,0.07,0.98,0.06,0.15,0.64,0.02,0.09,0.96,0.07,0.31,0.51,,0.01,0.02,0.93,0.8,0.97,0.05,0.96,0.12,0.1,,,0.01,0.94,0.98,0.03,0.95,0.07,0.36,0.83,0.93,0.99,0.07,0.08,0.92,0.19,0.11,0.06,0.05,0.98,0.88,0.03,0.11
Cobble Hill School of American Studies,0.72,0.78,0.07,0.11,0.47,0.17,0.9,0.11,0.22,0.75,0.1,0.3,0.94,0.28,0.23,0.54,0.9,0.09,0.14,0.82,0.67,0.9,0.14,0.75,0.31,0.27,0.88,0.92,0.14,0.72,,0.08,0.79,0.18,0.25,0.53,0.83,0.92,0.26,0.29,0.71,0.47,0.28,0.16,0.1,0.93,0.19,0.1,0.25
"M.S. 267 Math, Science & Technology",0.93,0.95,0.02,0.06,0.17,0.02,0.99,0.01,0.07,0.39,0.01,0.05,0.98,0.09,0.62,0.35,,0.01,0.02,0.97,0.91,0.99,0.04,0.98,0.07,0.06,,,0.0,0.96,0.98,0.03,0.99,0.03,0.61,0.81,0.95,1.0,0.07,0.12,0.88,0.14,0.07,0.02,0.0,0.98,0.92,0.01,0.05
Harlem Children's Zone Promise Academy 1 Charter School,0.67,0.84,0.05,0.16,0.53,0.17,0.95,0.1,0.25,0.76,0.05,0.25,0.95,0.28,0.23,0.54,0.88,0.06,0.06,0.75,0.55,0.89,0.1,0.9,0.33,0.27,0.89,0.91,0.16,0.78,0.83,0.18,0.96,0.25,0.24,0.44,0.83,0.97,0.26,0.25,0.75,0.51,0.33,0.2,0.12,0.95,0.59,0.11,0.21
J.H.S. 167 Robert F. Wagner,0.66,0.87,0.04,0.16,0.51,0.11,0.96,0.15,0.33,0.58,0.04,0.26,0.88,0.18,0.36,0.42,,0.05,0.06,0.83,0.71,0.94,0.08,0.87,0.32,0.2,,,0.11,0.79,0.9,0.1,0.95,0.17,0.42,0.43,0.85,0.98,0.28,0.28,0.72,0.49,0.34,0.2,0.07,0.96,0.53,0.06,0.16
Redwood Middle School,0.56,0.77,0.1,0.25,0.51,0.15,0.86,0.19,0.51,0.56,0.14,0.34,0.89,0.35,0.4,0.49,,0.08,0.08,0.72,0.59,0.89,0.22,0.85,0.47,0.42,,,0.12,0.77,0.86,0.21,0.67,0.28,0.44,0.31,0.79,0.97,0.34,0.38,0.62,0.52,0.44,0.31,0.21,0.9,0.4,0.11,0.34
I.S. 318 Eugenio Maria De Hostos,0.59,0.9,0.03,0.25,0.53,0.1,0.96,0.13,0.39,0.59,0.04,0.17,0.92,0.22,0.4,0.4,,0.03,0.04,0.81,0.53,0.95,0.11,0.96,0.17,0.14,,,0.07,0.83,0.9,0.1,0.89,0.19,0.41,0.44,0.86,0.98,0.29,0.25,0.75,0.47,0.41,0.26,0.06,0.97,0.51,0.05,0.16
Rachel Carson High School for Coastal Studies,0.63,0.86,0.03,0.16,0.62,0.03,0.95,0.19,0.34,0.7,0.05,0.18,0.91,0.27,0.41,0.55,0.76,0.08,0.03,0.9,0.62,0.96,0.13,0.81,0.22,0.19,0.75,0.86,0.07,0.77,,0.16,0.8,0.1,0.3,0.32,0.79,0.93,0.23,0.34,0.66,0.44,0.37,0.18,0.06,0.97,0.13,0.04,0.18
East New York Middle School of Excellence,0.85,0.97,0.05,0.03,0.17,0.06,0.96,0.03,0.08,0.38,0.04,0.11,0.97,0.06,0.57,0.41,,0.01,0.02,0.89,0.9,0.97,0.05,0.93,0.13,0.12,,,0.02,0.9,0.92,0.05,0.98,0.11,0.62,0.82,0.95,0.99,0.09,0.12,0.88,0.16,0.15,0.13,0.06,0.95,0.96,0.03,0.13
Brooklyn East Collegiate Charter School,0.68,0.82,0.04,0.15,0.61,0.09,0.96,0.19,0.38,0.59,0.04,0.07,0.94,0.13,0.4,0.43,,0.04,0.04,0.79,0.56,0.95,0.09,0.99,0.14,0.12,,,0.11,0.86,0.89,0.11,0.93,0.21,0.41,0.38,0.87,0.99,0.19,0.21,0.79,0.45,0.32,0.25,0.12,0.96,0.42,0.05,0.23
Community Health Academy of the Heights,0.79,0.89,0.02,0.12,0.44,0.05,0.97,0.06,0.21,0.61,0.03,0.16,0.95,0.15,0.42,0.42,0.94,0.04,0.03,0.9,0.39,0.95,0.05,0.91,0.23,0.19,0.91,0.98,0.04,0.86,0.91,0.07,0.97,0.1,0.39,0.46,0.92,0.98,0.17,0.19,0.81,0.37,0.21,0.11,0.1,0.98,0.43,0.05,0.15
P.S. 140 Nathan Straus,0.83,0.93,0.0,0.1,0.56,0.06,1.0,0.12,0.2,0.63,0.0,0.31,0.94,0.15,0.3,0.41,,0.01,0.05,0.91,0.42,0.98,0.04,0.93,0.31,0.28,,,0.04,0.84,0.99,0.03,0.84,0.09,0.37,0.39,0.93,1.0,0.12,0.21,0.79,0.42,0.17,0.09,0.08,1.0,0.51,0.03,0.19
Fordham Leadership Academy,0.71,0.89,0.02,0.13,0.41,0.06,0.96,0.05,0.28,0.74,0.04,0.21,0.97,0.23,0.3,0.55,0.91,0.04,0.05,0.89,0.54,0.96,0.08,0.84,0.2,0.2,0.92,0.95,0.05,0.8,,0.09,0.95,0.11,0.26,0.47,0.83,0.97,0.17,0.22,0.78,0.41,0.29,0.15,0.1,0.98,0.83,0.04,0.24
M.S. 158 Marie Curie,0.57,0.83,0.04,0.26,0.56,0.13,0.94,0.23,0.42,0.66,0.06,0.24,0.9,0.23,0.31,0.55,,0.07,0.07,0.77,0.45,0.89,0.08,0.93,0.26,0.18,,,0.1,0.83,0.85,0.1,0.65,0.23,0.34,0.37,0.84,0.97,0.32,0.31,0.69,0.51,0.43,0.34,0.08,0.96,0.7,0.11,0.17
Community Partnership Charter School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
P.S. 047 Chris Galas,0.91,0.91,0.0,0.06,0.43,0.0,0.97,0.08,0.4,0.46,0.03,0.09,1.0,0.03,0.66,0.18,,0.0,0.03,0.94,0.86,0.94,0.03,1.0,0.17,0.06,,,0.06,0.94,0.97,0.03,0.63,0.06,0.54,0.57,0.94,1.0,0.14,0.06,0.94,0.46,0.09,0.03,0.03,1.0,0.44,0.06,0.06
Kings Collegiate Charter School,0.76,0.92,0.01,0.08,0.35,0.09,0.97,0.1,0.27,0.6,0.03,0.23,0.98,0.2,0.38,0.39,,0.05,0.03,0.88,0.71,0.94,0.06,0.98,0.27,0.18,,,0.07,0.93,0.91,0.06,0.96,0.12,0.4,0.64,0.89,0.97,0.18,0.13,0.87,0.25,0.24,0.08,0.1,0.99,0.19,0.06,0.13
High School for Community Leadership,0.76,0.85,0.04,0.15,0.51,0.04,0.94,0.07,0.29,0.6,0.06,0.15,0.96,0.18,0.4,0.46,0.87,0.02,0.03,0.92,0.63,0.95,0.08,0.88,0.19,0.14,0.85,0.88,0.04,0.86,,0.07,0.87,0.08,0.4,0.48,0.89,0.98,0.17,0.19,0.81,0.39,0.24,0.15,0.05,0.96,0.53,0.05,0.11
P.S. 168,0.88,0.85,0.08,0.12,0.38,0.08,0.93,0.16,0.08,0.42,0.07,0.17,0.92,0.27,0.7,0.48,,0.12,0.21,0.92,0.76,0.92,0.29,0.92,0.08,0.13,,,0.12,0.88,0.76,0.08,0.69,0.08,0.58,0.62,0.92,0.92,0.12,0.21,0.79,0.35,0.13,0.12,0.08,0.92,0.13,0.08,0.08
The Vida Bogart School for All Children,1.0,1.0,0.0,0.0,0.21,0.0,1.0,0.03,0.0,0.03,0.0,0.0,1.0,0.0,0.97,0.03,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,0.0,1.0,1.0,0.0,1.0,0.0,0.97,0.74,1.0,1.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P.S. 723,0.68,0.83,0.05,0.21,0.53,0.16,0.83,0.18,0.32,0.61,0.17,0.21,0.89,0.17,0.44,0.56,0.92,0.12,0.11,0.84,0.67,0.88,0.09,0.79,0.16,0.21,1.0,0.85,0.0,0.79,0.83,0.05,0.85,0.16,0.39,0.53,0.84,0.95,0.26,0.28,0.72,0.47,0.32,0.32,0.21,0.95,0.09,0.13,0.32
High School of World Cultures,0.69,0.96,0.07,0.19,0.56,0.09,0.9,0.09,0.25,0.62,0.1,0.15,0.95,0.15,0.58,0.51,0.82,0.08,0.04,0.98,0.55,0.94,0.22,0.85,0.28,0.15,0.83,0.87,0.12,0.82,,0.07,0.9,0.02,0.38,0.31,0.8,0.96,0.27,0.12,0.88,0.44,0.31,0.25,0.13,0.93,0.19,0.06,0.29
I.S. 230,0.7,0.88,0.04,0.24,0.51,0.09,0.97,0.1,0.36,0.62,0.03,0.19,0.94,0.2,0.35,0.51,,0.03,0.04,0.86,0.56,0.95,0.11,0.9,0.21,0.19,,,0.07,0.87,0.88,0.07,0.84,0.14,0.38,0.37,0.86,0.97,0.24,0.23,0.77,0.43,0.3,0.26,0.09,0.96,0.52,0.05,0.18
P.S./I.S. 30 Mary White Ovington,0.62,0.83,0.04,0.21,0.54,0.11,0.97,0.12,0.46,0.64,0.03,0.25,0.95,0.19,0.36,0.51,,0.07,0.06,0.78,0.58,0.92,0.07,0.94,0.32,0.23,,,0.14,0.81,0.89,0.12,0.83,0.22,0.36,0.36,0.81,0.95,0.31,0.27,0.73,0.54,0.38,0.25,0.13,0.96,0.73,0.08,0.23
P.S. 105 The Bay School,0.69,0.75,0.07,0.22,0.56,0.13,0.9,0.13,0.28,0.55,0.1,0.37,0.92,0.23,0.35,0.36,,0.09,0.08,0.76,0.37,0.9,0.16,0.84,0.5,0.42,,,0.19,0.86,0.88,0.13,0.64,0.24,0.45,0.4,0.85,0.96,0.21,0.3,0.7,0.44,0.31,0.2,0.22,0.93,0.76,0.1,0.23
I.S. 125 Thom J. McCann Woodside,0.68,0.87,0.04,0.24,0.51,0.08,0.96,0.14,0.3,0.66,0.04,0.19,0.94,0.2,0.35,0.51,,0.07,0.06,0.84,0.39,0.93,0.09,0.89,0.23,0.2,,,0.06,0.85,0.89,0.06,0.71,0.16,0.34,0.42,0.84,0.97,0.24,0.27,0.73,0.43,0.32,0.26,0.09,0.96,0.79,0.07,0.17
P.S. 111 Jacob Blackwell,0.65,0.74,0.09,0.15,0.66,0.14,0.91,0.24,0.39,0.6,0.09,0.35,0.86,0.26,0.38,0.35,,0.15,0.15,0.82,0.44,0.84,0.31,0.94,0.48,0.38,,,0.17,0.77,0.84,0.21,0.66,0.18,0.4,0.28,0.79,0.9,0.35,0.26,0.74,0.49,0.35,0.3,0.17,0.91,0.92,0.16,0.26
Bronx High School for Medical Science,0.61,0.79,0.03,0.26,0.46,0.12,0.95,0.13,0.45,0.78,0.05,0.19,0.95,0.26,0.23,0.55,0.78,0.07,0.07,0.8,0.34,0.92,0.14,0.86,0.27,0.2,0.72,0.84,0.1,0.78,0.84,0.09,0.84,0.2,0.22,0.42,0.89,0.97,0.3,0.29,0.71,0.5,0.39,0.26,0.13,0.97,0.62,0.08,0.24
P.S. X017,0.81,0.86,0.03,0.13,0.51,0.14,0.92,0.09,0.12,0.4,0.08,0.19,0.97,0.09,0.57,0.27,0.94,0.04,0.03,0.91,0.68,0.95,0.08,0.89,0.37,0.25,0.88,0.94,0.09,0.84,0.95,0.08,0.77,0.09,0.6,0.57,0.86,0.99,0.18,0.19,0.81,0.32,0.19,0.13,0.17,0.97,0.34,0.05,0.23
James Weldon Johnson,0.7,0.75,0.06,0.26,0.46,0.14,0.87,0.17,0.39,0.7,0.13,0.34,0.87,0.25,0.24,0.49,,0.09,0.09,0.78,0.37,0.9,0.17,0.86,0.46,0.4,,,0.13,0.77,0.88,0.14,0.84,0.22,0.3,0.43,0.8,0.95,0.28,0.33,0.67,0.47,0.3,0.18,0.18,0.94,0.76,0.1,0.32
P.S. 084 Jose De Diego,0.66,0.85,0.05,0.1,0.44,0.08,0.96,0.05,0.27,0.66,0.04,0.22,0.92,0.23,0.3,0.4,,0.03,0.08,0.82,0.69,0.95,0.1,0.94,0.36,0.24,,,0.09,0.78,0.89,0.12,0.94,0.18,0.34,0.47,0.82,0.95,0.24,0.31,0.69,0.48,0.34,0.24,0.14,0.95,0.76,0.05,0.23
