recordid,address,y,:@computed_region_f5dn_yrer,:@computed_region_efsh_h5xi,zip_new,house_number,borough,cb_new,location,support_structure,nta_2010
605,106 KENMARE ST,202095.8539,57.0,12075.0,10012,106.0,Manhattan,102,"{'latitude': '40.721383', 'longitude': '-73.997202'}",,MN24
388,160 Avenue of the Amer,203549.7858,57.0,12075.0,10013,160.0,Manhattan,102,"{'latitude': '40.725374', 'longitude': '-74.004066'}",,MN24
274,49 GRAND ST,202477.4864,57.0,12076.0,10013,49.0,Manhattan,102,"{'latitude': '40.722431', 'longitude': '-74.003859'}",,MN24
165,199 CHAMBERS ST,200470.0634,56.0,12076.0,10013,199.0,Manhattan,101,"{'latitude': '40.71692', 'longitude': '-74.012281'}",,MN24
850,159 2 AV,205125.8425,70.0,11724.0,10003,159.0,Manhattan,103,"{'latitude': '40.729699', 'longitude': '-73.986871'}",,MN22
1000,21 SPRING ST,202133.2824,57.0,12075.0,10012,21.0,Manhattan,102,"{'latitude': '40.721486', 'longitude': '-73.995137'}",,MN24
651,129 MULBERRY ST,200927.3752,57.0,12076.0,10013,129.0,Manhattan,102,"{'latitude': '40.718176', 'longitude': '-73.99792'}",,MN24
828,334 BOWERY,203718.2976,57.0,11724.0,10012,334.0,Manhattan,102,"{'latitude': '40.725836', 'longitude': '-73.991993'}",,MN23
488,43 CHARLTON ST,204180.46,57.0,12077.0,10014,43.0,Manhattan,102,"{'latitude': '40.727105', 'longitude': '-74.005005'}",,MN24
988,333 E 14 ST,205971.7438,71.0,11724.0,10003,333.0,Manhattan,106,"{'latitude': '40.73202', 'longitude': '-73.98415'}",Stakes / Wires,MN21
508,38 KING ST,204417.4407,57.0,12077.0,10014,38.0,Manhattan,102,"{'latitude': '40.727755', 'longitude': '-74.004171'}",,MN24
841,144 2 AV,204937.7451,70.0,11724.0,10003,144.0,Manhattan,103,"{'latitude': '40.729183', 'longitude': '-73.987245'}",,MN22
244,140 PARK PL,199764.7852,56.0,11728.0,10007,140.0,Manhattan,101,"{'latitude': '40.714984', 'longitude': '-74.013076'}",,MN24
