latitude,longitude,manhattan_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,manhattan_condominiums_comparable_properties_year_built,comparable_rental_3_net_operating_income,comparable_rental_1_boro_block_lot,bbl,manhattan_condominiums_comparable_properties_building_classification,comparable_rental_2_gross_sqft,community_board,comparable_rental_2_year_built,comparable_rental_3_expense_per_sqft,comparable_rental_3_boro_block_lot
40.773997,-73.982233,44.26,46.42,1974,301000,1997.0,"14,261,659",1-01118-9001,1011387502.0,R4-CONDOMINIUM,367786.0,7.0,2002.0,11.69,1-01113-0001
40.715205,-74.009476,48.88,49.57,2004,278142,2007.0, ,1-00016-0185,1001367505.0,R4-CONDOMINIUM,139697.0,1.0,1999.0, ,
40.73962,-74.002634,42.87,39.83,1925,63158,1920.0, ,1-00469-0030,1006297504.0,R4-CONDOMINIUM,30870.0,2.0,1910.0, ,
40.736085,-73.995969,28.77,28.77,1922,37824,1966.0,"418,275",1-00576-0076,1005767501.0,R4-CONDOMINIUM,20634.0,2.0,1900.0,7.21,1-00574-0015
40.73575,-73.993025,24.3,20.36,1910,7455,1930.0, ,1-00911-0061,1005717503.0,R4-CONDOMINIUM,8528.0,2.0,1900.0, ,
40.770514,-73.987555,42.33,46.56,1963,63528,1991.0, ,1-01066-0029,1011517501.0,R4-CONDOMINIUM,166518.0,7.0,1987.0, ,
40.711401,-74.006204,33.9,34.26,1900,159000,1900.0, ,1-00077-0024,1001007501.0,R4-CONDOMINIUM,31118.0,1.0,1900.0, ,
40.789553,-73.979466,33.2,45.03,1912,64598,1950.0, ,1-01251-0063,1012477501.0,R4-CONDOMINIUM,104942.0,7.0,1915.0, ,
40.73505,-74.002151,36.21,45.91,1910,30870,1910.0,"231,395",1-00411-0058,1006127502.0,R9-CONDOMINIUM,38520.0,2.0,1920.0,15.17,1-00344-0065
40.715348,-73.990798,27.93,23.54,1920,13910,1910.0, ,1-00271-0037,1002987503.0,R4-CONDOMINIUM,22500.0,3.0,1912.0, ,
40.782295,-73.965126,41.89,45.08,1965,396834,1955.0,"8,732,975",1-01048-0020,1011110001.0,R4-CONDOMINIUM,13810.0,64.0,1920.0,13.77,1-01030-0058
40.725842,-73.979269,40.45,32.88,1900,10782,2005.0,"331,086",1-00393-0019,1003927502.0,R4-CONDOMINIUM,96000.0,3.0,1998.0,13.3,1-00450-0015
40.795056,-73.976228,41.94,55.17,1986,175436,1989.0, ,1-01220-0029,1012537502.0,R4-CONDOMINIUM,170928.0,7.0,1911.0, ,
40.738912,-74.000509,35.71,35.71,1928,23112,1930.0,"387,078",1-00764-0061,1007647502.0,R2-CONDOMINIUM,11295.0,4.0,1920.0,12.88,1-00764-0057
40.72211,-73.985858,32.5,29.99,1900,10662,1920.0,"247,446",1-00397-0018,1003977502.0,R4-CONDOMINIUM,9432.0,3.0,1920.0,12.18,1-00350-0020
