dbn,school_name,q9_how_much_do_you_agree_disagree_b_my_child_s_is_clean,teacher_engagement_score,q3_how_often_c_been_invited_to_a_w_kshop_program_perf_mance_other_event_at_y,change_in_teacher_academic_expectations_score_2007_2008,change_in_parent_safety_and_respect_score_2007_2008,q9_how_much_do_you_agree_disagree_c_discipline_is_enf_ced_fairly_at_my_child_s,change_in_teacher_communication_score_2007_2008,student_horizon_safety_and_respect_score,q1_number_4th_grade,parent_horizon_communication_score,q2a_number_agree,student_engagement_score,change_in_safety_and_respect_score_2007_2008,engagement_score,parent_communication_score,q2c_number_strongly_agree,q2_how_much_do_you_agree_disagree_c_my_childs_makes_it_easy_f_parents_to_atten,q3_how_often_b_received_inf_mation_on_services_f_your_child_f_you_such_as_t,q5_how_much_do_you_agree_disagree_e_answer_this_question_only_if_you_are_a_high,q2b_number_does_not_apply,q13_how_satisfied_are_you_with_c_how_well_your_child_s_communicates_with_you,total_parents,students_received_surveys,teacher_communication_score,q2_how_much_do_you_agree_disagree_a_i_feel_welcome_in_my_child_s_school,change_in_student_safety_and_respect_score_2007_2008,hor_type,q2b_number_strongly_disagree,q2_how_much_do_you_agree_disagree_b_i_am_satisfied_with_the_response_i_get_when,q2c_number_agree,principal,q2b_number_agree,parent_horizon_safety_and_respect_score,q1_number_10th_grade,q1_number_8th_grade,student_horizon_communication_score,q2c_number_disagree,q2e_number_strongly_disagree,q1_number_1st_grade,parent_horizon_academic_expectations_score,q1_number_pre_kindergarten,q2_how_much_do_you_agree_disagree_e_the_contacts_me_when_my_child_breaks_rules
21K572,Expeditionary Learning School for Community Leaders,8.1,,6.1,.,.,7.2,.,20,0,66.7,4,5.6,.,5.9,7.4,1,7.1,4.4,5.9,0,8.0,49,1,,7.5,.,7,0,8.1,6,Sarah Weeks,5,66.7,0,0,29.2,0,0,0,75.0,0,8.1
05M318,Thurgood Marshall Academy Lower School,9.3,7.3,9.6,0.3,0.4,8.9,0.9,.,0,81.0,17,.,0.8,7.6,8.7,36,8.0,8.4,.,0,8.5,129,0,7.6,9.1,.,1,0,8.6,31,Sean Davenport,24,86.7,0,0,.,6,0,16,81.0,0,8.7
07X277,P.S. 277,7.8,6.5,8.6,0.6,0,6.6,0.1,.,23,26.3,71,.,0.1,6.7,7.1,50,7.1,6.6,.,1,7.1,423,0,6.2,7.7,.,2,5,7.3,65,Cheryl Tyler,78,31.6,0,0,.,18,2,27,50.0,10,7.5
10X080,J.H.S. 080 The Mosholu Parkway,6.5,5.4,5.7,1.6,1,6.4,0.9,43.3,1,35.7,42,6.1,0.9,5.8,6.6,25,7.1,5.7,.,0,6.5,614,1,5.0,6.9,0.6,5,4,7.0,40,Lovey Mazique-Rivera,34,30.0,0,28,31.8,8,2,0,34.5,0,7.9
22K134,P.S. K134,8.6,7.3,7.7,0.4,0.1,8.2,1.5,.,19,47.4,61,.,0.3,7.3,7.5,59,7.9,5.4,.,1,7.8,348,0,7.1,8.3,.,2,3,7.9,63,Debra Ramsaran,58,73.7,0,0,.,6,0,19,70.0,7,8.3
14K059,P.S. 059 William Floyd,8.2,5.6,8.6,0.5,1,7.2,0.5,.,16,36.8,61,.,1,6.3,7.3,39,7.3,6.9,.,0,7.7,385,0,5.4,7.5,.,2,5,7.1,66,Dawn Best,67,47.4,0,1,.,13,4,13,40.0,11,7.5
03M862,Mott Hall II,8.6,7.3,8.5,-0.2,0.4,8.5,-1.1,120,0,82.1,56,8.1,0.5,7.8,7.9,78,8.2,7.5,.,2,7.9,284,1,6.3,8.7,0.9,5,0,8.3,68,Ana De Los Santos,66,90.0,0,44,104.5,6,1,0,82.8,0,8.1
12X245,New Day Academy,7.4,5.4,6.0,-1.5,0.2,6.5,-2,23.3,1,30.0,32,5.9,-0.8,5.8,6.3,20,7.2,4.5,.,0,6.7,375,1,5.0,7.1,.,7,9,6.2,29,Daisy Fontanez,28,42.4,7,15,54.2,5,3,0,14.3,0,7.4
14K084,P.S. 084 Jose De Diego,9.1,7.0,9.0,2.1,0.8,8.5,1.4,.,41,84.2,115,.,1.3,7.4,8.2,139,8.0,7.6,.,0,8.3,390,0,6.9,8.6,.,2,2,8.3,134,Stefanie Greco,132,78.9,0,0,.,14,1,43,80.0,24,8.2
05M175,P.S. 175 Henry H Garnet,7.9,6.1,9.0,1,0.9,7.5,0.7,.,42,57.9,118,.,0.9,6.9,7.7,91,7.8,7.6,.,0,7.7,325,0,5.6,8.1,.,2,2,7.8,112,Cheryl Mcclendon,123,52.6,0,0,.,9,2,20,65.0,13,8.1
08X332,Holcombe L. Rucker School of Community Research,8.3,6.5,8.3,-0.6,0.1,8.0,-1.1,63.3,0,73.3,12,6.1,0.3,6.4,7.6,8,7.6,6.0,6.9,0,7.8,202,1,5.4,8.3,0.4,7,0,8.6,11,Sharif Rucker,9,72.7,9,0,58.3,2,0,0,60.7,0,8.3
02M475,Stuyvesant High School,8.3,6.5,7.0,0.5,0.3,7.6,0.9,80,0,36.7,466,6.6,0.3,6.8,6.5,258,7.4,5.0,6.7,43,6.6,3008,1,6.0,7.4,0.1,7,22,7.0,433,Stanley Teitel,449,66.7,204,3,45.8,67,9,0,57.1,0,7.7
09X132,P.S. 132 Garret A. Morgan,8.4,6.4,8.3,0.3,1,7.9,0.2,.,35,63.2,131,.,0.7,6.8,7.8,131,7.7,7.4,.,2,8.0,452,0,6.2,8.2,.,2,9,7.6,163,Anissa Chalmers,158,63.2,0,0,.,11,6,30,80.0,17,7.7
12X216,Business School for Entrepreneurial Studies,7.2,6.4,6.1,2,0.3,6.8,1.4,36.7,0,57.1,101,6.3,0.5,6.3,7.2,54,7.2,6.6,.,6,7.1,338,1,6.2,7.6,0.3,5,4,7.4,101,Domingo Martinez,103,40.0,0,69,54.5,14,2,0,48.3,0,8.1
05M133,P.S. 133 Fred R Moore,8.2,7.2,8.7,1.4,0.6,7.3,1.8,35.7,22,36.8,61,7.6,0.8,7.3,7.3,68,7.5,7.3,.,3,7.4,282,1,7.0,8.0,0.6,2,6,7.2,71,Pamela Craig,74,42.1,0,0,54.2,13,1,26,35.0,3,7.9
10X015,P.S. X015 Institute for Environmental Learning,8.7,7.2,6.7,1,0.8,8.6,0.7,70.6,14,81.8,88,7.4,0.7,7.3,8.0,121,8.3,6.7,.,0,8.2,475,1,7.1,8.6,0.5,3,1,8.2,108,Eddice Mebane-Griffin,113,88.5,0,23,41.7,2,0,21,91.7,1,8.5
10X291,P.S. 291,9.5,7.4,8.3,0.7,0.2,9.4,0.1,.,46,121.1,48,.,0.7,7.7,8.9,244,9.2,7.5,.,1,9.2,453,0,6.9,9.3,.,2,2,9.3,59,Carlos Velez,52,115.8,0,1,.,4,0,52,130.0,0,9.3
15K024,P.S. 024,8.6,7.5,8.8,0.3,0.3,7.9,0.7,.,23,68.4,85,.,0.5,7.5,7.9,91,8.2,7.6,.,0,7.9,653,0,7.0,8.1,.,2,1,7.9,84,Christina Fuentes,90,68.4,0,0,.,3,3,32,75.0,3,7.8
20K030,I.S. 30 Mary White Ovington,7.6,7.8,6.3,0.3,0,7.5,0.2,63.3,0,42.9,106,6.3,0.2,6.9,6.8,77,7.6,5.5,.,5,7.0,307,1,7.4,8.0,0.1,5,2,7.7,114,Danielle Dimango-Maringo,105,63.3,0,76,45.5,11,3,0,41.4,1,8.1
15K429,Brooklyn School for Global Studies,7.5,6.0,7.6,1.7,0.4,6.9,1.7,36.7,0,40.0,46,5.7,0.6,6.1,6.6,35,7.6,5.7,.,0,6.6,570,1,5.4,7.7,0.6,7,7,7.2,55,Lisa Gibbs,38,51.5,19,17,37.5,3,5,0,35.7,0,7.7
09X325,Urban Science Academy,7.8,6.7,8.0,1.6,1.2,7.3,1.3,53.3,0,67.9,56,6.5,1.1,6.7,7.5,36,7.5,6.9,.,0,7.7,422,1,6.2,7.8,0.9,5,0,7.6,54,Patrick Kelly,60,56.7,0,26,45.5,10,2,0,58.6,1,8.2
08X125,J.H.S. 125 Henry Hudson,6.4,6.0,7.0,0.5,1,6.7,0.2,40,0,28.6,177,6.6,0.8,6.4,6.4,81,7.0,5.9,.,5,6.5,698,1,6.0,7.3,0.2,5,18,6.7,165,Hilda Bairan,164,40.0,0,103,40.9,37,10,1,37.9,1,7.5
12X098,J.H.S. 098 Herman Ridder,7.0,5.9,6.8,0.8,0.7,6.1,0.2,20,0,42.9,40,6.2,0.2,6.2,6.8,18,7.3,6.2,.,0,7.0,401,1,5.7,7.1,-0.4,5,2,6.9,44,Claralee Irobunda,37,26.7,0,30,36.4,3,0,0,41.4,0,7.7
11X097,P.S. 097 Bronx,8.3,5.8,8.5,0,0.3,7.8,-0.2,.,66,52.6,152,.,0.4,6.2,7.6,121,7.7,6.8,.,2,7.7,558,0,5.0,8.2,.,2,6,7.8,179,Katheleen Bornkamp,162,57.9,1,0,.,15,5,46,60.0,16,7.9
22K109,P.S. 109,8.1,5.9,8.0,0.4,0.4,7.2,0,32.4,10,22.7,52,6.1,0,6.3,6.7,38,7.0,6.0,.,1,6.8,583,1,5.6,7.9,-0.3,3,8,6.7,49,Denise Talley,51,46.2,0,7,33.3,18,3,13,45.8,0,7.3
20K112,P.S. 112 Lefferts Park,8.3,8.2,7.7,1,0.4,8.2,1.2,.,58,47.4,163,.,0.5,7.7,7.5,105,7.5,6.6,.,1,7.6,376,0,7.3,8.2,.,2,0,7.9,186,Louise Verdemare (Alfano),192,78.9,0,0,.,19,0,52,45.0,4,7.7
16K309,P.S. 309 George E. Wibecan,7.5,5.5,8.7,1.3,0.3,6.7,0.1,.,20,31.6,58,.,0.6,6.2,7.2,29,6.8,7.3,.,1,7.1,323,0,4.9,7.3,.,2,2,6.8,62,Rebecca Fonville,64,10.5,0,0,.,15,1,17,35.0,4,7.8
12X150,P.S. 150 Charles James Fox,8.6,7.7,9.2,0.3,0.6,8.0,0.3,.,25,63.2,80,.,0.4,7.5,7.8,65,7.3,7.7,.,1,7.9,585,0,7.6,7.9,.,2,3,7.5,89,Edwin Irizarry,88,63.2,0,0,.,17,1,20,70.0,11,8.1
05M317,Kappa II,7.8,5.1,6.3,1,1.3,6.8,-0.1,26.7,0,42.9,19,6.1,0.5,6.0,6.8,14,7.2,5.7,.,0,6.3,188,1,4.7,7.6,0.2,5,3,6.6,19,Leah Susan Dyer,19,46.7,0,18,40.9,6,0,0,37.9,0,8.0
09X199,P.S. 199X - The Shakespeare School,8.5,7.5,9.1,0.3,1,7.9,-0.1,.,80,68.4,234,.,0.6,7.4,7.9,231,7.9,7.8,.,4,8.0,615,0,7.2,8.1,.,2,4,7.8,235,Lilia Navarrete,250,63.2,0,1,.,28,9,89,75.0,35,7.9
13K439,Brooklyn International High School,8.0,8.8,6.9,0,-0.1,8.2,0.9,96.7,0,70.0,121,7.4,0,7.8,7.5,124,8.1,6.0,7,4,7.5,354,1,7.8,8.4,0.3,7,3,8.0,118,Pamela Taranto,135,78.8,81,0,116.7,8,4,0,67.9,0,8.2
08X540,School for Community Research and Learning,7.4,7.4,7.7,0.2,1,7.1,0.5,53.3,0,53.3,53,6.2,0.7,6.6,7.0,37,7.5,6.6,7,1,7.3,353,1,7.3,7.5,0.5,7,4,7.2,52,William Mulqueen,49,54.5,16,0,50,7,1,0,57.1,0,7.6
08X293,Renaissance High School of Musical Theater & Technology,8.2,6.5,8.6,1.6,0.6,8.0,1.5,50,0,83.3,35,6.2,1,6.6,7.9,28,7.5,7.5,7.2,2,7.8,406,1,5.2,8.3,0.4,7,1,7.9,44,Bernardo Ascona,39,72.7,21,0,70.8,6,0,0,71.4,0,8.4
01M839,Tompkins Square Middle School,8.2,8.5,8.3,0.3,0.4,8.1,1.1,93.3,0,100.0,34,7.4,0.4,8.0,8.4,59,8.5,7.3,.,0,8.6,347,1,8.1,8.8,0.2,5,0,8.8,32,Mark Pingitore,29,86.7,0,28,81.8,5,0,0,93.1,0,8.7
19K502,FDNY High School for Fire and Life Safety,7.9,6.5,4.4,-0.3,0.4,6.8,1.8,16.7,0,30.0,13,5.4,0.6,5.9,6.3,9,6.7,4.5,7.1,0,6.1,351,1,6.6,7.2,0.3,7,1,7.3,10,James Anderson,11,33.3,5,0,29.2,5,1,0,46.4,0,6.8
15K230,P.S. 230 Doris L. Cohen,8.8,8.0,8.3,0.7,0.5,8.5,1.1,.,94,73.7,241,.,0.6,7.8,8.0,382,8.6,6.7,.,2,8.2,923,0,7.6,8.7,.,2,3,8.3,256,Sharon Fiden,305,84.2,0,1,.,10,3,96,80.0,55,8.2
15K001,P.S. 001 The Bergen,8.1,6.2,8.3,0.4,0.3,7.9,-0.3,.,23,47.4,121,.,0,6.7,7.5,103,7.8,6.6,.,0,7.5,825,0,5.7,8.0,.,2,4,7.6,120,Zaida Vega,143,63.2,1,1,.,14,2,29,50.0,49,7.9
21K303,I.S. 303 Herbert S. Eisenberg,7.5,7.5,6.4,0.7,0.7,7.8,0.8,70,0,57.1,356,6.9,0.5,7.0,7.2,248,7.7,6.1,.,10,7.5,733,1,7.2,8.0,0.4,5,7,7.6,350,Mr. Gary Ingrassia,379,70.0,0,246,59.1,32,4,0,72.4,0,8.2
20K170,P.S. 170 Lexington,8.0,7.1,8.4,0.2,0.5,7.9,0.8,.,84,47.4,288,.,0.7,7.1,7.5,223,7.8,6.9,.,9,7.6,627,0,7.0,8.1,.,2,6,7.8,312,Suzanne Brown,306,68.4,0,0,.,27,4,83,50.0,5,7.8
11X135,J.H.S. 135 Frank D. Whalen,7.5,5.2,7.3,0.6,1.1,6.6,0.7,.,0,57.1,12,.,0.4,5.7,7.2,6,7.0,7.5,.,0,7.8,329,1,5.3,7.9,.,5,1,7.3,14,Angela Green,11,53.3,0,23,.,2,0,0,37.9,0,8.7
05M286,I.S. M286 Renaissance Military Leadership Academy,8.5,6.3,7.7,1.1,1.8,8.0,1.4,.,0,71.4,7,.,0.9,6.6,7.6,6,8.3,7.1,.,0,7.9,182,1,6.4,8.1,.,5,0,8.1,6,Qadir Ben Dixon,5,70.0,0,2,.,0,0,0,55.2,0,8.1
12X270,Academy for Scholarship and Entrepreneurship: A College Board School,6.9,6.1,6.3,-1.4,-0.8,6.6,-1.6,26.7,0,26.7,31,6.2,-0.9,6.3,6.2,13,6.5,5.5,.,0,6.6,394,1,5.7,7.2,-0.3,7,4,6.4,32,Zenobia White,31,30.3,19,13,45.8,9,3,0,28.6,0,7.3
17K399,P.S. 399 Stanley Eugene Clark,9.3,8.8,8.7,0.8,0.5,8.6,0.4,.,25,94.7,34,.,0.6,8.4,8.4,70,8.3,7.4,.,0,8.3,371,0,8.0,9.0,.,2,1,8.5,56,Marion J. Brown,55,89.5,0,0,.,3,1,25,95.0,0,8.6
18K578,Brooklyn Bridge Academy,7.3,8.6,6.9,.,.,6.1,.,.,0,29.2,12,.,.,7.2,7.3,10,7.4,5.3,.,0,7.4,141,1,7.5,7.7,.,8,1,7.9,15,Adele Tay Fabrikant,11,5.0,2,0,.,2,3,0,8.7,0,8.0
15K169,P.S. 169 Sunset Park,7.9,6.5,7.4,-0.3,0.4,7.6,-0.6,.,61,31.6,284,.,0.1,6.6,7.2,130,7.3,5.8,.,5,7.5,916,0,5.8,7.7,.,2,1,7.5,276,Josephine Santiago,289,57.9,0,0,.,28,1,70,35.0,5,7.6
07X179,P.S. 179,8.8,7.7,8.9,0,0.5,8.6,0.6,.,33,84.2,84,.,0.3,7.7,8.2,104,8.2,7.3,.,1,8.4,296,0,7.7,8.5,.,2,1,8.5,88,Sherry Font Williams,78,84.2,0,0,.,10,1,26,85.0,11,8.5
14K126,John Ericsson Middle School 126,6.6,5.0,5.9,-0.5,0.2,6.7,-1.2,30,0,35.7,157,5.9,0.1,5.7,6.6,89,7.1,5.7,.,5,6.8,552,1,4.0,7.6,0.5,5,16,7.2,176,Dr. Sheldon Toback,163,30.0,0,108,36.4,27,13,0,37.9,0,7.6
11X544,High School for Contemporary Arts,8.1,8.2,7.2,0.9,1.2,8.1,1.5,66.7,0,70.0,160,6.9,0.8,7.5,7.5,97,7.7,6.8,8.2,1,7.7,409,1,7.9,8.0,0.9,7,1,7.8,166,Francisco Sanchez,162,78.8,66,0,62.5,10,2,0,75.0,0,7.9
22K119,P.S. 119 Amersfort,8.6,8.1,8.3,0.8,0.3,8.5,1,.,47,78.9,58,.,0.5,7.9,8.1,83,8.3,6.5,.,0,8.0,410,0,7.8,8.7,.,2,0,8.5,64,Lisa Fernandez,70,78.9,0,0,.,5,0,0,85.0,0,8.4
05M030,P.S. 030 Hernandez/Hughes,8.3,7.1,8.4,0.7,0.9,7.5,0.3,50,28,47.4,89,7.4,0.5,7.2,7.5,79,7.6,6.4,.,0,7.9,301,1,7.3,8.2,0.7,2,8,7.6,95,Karen Melendez Hutt,95,47.4,0,0,66.7,13,4,21,55.0,8,7.9
22K269,P.S. 269 Nostrand,8.4,7.7,8.4,0.6,1,8.3,0.8,.,92,68.4,120,.,0.9,7.6,7.9,139,8.1,7.4,.,2,7.9,489,0,7.5,8.5,.,2,3,8.0,144,Phyllis Corbin,152,63.2,0,0,.,10,0,0,80.0,0,8.3
15K529,West Brooklyn Community High School,8.9,7.7,8.1,-0.1,0.2,8.3,-0.3,59.3,0,70.8,8,7.1,0,7.4,8.3,17,8.8,7.1,.,0,8.5,197,1,7.5,8.4,0.4,8,1,8.6,9,Liliana Polo,9,55.0,1,0,48.1,0,0,0,47.8,0,9.4
02M130,P.S. 130 Hernando De Soto,8.5,8.2,7.4,0.6,0.5,8.4,0.6,.,96,57.9,296,.,0.5,7.9,7.7,278,8.2,6.2,.,3,7.8,816,0,7.4,8.2,.,2,1,8.0,289,Lily Woo,303,84.2,0,0,.,9,1,111,60.0,24,7.9
08X075,P.S. 075,8.3,7.4,9.3,1.7,1,8.1,1.3,.,42,78.9,129,.,1.3,7.5,8.1,145,8.0,8.4,.,2,8.3,542,0,7.4,8.3,.,2,2,8.0,121,Marines Arrieta-Cruz,141,68.4,0,0,.,23,3,53,80.0,22,8.1
02M006,P.S. 006 Lillie D. Blake,7.6,7.4,9.0,0.3,0.2,7.5,-0.4,.,47,42.1,178,.,0.1,7.6,7.4,109,7.4,7.3,.,3,7.4,653,0,6.0,7.4,.,2,8,7.0,160,Lauren Fontana,195,47.4,0,0,.,27,0,49,70.0,1,7.8
02M225,Ella Baker School,8.7,8.4,9.5,-0.2,0.2,8.2,-0.4,73.5,1,100.0,13,7.9,-0.1,8.2,8.4,36,8.4,7.5,.,0,8.7,232,1,7.7,9.3,0.1,3,1,8.7,23,Laura Garcia,19,88.5,0,4,104.2,3,0,5,83.3,16,8.1
02M615,Chelsea Career and Technical Education High School,7.0,5.1,7.5,0.4,1.1,7.1,0.5,36.7,0,60.0,46,5.6,0.9,5.8,7.2,41,7.9,6.4,6.8,0,7.1,874,1,4.8,7.8,0.4,7,4,7.6,44,Timothy Timberlake,47,51.5,15,1,37.5,5,2,0,46.4,0,8.2
02M300,"Urban Assembly School of Design and Construction, The",8.3,6.7,7.1,-0.4,-0.2,8.0,-0.3,63.3,0,53.3,20,6.4,-0.3,6.7,7.0,29,8.0,5.5,7.2,0,7.5,366,1,6.3,8.5,-0.3,7,1,7.8,22,Lawrence Pendergast,22,60.6,13,0,66.7,5,1,0,71.4,0,7.9
12X092,P.S. 092 Bronx,8.4,4.3,8.1,-1.2,0.2,7.2,-2.8,.,16,21.1,51,.,-0.6,5.6,7.0,29,7.1,5.7,.,0,7.0,437,0,4.4,7.4,.,2,4,7.1,49,Anthony Wilcox Warn,50,36.8,0,0,.,15,5,7,35.0,4,7.2
11X096,P.S. 096 Richard Rodgers,8.3,6.7,8.7,0.5,0.7,8.2,0.4,.,88,78.9,284,.,0.8,7.1,8.1,266,7.8,7.4,.,0,8.2,831,0,6.6,8.3,.,2,5,8.1,301,Marta Garcia,318,73.7,0,0,.,32,1,106,80.0,6,8.2
02M460,Washington Irving High School,5.4,5.3,4.8,0.4,0.1,5.8,0.3,20,0,6.7,399,5.5,0.3,5.4,5.6,94,6.1,4.6,5.7,21,5.8,2207,1,4.7,6.5,0.4,7,47,6.0,361,Denise Dicarlo,351,3.0,162,3,29.2,140,40,0,21.4,1,6.7
19K302,J.H.S. 302 Rafael Cordero,6.6,6.4,6.9,0.9,1.1,6.7,1.3,36.7,1,46.4,233,6.5,0.4,6.5,6.9,112,7.3,6.5,.,9,6.9,913,1,6.3,7.2,0.2,5,8,6.9,215,Lisa Linder,223,33.3,0,141,45.5,33,5,0,58.6,0,7.6
03M191,P.S. 191 Amsterdam,8.4,6.3,8.9,0.2,0.3,7.7,0.1,61.8,30,72.7,98,6.8,0.3,6.9,7.8,79,7.7,7.2,.,0,7.9,247,0,5.7,8.2,0.4,3,4,7.8,121,Maria Verdesoto,112,76.9,0,12,66.7,8,1,25,75.0,22,8.0
14K449,"Brooklyn Latin School, The",9.0,7.3,6.6,-0.2,0.3,8.9,-0.6,90,0,86.7,14,7.2,-0.5,7.4,8.0,29,8.4,5.8,8.5,0,8.1,95,1,6.9,9.0,-0.7,7,0,8.8,20,Jason Griffiths,17,100.0,23,0,112.5,1,0,0,114.3,0,8.9
08X152,P.S. 152 Evergreen,8.6,7.6,8.2,1.4,0.7,8.1,0.9,.,16,73.7,44,.,0.9,7.5,8.0,63,8.4,7.3,.,0,8.1,721,0,7.9,8.2,.,2,2,8.0,49,Frances Lynch,53,73.7,0,0,.,2,0,9,85.0,11,8.3
12X057,P.S. 057 Crescent,8.4,6.5,8.4,1.6,0.3,7.6,1.1,.,46,52.6,127,.,1.3,7.0,7.6,112,7.9,6.9,.,3,7.7,385,0,6.3,8.0,.,2,4,7.7,135,Edsel Philip,132,52.6,0,0,.,10,1,33,60.0,7,8.0
04M695,Urban Peace Academy,5.6,6.4,6.9,0.2,-0.2,6.5,0.8,.,0,23.3,5,.,1.1,6.2,6.1,3,6.2,5.2,5.2,0,6.1,177,1,6.1,7.5,.,7,1,6.7,6,Flora Greenaway,8,15.2,6,0,.,3,0,0,3.6,0,7.8
01M184,P.S. 184m Shuang Wen,8.3,7.2,8.8,-0.1,0.5,8.2,-0.2,79.4,26,81.8,101,7.3,0.3,7.5,8.0,137,8.2,7.3,.,2,7.6,428,1,6.1,8.4,0.3,3,2,8.1,105,Ling Ling Chou,95,76.9,0,26,50,19,0,42,75.0,12,8.3
02M575,Manhattan Comprehensive Night and Day High School,8.5,7.8,7.2,0.3,0.6,8.3,1.7,63,0,41.7,102,7,0.5,7.3,7.6,111,8.3,6.3,.,0,7.7,707,1,7.2,8.4,0.4,8,2,7.9,94,Howard A. Friedman,116,65.0,87,2,29.6,5,3,0,52.2,0,7.9
02M896,Greenwich Village,8.1,8.0,8.4,1.4,0.6,7.8,1,70,0,78.6,23,6.6,1.1,7.3,7.8,25,7.7,6.7,.,0,8.2,203,1,6.8,8.7,0.8,5,0,8.1,33,Kelly Mcguire,31,80.0,0,23,77.3,4,0,0,75.9,0,8.8
10X276,Leadership Institute,7.1,4.5,5.4,0.9,0.3,5.3,0.6,33.3,1,0.0,22,5.9,0.1,5.2,5.4,6,6.2,4.5,5.1,0,5.6,263,1,4.8,6.8,.,7,3,6.3,26,Marta Colon,19,12.1,10,0,41.7,3,3,0,-10.7,0,7.1
10X477,Marble Hill High School for International Studies,8.1,6.9,6.5,0.1,0.8,8.1,0.5,80,0,63.3,74,6.7,0.3,6.9,7.3,57,7.6,6.0,7.3,3,7.5,389,1,6.2,8.2,0.2,7,2,7.7,89,Kirsten Larson,89,81.8,38,0,70.8,9,2,0,78.6,0,8.2
05M195,I.S. 195 Roberto Clemente,8.0,6.3,6.6,0.4,1.4,7.7,-0.8,50,0,75.0,106,6.4,0.8,6.6,7.7,114,8.1,6.7,.,4,7.7,697,1,5.9,8.3,0.5,5,3,7.9,107,Aura Rivera,115,73.3,0,93,50,14,1,0,79.3,0,8.5
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,8.8,7.1,8.1,0.1,0.3,8.1,0.2,76.5,64,63.6,218,7.5,0.3,7.2,7.6,203,7.6,6.3,.,2,7.8,622,1,7.0,8.4,0.3,3,8,7.9,249,Lourdes Arroyo,242,73.1,0,25,83.3,37,4,43,75.0,11,8.3
12X297,Morris Academy for Collaborative Studies,8.2,7.4,8.0,1.2,0.3,7.9,1.9,56.7,0,86.7,46,6.6,0.2,7.1,8.0,64,8.2,6.9,7.9,0,8.1,403,1,7.4,8.5,0.3,7,4,8.0,55,Charles Osewalt,57,69.7,35,1,58.3,5,0,0,82.1,0,8.6
13K133,P.S. 133 William A. Butler,8.9,7.2,9.5,0.9,0.8,8.3,0.7,.,15,89.5,45,.,0.9,7.7,8.3,88,8.2,8.5,.,0,8.4,226,0,7.1,9.0,.,2,0,8.6,72,Heather D Foster-Mann,58,73.7,0,0,.,9,0,29,80.0,20,8.3
21K090,P.S. 90 Edna Cohen School,8.9,7.8,8.7,0.3,0.7,8.6,0.4,.,43,84.2,97,.,0.9,7.8,8.2,120,8.3,7.4,.,1,8.4,381,0,7.8,8.5,.,2,0,8.3,98,Madelene S. Chan,99,89.5,1,0,.,5,0,28,80.0,28,8.5
09X063,P.S. 063 Author's Academy,8.1,6.5,8.6,0.4,1,8.2,0.2,.,38,84.2,108,.,0.8,7.0,8.2,153,8.3,7.5,.,0,8.3,357,0,6.7,8.5,.,2,4,8.3,122,Reinaldo Diaz-Lens,115,73.7,0,0,.,10,5,51,85.0,10,8.5
17K138,P.S. 138 Brooklyn,7.3,6.7,8.2,1,1.5,7.0,0.9,100,41,59.1,130,8.6,1.6,7.5,7.5,109,7.4,6.8,.,4,7.4,792,1,6.4,7.7,2.5,3,9,7.4,136,Ms. Marie Chauvet-Monchik,131,42.3,2,48,129.2,26,16,26,75.0,25,7.7
11X103,P.S. 103 Hector Fontanez,8.5,6.6,8.2,1.2,1.2,8.1,0.8,.,59,63.2,186,.,1.1,7.0,7.8,178,7.9,7.1,.,2,7.9,865,0,6.7,8.3,.,2,1,8.0,202,Alice Brown,204,63.2,0,0,.,21,2,71,70.0,4,7.9
15K418,The Children's School,8.8,8.1,9.1,0,0,8.2,-0.3,.,18,68.4,39,.,0.1,8.1,7.9,63,8.2,7.0,.,0,8.0,278,0,7.6,9.0,.,2,1,8.5,58,Arthur Mattia,47,68.4,0,0,.,6,0,24,80.0,10,8.3
21K177,P.S. 177 The Marlboro,8.2,7.3,7.9,0.6,0.3,8.1,1.6,.,51,52.6,163,.,0.6,7.2,7.6,148,8.1,6.5,.,1,7.7,718,0,6.6,8.1,.,2,2,7.8,161,Shoshana Singer,185,73.7,0,0,.,12,0,39,60.0,35,8.2
09X064,P.S. 064 Pura Belpre,7.4,6.3,7.5,1.2,1.3,7.2,0.8,.,79,42.1,215,.,1,6.5,7.4,145,7.3,7.7,.,2,7.5,734,0,6.2,7.3,.,2,21,7.2,230,Beverly Harrigan,228,31.6,0,0,.,30,14,43,45.0,4,7.5
