address_1,list_of_all_property_use,weather_normalized_source_1,data_quality_checker_date,parent_property_id,estimated_data_flag,net_emissions_metric_tons,estimated_data_flag_fuel_1,water_use_all_water_sources,ambulatory_surgical_center,race_track_gross_floor_area,medical_office_mri_machine,difference_from_national,library_gross_floor_area,hospital_general_medical_14,costar_property_id,district_chilled_water_use,restaurant_weekly_operating,fuel_oil_1_use_kbtu,propane_use_kbtu,fuel_oil_5_6_use_kbtu,performing_arts_gross_floor,laboratory_gross_floor_area,estimated_data_flag_district,census_tract,office_worker_density_number,data_center_pue,data_center_pdu_input_meter,fitness_center_health_club,courthouse_gross_floor_area,retail_store_percent_that,multifamily_housing_total_1,multifamily_housing_number_4,supermarket_grocery_gross,data_center_pdu_output_meter,natural_gas_use_kbtu,hospital_general_medical_15,food_service_gross_floor,weather_normalized_site,difference_from_national_2,property_gfa_epa_calculated_2,museum_gross_floor_area_ft,energy_star_certification_2,data_center_ups_output_meter,multifamily_housing_number_7,parking_gross_floor_area,multifamily_housing_total,financial_office_weekly,energy_star_certification,year_ending,default_values,office_percent_that_can_be,distribution_center_gross,retail_store_number_of_open,temporary_values,retail_store_walk_in,parent_property_name,transportation_terminal,municipally_supplied_potable_3,hospital_general_medical_13,medical_office_weekly,primary_property_type_epa,fast_food_restaurant_gross,data_center_national_median,hotel_percent_that_can_be,property_gfa_self_reported,municipally_supplied_potable_1,hospital_general_medical_3,alert_gross_floor_area_is
186 Pinehurst Avenue,Multifamily Housing,8205820.7,Not Available,Not Applicable: Standalone Property,No,488.2,No,3649.6,Not Available,Not Available,Not Available,-8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,273.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.99461,0,Not Available,Not Available,Not Available,Not Available,Not Available,3.4,Not Available,Not Available,Not Available,No,Not Available,0.99461,Not Available,65,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,65352,3649.6,Not Available,Ok
140 MARSH AVE,Retail Store,27193927.6,Not Available,Not Applicable: Standalone Property,No,772.8,Not Available,Not Available,Not Available,Not Available,Not Available,-30.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27702.0,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,1761001.3,Not Available,Not Available,13.2,Not Available,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,2013,2015-12-31T00:00:00.000,No,Not Available,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Retail Store,Not Available,Not Available,Not Available,179200,Not Available,Not Available,Ok
41-47 St. Nicholas Terrace,Multifamily Housing,9239712.3,Not Available,Not Applicable: Standalone Property,No,477.2,No,3444.8,Not Available,Not Available,Not Available,-7.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21303.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.07096,0,Not Available,Not Available,527900.1,Not Available,Not Available,5.5,Not Available,Not Available,Not Available,No,Not Available,1.07096,Not Available,71,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,66296,3444.8,Not Available,Ok
643 West 43rd Street,"Non-Refrigerated Warehouse, Office",125149771,Not Available,Not Applicable: Standalone Property,No,4025.8,Not Available,Not Available,Not Available,Not Available,Not Available,-30.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,129.0,7.6337,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28029742.7,Not Available,Not Available,9.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse,Not Available,Not Available,Not Available,928216,Not Available,Not Available,Ok
351 E 68 St,"Medical Office, Office, Other",20504531,Not Available,3615313,No,641,Not Available,Not Available,Not Available,Not Available,Not Available,66,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,118.0,2.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,26.6,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,100,Not Available,Not Available,No,Not Available,Memorial Sloan Kettering Cancer Center 1,Not Available,Not Available,Not Available,60,Medical Office,Not Available,Not Available,Not Available,60274,Not Available,Not Available,Ok
144-25 Roosevelt Avenue,Multifamily Housing,17654614.4,2016-03-30,Not Applicable: Standalone Property,No,1034.7,No,Not Available,Not Available,Not Available,Not Available,0.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,863.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.24902,0,Not Available,Not Available,1012000,Not Available,Not Available,4,Not Available,Not Available,Not Available,No,Not Available,1.24902,Not Available,161,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,128901,Not Available,Not Available,Ok
3215 Netherland Avenue,Multifamily Housing,6334563.1,2016-03-23,Not Applicable: Standalone Property,No,262.3,Not Available,2508.2,Not Available,Not Available,Not Available,-48.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,297.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.85,0,Not Available,Not Available,3705049.9,Not Available,Not Available,2.9,Not Available,Not Available,Not Available,Yes,Not Available,0.85,Not Available,68,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,80000,2508.2,Not Available,Ok
1520 Ocean Avenue,Multifamily Housing,4870911.6,2016-03-09,Not Applicable: Standalone Property,No,199.5,Not Available,4730.3,Not Available,Not Available,Not Available,-39.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,762.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.83601,0,Not Available,Not Available,2906489.8,Not Available,Not Available,2.5,Not Available,Not Available,Not Available,Yes,Not Available,0.83601,Not Available,52,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,62200,4730.3,Not Available,Ok
43-30 46 Street,Multifamily Housing,Not Available,Not Available,Not Applicable: Standalone Property,No,20.2,Not Available,Not Available,Not Available,Not Available,Not Available,-95.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,183.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2,0,Not Available,Not Available,380940,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,100.8,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,84000,Not Available,Not Available,Ok
495 East 178th Street,Multifamily Housing,6294877.1,Not Available,Not Applicable: Standalone Property,No,375.5,No,Not Available,Not Available,Not Available,Not Available,-10.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,395.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.01565,0,Not Available,Not Available,112500,Not Available,Not Available,3.1,Not Available,Not Available,Not Available,No,Not Available,0.32646,Not Available,56,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,55137,Not Available,Not Available,Ok
379 Washington Avenue,Multifamily Housing,18884264.3,Not Available,Not Applicable: Standalone Property,No,741.5,Not Available,Not Available,Not Available,Not Available,Not Available,33.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,197.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.9026,0,Not Available,Not Available,9735613.5,Not Available,Not Available,8.3,Not Available,Not Available,Not Available,No,Not Available,0.9026,Not Available,86,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,95280,Not Available,Not Available,Ok
65-47 / 65-53 160th Street,Multifamily Housing,5611296.3,Not Available,4442829,Not Available,407.5,Not Available,4169.6,Not Available,Not Available,Not Available,-47.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.02857,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available,1.02857,Not Available,72,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Fourth Housing Company Inc.,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,70000,Not Available,Not Available,Ok
1648 West 9th Street,Multifamily Housing,5031959.2,2016-03-15,Not Applicable: Standalone Property,No,207.3,Not Available,719443.1,Not Available,Not Available,Not Available,-33.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,428.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2,0,Not Available,Not Available,3056700,Not Available,Not Available,2.5,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,75.17,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,62640,719443.1,Not Available,Ok
1629 Walton Ave,"Multifamily Housing, Retail Store, Supermarket/Grocery Store",10244803.2,Not Available,Not Applicable: Standalone Property,No,416.9,No,Not Available,Not Available,Not Available,Not Available,2.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22702.0,Not Available,Not Available,Not Available,Not Available,Not Available,16.78,0.89952,0,2424,Not Available,5648873.7,Not Available,Not Available,5.1,Not Available,Not Available,Not Available,No,Not Available,0.89952,Not Available,65,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,79159,Not Available,Not Available,Ok
18-20 East 50th Street,Office,19206872,2016-03-23,Not Applicable: Standalone Property,No,671.7,Not Available,Not Available,Not Available,Not Available,Not Available,44.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,102.0,2.77678,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22.2,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,58341,Not Available,Not Available,Ok
320 Empire Blvd,Multifamily Housing,8417664,2016-03-27,Not Applicable: Standalone Property,No,358.1,Not Available,5757,Not Available,Not Available,Not Available,-24.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,329.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.88686,0,Not Available,Not Available,5332281.1,Not Available,Not Available,3,Not Available,Not Available,Not Available,Yes,Not Available,0.88686,Not Available,77,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,86823,5757,Not Available,Ok
1240 Walton Avenue,"Medical Office, Multifamily Housing",20753082.3,Not Available,Not Applicable: Standalone Property,No,856.4,Not Available,Not Available,Not Available,Not Available,Not Available,-5.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,197.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.96636,0,Not Available,Not Available,12250163.4,Not Available,Not Available,4.1,Not Available,Not Available,Not Available,No,Not Available,0.96636,Not Available,163,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,65,Multifamily Housing,Not Available,Not Available,Not Available,171034,Not Available,Not Available,Ok
86 Fort Washington Ave,Multifamily Housing,Not Available,Not Available,Not Applicable: Standalone Property,No,452.4,Not Available,8527.4,Not Available,Not Available,Not Available,24,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,245.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.9932,0,Not Available,Not Available,6124199.9,Not Available,Not Available,5.1,Not Available,Not Available,Not Available,No,Not Available,0.21153,Not Available,71.6,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,72090,8527.4,Not Available,Ok
97 Horatio Street,Multifamily Housing,3899050.4,2016-03-24,Not Applicable: Standalone Property,No,117.7,Not Available,Not Available,Not Available,Not Available,Not Available,-56.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.65111,53,Not Available,Not Available,111857.9,Not Available,Not Available,4.1,Not Available,Not Available,Not Available,Yes,Not Available,0,Not Available,53,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,81400,Not Available,Not Available,Ok
