property_name,data_center_it_site_energy,district_steam_use_kbtu,alert_energy_meter_has,estimated_data_flag_1,wastewater_treatment_plant,estimated_data_flag_fuel_2,direct_ghg_emissions_metric,address_1,data_center_pdu_output_meter,food_sales_gross_floor_area,primary_property_type,number_of_active_energy_meters_2,hospital_general_medical_9,longitude,percent_of_total_electricity,green_power_onsite_and_offsite,egrid_output_emissions_rate,electricity_use_grid_purchase_1,distribution_center_gross,generation_date,college_university_gross,community_board,reason_s_for_no_score,energy_star_certification_2,latitude,wholesale_club_supercenter,alert_energy_meter_has_gaps,office_percent_that_can_be_1,council_district,default_values,nta,data_center_ups_system,weather_normalized_site,natural_gas_use_therms,supermarket_grocery_number_1,indirect_ghg_emissions,medical_office_weekly,third_party_certification_1,multifamily_housing_number_3,electricity_use_grid_purchase_2,national_median_source_eui,weather_normalized_site_3,multifamily_housing_number_5,construction_status,largest_property_use_type_1,last_modified_date_electric,target_energy_star_score,automobile_dealership_gross,property_notes,ambulatory_surgical_center,manufacturing_industrial,data_center_pue,estimated_data_flag_natural,weather_normalized_site_1,office_number_of_computers,avoided_emissions_offsite,data_center_national_median,postal_code,parking_completely_enclosed,annual_maximum_demand_kw,estimated_data_flag,census_tract,movie_theater_gross_floor,hotel_gym_fitness_center,supermarket_grocery_number,diesel_2_use_kbtu,social_meeting_hall_gross,electricity_use_generated_1,restaurant_gross_floor_area,financial_office_gross_floor,multifamily_housing_number_1,financial_office_number_of_1,office_weekly_operating_hours,_2nd_largest_property_use,outpatient_rehabilitation,municipally_supplied_potable_3
60 West 55th Street Corp,Not Available,2193520.8,Ok,Not Available,Not Available,Not Available,184.1,60 West 55th Street,Not Available,Not Available,Office,0,Not Available,-73.976767,Not Available,0,84.5,671049.8,Not Available,2022-09-23T00:00:00.000,Not Available,105.0,"More than 25% of the Portfolio Manager-Calculated Property GFA is considered ""Other.""",Not Available,40.76244,Not Available,Ok,100,4.0,No,Midtown-Midtown South,Not Available,22.5,34653.96485,Not Available,11.5,Not Available,Not Available,Not Available,671049.9,116.4,661837.2,Not Available,Existing,15550.0,05/20/2022 10:23 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,1.2,40,0,Not Available,10018,Not Available,Not Available,No,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13843,Not Available,Not Available,Not Available,60,Restaurant,Not Available,Not Available
AKAM - 352 West 117th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,126,352 West 117th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.956578,Not Available,0,84.5,215278.8,Not Available,2022-09-22T00:00:00.000,Not Available,110.0,Not Available,Not Available,40.805804,Not Available,Ok,Not Available,9.0,No,Central Harlem South,Not Available,4.7,23723.85512,Not Available,1.4,Not Available,Not Available,Not Available,215278.8,118.8,215328.6,0,Existing,45436.0,03/01/2022 08:55 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,10026,Not Available,Not Available,No,20102.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.36456,Not Available,Not Available,Not Available,Not Available,Not Available
Stellar - 211 Mcguinness Boulevard,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,248.9,211 Mcguinness Boulevard,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.95097,Not Available,0,84.5,1948121.7,Not Available,2022-09-26T00:00:00.000,Not Available,301.0,Not Available,Not Available,40.729525,Not Available,Ok,Not Available,33.0,No,Greenpoint,Not Available,9.5,46870.00213,Not Available,2.7,Not Available,Not Available,Not Available,1948122,120.3,2024533.2,0,Existing,212000.0,03/03/2022 10:25 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.2,Not Available,0,Not Available,11222,Not Available,Not Available,No,575.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.41509,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1956 - 1001 Fifth Ave,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,311.4,1001 Fifth Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.962622,Not Available,0,84.5,730122.6,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.778493,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,6.2,35483.57298,Not Available,1.9,Not Available,Not Available,8,730122.7,119.1,702611,0.65233,Existing,113439.0,03/07/2022 07:11 PM EST,Not Available,Not Available,1-01493-0072,Not Available,Not Available,Not Available,No,0.3,Not Available,0,Not Available,10028,Not Available,Not Available,No,142.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.33993,Not Available,Not Available,Not Available,Not Available,Not Available
Calloway - 59-21 Calloway Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,503.1,59-21 Calloway Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.856826,Not Available,0,84.5,541710.7,Not Available,2022-09-22T00:00:00.000,Not Available,404.0,Not Available,Not Available,40.737582,Not Available,Ok,Not Available,21.0,No,Corona,Not Available,3.3,94716.00394,Not Available,1.0,Not Available,Not Available,17,541710.7,128.5,525437,0,Existing,150000.0,05/20/2022 08:25 PM EDT,Not Available,Not Available,"The overreported GFA is due to the basement inclusion. The basement area is the same size as the building's floor area. In addition, there are about 5 apartments in the basement.",Not Available,Not Available,Not Available,No,0.7,Not Available,0,Not Available,11368,Not Available,Not Available,No,43702.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.4,Not Available,Not Available,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",Not Available,Not Available
150 - 150 West 179th St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,176.2,150 West 179th St,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.913565,Not Available,0,84.5,139936.4,Not Available,2022-09-21T00:00:00.000,Not Available,205.0,Not Available,Not Available,40.855415,Not Available,Ok,Not Available,14.0,No,University Heights-Morris Heights,Not Available,4,33166.71688,Not Available,1.2,Not Available,Not Available,Not Available,139936.4,103.6,135154.2,0,Existing,33564.0,09/06/2022 08:38 PM EDT,Not Available,Not Available,,Not Available,Not Available,Not Available,No,1.1,Not Available,0,Not Available,10453,Not Available,Not Available,No,24502.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.40031,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 2154 - 215 West 88th St,Not Available,Not Available,Ok,Not Available,Not Available,No,687.7,215 West 88th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.974656,Not Available,0,84.5,822872.8,Not Available,2022-09-22T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.789248,Not Available,Ok,100,6.0,Yes,Upper West Side,Not Available,4.5,3452.590893,Not Available,1.3,Not Available,Not Available,4,822872.9,107.9,795988.3,0.52819,Existing,174180.0,03/07/2022 07:20 PM EST,Not Available,Not Available,1-01236-7502,Not Available,Not Available,Not Available,No,0,6,0,Not Available,10024,Not Available,Not Available,No,175.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.9473,Not Available,65,Office,Not Available,Not Available
Progressive - 1279 Sheridan Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,69.6,1279 Sheridan Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.914978,Not Available,0,84.5,151258,Not Available,2022-09-22T00:00:00.000,Not Available,204.0,Not Available,Not Available,40.835844,Not Available,Ok,Not Available,16.0,No,East Concourse-Concourse Village,Not Available,4.9,13107.53529,Not Available,1.4,Not Available,Not Available,Not Available,151258,122.6,149426.7,0,Existing,30800.0,03/03/2022 04:50 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.4,Not Available,0,Not Available,10456,Not Available,Not Available,No,17901.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.52597,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 381 Lenox Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,81.7,381 Lenox Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.943975,Not Available,0,84.5,425757.5,Not Available,2022-09-22T00:00:00.000,Not Available,110.0,Total Number of Residential Living Units is too small,Not Available,40.810574,Not Available,Ok,Not Available,9.0,Yes,Central Harlem North-Polo Grounds,Not Available,10.7,15390.65566,Not Available,3.1,Not Available,Not Available,Not Available,425757.6,118.1,425389.5,0,Existing,27715.0,05/25/2022 08:47 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.4,Not Available,0,Not Available,10027,1600,Not Available,No,224.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.04636,Not Available,Not Available,Retail Store,Not Available,Not Available
DEPM 1480 - 220 East 57th St,Not Available,7782989.2,Ok,Not Available,Not Available,Not Available,10.8,220 East 57th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.966805,Not Available,0,84.5,573712.5,Not Available,2022-09-22T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.759937,Not Available,Ok,100,4.0,Yes,Turtle Bay-East Midtown,Not Available,4.7,2024.86668,Not Available,5.7,Not Available,Not Available,7,573712.6,137.1,558691.9,1.52074,Existing,108500.0,05/14/2022 07:37 PM EDT,Not Available,Not Available,1-01330-0038,Not Available,Not Available,Not Available,No,0,8,0,Not Available,10022,Not Available,Not Available,No,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.52074,Not Available,65,Retail Store,Not Available,Not Available
AKAM - 30 West 60th Street / 345 West 58th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1923.4,30 West 60th Street / 345 West 58th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,,Not Available,0,84.5,2977592.6,Not Available,2022-09-22T00:00:00.000,Not Available,,Not Available,Not Available,,Not Available,Ok,Not Available,,Yes,,Not Available,5.4,346697.5845,Not Available,1.6,65,Not Available,0,2977593,128.1,2929124.3,1.12779,Existing,519600.0,03/07/2022 01:09 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.7,Not Available,0,Not Available,10019,66000,Not Available,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.301,Not Available,Not Available,Parking,Not Available,Not Available
AKAM - 315 East 65th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,546.8,315 East 65th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.961013,Not Available,0,84.5,764756.8,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.764124,Not Available,Ok,Not Available,5.0,No,Lenox Hill-Roosevelt Island,Not Available,4.9,102945.8099,Not Available,1.4,Not Available,Not Available,0,764756.9,98.5,757820.7,0.71135,Existing,154635.0,03/07/2022 08:23 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.7,Not Available,0,Not Available,10065,Not Available,Not Available,No,118.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.71135,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 2352 - 405 East 63rd St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,439,405 East 63rd Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.959844,Not Available,0,84.5,602258,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.761996,Not Available,Ok,Not Available,5.0,No,Lenox Hill-Roosevelt Island,Not Available,4.2,82646.32905,Not Available,1.3,Not Available,Not Available,7,602258.1,129,574112,1.07984,Existing,136131.0,03/07/2022 07:13 PM EST,Not Available,Not Available,1-01458-0005,Not Available,Not Available,Not Available,No,0.7,Not Available,0,Not Available,10065,7000,Not Available,No,10602.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.64547,Not Available,Not Available,Parking,Not Available,Not Available
25 Indian Rd. Owners Corp.,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,282.6,25 Indian Road,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.918951,Not Available,0,84.5,201249.3,Not Available,2022-09-22T00:00:00.000,Not Available,112.0,Not Available,Not Available,40.872631,Not Available,Ok,Not Available,10.0,Yes,Marble Hill-Inwood,Not Available,3.3,1393.42431,Not Available,1.0,Not Available,Not Available,8,201249.3,121.9,194106.1,0,Existing,58296.0,03/02/2022 03:19 AM EST,Not Available,Not Available,1-02250-0054,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10034,Not Available,Not Available,No,307.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.49238,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1424 - 33 East 70th St,Not Available,Not Available,Ok,Not Available,Not Available,No,71.1,33 East 70th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.966096,Not Available,0,84.5,1924448.3,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.770362,Not Available,Ok,Not Available,4.0,Yes,Upper East Side-Carnegie Hill,Not Available,6,13393.53485,Not Available,1.7,Not Available,Not Available,0,1924449,136.4,1924448.3,0.1822,Existing,290884.0,05/22/2022 10:31 PM EDT,Not Available,Not Available,1-01385-7502,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10021,Not Available,Not Available,No,130.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.691,Not Available,Not Available,Retail Store,Not Available,Not Available
615-617 West 113th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,615 West 113th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.966403,Not Available,0,84.5,108484.9,Not Available,2022-09-22T00:00:00.000,Not Available,109.0,"Meter(s) with gaps in meter entries, There is not 12 full months of meter data",Not Available,40.806546,Not Available,Possible Issue,Not Available,7.0,Yes,Morningside Heights,Not Available,3.8,Not Available,Not Available,1.1,Not Available,Not Available,8,108485,118.1,104083.2,0,Existing,27592.0,05/25/2022 05:33 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,0,Not Available,10025,Not Available,Not Available,No,199.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.17454,Not Available,Not Available,Not Available,Not Available,Not Available
Tenant Shop,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,7.9,127-90 Willets Point Boulevard,Not Available,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",0,Not Available,-73.840644,Not Available,0,84.5,192746.8,Not Available,2022-09-23T00:00:00.000,Not Available,407.0,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country),Not Available,40.7609,Not Available,Ok,Not Available,21.0,No,park-cemetery-etc-Queens,Not Available,10.2,1479.000199,Not Available,2.9,Not Available,Not Available,Not Available,192746.8,96.9,194021.4,Not Available,Existing,19000.0,09/23/2022 02:41 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.1,Not Available,0,Not Available,11368,Not Available,Not Available,No,38301.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1916 - 983 Park Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,592.9,983 Park Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.958477,Not Available,0,84.5,1021428.5,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.778415,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,4.9,2008.721864,Not Available,1.4,Not Available,Not Available,Not Available,1021429,123,997635.7,0.28963,Existing,203706.0,04/16/2022 11:10 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10028,Not Available,Not Available,No,140.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.8689,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 62-54 97th Place,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,575.4,62-54 97th Place,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.860953,Not Available,0,84.5,1488915.2,Not Available,2022-09-22T00:00:00.000,Not Available,406.0,Not Available,Not Available,40.733053,Not Available,Ok,100,29.0,Yes,Rego Park,Not Available,5.9,105435.0031,Not Available,1.8,Not Available,Not Available,Not Available,1488915,128.6,1433621.5,0.99615,Existing,206796.0,05/21/2022 07:02 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.5,45.79,0,Not Available,11374,17434,Not Available,No,71702.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.49423,Not Available,65,Office,Not Available,Not Available
AKAM - 115 Central Park West,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1752.5,115 Central Park West,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.976217,Not Available,0,84.5,3185889.2,Not Available,2022-09-22T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.775878,Not Available,Ok,100,6.0,No,Lincoln Square,Not Available,4.8,322229.6278,Not Available,1.4,Not Available,Not Available,0,3185890,109.7,3056135.1,0.38538,Existing,617569.0,03/07/2022 07:24 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.5,21,0,Not Available,10023,Not Available,Not Available,No,157.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.83877,Not Available,40,Office,Not Available,Not Available
URA Group - 234 W 58 Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,420.1,234 W 58 Street,Not Available,Not Available,Office,0,Not Available,-73.980802,Not Available,0,84.5,4245367.2,Not Available,2022-09-21T00:00:00.000,Not Available,105.0,Not Available,Not Available,40.766715,Not Available,Ok,100,4.0,No,Midtown-Midtown South,Not Available,20.4,79084.3411,Not Available,5.9,Not Available,Not Available,Not Available,4245368,195.8,4214594.4,Not Available,Existing,206334.0,03/29/2022 07:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.4,480,0,Not Available,10019,Not Available,Not Available,No,137.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available
DEPM 2262 - 22 West 66th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,149.6,22 West 66th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.979572,Not Available,0,84.5,606104,Not Available,2022-09-22T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.772764,Not Available,Ok,Not Available,6.0,No,Lincoln Square,Not Available,9.9,28168.5225,Not Available,2.9,Not Available,Not Available,Not Available,606104.1,127,606104,0.37515,Existing,61309.0,05/20/2022 08:11 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,10023,Not Available,Not Available,No,149.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.12545,Not Available,Not Available,Not Available,Not Available,Not Available
Stellar - 320-22 East 52nd St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,127.7,320-22 East 52nd Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.966912,Not Available,0,84.5,616485.6,Not Available,2022-09-26T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.755828,Not Available,Ok,Not Available,4.0,Yes,Turtle Bay-East Midtown,Not Available,6.7,24045.40716,Not Available,1.9,Not Available,Not Available,1,616485.6,124,616485.6,0.98518,Existing,86279.0,05/20/2022 07:13 PM EDT,Not Available,Not Available,1-01344-0041,Not Available,Not Available,Not Available,No,0.3,Not Available,0,Not Available,10022,Not Available,Not Available,No,98.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.48356,Not Available,Not Available,Retail Store,Not Available,Not Available
DEPM 2734 - 535 Park Ave,Not Available,4786221.4,Ok,Not Available,Not Available,Not Available,4,535 Park Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.968767,Not Available,0,84.5,444541.9,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.764316,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,4.7,752.4516563,Not Available,4.7,Not Available,Not Available,2,444541.9,121.9,444541.9,0.28477,Existing,94812.0,03/07/2022 07:30 PM EST,Not Available,Not Available,1-01396-0001,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10065,Not Available,Not Available,No,11402.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.84378,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 50 Sutton Place South,Not Available,Not Available,Ok,Not Available,Not Available,No,1233,50 Sutton Place South,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.961895,Not Available,0,84.5,1368201.8,Not Available,2022-09-22T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.755731,Not Available,Ok,Not Available,4.0,No,Turtle Bay-East Midtown,Not Available,4.1,3071.969657,Not Available,1.2,Not Available,Not Available,0,1368202,104.7,1314254.2,0.60683,Existing,319696.0,03/07/2022 07:36 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10022,Not Available,Not Available,No,10601.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.91024,Not Available,Not Available,Not Available,Not Available,Not Available
O'brien's: 1321 Oak Point,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,28.4,1321 Oak Point Ave,Not Available,Not Available,Non-Refrigerated Warehouse,0,Not Available,-73.884322,Not Available,0,84.5,38409.4,Not Available,2022-09-23T00:00:00.000,Not Available,202.0,Not Available,Not Available,40.8105,Not Available,Ok,Not Available,17.0,No,Hunts Point,Not Available,1.4,5344.627816,Not Available,0.4,Not Available,Not Available,Not Available,38409.4,54.1,38409.4,Not Available,Existing,28098.0,04/05/2022 03:15 PM EDT,90,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.2,Not Available,0,Not Available,10474,Not Available,Not Available,No,93.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 416 East 80th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1.3,416 East 80th Street,Not Available,Not Available,K-12 School,0,Not Available,-73.951307,Not Available,0,84.5,255407.3,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.77264,Not Available,Ok,Not Available,5.0,No,Yorkville,Not Available,3.6,247.117626,Not Available,1.1,Not Available,Not Available,Not Available,255407.4,123.3,255407.3,Not Available,Existing,70081.0,03/01/2022 08:55 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10075,Not Available,Not Available,No,136.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 68 Bradhurst Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,398.2,68 Bradhurst Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.942641,Not Available,0,84.5,2280192.5,Not Available,2022-09-22T00:00:00.000,Not Available,110.0,Not Available,Not Available,40.823611,Not Available,Ok,Not Available,9.0,No,Central Harlem North-Polo Grounds,Not Available,9.1,74977.93358,Not Available,2.7,Not Available,Not Available,Not Available,2280193,136.1,2217631.6,0.87307,Existing,206168.0,03/03/2022 01:10 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.3,Not Available,0,Not Available,10039,13522,Not Available,No,259.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.88196,Not Available,Not Available,Fitness Center/Health Club/Gym,Not Available,Not Available
AKAM - 392 Central Park West,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1011.6,392 Central Park West,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.963159,Not Available,0,84.5,1557615.8,Not Available,2022-09-22T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.793779,Not Available,Ok,100,7.0,No,Upper West Side,Not Available,3.6,190451.1377,Not Available,1.1,Not Available,Not Available,0,1557616,117.8,1481278.6,1.01858,Existing,406450.0,03/07/2022 03:27 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.5,3,0,Not Available,10025,0,Not Available,No,185.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.20802,Not Available,65,Office,Not Available,Not Available
DEPM 1566 - 1030 Fifth Ave,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,215.1,1030 Fifth Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.961151,Not Available,0,84.5,794043.1,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Total Number of Residential Living Units is too small,Not Available,40.78023,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,7.8,40501.96266,Not Available,2.3,Not Available,Not Available,2,794043.2,118.1,778954.3,0.16958,Existing,100250.0,03/07/2022 07:11 PM EST,Not Available,Not Available,1-01496-0001,Not Available,Not Available,Not Available,No,0.4,Not Available,0,Not Available,10028,Not Available,Not Available,No,15001.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.7182,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 57 West 38th Street,Not Available,Not Available,Ok,Not Available,Not Available,No,177.1,57 West 38th Street,Not Available,Not Available,Office,0,Not Available,-73.984491,Not Available,0,84.5,532962.7,Not Available,2022-09-22T00:00:00.000,Not Available,105.0,Not Available,Not Available,40.751712,Not Available,Ok,100,4.0,No,Midtown-Midtown South,Not Available,7.8,10.02673794,Not Available,2.3,Not Available,Not Available,Not Available,532962.8,182.2,519913.4,Not Available,Existing,66282.0,03/02/2022 08:18 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,200,0,Not Available,10018,Not Available,Not Available,No,84.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available
"1075 Greene Ave, Brooklyn, NY 11221",Not Available,Not Available,Ok,Not Available,Not Available,Not Available,108.7,"1075 Greene Ave, Brooklyn, NY 11221",Not Available,Not Available,Multifamily Housing,0,Not Available,-73.924561,Not Available,0,84.5,110320.3,Not Available,2022-09-21T00:00:00.000,Not Available,304.0,Not Available,Not Available,40.692531,Not Available,Ok,Not Available,34.0,No,Bushwick South,Not Available,4.2,Not Available,Not Available,1.3,Not Available,Not Available,Not Available,110320.4,139.8,105415,0,Existing,25200.0,09/06/2022 08:38 PM EDT,Not Available,Not Available,"Name: Multifamily Housing - 1075 Greene Ave, Brooklyn, NY 11221; Address: 1075 Greene Ave, Brooklyn, NY 11221; City: Brooklyn; State: NY; Property Type: Multifamily Housing; Year Build: 1931",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,11221,Not Available,Not Available,No,395.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.1746,Not Available,Not Available,Not Available,Not Available,Not Available
