address_1,senior_care_community_gross,performing_arts_gross_floor,estimated_data_flag,annual_maximum_demand_kw,estimated_data_flag_fuel_1,nyc_borough_block_and_lot,multifamily_housing_number_5,difference_from_national_1,supermarket_grocery_gross,estimated_values_energy,convenience_store_with_gas,medical_office_gross_floor,fuel_oil_2_use_kbtu,site_eui_kbtu_ft,electricity_use_generated,office_weekly_operating_hours,last_modified_date_gas_meters,default_values,office_gross_floor_area_ft,annual_maximum_demand_mm,weather_normalized_site_3,financial_office_number_of,indoor_water_use_all_water,postcode,weather_normalized_site_2,district_chilled_water_use,last_modified_date_property,address_2,source_energy_use_adjusted,retail_store_number_of_walk,property_gfa_calculated,other_weekly_operating_hours,source_energy_use_kbtu,multifamily_housing_gross,multifamily_housing_number_1,_2nd_largest_property_use,retail_store_gross_floor,outdoor_water_use_all_water,other_number_of_computers,_2nd_largest_property_use_1,multifamily_housing_percent,ambulatory_surgical_center,other_gross_floor_area_ft,automobile_dealership_gross,electricity_use_generated_2,fuel_oil_5_6_use_kbtu,pre_school_daycare_gross,multifamily_housing_number_6,alert_gross_floor_area_is,college_university_number,food_service_gross_floor,hotel_percent_that_can_be,third_party_certification_2,k_12_school_gross_floor_area,outpatient_rehabilitation
80 Pine Street,Not Available,Not Available,No,Not Available,Not Available,1000390012,Not Available,16.4,Not Available,No,Not Available,Not Available,Not Available,118.7,Not Available,70.37,Not Available,No,1064567,Not Available,16302183.9,Not Available,Not Available,10005,Not Available,Not Available,04/10/2019 04:27 PM EDT,Not Available,244383970.5,Not Available,1119642.0,87,244383970.5,Not Available,Not Available,Parking,Not Available,Not Available,1,35532,Not Available,Not Available,2070,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
411 Thatford Avenue,Not Available,Not Available,No,169.6,No,3036040001,Not Available,-3.9,Not Available,No,Not Available,Not Available,Not Available,66,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,411999.9,Not Available,Not Available,11212,644,Not Available,04/09/2019 04:47 PM EDT,Not Available,9798910.3,Not Available,109200.0,Not Available,9798910.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,109200,Not Available
131 Irwin Street,Not Available,Not Available,No,108.8,Not Available,3087520035,Not Available,-11.3,Not Available,No,Not Available,Not Available,0,72.6,Not Available,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,09/2018,285440,Not Available,Not Available,11235,31224.3,Not Available,04/11/2019 11:58 AM EDT,Not Available,6003399.5,Not Available,56400.0,Not Available,6003399.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,56400,Not Available
2057 Linden Boulevard,Not Available,Not Available,No,Not Available,No,3043280015,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,02/12/2019 02:36 PM EST,No,Not Available,Not Available,Not Available,Not Available,Not Available,11207,Not Available,Not Available,02/12/2019 02:36 PM EST,Not Available,Not Available,Not Available,57010.0,Not Available,Not Available,Not Available,Not Available,Swimming Pool,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,57010,Not Available
1400 Benson Avenue,Not Available,Not Available,No,508.8,Not Available,3063910024,Not Available,21.5,Not Available,No,Not Available,Not Available,276000,79.9,Not Available,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,09/2018,1592799.8,Not Available,Not Available,11228,41169.2,Not Available,04/11/2019 11:58 AM EDT,Not Available,19668433.5,Not Available,121200.0,Not Available,19668433.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,121200,Not Available
225 Adelphi Street,Not Available,Not Available,No,172.1,No,3020910003,Not Available,-1.5,Not Available,No,Not Available,Not Available,Not Available,76,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,08/2018,502307.9,Not Available,Not Available,11205,1859,Not Available,04/09/2019 04:47 PM EDT,Not Available,11552328.2,Not Available,110400.0,Not Available,11552328.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,110400,Not Available
201 warren street,Not Available,Not Available,No,412,Not Available,1000160220,Not Available,10.1,Not Available,No,Not Available,Not Available,Not Available,77.1,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,1190014.9,Not Available,Not Available,10282,43162.2,Not Available,04/09/2019 04:47 PM EDT,Not Available,16366595,Not Available,114125.0,Not Available,16366595,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,114125,Not Available
199 Water Street,Not Available,Not Available,No,Not Available,Not Available,1000747501,Not Available,-12.3,Not Available,No,Not Available,Not Available,Not Available,70.2,Not Available,60,02/08/2019 02:23 PM EST,No,966873,Not Available,16520673.4,Not Available,Not Available,10038,241.8,Not Available,02/22/2019 09:57 AM EST,Not Available,173538099.6,0,1008380.0,Not Available,173538099.6,Not Available,Not Available,Parking,16871,Not Available,Not Available,19490,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,366,Not Available,Not Available,Not Available,Not Available
640 Fifth Avenue,Not Available,Not Available,No,Not Available,Not Available,1012670034,Not Available,-11.1,Not Available,No,Not Available,Not Available,Not Available,68.3,Not Available,61.06,Not Available,No,288063,Not Available,5486534.7,Not Available,5028.9,10019,Not Available,Not Available,04/22/2019 08:13 PM EDT,Not Available,59214548.2,0,356686.0,Not Available,59214548.2,Not Available,Not Available,Retail Store,68623,Not Available,Not Available,68623,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
58-20 Utopia Parkway,Not Available,Not Available,No,769,No,4068820001,Not Available,-34.2,Not Available,No,Not Available,Not Available,Not Available,58.5,Not Available,Not Available,04/09/2019 02:10 PM EDT,No,Not Available,09/2018,2241469.4,Not Available,Not Available,11365,7418,Not Available,04/09/2019 02:10 PM EDT,Not Available,35370264.9,Not Available,364800.0,Not Available,35370264.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,364800,Not Available
3301 Quentin Road,Not Available,Not Available,No,320,Not Available,3077060001,Not Available,-15,Not Available,No,Not Available,Not Available,972486.1,73.3,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,06/2018,520129.7,Not Available,Not Available,11234,54374,Not Available,04/11/2019 11:58 AM EDT,Not Available,11744772,Not Available,112800.0,Not Available,11744772,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,112800,Not Available
200 Monroe Street,Not Available,Not Available,No,188,Not Available,1002590044,Not Available,-41.2,Not Available,No,Not Available,Not Available,2218281.2,39.8,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,290800,Not Available,Not Available,10002,0,Not Available,04/09/2019 04:47 PM EDT,Not Available,5018650.8,Not Available,80720.0,Not Available,5018650.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,80720,Not Available
140 West 102nd Street,Not Available,Not Available,No,336,Not Available,1018550009,Not Available,-7.3,Not Available,No,Not Available,Not Available,Not Available,63.8,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,1108495.1,Not Available,Not Available,10025,26197.4,Not Available,04/09/2019 04:46 PM EDT,Not Available,13650879.2,Not Available,102100.0,Not Available,13650879.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,102100,Not Available
5800 20th Avenue,Not Available,Not Available,No,464,No,3055060006,Not Available,-40.1,Not Available,No,Not Available,Not Available,Not Available,58.9,1376833.8,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,09/2018,893420,Not Available,Not Available,11204,1563.1,Not Available,04/16/2019 02:56 PM EDT,Not Available,25598635.1,Not Available,339600.0,Not Available,25598635.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60388.1,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,339600,Not Available
2697 Westchester Avenue,Not Available,Not Available,No,288,No,2041330200,Not Available,26.7,Not Available,No,Not Available,Not Available,1165961.9,66.9,Not Available,Not Available,04/09/2019 02:09 PM EDT,Yes,Not Available,08/2018,775037.6,Not Available,Not Available,10461,Not Available,Not Available,04/09/2019 02:23 PM EDT,Not Available,10208181.5,Not Available,78000.0,Not Available,10208181.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,78000,Not Available
858 Jamaica Avenue,Not Available,Not Available,No,633.6,Not Available,3041060039,Not Available,33.4,Not Available,No,Not Available,Not Available,786876.1,91.8,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,1314449.2,Not Available,Not Available,11208,49511.1,Not Available,04/09/2019 04:47 PM EDT,Not Available,19206583.8,Not Available,115200.0,Not Available,19206583.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,115200,Not Available
1301 8th Avenue,Not Available,Not Available,No,153.6,Not Available,3011010001,Not Available,-23.1,Not Available,No,Not Available,Not Available,Not Available,59.6,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,278399.9,Not Available,Not Available,11215,19609.8,Not Available,04/09/2019 04:46 PM EDT,Not Available,4671732.1,Not Available,48060.0,Not Available,4671732.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,48060,Not Available
561 Grand Avenue,Not Available,Not Available,No,300,Not Available,3011410005,Not Available,-37.8,Not Available,No,Not Available,Not Available,621000,40.7,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,683778.9,Not Available,Not Available,11238,5542.7,Not Available,04/09/2019 04:47 PM EDT,Not Available,7764778.3,Not Available,86330.0,Not Available,7764778.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,86330,Not Available
279 East 196th Street,Not Available,Not Available,No,216,Not Available,2032950001,Not Available,-17.5,Not Available,No,Not Available,Not Available,0,66.6,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,06/2018,479199.9,Not Available,Not Available,10458,53536.9,Not Available,04/09/2019 02:10 PM EDT,Not Available,10085754.7,Not Available,103300.0,Not Available,10085754.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,103300,Not Available
48-01 90th Street,Not Available,Not Available,No,395.2,Not Available,4018490001,Not Available,-28.3,Not Available,No,Not Available,Not Available,0,60.5,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,1038720,Not Available,Not Available,11373,127781.8,Not Available,04/09/2019 02:10 PM EDT,Not Available,23045156,Not Available,265325.0,Not Available,23045156,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,265325,Not Available
720 Livonia Avenue,Not Available,Not Available,No,Not Available,Not Available,3038260021,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,02/07/2018 12:34 PM EST,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,11207,Not Available,Not Available,08/26/2018 01:52 PM EDT,Not Available,Not Available,Not Available,46060.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,46060,Not Available
1700 Fulton Street,Not Available,Not Available,No,723.4,Not Available,3017010001,Not Available,-27.5,Not Available,No,Not Available,Not Available,0,62.5,1270940.3,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,2554309.2,Not Available,Not Available,11213,193749.5,Not Available,04/16/2019 01:16 PM EDT,Not Available,45444241.2,Not Available,460800.0,Not Available,45444241.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,186309.6,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,460800,Not Available
103 West 107th Street,Not Available,Not Available,No,260,No,1018620011,Not Available,-37.5,Not Available,No,Not Available,Not Available,Not Available,47.7,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,562087.4,Not Available,Not Available,10025,1867.4,Not Available,04/09/2019 04:47 PM EDT,Not Available,10054251.7,Not Available,136800.0,Not Available,10054251.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,136800,Not Available
126-10 109th Avenue,Not Available,Not Available,No,150.4,Not Available,4116070001,Not Available,-2.6,Not Available,No,Not Available,Not Available,Not Available,69.5,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,340800,Not Available,Not Available,11420,54684.7,Not Available,04/11/2019 11:56 AM EDT,Not Available,9085256.9,Not Available,96575.0,Not Available,9085256.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,96575,Not Available
89-02 32nd Avenue,Not Available,Not Available,No,304,Not Available,4014190001,Not Available,-16.7,Not Available,No,Not Available,Not Available,1007400.1,66.3,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,486719.9,Not Available,Not Available,11369,47658.4,Not Available,04/09/2019 02:10 PM EDT,Not Available,10558931.8,Not Available,110525.0,Not Available,10558931.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,110525,Not Available
2840 West 12th Street,Not Available,Not Available,No,116,Not Available,3072660040,Not Available,-13.4,Not Available,No,Not Available,Not Available,0,57.5,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,06/2018,353600,Not Available,Not Available,11224,40749,Not Available,04/11/2019 11:57 AM EDT,Not Available,7475462.9,Not Available,88800.0,Not Available,7475462.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,88800,Not Available
1865 Morris Avenue,Not Available,Not Available,No,246,No,2028270001,Not Available,1,Not Available,No,Not Available,Not Available,Not Available,80.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,05/2018,726599.9,Not Available,Not Available,10453,909.9,Not Available,04/09/2019 02:10 PM EDT,Not Available,15541303.1,Not Available,136025.0,Not Available,15541303.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,136025,Not Available
273 Newport Street,Not Available,Not Available,No,118.4,Not Available,3036060001,Not Available,18.7,Not Available,No,Not Available,Not Available,805505.9,113.9,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,332319.9,Not Available,Not Available,11212,87425.6,Not Available,04/09/2019 04:47 PM EDT,Not Available,13288578.1,Not Available,94800.0,Not Available,13288578.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,94800,Not Available
100 Attorney Street,Not Available,Not Available,No,270,Not Available,1003430001,Not Available,-27.9,Not Available,No,Not Available,Not Available,3521897.8,51.3,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,10/2018,672236.8,Not Available,Not Available,10002,2542,Not Available,04/09/2019 04:47 PM EDT,Not Available,10427475.1,Not Available,119519.0,Not Available,10427475.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,119519,Not Available
Eleven Penn Plaza,Not Available,Not Available,No,Not Available,Not Available,1008070001,Not Available,-16.4,Not Available,No,Not Available,Not Available,Not Available,76.5,Not Available,61.7,Not Available,No,1117695,Not Available,Not Available,Not Available,16025.9,10001,Not Available,Not Available,04/19/2019 08:23 PM EDT,Not Available,187546565.4,Not Available,1130275.0,89.44,187546565.4,Not Available,Not Available,Bank Branch,Not Available,Not Available,3,4972,Not Available,Not Available,4847,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
599 Lexington,Not Available,Not Available,Yes,Not Available,Not Available,1013070023,Not Available,-5.7,Not Available,Yes,Not Available,Not Available,Not Available,70.4,Not Available,83.28,02/12/2019 10:37 AM EST,No,1059041,Not Available,18550321.5,Not Available,15170.4,10022,3654.5,Not Available,03/19/2019 03:22 PM EDT,Not Available,191197002.9,Not Available,1059041.0,Not Available,191197002.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2893 Bedford Avenue,Not Available,Not Available,No,435,Not Available,3075530041,Not Available,-53.9,Not Available,No,Not Available,Not Available,Not Available,29.4,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,1300799.8,Not Available,Not Available,11210,985.5,Not Available,04/11/2019 11:56 AM EDT,Not Available,15245152.8,Not Available,231000.0,Not Available,15245152.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,231000,Not Available
222 West 134th Street,Not Available,Not Available,No,266,Not Available,1019390011,Not Available,-39.8,Not Available,No,Not Available,Not Available,0,46.8,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,553399.9,Not Available,Not Available,10030,43718.9,Not Available,04/09/2019 04:47 PM EDT,Not Available,9859292.1,Not Available,133325.0,Not Available,9859292.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,133325,Not Available
77-02 37th Avenue,Not Available,Not Available,No,582.7,Not Available,4012880001,Not Available,29.7,Not Available,No,Not Available,Not Available,868020,84.2,Not Available,Not Available,04/09/2019 02:10 PM EDT,No,Not Available,09/2018,1299999.9,Not Available,Not Available,11372,43020.2,Not Available,04/09/2019 02:10 PM EDT,Not Available,17710581.4,Not Available,112900.0,Not Available,17710581.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,112900,Not Available
123 Morningside Drive,Not Available,Not Available,No,228.8,Not Available,1018500002,Not Available,-3.6,Not Available,No,Not Available,Not Available,Not Available,83.5,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,506906.3,Not Available,Not Available,10027,54841.9,Not Available,04/09/2019 04:46 PM EDT,Not Available,10562965.9,Not Available,85280.0,Not Available,10562965.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,85280,Not Available
1260 Franklin Avenue,Not Available,Not Available,No,246.4,Not Available,2026150014,Not Available,37.8,Not Available,No,Not Available,Not Available,790877.9,87,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,08/2018,784167.3,Not Available,Not Available,10456,54923.1,Not Available,04/09/2019 02:10 PM EDT,Not Available,13946428.3,Not Available,101669.0,Not Available,13946428.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,101669,Not Available
1594-98 Townsend Avenue,Not Available,Not Available,No,204,Not Available,2028470041,Not Available,-10.8,Not Available,No,Not Available,Not Available,248400,61,Not Available,Not Available,04/09/2019 02:10 PM EDT,No,Not Available,10/2018,460799.9,Not Available,Not Available,10452,12815.7,Not Available,04/09/2019 02:10 PM EDT,Not Available,5980487.9,Not Available,50570.0,Not Available,5980487.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,50570,Not Available
124 Monitor Street,Not Available,Not Available,No,104.4,Not Available,3026880042,Not Available,-17.7,Not Available,No,Not Available,Not Available,897138.1,53,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,283680,Not Available,Not Available,11222,24511.3,Not Available,04/09/2019 04:47 PM EDT,Not Available,6134489.6,Not Available,80400.0,Not Available,6134489.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,80400,Not Available
2630 Benson Avenue,Not Available,Not Available,No,311.4,Not Available,3068830001,Not Available,-40,Not Available,No,Not Available,Not Available,0,58.1,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,07/2018,1042399.8,Not Available,Not Available,11214,155506.2,Not Available,04/11/2019 11:58 AM EDT,Not Available,25987131.5,Not Available,324000.0,Not Available,25987131.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,324000,Not Available
345 Chambers Street,Not Available,Not Available,No,1433.8,Not Available,1000160215,Not Available,24.9,Not Available,No,Not Available,Not Available,0,87,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,6892799.2,Not Available,Not Available,10282,186354.5,Not Available,04/09/2019 04:47 PM EDT,Not Available,85324562.8,Not Available,483250.0,Not Available,85324562.8,Not Available,Not Available,Swimming Pool,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,483250,Not Available
1 Albermarle Road,Not Available,Not Available,No,142.4,Not Available,3053230032,Not Available,-17.7,Not Available,No,Not Available,Not Available,1007261.9,68.3,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,325440,Not Available,Not Available,11218,39921,Not Available,04/09/2019 04:47 PM EDT,Not Available,8174207.8,Not Available,87440.0,Not Available,8174207.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,87440,Not Available
564 Jackson Avenue,Not Available,Not Available,No,256,No,2026420001,Not Available,-19.8,Not Available,No,Not Available,Not Available,Not Available,60.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,05/2018,474775,Not Available,Not Available,10455,384.9,Not Available,04/09/2019 02:10 PM EDT,Not Available,9263884.6,Not Available,103280.0,Not Available,9263884.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,103280,Not Available
111 Columbia Street,Not Available,Not Available,No,392,Not Available,1003350001,Not Available,-0.8,Not Available,Yes,Not Available,Not Available,Not Available,92.6,416081.5,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,772312.7,Not Available,Not Available,10002,647.3,Not Available,04/16/2019 03:05 PM EDT,Not Available,24306509.2,Not Available,181200.0,Not Available,24306509.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3112.8,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,181200,Not Available
35 Starr Street,Not Available,Not Available,No,376,No,3031850001,Not Available,-9.9,Not Available,No,Not Available,Not Available,Not Available,57.3,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,811759.4,Not Available,Not Available,11221,722,Not Available,04/09/2019 04:47 PM EDT,Not Available,16170756.2,Not Available,193200.0,Not Available,16170756.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,193200,Not Available
2185 Bathgate Avenue,Not Available,Not Available,No,128.8,Not Available,2030490037,Not Available,-6.5,Not Available,No,Not Available,Not Available,759275.9,82,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,258240,Not Available,Not Available,10457,52755,Not Available,04/09/2019 02:10 PM EDT,Not Available,8649470,Not Available,82880.0,Not Available,8649470,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,82880,Not Available
5550 Riverdale Avenue,Not Available,Not Available,No,187.5,Not Available,2058501550,Not Available,-15.3,Not Available,No,Not Available,Not Available,344999.9,74.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,06/2018,430439.9,Not Available,Not Available,10471,38214.3,Not Available,04/09/2019 02:10 PM EDT,Not Available,8400827,Not Available,74460.0,Not Available,8400827,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,74460,Not Available
