unique_key,created_date,closed_date,intersection_street_2,y_coordinate_state_plane,community_board,vehicle_type,:@computed_region_yeji_bk3q,longitude
53917109,2022-04-14T17:23:52.000,2022/04/14 17:47,NEHRING AVENUE,154308.0,02 STATEN ISLAND,,1.0,-74.15399060721148
53918429,2022-04-14T19:46:24.000,2022-04-14T21:21:01.000,2 AVENUE,231292.0,11 MANHATTAN,,4.0,-73.93662108591808
53923140,2022-04-15T14:11:01.000,2022-04-18T10:06:56.000,EDGAR GARZON CORNER,212251.0,03 QUEENS,,3.0,-73.88959351235997
53921225,2022-04-15T17:09:00.000,2022-04-18T07:53:00.000,,261619.0,08 BRONX,,5.0,-73.88999051795918
53923449,2022-04-15T08:12:55.000,2022-06-03T00:00:00.000,,167404.0,10 BROOKLYN,,2.0,-74.02900342133599
53918088,2022-04-14T04:48:26.000,2022-04-14T06:29:08.000,EAST  156 STREET,237784.0,01 BRONX,,5.0,-73.90853536744355
53916292,2022-04-14T20:23:51.000,2022-04-27T17:47:55.000,,220085.0,01 QUEENS,,3.0,-73.9086490205521
53923883,2022-04-15T13:21:11.000,2022-04-30T14:15:00.000,,250912.0,05 BRONX,,5.0,-73.91645299636104
53918034,2022-04-14T08:41:12.000,2022-04-14T10:05:57.000,110 AVENUE,192422.0,12 QUEENS,,3.0,-73.78875443673253
53929065,2022-04-16T08:50:05.000,2022-05-19T08:29:08.000,253 STREET,178090.0,13 QUEENS,,3.0,-73.73851282645106
53921360,2022-04-15T18:51:16.000,2022-04-15T19:11:04.000,WEST   96 STREET,228920.0,07 MANHATTAN,,4.0,-73.97337529330953
53918564,2022-04-14T23:14:52.000,2022-04-15T16:13:41.000,,199293.0,Unspecified QUEENS,,3.0,-73.79547615065287
53928975,2022-04-16T20:52:52.000,2022-04-18T15:02:43.000,,199293.0,08 QUEENS,,3.0,-73.79547615065287
53921582,2022-04-15T22:01:21.000,2022-04-15T23:03:50.000,FLATBUSH AVENUE,179734.0,09 BROOKLYN,,2.0,-73.96099798320904
53931420,2022-04-16T20:43:58.000,2022/04/20 18:07,,202405.0,06 QUEENS,,3.0,-73.83888952208746
53924559,2022-04-15T10:00:16.000,2022-04-15T11:48:45.000,131 STREET,190344.0,10 QUEENS,,3.0,-73.8133679772509
53918066,2022-04-14T18:22:44.000,2022-04-14T18:34:26.000,37 DRIVE,213805.0,03 QUEENS,,3.0,-73.86017030348218
53917719,2022-04-14T15:49:42.000,2022-04-18T08:50:35.000,EAST   59 STREET,216386.0,08 MANHATTAN,,4.0,-73.96431417611583
53917972,2022-04-14T09:51:34.000,2022-04-14T11:34:00.000,CROSSFIELD AVENUE,143913.0,03 STATEN ISLAND,,1.0,-74.17347086065774
53921595,2022-04-15T23:09:08.000,2022-04-16T01:36:26.000,ST ANNS AVENUE,238537.0,01 BRONX,,5.0,-73.91061001764103
53921126,2022-04-15T08:02:15.000,2022-04-16T14:30:50.000,118 STREET,192043.0,09 QUEENS,,3.0,-73.8294850141044
53920089,2022-04-14T13:57:34.000,2022-04-26T10:45:27.000,PITKIN AVENUE,184693.0,05 BROOKLYN,,2.0,-73.88865164255539
53921355,2022-04-15T19:23:57.000,2022-04-15T19:31:30.000,VANDERBILT AVENUE,186215.0,08 BROOKLYN,,2.0,-73.9695031817157
53932361,2022-04-16T22:33:00.000,2022-04-16T22:54:21.000,CLINTON STREET,201751.0,03 MANHATTAN,,4.0,-73.98510800117609
53919596,2022-04-14T21:27:25.000,2022-04-27T12:18:18.000,,203605.0,08 QUEENS,,3.0,-73.8183927522291
53922504,2022-04-15T23:27:45.000,2022-04-16T00:45:37.000,BELL BOULEVARD,217802.0,11 QUEENS,,3.0,-73.77132860459679
53920794,2022-04-15T11:11:21.000,2022-04-15T21:02:05.000,,243002.0,Unspecified MANHATTAN,,4.0,-73.94584875656952
53919095,2022-04-14T13:12:00.000,2022-04-15T10:40:00.000,,196186.0,05 QUEENS,,3.0,-73.90605911317155
53916734,2022-04-14T19:45:25.000,2022-04-15T09:33:30.000,23 AVENUE,164101.0,12 BROOKLYN,,2.0,-73.97751288416055
53916493,2022-04-14T19:18:55.000,2022-04-14T19:59:56.000,AVENUE N,165375.0,18 BROOKLYN,,2.0,-73.92413849719446
53916986,2022-04-14T23:25:07.000,2022-04-15T00:17:55.000,73 STREET,170510.0,10 BROOKLYN,,2.0,-74.03237225560268
53923413,2022-04-15T21:44:40.000,2022-04-15T23:33:15.000,LENOX AVENUE,236342.0,10 MANHATTAN,,4.0,-73.93784343008494
53926385,2022-04-15T16:05:00.000,2022-04-22T11:45:00.000,,227021.0,07 MANHATTAN,,4.0,-73.96649059853259
53920070,2022-04-14T20:02:17.000,2022-04-15T10:33:43.000,37 ROAD,211853.0,03 QUEENS,,3.0,-73.89166691964438
53917588,2022-04-14T23:45:26.000,2022-04-15T03:06:28.000,FT HAMILTON PARKWAY,173840.0,12 BROOKLYN,,2.0,-73.99311747571322
53917342,2022-04-14T17:12:10.000,2022-04-14T19:28:21.000,23 AVENUE,220515.0,01 QUEENS,,3.0,-73.90720687437863
53921380,2022-04-15T19:05:55.000,2022-08-26T00:00:00.000,,188629.0,06 BROOKLYN,,2.0,-73.99762390341662
53931924,2022-04-16T12:57:11.000,2022-04-16T15:16:43.000,37 AVENUE,213629.0,03 QUEENS,,3.0,-73.87050478621737
53917699,2022-04-14T07:03:53.000,2023-06-09T11:34:01.000,2 AVENUE,209219.0,06 MANHATTAN,,4.0,-73.97842016720438
53916084,2022-04-14T10:22:00.000,2022-04-13T10:21:00.000,BRYANT AVENUE,241244.0,03 BRONX,,5.0,-73.88899894988005
53920139,2022-04-14T09:00:45.000,2022-04-16T15:20:58.000,LIVINGSTON STREET,190302.0,02 BROOKLYN,,2.0,-73.98340944895261
53920063,2022-04-14T09:27:32.000,2022-04-14T10:52:06.000,PELHAM LINE,249948.0,10 BRONX,,5.0,-73.82733166515054
53917265,2022-04-14T21:44:17.000,2022-04-14T23:52:54.000,ROGERS AVENUE,180787.0,09 BROOKLYN,,2.0,-73.95484710998464
53921882,2022-04-15T08:51:03.000,2022-04-15T09:21:52.000,LEXINGTON AVENUE,224357.0,08 MANHATTAN,,4.0,-73.9527980631369
53920406,2022-04-15T17:37:10.000,2022-04-15T19:50:04.000,79 STREET,197865.0,05 QUEENS,,3.0,-73.87445912505679
53916192,2022-04-14T15:30:44.000,2022-04-14T20:36:10.000,WHITE PLAINS ROAD LINE,264470.0,12 BRONX,,5.0,-73.85957034955099
53921291,2022-04-15T22:51:15.000,2022-04-15T23:12:05.000,JOHN L NELSON WAY,227145.0,07 MANHATTAN,,4.0,-73.9709395909746
53920671,2022-04-15T19:05:45.000,2022-04-15T19:47:43.000,AVENUE O,164620.0,18 BROOKLYN,,2.0,-73.92391752547981
53924405,2022-04-15T21:19:12.000,2022-04-15T22:13:15.000,DEAD END,143556.0,03 STATEN ISLAND,,1.0,-74.16176822983923
53920112,2022-04-14T17:19:40.000,2022-04-20T14:09:37.000,AVENUE Y,155087.0,15 BROOKLYN,,2.0,-73.93551258085643
53920865,2022-04-15T08:45:53.000,2022-04-15T09:57:15.000,ROBERT J CRAWFORD CORNER,162649.0,18 BROOKLYN,,2.0,-73.93487662963203
53918111,2022-04-14T09:40:45.000,2022-04-18T00:00:00.000,,251647.0,12 MANHATTAN,,4.0,-73.92978252134154
53923861,2022-04-15T07:54:24.000,2022-04-27T08:43:30.000,,245528.0,04 BRONX,,5.0,-73.9141730061352
53918210,2022-04-14T13:41:00.000,2022-04-15T22:00:00.000,NASSAU AVENUE,203286.0,01 BROOKLYN,,2.0,-73.94817055292614
53920281,2022-04-15T03:35:12.000,2022-04-15T03:49:35.000,GLEASON AVENUE,241156.0,09 BRONX,,5.0,-73.86559526539071
53923737,2022-04-15T20:12:14.000,2022-04-15T21:04:01.000,2 AVENUE,231292.0,11 MANHATTAN,,4.0,-73.93662108591808
