address,net_operating_income_2,net_operating_income,estimated_expense_2,estimated_gross_income_1,full_market_value,distance_from_co_op_in_miles_2,net_operating_income_3,distance_from_co_op_in_miles_1,neighborhood_2,neighborhood_1,estimated_expense_3,expense_per_sqft,year_built_2,expense_per_sqft_2,distance_from_co_op_in_miles,gross_sqft_3,gross_income_per_sqft_2,building_classification_2,report_year,building_classification_3,address_2,neighborhood_3
130 EAST 18 STREET,6221287,5630041,2998476,2510090,45724000,0.05,7086641.0,0.32,GRAMERCY,GRAMERCY,4178333.0,17.7,1974,14.97,0.13,236064.0,46.03,D3  -ELEVATOR,2019,D6  -ELEVATOR,401 2 AVENUE,GRAMERCY
463 WEST 44 STREET,769275,519100,308925,1002457,4216000,,,0.19,CLINTON,CLINTON,,18.51,1999,13.73,0.05,,47.92,D3  -ELEVATOR,2019,,530 WEST 47 STREET,
358 LAFAYETTE STREET,1325507,1477930,284405,7155928,12003000,1.16,1421614.0,0.85,CIVIC CENTER,SOHO,400817.0,12.93,1915,11.05,0.64,30999.0,62.55,D7  -ELEVATOR,2019,D6  -ELEVATOR,81 FRANKLIN STREET,CIVIC CENTER
65 CENTRAL PARK WEST,3740243,7078026,1643053,12100379,57484000,1.04,6047550.0,0.94,UPPER EAST SIDE (79-96),UPPER WEST SIDE (59-79),2540034.0,16.33,1969,16.1,0.35,155544.0,52.75,D6  -ELEVATOR,2019,D9  -ELEVATOR,985 5 AVENUE,UPPER EAST SIDE (79-96)
237 WEST 15 STREET,803134,262274,351250,1198126,2130000,0.05,400400.0,0.0,CHELSEA,CHELSEA,190624.0,15.83,1910,16.23,0.05,11200.0,53.34,C7  -WALK-UP,2019,C7  -WALK-UP,242 WEST 16 STREET,CHELSEA
228 EAST 2 STREET,1438282,550464,597079,920964,4471000,0.17,780570.0,0.0,ALPHABET CITY,ALPHABET CITY,370818.0,13.62,2002,11.96,0.11,27226.0,40.77,D1  -ELEVATOR,2019,D1  -ELEVATOR,222 EAST 3 STREET,ALPHABET CITY
26 BEDFORD STREET,403798,271880,87467,604099,2208000,0.14,282272.0,0.14,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,66793.0,12.95,1920,9.31,0.04,6740.0,52.29,C4  -WALK-UP,2019,C4  -WALK-UP,14 JONES STREET,GREENWICH VILLAGE-WEST
315 WEST 70 STREET,1866717,9637083,861600,1837248,78268000,0.19,1521099.0,0.14,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),715694.0,17.53,1920,17.53,0.14,40050.0,55.51,D7  -ELEVATOR,2019,D6  -ELEVATOR,225 WEST 71 STREET,UPPER WEST SIDE (59-79)
455 WEST 35 STREET,962399,558835,563381,278504,4539000,0.7,401322.0,0.61,CLINTON,JAVITS CENTER,162236.0,10.1,1920,10.66,0.1,18975.0,28.87,D1  -ELEVATOR,2019,C1  -WALK-UP,525 WEST 47 STREET,CLINTON
20 UNIVERSITY PLACE,1410313,15002400,726708,27178850,121842000,0.05,359038.0,0.28,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,189183.0,19.78,1906,19.22,0.17,10015.0,56.52,D5  -ELEVATOR,2019,D7  -ELEVATOR,58 WEST 14 STREET,GREENWICH VILLAGE-CENTRAL
453 WEST 43 STREET,223740,195702,112320,341749,1590000,,,0.15,CLINTON,CLINTON,,14.2,1910,12.48,0.0,,37.34,C1  -WALK-UP,2019,,457 WEST 46 STREET,
465 WEST 46 STREET,360575,1938973,96973,1638851,15748000,0.0,725335.0,0.1,CLINTON,CLINTON,296081.0,8.73,1920,8.2,0.1,24571.0,38.69,C7  -WALK-UP,2019,C7  -WALK-UP,701 9 AVENUE,CLINTON
14 WEST 17 STREET,2267692,1598702,814724,2252646,12984000,0.22,929242.0,0.16,FLATIRON,FLATIRON,404979.0,13.75,1984,12.88,0.15,29453.0,48.73,D6  -ELEVATOR,2019,D6  -ELEVATOR,75 5 AVENUE,FLATIRON
41 WEST 82 STREET,1617308,1562005,486438,2013183,12684000,,,0.42,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),,16.25,1900,9.76,0.22,,42.21,D1  -ELEVATOR,2019,,412 WEST END AVENUE,
157 3 AVENUE,556721,4489672,176231,7391088,36463000,0.38,4629226.0,0.13,GRAMERCY,GRAMERCY,2101024.0,17.06,1910,11.38,0.05,145299.0,47.33,D6  -ELEVATOR,2019,D6  -ELEVATOR,52 IRVING PLACE,GRAMERCY
69 8 AVENUE,350163,448956,155257,578071,3646000,0.16,468825.0,0.0,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,248220.0,23.64,1910,20.91,0.16,10500.0,68.07,C5  -WALK-UP,2019,C7  -WALK-UP,316 WEST 14 STREET,GREENWICH VILLAGE-WEST
84 HORATIO STREET,359317,272025,144516,755139,2209000,0.25,302994.0,0.13,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,168421.0,18.61,1900,16.12,0.04,9050.0,56.2,C4  -WALK-UP,2019,C4  -WALK-UP,43 JANE STREET,GREENWICH VILLAGE-WEST
100 SUFFOLK STREET,506195,220326,390621,270945,1789000,0.0,158832.0,0.18,LOWER EAST SIDE,LOWER EAST SIDE,131040.0,17.79,1900,17.44,0.18,7200.0,40.04,C1  -WALK-UP,2019,C4  -WALK-UP,157 SUFFOLK STREET,LOWER EAST SIDE
522 WEST 50 STREET,263560,288867,137016,457871,2346000,0.17,387923.0,0.1,CLINTON,CLINTON,160464.0,15.57,1915,15.57,0.0,12315.0,45.52,C1  -WALK-UP,2019,C4  -WALK-UP,514 WEST 48 STREET,CLINTON
34 EAST 10 STREET,1354591,1308102,401513,4081409,10624000,1.47,1056756.0,1.16,CIVIC CENTER,SOHO,399577.0,12.89,1915,15.6,0.88,30999.0,68.23,D7  -ELEVATOR,2019,D6  -ELEVATOR,81 FRANKLIN STREET,CIVIC CENTER
420 WEST 46 STREET,283296,344584,129770,456153,2799000,,,0.05,CLINTON,CLINTON,,13.58,1910,13.82,0.15,,43.99,C4  -WALK-UP,2019,,439 WEST 46 STREET,
211 EAST 18 STREET,1741514,3356362,934626,7470118,27259000,0.1,1458900.0,0.24,GRAMERCY,GRAMERCY,622350.0,16.17,1980,16.17,0.05,45000.0,46.3,D3  -ELEVATOR,2019,D8  -ELEVATOR,214 EAST 24 STREET,GRAMERCY
242 MADISON AVENUE,2486891,5213514,1041835,2166885,42342000,0.5,1081001.0,0.24,MURRAY HILL,MURRAY HILL,415416.0,13.09,1924,14.65,0.05,30658.0,49.62,D6  -ELEVATOR,2019,D5  -ELEVATOR,15 PARK AVENUE,MURRAY HILL
55 1/2 DOWNING STREET,208641,344505,79602,418764,2798000,0.12,224437.0,0.23,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,76580.0,8.07,1875,9.87,0.09,9305.0,35.74,C5  -WALK-UP,2019,C4  -WALK-UP,23 BARROW STREET,GREENWICH VILLAGE-WEST
304 WEST 75 STREET,5668677,2279098,2658726,1552205,18510000,0.12,1180674.0,0.15,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),539073.0,13.46,1925,14.08,0.31,40050.0,44.1,D6  -ELEVATOR,2019,D6  -ELEVATOR,365 WEST END AVENUE,UPPER WEST SIDE (59-79)
13 DOWNING STREET,217365,279156,64165,484640,2267000,0.14,313324.0,0.14,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,83897.0,9.52,1920,9.52,0.04,9395.0,41.77,C4  -WALK-UP,2019,C4  -WALK-UP,15 CORNELIA STREET,GREENWICH VILLAGE-WEST
1 WEEHAWKEN STREET,267356,161399,133725,421544,1311000,0.31,251862.0,0.29,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,166701.0,16.46,1901,14.01,0.25,9050.0,42.02,C4  -WALK-UP,2019,C4  -WALK-UP,72 CHARLES STREET,GREENWICH VILLAGE-WEST
400 WEST 23 STREET,2258724,756872,960418,1479860,6147000,0.47,4114901.0,0.14,CHELSEA,CHELSEA,2013812.0,15.69,1999,14.07,0.1,128350.0,47.16,D7  -ELEVATOR,2019,D7  -ELEVATOR,460 WEST 20 STREET,CHELSEA
35 WEST 81 STREET,1025148,1782635,585213,4822236,14478000,0.26,444901.0,0.18,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),287736.0,15.71,1930,15.71,0.0,17046.0,43.23,D3  -ELEVATOR,2019,D1  -ELEVATOR,158 WEST 81 STREET,UPPER WEST SIDE (79-96)
38 EAST 10 STREET,4107805,5303132,1803396,11437587,43069000,0.43,2204988.0,0.11,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,994586.0,14.47,1962,14.47,0.12,101800.0,47.43,D7  -ELEVATOR,2019,D1  -ELEVATOR,60 EAST 12 STREET,EAST VILLAGE
54 EAST 11 STREET,13437615,752122,8398509,1166869,6108000,0.1,1218966.0,0.16,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,743790.0,14.91,1976,17.15,0.19,43395.0,44.59,D6  -ELEVATOR,2019,D8  -ELEVATOR,300 MERCER STREET,GREENWICH VILLAGE-CENTRAL
840 BROADWAY,1545296,1531593,630095,1293534,12439000,0.1,1320011.0,0.08,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,530019.0,12.29,1940,14.52,0.1,37299.0,50.13,D8  -ELEVATOR,2019,D5  -ELEVATOR,107 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL
35 WEST 90 STREET,162136,2288621,143139,1863385,18587000,0.26,1665841.0,0.05,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),1644882.0,18.46,1930,18.46,0.05,83837.0,39.37,D3  -ELEVATOR,2019,D3  -ELEVATOR,4 WEST 90 STREET,UPPER WEST SIDE (79-96)
318 WEST 36 STREET,207929,260689,123423,2184693,2117000,0.19,231906.0,0.26,FASHION,FASHION,146019.0,11.84,1910,13.32,0.0,9575.0,35.76,C7  -WALK-UP,2019,C7  -WALK-UP,606 8 AVENUE,FASHION
319 WEST 47 STREET,516348,273914,105733,517351,2225000,0.15,278342.0,0.41,MIDTOWN WEST,MIDTOWN WEST,119361.0,14.79,1909,9.1,0.05,9980.0,53.54,C7  -WALK-UP,2019,C7  -WALK-UP,854 7 AVENUE,MIDTOWN WEST
37 WEST 12 STREET,1020511,8024468,438576,6423303,65171000,1.63,1054586.0,1.32,CIVIC CENTER,SOHO,586501.0,18.92,1915,17.04,0.98,30999.0,56.69,D7  -ELEVATOR,2019,D6  -ELEVATOR,81 FRANKLIN STREET,CIVIC CENTER
307 WEST 20 STREET,280668,422486,104587,247152,3431000,0.0,312350.0,0.17,CHELSEA,CHELSEA,127225.0,14.84,1901,13.4,0.05,8720.0,49.36,C4  -WALK-UP,2019,C4  -WALK-UP,219 WEST 20 STREET,CHELSEA
143 SULLIVAN STREET,473868,386727,204353,1054875,3141000,0.15,438745.0,0.15,SOHO,SOHO,207428.0,15.14,1920,17.28,0.1,11826.0,57.35,C4  -WALK-UP,2019,C4  -WALK-UP,22 KING STREET,SOHO
270 9 AVENUE,11122176,33419421,696919,11228823,270976000,0.47,3474273.0,0.67,MURRAY HILL,CHELSEA,1181458.0,6.55,1998,1.71,0.36,170978.0,29.0,D8  -ELEVATOR,2019,D8  -ELEVATOR,7 EAST 28 STREET,FASHION
165 HUDSON STREET,62846771,961800,27137035,2622682,7811000,0.3,1051664.0,0.36,TRIBECA,TRIBECA,500902.0,15.27,1975,13.77,0.29,32803.0,45.66,D6  -ELEVATOR,2019,D7  -ELEVATOR,310 GREENWICH STREET,CIVIC CENTER
36 WEST 84 STREET,2732252,1234756,1160483,675533,10028000,0.23,1074318.0,0.19,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),410879.0,11.03,1929,12.02,0.16,37251.0,40.32,D3  -ELEVATOR,2019,D3  -ELEVATOR,144 WEST 86 STREET,UPPER WEST SIDE (79-96)
210 EAST 21 STREET,576849,660431,173400,1707899,5364000,0.13,902905.0,0.13,GRAMERCY,GRAMERCY,428177.0,13.53,1912,13.53,0.13,24894.0,58.54,D7  -ELEVATOR,2019,D6  -ELEVATOR,226 3 AVENUE,GRAMERCY
72 CLINTON STREET,367680,441982,176160,1083158,3590000,0.18,450132.0,0.41,LOWER EAST SIDE,LOWER EAST SIDE,195999.0,14.68,1909,14.68,0.47,14497.0,45.32,C7  -WALK-UP,2019,C7  -WALK-UP,112 ELDRIDGE STREET,LOWER EAST SIDE
57 THOMPSON STREET,400517,578423,135113,360447,4698000,0.11,692630.0,0.0,SOHO,SOHO,253927.0,12.89,1900,12.89,0.0,18740.0,51.1,C1  -WALK-UP,2019,C1  -WALK-UP,67 THOMPSON STREET,SOHO
