property_name,movie_theater_gross_floor,transportation_terminal,estimated_savings_from_energy_1,estimated_data_flag,restaurant_worker_density,data_center_pue,alert_data_center_does_not,alert_property_has_no_uses,estimated_data_flag_natural,other_gross_floor_area_ft,energy_star_score,multifamily_housing_number_7,wholesale_club_supercenter,self_storage_facility_gross,multifamily_housing_percent,source_energy_use_kbtu,medical_office_percent_that_1,alert_meter_has_less_than,district_steam_cost,alert_individual_monthly,multifamily_housing_government,site_energy_use_kbtu,automobile_dealership_gross,food_sales_gross_floor_area,alert_no_meters_are_associated,electricity_grid_purchase,council_district,water_wastewater_estimated,investment_in_energy_projects,office_percent_that_can_be_1,national_median_site_energy,liquid_propane_use_kbtu,weather_normalized_site_3,natural_gas_use_kbtu,nta,urgent_care_clinic_other,multifamily_housing_resident,parent_property_name,multifamily_housing_number_4,parking_open_parking_lot,bank_branch_gross_floor_area,national_median_reference,weather_normalized_source,financial_office_number_of_1,hospital_general_medical_7,convenience_store_with_gas,hospital_general_medical_5,medical_office_percent_that,leed_us_project_id,repair_services_vehicle_shoe,investment_in_energy_projects_1,energy_star_certification,year_ending,retail_store_number_of_walk,data_center_gross_floor_area,temporary_values,data_center_cooling_equipment,distribution_center_gross,parent_property_id,hotel_percent_that_can_be,race_track_gross_floor_area,hotel_room_density_number,hospital_general_medical_13,library_gross_floor_area
49 ARLO RD ENT,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,81,0,Not Available,Not Available,Not Available,3477353.8,Not Available,Possible Issue,Not Available,Ok,Not Available,2240268.8,Not Available,Not Available,Ok,0,49.0,Not Available,0,Not Available,2818253,Not Available,157770.1,1701957,Grymes Hill-Clifton-Fox Hills,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,86.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
2112 Starling Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,52,1.47387,Not Available,Not Available,0,7689352.6,Not Available,Ok,Not Available,Ok,No,5361723.1,Not Available,Not Available,Ok,Not Available,18.0,Not Available,0,Not Available,5463805.2,Not Available,311195,309600,Parkchester,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,142.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Hotel Elysee,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,4801285,Not Available,Not Available,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Hotel & Motel/Inn,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,70,Not Available,1.57367,Not Available,Not Available
1266-1268 Olmstead Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,52,0.98444,Not Available,Not Available,0,16612160.3,Not Available,Ok,Not Available,Ok,No,11848570.6,Not Available,Not Available,Ok,Not Available,18.0,Not Available,0,Not Available,12059135.3,Not Available,584926.9,9852799.7,Westchester-Unionport,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,131.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Evelyn H. Lauder Breast and Imaging Center,Not Available,Not Available,0.46,No,Not Available,Not Available,Ok,Ok,Not Available,19115,Not Available,Not Available,Not Available,Not Available,Not Available,138881938.1,100,Ok,620592.88,Ok,Not Available,59647347.4,Not Available,Not Available,Ok,Not Available,5.0,Not Available,416191,100,12603071.3,Not Available,10179144.2,Not Available,Lenox Hill-Roosevelt Island,105518,Not Available,Memorial Sloan Kettering Cancer Center 1,Not Available,Not Available,Not Available,CBECS - Other,580.9,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,1.75,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,3615313,Not Available,Not Available,Not Available,Not Available,Not Available
67-01 224 STREET,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,1887062.7,Not Available,Possible Issue,Not Available,Ok,Not Available,1413869.6,Not Available,Not Available,Ok,0,23.0,Not Available,0,Not Available,1042378.3,Not Available,56443,1221286,Oakland Gardens,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,170.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
1483 SHORE PKWY ENTM,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,66,1.32359,Not Available,Not Available,Not Available,46267255.3,Not Available,Possible Issue,Not Available,Ok,Not Available,34409532.2,Not Available,Not Available,Ok,0,,Not Available,0,Not Available,38317262.8,Not Available,1421558.2,29559175.1,,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,128.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
61-46 224 STREET,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,23.0,Not Available,0,Not Available,724362.9,Not Available,Not Available,1154740,Oakland Gardens,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
655 TYSENS LANE MRM,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,77,1.08853,Not Available,Not Available,Not Available,13314479,Not Available,Possible Issue,Not Available,Ok,Not Available,9534321,Not Available,Not Available,Ok,0,50.0,Not Available,0,Not Available,11562348.5,Not Available,462116,7953726.7,Oakwood-Oakwood Beach,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,110.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Capitol Building Loft Corp.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,90,11758676.4,Not Available,Ok,Not Available,Ok,Not Available,7394011.9,Not Available,Not Available,Ok,860.8,3.0,Not Available,0,Not Available,6940725.9,Not Available,583823.5,37702.9,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Applicable: Standalone Property,45,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,130.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
820 Thieriot (Carol Gardens),Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,31,0,Not Available,Not Available,0,29012428.6,Not Available,Ok,Not Available,Ok,100% Yes,19187859.4,Not Available,Not Available,Ok,Not Available,18.0,Not Available,0,Not Available,17076171.2,Not Available,1318128.6,971917.5,Soundview-Castle Hill-Clason Point-Harding Park,Not Available,No specific resident population,Not Applicable: Standalone Property,157,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
201 East 28th Street - Chesapeake Owner's Corp,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,1,0,Not Available,Not Available,100,64512252.9,Not Available,Possible Issue,Not Available,Ok,No,37092506.2,Not Available,Not Available,Ok,Not Available,2.0,Not Available,0,100,18614233.6,Not Available,3585027.6,24860390.7,Murray Hill-Kips Bay,Not Available,No specific resident population,Not Applicable: Standalone Property,239,0,Not Available,Fannie Mae Industry Survey - Multifamily,267.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
255 West 23rd Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,9225,38,1.13596,Not Available,Not Available,90,11402338.2,Not Available,Ok,Not Available,Ok,No,6740717,Not Available,Not Available,Ok,0,3.0,Not Available,0,Not Available,6247494.2,Not Available,634189,194562.5,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,141.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
3611 Henry Hudson Parkway,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,Not Available,Possible Issue,Not Available,Ok,No,Not Available,Not Available,Not Available,Ok,0,11.0,Not Available,0,Not Available,7988262,Not Available,660494.2,Not Available,North Riverdale-Fieldston-Riverdale,Not Available,Not Available,Not Applicable: Standalone Property,123,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Surf Gardens,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,1.15347,Not Available,Not Available,100,Not Available,Not Available,Possible Issue,Not Available,Ok,100% Yes,Not Available,Not Available,Not Available,Ok,57007.35,47.0,Not Available,0,Not Available,3979822.6,Not Available,280183.2,Not Available,Seagate-Coney Island,Not Available,Dedicated Senior/Independent Living,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
33 S&P REALTY CORP.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,96,0.73333,Not Available,Not Available,0,6122545.8,Not Available,Ok,Not Available,Ok,No,4571114.2,Not Available,Not Available,Ok,Not Available,49.0,Not Available,0,Not Available,7274305.6,Not Available,188012.3,3305217.9,West New Brighton-New Brighton-St. George,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,80.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
COLLEGE POINT (1150),Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,80,Not Available,Not Available,Not Available,Not Available,31189661.2,Not Available,Ok,Not Available,Ok,Not Available,12414898.2,Not Available,Not Available,Ok,393183.94,19.0,Not Available,0,Not Available,19134018.8,Not Available,2539279.2,3728765.2,Whitestone,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,198170,Not Available,CBECS - Retail Store,218.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2014,2014-12-31T00:00:00.000,7,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Rego II,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,26,Not Available,Not Available,Not Available,Not Available,234528210.9,Not Available,Ok,Not Available,Ok,Not Available,80513292.1,Not Available,Not Available,Ok,Not Available,29.0,Not Available,0,Not Available,59849307.6,Not Available,21069701,8748098.7,Rego Park,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Retail Store,375.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
1 NY Plaza,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,61,Not Available,Not Available,Not Available,Not Available,871343836,Not Available,Ok,Not Available,Ok,Not Available,361804705.5,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,100,401918260.8,Not Available,64115318.5,1966.7,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,0,Not Available,CBECS - Office & Bank/Financial,358.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,3,103281,Yes,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
GC 63 Madison Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,71,Not Available,Not Available,Not Available,Not Available,184452941,Not Available,Ok,1153149.83,Ok,Not Available,93061076.8,Not Available,Not Available,Ok,947945.84,2.0,Not Available,0,100,119832395.5,Not Available,10969539.7,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,231.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
26-13 21st Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,75,Not Available,Not Available,Not Available,Not Available,29949789.8,Not Available,Ok,Not Available,Ok,Not Available,17189946.4,Not Available,Not Available,Ok,338000.95,22.0,Not Available,0,Not Available,20764952.8,Not Available,1660424.2,11496000.8,Old Astoria,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Nursing,184.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Northridge Coop I,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,29,0.9854,Not Available,Not Available,40,52176968.9,Not Available,Ok,Not Available,Ok,Not Available,37488070.6,Not Available,Not Available,Ok,402152.99,25.0,Not Available,0,Not Available,32755224.5,Not Available,1808390.9,29257496.4,Jackson Heights,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,149.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Times Square Tower,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,82,Not Available,Not Available,Not Available,Not Available,210863815.8,Not Available,Possible Issue,380356.83,Ok,Not Available,73701149.9,Not Available,Not Available,Ok,3019434.26,3.0,Not Available,0,100,113382222.7,Not Available,18565974.6,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,178,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2014, 2013, 2012, 2011, 2010, 2008",2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Walter & Samuels - 214 W 29,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,86,Not Available,Not Available,Not Available,Not Available,26280910,Not Available,Ok,Not Available,Ok,Not Available,15803134.5,Not Available,Not Available,Ok,154345.56,,Not Available,0,100,26089539,Not Available,1409334,2980,,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2011,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
2101 Albermarle Inc,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,75,0.7241,Not Available,Not Available,0,12828573.5,Not Available,Possible Issue,Not Available,Ok,No,9469080.1,Not Available,Not Available,Ok,0,40.0,Not Available,0,Not Available,11265333.9,Not Available,405341.9,8088200,Flatbush,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,94.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
2611 W 2 ST PLPM,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,89,1.23165,Not Available,Not Available,Not Available,10199908.2,Not Available,Possible Issue,Not Available,Ok,Not Available,8267267.2,Not Available,Not Available,Ok,0,47.0,Not Available,0,Not Available,11508329.8,Not Available,213050.1,7540340.2,Gravesend,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,102.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
68-40 CLOVERDALE Boulevard,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,23.0,Not Available,0,Not Available,648349.5,Not Available,Not Available,1221286,Oakland Gardens,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Queenswood-Building 2,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,54,1.10395,Not Available,Not Available,90,18138767.4,Not Available,Ok,Not Available,Ok,No,11083862.4,Not Available,Not Available,Ok,Not Available,21.0,Not Available,0,Not Available,11397860.7,Not Available,912771.1,7973473.9,Corona,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,133.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
250 East 87th Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,53,0,Not Available,Not Available,90,41103933.1,Not Available,Ok,Not Available,Ok,No,25613924.9,Not Available,Not Available,Ok,Not Available,5.0,Not Available,0,Not Available,26163172.1,Not Available,2005388.8,18815211,Yorkville,Not Available,No specific resident population,Not Applicable: Standalone Property,257,0,Not Available,Fannie Mae Industry Survey - Multifamily,127.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
600 Madison,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,11648,50,Not Available,Not Available,Not Available,Not Available,83999570.8,Not Available,Ok,Not Available,Ok,Not Available,36288397.5,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,36423918.6,Not Available,6066841.9,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,249.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
1085 Washington Ave.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,92,0.95402,Not Available,Not Available,10,9906310.1,Not Available,Ok,Not Available,Ok,No,7144795.1,Not Available,Not Available,Ok,Not Available,16.0,Not Available,0,100,10608134.8,Not Available,344263.6,5285864.4,Morrisania-Melrose,Not Available,Not Available,Not Applicable: Standalone Property,0,6781,Not Available,Fannie Mae Industry Survey - Multifamily,93.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
40 East 66th Street Condominium,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,43,0,Not Available,Not Available,100,18980716.5,Not Available,Ok,146228.62,Ok,No,8803647,Not Available,Not Available,Ok,0,4.0,Not Available,0,Not Available,8400450,Not Available,1275340.2,41103,Upper East Side-Carnegie Hill,Not Available,No specific resident population,Not Applicable: Standalone Property,33,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,168.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Villford Realty Corp.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,100,Not Available,Not Available,Possible Issue,Not Available,Ok,No,Not Available,Not Available,Not Available,Ok,Not Available,11.0,Not Available,0,Not Available,4149675.3,Not Available,Not Available,Not Available,Van Cortlandt Village,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
224-46A 64TH AVE,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,93,0,Not Available,Not Available,Not Available,2525768,Not Available,Possible Issue,Not Available,Ok,Not Available,1850003.1,Not Available,Not Available,Ok,0,23.0,Not Available,0,Not Available,2756573.1,Not Available,81791.9,1570929,Oakland Gardens,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,89.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Milburn Hotel,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,22,Not Available,Not Available,Not Available,Not Available,15706495.6,Not Available,Ok,Not Available,Ok,Not Available,6892120.9,Not Available,Not Available,Ok,Not Available,6.0,Not Available,0,Not Available,5285651.5,Not Available,1168423.8,2839600,Upper West Side,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Hotel & Motel/Inn,189.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,100,Not Available,1.67974,Not Available,Not Available
Nippon Club Tower,Not Available,Not Available,0,Yes,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Possible Issue,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,5139520.4,Not Available,Not Available,244971,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Random House NY,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,71,Not Available,Not Available,Not Available,Not Available,146449334,Not Available,Ok,Not Available,Ok,Not Available,52065386.1,Not Available,Not Available,Ok,1682208.21,3.0,Not Available,0,100,66973843.5,Not Available,12886895.5,8151185.9,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,223.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
193-02 67 Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,1,0,Not Available,Not Available,100,12569256.8,Not Available,Ok,Not Available,Ok,No,9164470.9,Not Available,Not Available,Ok,91762.99,23.0,Not Available,0,Not Available,4854337,Not Available,414481.4,7754632.5,Fresh Meadows-Utopia,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,242,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
