address,zip_code,fire_comp,date_created,zone_dist_2,irr_lot_code,zone_dist_1,exempt_tot,year_alter_1,bldg_depth,council_district,current_uses,storage_floor_area,land_use_category,health_area,num_floors,pluto_version,lot_depth,garage_floor_area,commercial_floor_area
87 LAFAYETTE STREET,10013.0,L001,2025-03-14T00:00:00.000,,Y,C6-4,2782350,1999.0,109.0,1.0,INDOOR STORAGE(WHSE),8800,8.0,7700.0,3.0,24v31,112.25,0,23578
1574 LEXINGTON AVENUE,10029.0,E053,2025-03-14T00:00:00.000,,N,R7-2,243000,,0.0,8.0,COMMUNITY GARDEN,0,9.0,2810.0,0.0,24v31,100.0,0,0
561 EAST 117 STREET,,,2025-03-14T00:00:00.000,,N,M2-2,99000,,0.0,8.0,NO USE;FINAL COMMITMNT-DISP,0,11.0,,0.0,24v31,175.0,0,0
259 MADISON STREET,10002.0,E015,2025-03-14T00:00:00.000,,N,R7-2,22246650,,202.0,1.0,INTERMEDIATE SCHOOL,0,8.0,8000.0,4.0,24v31,200.0,0,184328
PIER-16 SOUTH STREET,10038.0,E006,2025-03-14T00:00:00.000,,Y,C4-6,4367250,,0.0,1.0,IN USE-TENANTED;FINAL COMMITMNT-DISP;LONG-TERM AGREEMENT;IN USE-TENANTED;WATERFRONT PROPERTY,0,7.0,7700.0,0.0,24v31,597.67,0,35691
149 WEST 77 STREET,10024.0,L025,2025-03-14T00:00:00.000,,Y,R8B,28934550,,186.0,6.0,ELEMENTARY SCHOOL;PLAYGROUND,0,8.0,3500.0,4.0,24v31,204.33,0,89966
194 AVENUE B,10009.0,L011,2025-03-14T00:00:00.000,,N,R7A,495900,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6200.0,0.0,24v31,65.5,0,0
90 AVENUE B,10009.0,E028,2025-03-14T00:00:00.000,,Y,R7A,1231650,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6600.0,0.0,24v31,89.08,0,0
120 EAST 119 STREET,10035.0,E035,2025-03-14T00:00:00.000,,N,R7B,3116700,,101.0,9.0,POLICE STATION,0,8.0,2000.0,4.0,24v31,100.0,0,62500
1895 LEXINGTON AVENUE,10035.0,L026,2025-03-14T00:00:00.000,,N,R7D,172350,,0.0,8.0,COMMUNITY GARDEN,0,9.0,2000.0,0.0,24v31,67.79,0,0
PLEASANT AVENUE,,,2025-03-14T00:00:00.000,,Y,R7-2,540000,,0.0,8.0,NO USE-WFT (ANY AGY),0,11.0,,0.0,24v31,246.0,0,0
205 EAST 20 STREET,10003.0,E005,2025-03-14T00:00:00.000,,Y,R8B,22588650,,183.92,2.0,AGCY OFFICE,0,8.0,5900.0,9.0,24v31,184.0,0,313625
53 WEST END AVENUE,10069.0,L035,2025-03-14T00:00:00.000,C4-7,Y,C4-2F,450,,0.0,6.0,ROAD/HIGHWAY,0,11.0,3900.0,0.0,24v31,370.0,0,0
451 12 AVENUE,,,2025-03-14T00:00:00.000,,Y,M2-3,6705450,,0.0,3.0,IN USE-TENANTED;LONG-TERM AGREEMENT;PARK,0,7.0,,2.0,24v31,698.75,0,33410
62 LENOX AVENUE,10026.0,E058,2025-03-14T00:00:00.000,,N,PARK,0,,0.0,9.0,PLAYGROUND,0,9.0,2400.0,0.0,24v31,150.0,0,0
HARLEM RIVER DRIVE,,,2025-03-14T00:00:00.000,,Y,PARK,1743750,,0.0,9.0,NO USE-WFT (ANY AGY),0,7.0,,0.0,24v31,1.0,0,0
2 LAFAYETTE STREET,10007.0,L001,2025-03-14T00:00:00.000,,Y,C6-4,39109500,2015.0,54.0,1.0,EARLY CHILDHD CENTER;INDOOR STORAGE-EQUIP;OFFICE,0,5.0,7700.0,21.0,24v31,54.42,0,354169
1697 BROADWAY,10019.0,E023,2025-03-14T00:00:00.000,,Y,C6-7,0,,163.0,3.0,AGCY OFFICE,0,5.0,4700.0,13.0,24v31,190.0,0,96067
