property_name,green_power_onsite_kwh,electricity_use_grid_purchase,number_of_active_energy_meters_2,parking_gross_floor_area,energy_power_station_gross,estimated_data_flag_2,alert_property_has_no_uses,electricity_use_generated,laboratory_gross_floor_area,property_gfa_calculated_1,estimated_data_flag_fuel_3,indirect_location_based_ghg_1,propane_use_kbtu,indirect_location_based_ghg,self_storage_facility_gross,medical_office_number_of,other_gross_floor_area_ft,indoor_water_use_all_water,alert_data_center_issue_with,hospital_general_medical_3,annual_maximum_demand_meter,multifamily_housing_government,last_modified_date_non,food_sales_gross_floor_area,hospital_general_medical_5,nyc_borough_block_and_lot,metered_areas_water,third_party_certification_2,data_center_energy_estimates,municipally_supplied_potable_1,primary_property_type_self,total_location_based_ghg_1,multifamily_housing_total,number_of_active_energy_meters,fitness_center_health_club,supermarket_grocery_number,automobile_dealership_gross,hospital_general_medical_4,financial_office_number_of,estimated_data_flag_district,outpatient_rehabilitation,percent_of_total_electricity,data_center_it_equipment,manufacturing_industrial,supermarket_grocery_gross,medical_office_weekly,outdoor_water_use_all_water,estimated_data_flag_diesel,data_center_pdu_output_meter,data_center_gross_floor_area,alert_energy_meter_has,mailing_center_post_office,hospital_general_medical_10
Rraci: 3055 Decatur Ave,Not Available,807371.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,59064,Not Available,1.2,Not Available,68.3,Not Available,Not Available,Not Available,4749.4,Ok,Not Available,Not Available,No,2022-05-23T00:00:00.000,Not Available,Not Available,2-03332-0072,Whole Property,Not Available,Not Available,4749.4,Multifamily Housing,1.4,49,9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Maxwell: 172 East 79th St,Not Available,5141917.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,262315,Not Available,1.7,Not Available,434.7,Not Available,8.23,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1014130040,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,5,116,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Hotel Eventi,Not Available,26547642.2,1,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,631862,Not Available,3.6,Not Available,2244.4,Not Available,Not Available,Not Available,25911.7,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1-00805-7502,Whole Property,Not Available,Not Available,25911.7,Hotel,5.2,300,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Barclay - Child - 37 Greenpoint Ave,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,48726,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3025570001,Not Available,Not Available,Not Available,Not Available,Manufacturing/Industrial Plant,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48726,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unable to Check (not enough data),Not Available,Not Available
Southern Boulevard IV Associates-647,Not Available,603804.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,32420,Not Available,1.6,Not Available,51,Not Available,Not Available,Not Available,3597.4,Ok,Not Available,Not Available,100.0% Yes,,Not Available,Not Available,2-02684-0085,Whole Property,Not Available,Not Available,3597.4,Multifamily Housing,6.2,28,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
1760 Union St LLC,Not Available,575160.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,66010,Not Available,0.7,Not Available,48.6,Not Available,Not Available,Not Available,2560.2,Ok,Not Available,Not Available,No,,Not Available,Not Available,3014030025,Whole Property,Not Available,Not Available,2560.2,Multifamily Housing,3.8,60,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Red Group:  146 Beach 9th Street,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,67850,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,,Not Available,Not Available,4-15612-7502,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,1,52,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
314 - Moxy NYC Downtown,Not Available,7190513,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,119011,Not Available,5.1,Not Available,607.9,Not Available,Not Available,Not Available,5502.9,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1000890003,Whole Property,Not Available,Not Available,5502.9,Hotel,6.9,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Resolution -  150 East 45th Street,Not Available,1504729.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,32540,Not Available,3.9,Not Available,127.2,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1012990041,Not Available,Not Available,Not Available,Not Available,Office,5.1,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
186 East 205 Street,Not Available,510124.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,42524,Not Available,1,Not Available,43.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2033110114,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,3.3,62,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
LNY - 992-998 Amsterdam Ave,Not Available,1181043.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,45576,Not Available,2.2,Not Available,99.8,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1018810029 ; 1018810032,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,6.3,52,21,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
CQ- 62-42 Woodhaven Blvd.,Not Available,4362975.6,0,14625,Not Available,Not Available,Ok,Not Available,Not Available,319025,Not Available,1.2,Not Available,368.8,Not Available,Not Available,Not Available,29959.2,Ok,Not Available,Not Available,Not Available,2022-03-01T00:00:00.000,Not Available,Not Available,4-02974-0085,Whole Property,Not Available,Not Available,29959.2,Multifamily Housing,4.1,409,26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
NYC Management - 3700 3rd Ave,Not Available,7247415.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,56135,Not Available,10.9,Not Available,612.7,Not Available,Not Available,Not Available,4071.3,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2029260002,Whole Property,Not Available,Not Available,4071.3,Supermarket/Grocery Store,14.1,Not Available,7,Not Available,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56135,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Marziam Realty LLC,Not Available,405028.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,45600,Not Available,0.8,Not Available,34.2,Not Available,Not Available,Not Available,2345.7,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3-06623-0044,Whole Property,Not Available,Not Available,2345.7,Multifamily Housing,4.5,42,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
KM - Campus - 70 Ross St,Not Available,23028133.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,748308,Not Available,2.6,Not Available,1946.8,Not Available,Not Available,Not Available,61749.7,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3021860001,Whole Property,Not Available,Not Available,61749.7,Multifamily Housing,6.5,648,23,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Living - 517 West 29th Street,Not Available,1621286.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,49375,Not Available,2.8,Not Available,137.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1007010024,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,3.5,60,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
ADI: 615 West 172nd Street,Not Available,907233.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,74799,Not Available,1,Not Available,76.7,Not Available,Not Available,Not Available,7381,Ok,Not Available,Not Available,No,,Not Available,Not Available,1-02141-0029,Whole Property,Not Available,Not Available,7381,Multifamily Housing,4.5,78,13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
CFF Consulting - 605 West 151 St,Not Available,449131.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,30978,Not Available,1.2,Not Available,38,Not Available,Not Available,Not Available,2780.1,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1020980023,Whole Property,Not Available,Not Available,2780.1,Multifamily Housing,1.4,25,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Alphabet Plaza LLC - The Adele,Not Available,3922247.6,0,6160,Not Available,Not Available,Ok,Not Available,Not Available,131660,Not Available,2.5,Not Available,331.6,Not Available,Not Available,Not Available,5521.4,Ok,Not Available,Not Available,No,,Not Available,Not Available,1003720041,Whole Property,Not Available,Not Available,5521.4,Multifamily Housing,4.7,135,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Jem: 2488 Grand Concourse,Not Available,4682110.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,104680,Not Available,3.8,Not Available,395.8,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2022-06-21T00:00:00.000,Not Available,Not Available,2-03153-0009,Whole Property,Not Available,Not Available,Not Available,Office,5.5,Not Available,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
25 E Mosholu Pkwy N,Not Available,646028.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,48840,Not Available,1.1,Not Available,54.6,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,2023-04-22T00:00:00.000,Not Available,Not Available,2033260113,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,9.2,53,13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Standby One Associates-1403,Not Available,483043.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,31950,Not Available,1.3,Not Available,40.8,Not Available,Not Available,Not Available,162.3,Ok,Not Available,Not Available,100.0% Yes,,Not Available,Not Available,2-02833-0030,Whole Property,Not Available,Not Available,162.3,Multifamily Housing,1.5,29,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Knickerbocker Hotel,Not Available,9294117,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,301118,Not Available,2.6,Not Available,785.7,Not Available,Not Available,Not Available,12887.5,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1-00994-7502,Whole Property,Not Available,Not Available,12887.5,Hotel,4.4,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
34 Laight Street,Not Available,361689.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,25300,Not Available,1.2,Not Available,30.6,Not Available,Not Available,Not Available,392.4,Ok,Not Available,Not Available,No,,Not Available,Not Available,1-00220-0026,Whole Property,Not Available,Not Available,392.4,Multifamily Housing,2.7,9,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
281 St. Nicholas Partners LLC,Not Available,2933327.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,50706,Not Available,4.9,Not Available,248,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,100.0% Yes,,Not Available,Not Available,1019510014,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,8.8,32,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
515 West 111 Street,Not Available,340268.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,28415,Not Available,1,Not Available,28.8,Not Available,Not Available,Not Available,2063.4,Ok,Not Available,Not Available,No,,Not Available,Not Available,1018830022,Whole Property,Not Available,Not Available,2063.4,Multifamily Housing,5.1,37,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Tillamock NV Inc: 267 5th Ave,Not Available,1063285,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,55395,Not Available,1.6,Not Available,89.9,Not Available,Not Available,Not Available,301.4,Ok,Not Available,Not Available,Not Available,2022-07-14T00:00:00.000,Not Available,Not Available,1-00859-0001,Whole Property,Not Available,Not Available,301.4,Office,3.8,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
CFF Consulting - 605-607 West 141 St,Not Available,389288.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,31674,Not Available,1,Not Available,32.9,Not Available,Not Available,Not Available,7454,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1020880087,Whole Property,Not Available,Not Available,7454,Multifamily Housing,3.9,25,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
1322 East 14 Street,Not Available,504846.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,25683,Not Available,1.7,Not Available,42.7,Not Available,Not Available,Not Available,732.3,Ok,Not Available,Not Available,No,,Not Available,Not Available,3067427501,Whole Property,Not Available,Not Available,732.3,Multifamily Housing,4.4,24,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
KM - 367 S 2nd St,Not Available,832818,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,28000,Not Available,2.5,Not Available,70.4,Not Available,Not Available,Not Available,3353.1,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3024120027,Whole Property,Not Available,Not Available,3353.1,Multifamily Housing,7.2,35,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Living - 13-19 Cumming Street,Not Available,540996.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,37445,Not Available,1.2,Not Available,45.7,Not Available,Not Available,Not Available,3196.1,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1022370064,Whole Property,Not Available,Not Available,3196.1,Multifamily Housing,2.3,48,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Daly IV - 2131,Not Available,408092.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,26700,Not Available,1.3,Not Available,34.5,Not Available,Not Available,Not Available,2909.9,Ok,Not Available,Not Available,100.0% Yes,,Not Available,Not Available,2-03129-0029,Whole Property,Not Available,Not Available,2909.9,Multifamily Housing,6.1,20,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Pelican: 20-33 thru 20-39 Seagirt Blvd,Not Available,486435.1,0,26700,Not Available,Not Available,Ok,Not Available,Not Available,143441,Not Available,0.3,Not Available,41.1,Not Available,Not Available,Not Available,7565.8,Ok,Not Available,Not Available,No,,Not Available,Not Available,4158100071,Whole Property,Not Available,Not Available,7565.8,Multifamily Housing,4.8,175,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Four Seasons: 2786 Bainbridge Ave,Not Available,674160,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,67436,Not Available,0.8,Not Available,57,Not Available,Not Available,Not Available,3341.5,Ok,Not Available,Not Available,No,,Not Available,Not Available,2-03290-0014,Whole Property,Not Available,Not Available,3341.5,Multifamily Housing,4.3,49,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
108 East 50th Street,Not Available,3984189.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,66705,Not Available,12.5,Not Available,832,Not Available,Not Available,Not Available,4205.7,Ok,Not Available,Not Available,Not Available,2023-07-07T00:00:00.000,Not Available,Not Available,1013050001,Whole Property,Not Available,Not Available,4205.7,Worship Facility,13.2,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
GTS - 440 West 21 Street,Not Available,5510.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,66942,Not Available,0,Not Available,0.5,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1007180001,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,0,38,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Living - 779 Riverside Drive,Not Available,1495117.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,118809,Not Available,1.1,Not Available,126.4,Not Available,Not Available,Not Available,3802.3,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1021347502,Whole Property,Not Available,Not Available,3802.3,Multifamily Housing,1.1,92,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
111-28 37 Avenue,Not Available,530470.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,26704,Not Available,1.7,Not Available,44.8,Not Available,Not Available,Not Available,2930.1,Ok,Not Available,Not Available,No,,Not Available,Not Available,4017817502,Whole Property,Not Available,Not Available,2930.1,Multifamily Housing,4,18,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Menowitz- 9131 Queens Boulevard,Not Available,5404383.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,82943,Not Available,5.5,Not Available,456.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4-01861-0001,Not Available,Not Available,Not Available,Not Available,Office,10,Not Available,12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
55-60 58 STREET,Not Available,2073410.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,191661,Not Available,0.9,Not Available,175.3,Not Available,Not Available,Not Available,353.3,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4025850021,Whole Property,Not Available,Not Available,353.3,Manufacturing/Industrial Plant,3.6,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,134100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
716RR Substance Abuse Treatment Residential,Not Available,688742.9,2,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,22387,Not Available,2.6,Not Available,58.2,Not Available,44.77,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2-02950-0020,Whole Property,Not Available,Not Available,Not Available,Medical Office,5.7,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Mack Edge - 417 Lafayette St,Not Available,383474.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,31152,Not Available,1,Not Available,32.4,Not Available,Not Available,Not Available,1167.3,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1005440012,Whole Property,Not Available,Not Available,1167.3,Multifamily Housing,4.8,4,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
171st Street LLC,Not Available,868118.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,27252,Not Available,2.7,Not Available,73.4,Not Available,Not Available,Not Available,868.4,Ok,Not Available,Not Available,No,,Not Available,Not Available,4098270025,Whole Property,Not Available,Not Available,868.4,Multifamily Housing,3,36,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
CQ- 89-25 elmhurst avenue,Not Available,1323265.7,0,6000,Not Available,Not Available,Ok,Not Available,Not Available,86180,Not Available,1.3,Not Available,111.9,Not Available,Not Available,Not Available,8223.6,Ok,Not Available,Not Available,Not Available,2022-03-01T00:00:00.000,Not Available,Not Available,4-01510-0020,Whole Property,Not Available,Not Available,8223.6,Multifamily Housing,5.1,180,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Michael Young: 144-15 41st Avenue,Not Available,1313118.4,0,7050,Not Available,Not Available,Ok,Not Available,Not Available,138927,Not Available,0.8,Not Available,111,Not Available,Not Available,Not Available,8369.6,Ok,Not Available,Not Available,No,2023-04-11T00:00:00.000,Not Available,Not Available,4-05025-0001,Whole Property,Not Available,Not Available,8369.6,Multifamily Housing,3.6,111,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
485 Scott Avenue,Not Available,1288453.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,39500,Not Available,2.8,Not Available,108.9,Not Available,Not Available,Not Available,23.9,Ok,Not Available,Not Available,Not Available,2023-02-22T00:00:00.000,Not Available,Not Available,3028020014,Whole Property,Not Available,Not Available,23.9,Manufacturing/Industrial Plant,3.1,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39500,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Indus - 13-25 Eggert Place,Not Available,44710.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,34821,Not Available,0.1,Not Available,3.8,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,100.0% Yes,2023-03-10T00:00:00.000,Not Available,Not Available,4156650001,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,4.2,42,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
KM 115 Marcy Place,Not Available,700732.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,33225,Not Available,1.8,Not Available,59.2,Not Available,Not Available,Not Available,6554.3,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2028410089,Whole Property,Not Available,Not Available,6554.3,Multifamily Housing,7.7,42,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
15 East 10th Street Owners,Not Available,414267.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,36366,Not Available,1,Not Available,35,Not Available,Not Available,Not Available,841.6,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1-00568-0026,Whole Property,Not Available,Not Available,841.6,Multifamily Housing,3.8,39,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
2540 Valentine Avenue,Not Available,523670.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,32110,Not Available,1.4,Not Available,44.3,Not Available,Not Available,Not Available,3674.8,Ok,Not Available,Not Available,No,,Not Available,Not Available,2031540070,Whole Property,Not Available,Not Available,3674.8,Multifamily Housing,2,39,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
