brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_3_gross_income_per_sqft,comparable_rental_1_building_classification,comparable_rental_3_year_built,comparable_rental_3_address,comparable_rental_3_distance_from_coop_in_miles,comparable_rental_3_expense_per_sqft,comparable_rental_3_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_1_expense_per_sqft,comparable_rental_2_net_operating_income,brooklyn_cooperatives_comparable_properties_gross_income_per_sqft,brooklyn_cooperatives_comparable_properties_year_built,comparable_rental_1_total_units,brooklyn_cooperatives_comparable_properties_neighborhood,bbl,comparable_rental_3_market_value_per_sqft,comparable_rental_1_estimated_gross_income
3-07559-0023,"{'latitude': '40.633077220325', 'longitude': '-73.946665857988', 'human_address': '{""address"": ""745 31 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.27, ,D1-ELEVATOR, ,, , ,,FLATBUSH-EAST,14.26,47.06,6.25,8.61,360162.0,13.8,1963,54,FLATBUSH-EAST,, ,631889
3-01901-0001,"{'latitude': '40.691860038476', 'longitude': '-73.968593195336', 'human_address': '{""address"": ""210 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,17.74,D3-ELEVATOR,1905,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""379 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.39,8.15,3-01946-0004,BEDFORD STUYVESANT,15.04,69.96,5.78,8.06,1251693.0,16.04,1945,114,CLINTON HILL,3019010001.0,69.1,1584511
3-06040-0001,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8701 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.23,12.72,D1-ELEVATOR,1936,"{'latitude': '40.620880355724', 'longitude': '-74.039129360217', 'human_address': '{""address"": ""55 92 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.23,7,3-06083-0052,BAY RIDGE,13.87,62.51,8.66,6.94,578488.0,13.87,1932,174,BAY RIDGE,3060400001.0,38.22,3230323
3-01169-0024,"{'latitude': '40.674485498167', 'longitude': '-73.971414746871', 'human_address': '{""address"": ""20 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.06,11.47,D1-ELEVATOR,1931,"{'latitude': '40.677993462043', 'longitude': '-73.970617605743', 'human_address': '{""address"": ""186 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.12,6.47,3-01158-0023,PROSPECT HEIGHTS,15.68,44.35,7.62,6.71,215605.0,14.57,1940,82,PROSPECT HEIGHTS,3011690024.0,31.24,1456913
3-00733-0025,"{'latitude': '40.644358272373', 'longitude': '-73.998555503322', 'human_address': '{""address"": ""848 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,15.9,C1-WALK-UP,1916,"{'latitude': '40.644966986292', 'longitude': '-73.998073406495', 'human_address': '{""address"": ""844 42 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,7.37,3-00925-0024,BOROUGH PARK,16.37,57.45,7.69,8.24,120019.0,16.19,1922,47,BOROUGH PARK,,57.45,511260
3-01171-0002,"{'latitude': '40.674384851837', 'longitude': '-73.967233343916', 'human_address': '{""address"": ""315 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.08,19.33,D1-ELEVATOR,1927,"{'latitude': '40.672155871843', 'longitude': '-73.963919647188', 'human_address': '{""address"": ""159 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.2,9.18,3-01179-0097,PROSPECT HEIGHTS,11.02,45.77,6.7,6.42,468560.0,13.62,1921,30,PROSPECT HEIGHTS,3011710002.0,72.77,524009
05657-,"{'latitude': '40.631250376023', 'longitude': '-73.988912455102', 'human_address': '{""address"": ""5100 15 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,11.55,D1-ELEVATOR,1960,"{'latitude': '40.633026232623', 'longitude': '-73.991891818115', 'human_address': '{""address"": ""1364 51 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,6.58,3-05656-0034,BOROUGH PARK,8.36,24.64,6.73,4.24,243427.0,11.36,1931,87,BOROUGH PARK,3056570035.0,29.6,1166613
3-08806-0140,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""3845 SHORE PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,14.57,D7-ELEVATOR,1963,"{'latitude': '40.601700444466', 'longitude': '-73.942172048238', 'human_address': '{""address"": ""3380 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.12,7.92,3-07334-0018,SHEEPSHEAD BAY,15.24,55.42,6.74,7.77,847262.0,14.78,1965,37,SHEEPSHEAD BAY,3088060140.0,45.97,537743
3-07238-0115,"{'latitude': '40.585336276539', 'longitude': '-73.966763426046', 'human_address': '{""address"": ""2650 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.09,16.1,D1-ELEVATOR,1951,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2775 SHORE PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,6.42,3-07237-0002,OCEAN PARKWAY-SOUTH,16.1,53.23,6.29,6.12,1910734.0,16.1,1962,240,OCEAN PARKWAY-SOUTH,3072380115.0,53.28,3136890
3-05321-0010,"{'latitude': '40.647752392909', 'longitude': '-73.974298120161', 'human_address': '{""address"": ""625 CATON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.06,11.74,D1-ELEVATOR,1941,"{'latitude': '40.645480602026', 'longitude': '-73.976688033036', 'human_address': '{""address"": ""415 ALBEMARLE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.16,3.94,3-05327-0041,KENSINGTON,11.44,34.2,6.48,4.65,542002.0,5.7,1936,62,KENSINGTON,3053210010.0,32.01,670284
3-01179-0103,"{'latitude': '40.672850542537', 'longitude': '-73.963280364528', 'human_address': '{""address"": ""400 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0, ,C1-WALK-UP, ,, , ,,PROSPECT HEIGHTS,17.59,60.31,7.41,7.21,157756.0,16.93,1924,21,PROSPECT HEIGHTS,3011790103.0, ,334274
3-01178-0059,"{'latitude': '40.671694141811', 'longitude': '-73.958263369849', 'human_address': '{""address"": ""547 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0, ,C1-WALK-UP, ,, , ,,CROWN HEIGHTS,17.89,68.79,9.18,8.37,244654.0,18.33,1911,24,CROWN HEIGHTS,3011780059.0, ,392101
3-01098-0001,"{'latitude': '40.66477032388', 'longitude': '-73.982479280839', 'human_address': '{""address"": ""420 12 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",2.2,29.69,C1-WALK-UP,1870,"{'latitude': '40.68840697826', 'longitude': '-73.999070002111', 'human_address': '{""address"": ""419 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.85,18.93,3-00305-0001,BROWNSVILLE,21.73,45.88,7.77,7.69,670328.0,21.73,1970,110,PARK SLOPE,,80.63,2824628
3-03078-0001,"{'latitude': '40.704229394885', 'longitude': '-73.946051084784', 'human_address': '{""address"": ""29 LEONARD STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.9,14.91,D3-ELEVATOR,1974,"{'latitude': '40.691170776996', 'longitude': '-73.9463843632', 'human_address': '{""address"": ""210 KOSCIUSZKO STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.96,7.9,3-01785-0020,BEDFORD STUYVESANT,13.5,42.85,7.7,7.37,1907090.0,14.26,1973,647,WILLIAMSBURG-EAST,3030770001.0,35.46,10098934
3-03622-0001,"{'latitude': '40.666489450321', 'longitude': '-73.876355521452', 'human_address': '{""address"": ""988 HEGEMAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.36,7.51,C1-WALK-UP,1930,"{'latitude': '40.662879677174', 'longitude': '-73.917795523453', 'human_address': '{""address"": ""218 GRAFTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.62,4.53,3-03551-0049,BROWNSVILLE,10.23,22.42,5.3,6.14,84981.0,9.07,1930,40,BROWNSVILLE,3044770001.0,17.66,213602
3-05319-0024,"{'latitude': '40.648123234776', 'longitude': '-73.975417955954', 'human_address': '{""address"": ""100 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.23,12.23,D1-ELEVATOR,1940,"{'latitude': '40.647410464074', 'longitude': '-73.974575372781', 'human_address': '{""address"": ""125 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,6.48,3-05329-0001,WINDSOR TERRACE,12.91,32.43,6.63,6.88,719079.0,5.44,1953,174,KENSINGTON,3053190024.0,34.2,1885594
3-05257-0035,"{'latitude': '40.657056768677', 'longitude': '-73.975254183311', 'human_address': '{""address"": ""310 WINDSOR PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.08,22.56,C1-WALK-UP,1921,"{'latitude': '40.660192602426', 'longitude': '-73.983822732297', 'human_address': '{""address"": ""1657 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.43,10.92,3-01113-0001,PARK SLOPE SOUTH,11.71,65.76,7.32,6.49,154403.0,6.5,1914,27,WINDSOR TERRACE,3052570035.0,82.77,279223
3-02100-0072,"{'latitude': '40.687275391457', 'longitude': '-73.974093567735', 'human_address': '{""address"": ""101 LAFAYETTE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,15.04,D1-ELEVATOR,1928,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""266 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.43,8.06,3-01917-0045,CLINTON HILL,21.75,69.1,8.15,11.2,1091635.0,17.74,1931,78,FORT GREENE,3021000072.0,47.92,1249953
3-05233-0001,"{'latitude': '40.634295701325', 'longitude': '-73.965801778011', 'human_address': '{""address"": ""1212 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05, ,D1-ELEVATOR, ,, , ,, ,9.98,,,6.58,,9.98,1931,90,FLATBUSH-CENTRAL,3052330001.0, ,948479
3-00917-0058,"{'latitude': '40.649883507376', 'longitude': '-74.004553991292', 'human_address': '{""address"": ""521 41 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05, ,C1-WALK-UP, ,, , ,,SUNSET PARK,15.73,62.1,5.76,7.4,224219.0,15.25,1927,22,SUNSET PARK,, ,217158
3-01179-0092,"{'latitude': '40.672955822137', 'longitude': '-73.966773120692', 'human_address': '{""address"": ""55 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,19.94,D1-ELEVATOR,1920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""781 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,11.07,3-01177-0007,PROSPECT HEIGHTS,18.2,26.61,6.42,9.64,218840.0,18.2,1925,23,PROSPECT HEIGHTS,3011790092.0,46.82,223227
3-05216-0060,"{'latitude': '40.638577875527', 'longitude': '-73.949105606487', 'human_address': '{""address"": ""2913 FOSTER AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.26,11.19,D7-ELEVATOR,1924,"{'latitude': '40.631905858548', 'longitude': '-73.967489544098', 'human_address': '{""address"": ""1002 FOSTER AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.11,6.13,3-06498-0001,FLATBUSH-CENTRAL,10.98,33.62,9.49,6.15,213972.0,11.19,1931,48,FLATBUSH-CENTRAL,3052160060.0,30.39,551864
3-01169-0001,"{'latitude': '40.674872494738', 'longitude': '-73.971242979627', 'human_address': '{""address"": ""10 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.06,11.47,D1-ELEVATOR,1931,"{'latitude': '40.677993462043', 'longitude': '-73.970617605743', 'human_address': '{""address"": ""186 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.12,6.47,3-01158-0023,PROSPECT HEIGHTS,15.68,44.35,7.62,6.71,215605.0,14.57,1959,82,PROSPECT HEIGHTS,3011690001.0,31.24,1456913
3-01152-0060,"{'latitude': '40.677165039051', 'longitude': '-73.966355352377', 'human_address': '{""address"": ""307 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.13,23.88,C1-WALK-UP,1931,"{'latitude': '40.679680943479', 'longitude': '-73.964992117135', 'human_address': '{""address"": ""41 UNDERHILL AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.2,9.74,3-01131-0003,PROSPECT HEIGHTS,22.24,69.96,8.28,12.66,150310.0,22.24,1931,16,PROSPECT HEIGHTS,3011520060.0,102.25,188916
3-06888-0006*,"{'latitude': '40.595909433594', 'longitude': '-73.996405288616', 'human_address': '{""address"": ""8835 23 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.22,15.56,D1-ELEVATOR,1962,"{'latitude': '40.593955135245', 'longitude': '-73.991277652811', 'human_address': '{""address"": ""8797 25 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.29,7.78,3-06894-0027,GRAVESEND,15.3,30.97,7.06,7.8,769455.0,15.3,1927,120,GRAVESEND,3068880006.0,53.28,1368554
3-07441-0231,"{'latitude': '40.578508345427', 'longitude': '-73.988412435558', 'human_address': '{""address"": ""2600 21 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,10.51,D1-ELEVATOR,1940,"{'latitude': '40.594239640929', 'longitude': '-73.950332488931', 'human_address': '{""address"": ""2753 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.3,6.28,3-07405-0058,SHEEPSHEAD BAY,9.62,31.92,5.59,5.37,399908.0,11.01,1959,60,SHEEPSHEAD BAY,,24.81,537965
3-00254-0001,"{'latitude': '40.693117673014', 'longitude': '-73.993010441502', 'human_address': '{""address"": ""114 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.19, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,18.63,77.32,7.87,7.87,107298.0,17.09,1924,41,BROOKLYN HEIGHTS,3002540001.0, ,748577
3-00226-0013,"{'latitude': '40.698970968188', 'longitude': '-73.993306626126', 'human_address': '{""address"": ""66 ORANGE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.16, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,17.36,77.38,7.87,8.95,432456.0,18.0,1913,16,BROOKLYN HEIGHTS,3002260013.0, ,245070
3-07214-0001,"{'latitude': '40.587933028954', 'longitude': '-73.96779974801', 'human_address': '{""address"": ""2525 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.18,16.1,D1-ELEVATOR,1951,"{'latitude': '40.58598656919', 'longitude': '-73.971298533254', 'human_address': '{""address"": ""2612 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.16,6.29,3-07234-0001,OCEAN PARKWAY-SOUTH,13.87,53.23,6.12,5.13,1944915.0,16.1,1957,180,OCEAN PARKWAY-SOUTH,,53.23,2352663
3-01170-0009,"{'latitude': '40.674122260316', 'longitude': '-73.97144654162', 'human_address': '{""address"": ""34 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,14.57,D1-ELEVATOR,1936,"{'latitude': '40.676145109919', 'longitude': '-73.970860936377', 'human_address': '{""address"": ""214 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,7.62,3-01169-0019,PROSPECT HEIGHTS,15.68,26.61,6.42,6.71,218840.0,14.57,1956,82,PROSPECT HEIGHTS,3011700009.0,44.35,1456913
3-08710-0055,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""50 SHORE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.26,11.48,D1-ELEVATOR,1931,"{'latitude': '40.579375266086', 'longitude': '-73.957051916014', 'human_address': '{""address"": ""3030 BRIGHTON 12 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.26,6.54,3-08709-0072,BRIGHTON BEACH,12.66,45.68,6.94,3.82,277200.0,12.66,1957,53,SHEEPSHEAD BAY,3087100055.0,31.54,620279
3-06730-0059,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1916 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,12.66,D1-ELEVATOR,1938,"{'latitude': '40.618300155513', 'longitude': '-73.962962372349', 'human_address': '{""address"": ""1280 12 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.46,6.97,3-06731-0039,MIDWOOD,10.31,31.64,6.45,5.41,354288.0,11.73,1954,101,MIDWOOD,,31.91,1037471
3-00236-0018,"{'latitude': '40.695970750246', 'longitude': '-73.995472459332', 'human_address': '{""address"": ""187 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.04, ,D9-ELEVATOR, ,, , ,, ,20.42,,,9.39,,20.42,1936,19,BROOKLYN HEIGHTS,3002360018.0, ,500969
3-00208-0508,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2 MONTAGUE TERRACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.25, ,D3-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,23.09,101.0,10.89,12.13,444733.0,23.85,1917,59,BROOKLYN HEIGHTS,3002080508.0, ,1261698
3-02005-0029,"{'latitude': '40.579096737424', 'longitude': '-73.937937336505', 'human_address': '{""address"": ""147 OXFORD STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.43, ,D1-ELEVATOR, ,, , ,,CLINTON HILL,17.06,53.8,7.13,9.24,369435.0,15.31,1930,42,FORT GREENE,3087580057.0, ,435140
