bike_store_6,residence_rent_own,scooter_typical_charge_1,diary_platform,reduced_bike_1,increased_veh_5,bike_store_2,r_num_vehicles,increased_bike_997,increased_bike_1,packages,reduced_veh_2,ev_purchase_barriers_1,increased_veh_8,increased_bike_2,increased_veh_6,ev_purchase_barriers_3,participation_group,reduced_veh_3,scooter_typical_charge_6,bike_store_9,ev_typical_charge_7,scooter_typical_charge_5,num_vehicles,bike_store_3,ev_typical_charge_4,ev_typical_charge_2,hh_weight,reduced_veh_997
0,2,995,rmove,995,995,0,0,995,995,4,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,853.1657012,995
995,2,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,186.8789398,995
995,2,995,call,995,995,995,1,995,995,3,995,0,995,995,995,0,5,995,995,995,995,995,1,995,995,995,1345.794763,995
995,2,995,rmove,995,995,995,0,995,995,997,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,336.7883585,995
0,1,995,call,995,995,0,0,995,995,2,995,995,995,995,995,995,5,995,995,0,995,995,0,0,995,995,1714.369031,995
995,2,995,rmove,995,995,995,1,995,995,997,995,1,995,995,995,0,9,995,995,995,995,995,1,995,995,995,2601.810956,995
995,4,995,rmove,995,995,995,1,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,1,995,995,995,60.2350407,995
995,2,995,browser,995,995,995,0,995,995,1,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,2229.555847,995
0,2,995,browser,995,0,0,1,995,995,1,995,0,0,995,1,0,1,995,995,0,995,995,1,0,995,995,188.9820995,995
995,2,995,browser,995,995,995,0,995,995,997,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,417.532525,995
1,1,995,rmove,995,995,0,0,0,1,2,995,995,995,1,995,995,9,995,995,0,995,995,0,1,995,995,299.8438635,995
0,2,995,rmove,995,995,0,1,0,0,2,995,0,995,0,995,0,9,995,995,0,995,995,1,0,995,995,103.7509697,995
0,1,995,rmove,995,995,0,0,995,995,2,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,203.8170011,995
995,1,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,1236.542981,995
995,2,995,rmove,0,995,995,1,995,995,2,995,1,995,995,995,0,9,995,995,995,995,995,1,995,995,995,2084.864951,995
995,2,995,rmove,995,995,995,1,995,995,5,995,0,995,995,995,0,9,995,995,995,995,995,1,995,995,995,597.6644983,995
0,2,995,rmove,995,995,0,1,0,0,2,995,995,995,0,995,995,9,995,995,0,995,995,1,0,995,995,590.8796895,995
995,2,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,3,995,995,995,995,995,0,995,995,995,692.7380031,995
995,2,995,browser,0,995,995,0,995,995,1,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,618.7121932,995
995,2,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,99.95484414,995
995,997,995,rmove,995,995,995,1,995,995,4,995,0,995,995,995,1,3,995,995,995,995,995,1,995,995,995,2005.32348,995
995,2,995,browser,995,995,995,0,995,995,1,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,1373.491154,995
995,2,995,browser,995,995,995,1,995,995,2,995,0,995,995,995,0,1,995,995,995,995,995,1,995,995,995,1751.906983,995
995,999,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,842.9031595,995
995,2,995,browser,995,995,995,0,995,995,2,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,678.1009341,995
