address_1,national_median_energy_star_score,medical_office_number_of_mri_machines,annual_maximum_demand_kw,estimated_data_flag_natural_gas,number_of_active_energy_meters_not_used_to_compute_metrics,financial_office_gross_floor_area_ft,source_eui_kbtu_ft,estimated_data_flag_fuel_oil_no_1,supermarket_grocery_number_of_walk_in_refrigeration_freezer_units,egrid_output_emissions_rate_kgco2e_mbtu,electricity_use_grid_purchase_kwh,alert_data_center_issue_with_estimates_it_configuration_or_it_meter,parking_completely_enclosed_parking_garage_size_ft,council_district,third_party_certification_date_achieved,estimated_data_flag_fuel_oil_no_2,hotel_gym_fitness_center_floor_area_ft,office_number_of_workers_on_main_shift,default_values,courthouse_gross_floor_area_ft,retail_store_number_of_open_or_closed_refrigeration_freezer_units,financial_office_number_of_computers,green_power_onsite_kwh,year_ending,percent_of_recs_retained,total_ghg_emissions_intensity_kgco2e_ft,parking_open_parking_lot_size_ft,distribution_center_gross_floor_area_ft,data_center_it_source_energy_kbtu,water_use_all_water_sources_kgal,property_gfa_calculated_parking_ft,pre_school_daycare_gross_floor_area_ft,wholesale_club_supercenter_exterior_entrance_to_the_public,national_median_site_eui_kbtu_ft,senior_living_community_living_unit_density_number_per_1_000_sq_ft,direct_ghg_emissions_metric_tons_co2e,restaurant_worker_density_number_per_1_000_sq_ft,last_modified_date_non_electric_non_gas_energy_meters,college_university_gross_floor_area_ft,laboratory_gross_floor_area_ft,multifamily_housing_percent_that_can_be_cooled,alert_property_has_no_uses,data_center_ups_output_meter_kwh,avoided_emissions_offsite_green_power_metric_tons_co2e,office_percent_that_can_be_cooled
6006 23rd Avenue,50,Not Available,196.8,No,0,Not Available,69.6,Not Available,Not Available,79.5,428319.9,Ok,Not Available,44.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.7,Not Available,Not Available,Not Available,232,Not Available,Not Available,Not Available,69.0,Not Available,190.1,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1425 Walton Avenue,50,Not Available,216.4,No,0,Not Available,88.2,Not Available,Not Available,79.5,397560,Ok,Not Available,16.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.7,Not Available,Not Available,Not Available,2576.3,Not Available,Not Available,Not Available,101.5,Not Available,347.3,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
18 Marlborough Road,50,Not Available,68,No,0,Not Available,86.2,Not Available,Not Available,79.5,545679.9,Ok,Not Available,40.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.1,Not Available,Not Available,Not Available,460.1,Not Available,Not Available,Not Available,62.3,Not Available,139.6,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
232 East 103rd Street,50,Not Available,190.4,No,0,Not Available,106.9,Not Available,Not Available,79.5,469760,Ok,Not Available,8.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,91.7,Not Available,251.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
167-01 Gothic Drive,50,Not Available,296,No,0,Not Available,88.6,Not Available,Not Available,79.5,943999.9,Ok,Not Available,24.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.8,Not Available,Not Available,Not Available,1165.8,Not Available,Not Available,Not Available,98.5,Not Available,850.7,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
758 Courtlandt Avenue,50,Not Available,118.4,No,0,Not Available,77.5,Not Available,Not Available,79.5,363040,Ok,Not Available,17.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.3,Not Available,Not Available,Not Available,540.9,Not Available,Not Available,Not Available,81.8,Not Available,365.5,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
148-20 Reeves Avenue,50,Not Available,593.6,No,0,Not Available,98.4,Not Available,Not Available,79.5,997599.9,Ok,Not Available,24.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.5,Not Available,Not Available,Not Available,399.9,Not Available,Not Available,Not Available,76.7,Not Available,210.3,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
154 West 93rd Street,50,Not Available,256,No,0,Not Available,59.7,Not Available,Not Available,79.5,735399.9,Ok,Not Available,6.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68.5,Not Available,212.6,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
6111 188th Street,50,Not Available,Not Available,No,0,Not Available,92.5,Not Available,Not Available,79.5,1104794.8,Ok,Not Available,23.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,365,Not Available,Not Available,Not Available,72.1,Not Available,3.4,Not Available,04/28/2021 04:08 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
32 Elverton Avenue,50,Not Available,206.4,No,0,Not Available,68.6,Not Available,Not Available,79.5,399919.9,Ok,Not Available,51.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.4,Not Available,Not Available,Not Available,466.6,Not Available,Not Available,Not Available,73.3,Not Available,269.4,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
9 Power Road,50,Not Available,120.8,Not Available,0,Not Available,177,Not Available,Not Available,79.5,312880,Ok,Not Available,32.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,7.4,Not Available,Not Available,Not Available,63.7,Not Available,Not Available,Not Available,75.2,Not Available,92.5,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
660 West 236th Street,50,Not Available,164,No,0,Not Available,68.7,Not Available,Not Available,79.5,357800,Ok,Not Available,11.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.8,Not Available,Not Available,Not Available,1330.7,Not Available,Not Available,Not Available,85.7,Not Available,228,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
214-43 35th Avenue,50,Not Available,114.4,No,0,Not Available,82.2,Not Available,Not Available,79.5,172800,Ok,Not Available,19.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,126.8,Not Available,223.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1855 Stillwell Avenue,50,Not Available,155.2,No,0,Not Available,79.4,Not Available,Not Available,79.5,377280,Ok,Not Available,47.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,123.3,Not Available,Not Available,Not Available,76.5,Not Available,219.3,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
3201 Kingsbridge Avenue,50,Not Available,159.2,No,0,Not Available,83.5,Not Available,Not Available,79.5,295120,Ok,Not Available,11.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87.2,Not Available,221.2,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
4001 18th Avenue,50,Not Available,110.4,No,0,Not Available,68.4,Not Available,Not Available,79.5,220480,Ok,Not Available,44.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.8,Not Available,Not Available,Not Available,86.8,Not Available,Not Available,Not Available,80.4,Not Available,97.8,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
126-10 109th Avenue,50,Not Available,137.6,No,0,Not Available,101.1,Not Available,Not Available,79.5,415519.9,Ok,Not Available,28.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.2,Not Available,Not Available,Not Available,390.5,Not Available,Not Available,Not Available,67.3,Not Available,293.2,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
40 East 52nd Street,50,Not Available,Not Available,No,17,Not Available,152.4,Not Available,Not Available,79.5,5470126.7,Ok,Not Available,4.0,Not Available,Not Available,Not Available,138,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.6,Not Available,Not Available,12318794.2,Not Available,Not Available,Not Available,Not Available,99.8,Not Available,12.2,Not Available,05/28/2021 11:46 AM EDT,Not Available,Not Available,Not Available,Ok,1289440,0,100
509 West 129th Street,50,Not Available,168.4,No,0,Not Available,100.1,Not Available,Not Available,79.5,614719.9,Ok,Not Available,7.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,104.4,Not Available,469,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
410 East 100th Street,50,Not Available,152,No,0,Not Available,88.6,Not Available,Not Available,79.5,547199.9,Ok,Not Available,8.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100.4,Not Available,354.6,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
189-10 Radnor Road,50,Not Available,113.2,No,0,Not Available,54.3,Not Available,Not Available,79.5,222798,Ok,Not Available,23.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,72.9,Not Available,83.8,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
250 Hooper Street,50,Not Available,78.4,Not Available,0,Not Available,81.7,Not Available,Not Available,79.5,265920,Ok,Not Available,33.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.3,Not Available,Not Available,Not Available,111.2,Not Available,Not Available,Not Available,55.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
317 West 52nd Street,50,Not Available,134.4,No,0,Not Available,100.5,Not Available,Not Available,79.5,349280,Ok,Not Available,3.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.2,Not Available,Not Available,Not Available,1372.2,Not Available,Not Available,Not Available,89.3,Not Available,0.7,Not Available,04/12/2021 03:03 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
215 Heyward Street,50,Not Available,360,No,0,Not Available,83.5,Not Available,Not Available,79.5,838399.9,Ok,Not Available,33.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,97.8,Not Available,648.8,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
180 7th Avenue,50,Not Available,270,No,0,Not Available,86.6,Not Available,Not Available,79.5,478199.9,Ok,Not Available,39.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,93.2,Not Available,343.6,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
325 Bushwick Avenue,50,Not Available,256,No,0,Not Available,42.2,Not Available,Not Available,79.5,413999.9,Ok,Not Available,34.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,1.7,Not Available,Not Available,Not Available,3.8,Not Available,Not Available,Not Available,73.3,Not Available,169.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
131 East 104th Street,50,Not Available,179.2,No,0,Not Available,79.2,Not Available,Not Available,79.5,425119.9,Ok,Not Available,8.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,80.4,Not Available,165.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
167-02 45th Avenue,50,Not Available,328,No,0,Not Available,103,Not Available,Not Available,79.5,678399.9,Ok,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.3,Not Available,Not Available,Not Available,501.5,Not Available,Not Available,Not Available,80.3,Not Available,512,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
121 Saratoga Avenue,50,Not Available,106.4,No,0,Not Available,79.7,Not Available,Not Available,79.5,177040,Ok,Not Available,41.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,94.7,Not Available,144.6,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
213 East 63rd Street,50,Not Available,204,No,0,Not Available,170.1,Not Available,Not Available,79.5,621999.9,Ok,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,6.2,Not Available,Not Available,Not Available,2927.1,Not Available,Not Available,Not Available,66.8,Not Available,1.3,Not Available,04/12/2021 03:03 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
150 East 58th Street,50,Not Available,Not Available,Not Available,0,71907,142.9,Not Available,Not Available,79.5,5665579.5,Ok,35297,4.0,Not Available,Not Available,Not Available,569.56,No,Not Available,0,290,Not Available,2020-12-31T00:00:00.000,Not Available,5.4,0,Not Available,Not Available,5758.1,35297,Not Available,Not Available,98.9,Not Available,0,Not Available,04/25/2021 06:23 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
1220 Gerard Avenue,50,Not Available,312,No,0,Not Available,131.1,Not Available,Not Available,79.5,981600,Ok,Not Available,16.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5,Not Available,Not Available,Not Available,7613.9,Not Available,Not Available,Not Available,91.8,Not Available,358.5,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
5800 Tilden Avenue,50,Not Available,272,No,0,Not Available,74.1,Not Available,Not Available,79.5,935999.9,Ok,Not Available,45.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.2,Not Available,Not Available,Not Available,0.7,Not Available,Not Available,Not Available,84.6,Not Available,695.6,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
74-20 Common Wealth Boulevard,50,Not Available,819.4,No,0,Not Available,73.6,Not Available,Not Available,79.5,1927999.8,Ok,Not Available,,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.3,Not Available,Not Available,Not Available,951.9,Not Available,Not Available,Not Available,53.8,Not Available,109,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
99 Avenue P,50,Not Available,312,No,0,Not Available,90.7,Not Available,Not Available,79.5,551599.9,Ok,Not Available,44.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,202.2,Not Available,Not Available,Not Available,96.3,Not Available,420,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
134 West 122nd Street,50,Not Available,160,No,0,Not Available,69.6,Not Available,Not Available,79.5,377200,Ok,Not Available,9.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,88.7,Not Available,216.9,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
2121 5th Avenue,50,Not Available,98,No,0,Not Available,139.1,Not Available,Not Available,79.5,302920,Ok,Not Available,9.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,8.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,99.0,Not Available,620.8,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
535 Madison Avenue,50,Not Available,Not Available,Not Available,0,292344,163.1,Not Available,Not Available,79.5,7155645.4,Ok,Not Available,4.0,12/19/2011,Not Available,Not Available,143.43,No,Not Available,Not Available,891,Not Available,2020-12-31T00:00:00.000,Not Available,5.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,75.0,Not Available,0,Not Available,02/04/2021 03:37 PM EST,Not Available,Not Available,Not Available,Ok,Not Available,0,100
46-21 Colden Street,50,Not Available,312,No,0,Not Available,64.3,Not Available,Not Available,79.5,471726.1,Ok,Not Available,20.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,193809,2020-12-31T00:00:00.000,100,3.4,Not Available,Not Available,Not Available,701.3,Not Available,Not Available,Not Available,111.1,Not Available,499.5,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
510 East 141st Street,50,Not Available,217.6,No,0,Not Available,98.4,Not Available,Not Available,79.5,361759.9,Ok,Not Available,8.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,116.0,Not Available,481.4,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
811 East 149th Street,50,Not Available,121.6,No,0,Not Available,60.8,Not Available,Not Available,79.5,269760,Ok,Not Available,8.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.5,Not Available,Not Available,Not Available,303.3,Not Available,Not Available,Not Available,70.0,Not Available,135.5,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
67-01 110th Street,50,Not Available,306.7,No,0,Not Available,97.5,Not Available,Not Available,79.5,978399.8,Ok,Not Available,29.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,98.5,Not Available,1347.7,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
55 Merrill Avenue,50,Not Available,284,No,0,Not Available,64.4,Not Available,Not Available,79.5,454000,Ok,Not Available,50.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.4,Not Available,Not Available,Not Available,294.7,Not Available,Not Available,Not Available,65.6,Not Available,132.6,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1000 Third Avenue,50,Not Available,Not Available,No,0,Not Available,159.6,Not Available,Not Available,79.5,12421668.5,Ok,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,Yes,Not Available,0,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52.0,Not Available,36.5,1.89585,02/17/2021 11:01 AM EST,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
50 Jefferson Avenue,50,Not Available,101.6,No,0,Not Available,75.5,Not Available,Not Available,79.5,274799.9,Ok,Not Available,36.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79.8,Not Available,252.3,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
90 Park Ave,50,Not Available,Not Available,Not Available,0,580977,143.8,Not Available,Not Available,79.5,10013260.9,Ok,26555,4.0,Not Available,Not Available,Not Available,283.09,No,Not Available,Not Available,2528,Not Available,2020-12-31T00:00:00.000,Not Available,5.3,0,Not Available,Not Available,10360.5,26555,4702,Not Available,96.5,Not Available,0,Not Available,04/06/2021 06:18 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
641 Lexington Avenue,50,Not Available,Not Available,Not Available,0,Not Available,133.5,Not Available,Not Available,79.5,4302909.9,Ok,Not Available,4.0,Not Available,Not Available,Not Available,255.92,No,Not Available,0,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.8,Not Available,Not Available,Not Available,3070.7,Not Available,Not Available,Not Available,79.5,Not Available,0,Not Available,04/26/2021 11:58 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
100 BAYCHESTER AVE,50,Not Available,Not Available,No,0,Not Available,111.2,Not Available,Not Available,79.5,1751921.3,Ok,Not Available,12.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,74.8,Not Available,88.7,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
211 72nd Street,50,Not Available,240,No,0,Not Available,76.1,Not Available,Not Available,79.5,369600,Ok,Not Available,43.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.2,Not Available,Not Available,Not Available,586.9,Not Available,Not Available,Not Available,96.4,Not Available,269.3,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
600 East 6th Street,50,Not Available,194,No,0,Not Available,90.6,Not Available,Not Available,79.5,571319.9,Ok,Not Available,2.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.8,Not Available,Not Available,Not Available,907.7,Not Available,Not Available,Not Available,81.8,Not Available,462,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
5905 Beverly Road,50,Not Available,199,No,0,Not Available,71.6,Not Available,Not Available,79.5,459719.9,Ok,Not Available,45.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73.8,Not Available,299.2,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
93-02 69th Avenue,50,Not Available,45.6,No,0,Not Available,73.2,Not Available,Not Available,79.5,69640,Ok,Not Available,29.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.8,Not Available,Not Available,Not Available,7564,Not Available,Not Available,Not Available,86.7,Not Available,492.9,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
150 Albany Avenue,50,Not Available,424,No,0,Not Available,87.2,Not Available,Not Available,79.5,1115199.9,Ok,Not Available,36.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.1,Not Available,Not Available,Not Available,324.9,Not Available,Not Available,Not Available,68.2,Not Available,233.5,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
7305 Fort Hamilton Parkway,50,Not Available,414.2,No,0,Not Available,135.1,Not Available,Not Available,79.5,1266399.8,Ok,Not Available,43.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,6,Not Available,Not Available,Not Available,340.3,Not Available,Not Available,Not Available,83.4,Not Available,579.7,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1224 Park Place,50,Not Available,464,No,0,Not Available,81.8,Not Available,Not Available,79.5,1002399.9,Ok,Not Available,36.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,69.0,Not Available,260.7,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
97-25 108th Street,50,Not Available,400,No,0,Not Available,95.7,Not Available,Not Available,79.5,562399.9,Ok,Not Available,28.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.8,Not Available,Not Available,Not Available,90148,Not Available,Not Available,Not Available,79.4,Not Available,259.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
11 West 42nd street,50,Not Available,Not Available,No,0,Not Available,122.1,Not Available,Not Available,79.5,4949723.7,Ok,Not Available,4.0,Not Available,Not Available,Not Available,756.29,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.1,Not Available,Not Available,Not Available,11662.9,Not Available,Not Available,Not Available,122.1,Not Available,3468,Not Available,Not Available,108124,Not Available,Not Available,Ok,Not Available,0,100
1255 Amsterdam Ave SCHL,50,Not Available,Not Available,No,0,Not Available,330.6,Not Available,Not Available,79.5,3720167.8,Ok,Not Available,7.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,88.0,Not Available,503.3,Not Available,05/25/2021 10:31 AM EDT,137591,Not Available,Not Available,Ok,Not Available,0,Not Available
