block,owner_s__phone__,special_dist_name,professional_cert,efiling_filed,sign_height_roof,job_status_descrp,community___board,fully_permitted,non_profit,zoning_distr_2,zoning_distr_3,zoning_distr_1,approved
2163,2122134444,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,112,,,,,C4-4        ,
5442,7184754736,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,312,,,,,R6          ,
2400,3129605000,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,502,,,,,C4-1        ,
10151,2125060431,DJ    ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,412,2017-07-27T00:00:00.000,,,,C6-3        ,2017-07-27T00:00:00.000
2334,7183661800,MX-8  ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,301,2017-08-18T00:00:00.000,,,,M1-2/R6A    ,2017-08-18T00:00:00.000
164,6469341111,TA    ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,103,2017-09-06T00:00:00.000,,,,C6-1        ,2017-09-06T00:00:00.000
13309,7573215683,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,413,2017-08-24T00:00:00.000,,,,R3-2        ,2017-08-24T00:00:00.000
4452,9178546046,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,305,2017-07-31T00:00:00.000,,,,C4-2        ,2017-07-31T00:00:00.000
9755,2124881645,DJ    ,Y,Y,0,PLAN EXAM - DISAPPROVED                 ,412,,,,,C4-5X       ,
16076,7184745692,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,414,2017-10-10T00:00:00.000,,,,C8-1        ,2017-10-10T00:00:00.000
5442,7184754736,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,312,,,,,R6          ,
1015,9176475309,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,105,,,,,C6-5        ,
646,2123624772,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,102,,,,,M1-5        ,
2747,6318488572,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,405,2017-07-28T00:00:00.000,,,,M1-1        ,2017-07-28T00:00:00.000
8129,2123769300,,Y,Y,0,PLAN EXAM - APPROVED                    ,411,,,R3-1        ,,R2A         ,2017-10-03T00:00:00.000
6169,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,411,,,,,R4          ,
282,2125542225,,Y,Y,0,PLAN EXAM - DISAPPROVED                 ,402,,,,,M1-4        ,
781,7188328364,,Y,Y,0,PLAN EXAM - APPROVED                    ,307,,,,,M1-2D       ,2017-09-13T00:00:00.000
1272,6469653616,MID   ,Y,Y,0,PLAN EXAM - APPROVED                    ,105,,,C5-P        ,,C5-3        ,2017-07-28T00:00:00.000
3154,5164961400,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,207,2017-09-28T00:00:00.000,,,,C4-4        ,2017-09-28T00:00:00.000
5855,5163265353,BR    ,,Y,0,APPLICATION PROCESSED - ENTIRE          ,310,,,,,R7B         ,
858,2127163500,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-08-03T00:00:00.000,,,,C5-2        ,2017-08-03T00:00:00.000
2163,2122134444,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,112,,,,,C4-4        ,
1479,7187610173,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,501,2017-10-03T00:00:00.000,,,,R3-2        ,2017-10-03T00:00:00.000
5052,7184382804,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,314,,,,,R7A         ,
1023,2136121503,MID   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-08-28T00:00:00.000,,,,C6-7        ,2017-08-28T00:00:00.000
997,3478864057,MID   ,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,105,,,C6-5.5      ,,C6-7T       ,
16076,7186340651,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,414,2017-09-07T00:00:00.000,,,,C8-1        ,2017-09-07T00:00:00.000
2747,6318488572,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,405,2017-07-28T00:00:00.000,,,,M1-1        ,2017-07-28T00:00:00.000
868,2126841529,MID   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-10-10T00:00:00.000,,,,C5-3        ,2017-10-10T00:00:00.000
5709,7187865555,,Y,Y,0,PRE-FILING                              ,208,,,,,R6          ,
8591,7182737575,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,318,2017-10-11T00:00:00.000,,,,C8-1        ,2017-10-11T00:00:00.000
209,9175959567,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,102,,,,,M1-5B       ,
1882,7187038403,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,109,2017-07-31T00:00:00.000,,,,R8          ,2017-07-31T00:00:00.000
11082,5164481909,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,413,2017-09-01T00:00:00.000,,,,C8-1        ,2017-09-01T00:00:00.000
5900,7186310997,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,407,,,,,C4-1        ,
1373,2127779500,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,108,,,C4-5        ,,R7-2        ,
576,2122295192,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,102,2017-08-09T00:00:00.000,Y,C6-2        ,,C6-4        ,2017-08-09T00:00:00.000
5547,7182321250,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,311,,,R5          ,,C4-2        ,
4531,2122797600,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,407,2017-09-07T00:00:00.000,,,,M1-1        ,2017-09-07T00:00:00.000
1229,7184267670,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,402,2017-08-28T00:00:00.000,,,,R6          ,2017-08-28T00:00:00.000
2333,6463660515,MX-8  ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,301,2017-08-23T00:00:00.000,,,,M1-2/R6A    ,2017-08-23T00:00:00.000
1514,2123409329,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,108,2017-10-03T00:00:00.000,,R8B         ,,C2-8A       ,2017-10-03T00:00:00.000
3865,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,405,,,,,R5          ,
993,2123913908,MID   ,Y,Y,0,PLAN EXAM - APPROVED                    ,105,,,,,C5-3        ,2017-08-18T00:00:00.000
710,2128947090,HY    ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,104,2017-08-07T00:00:00.000,,,,C2-8        ,2017-08-07T00:00:00.000
5282,2126092650,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,407,2017-08-17T00:00:00.000,,,,R5B         ,2017-08-17T00:00:00.000
3617,9142364690,,Y,Y,0,PLAN EXAM - APPROVED                    ,316,,,,,M1-1        ,2017-10-11T00:00:00.000
5442,7184754736,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,312,,,,,R6          ,
2374,9177964944,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,201,2017-08-24T00:00:00.000,,,,C4-4        ,2017-08-24T00:00:00.000
1278,2125990080,MID   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-08-09T00:00:00.000,,C5-2.5      ,,C5-3        ,2017-08-09T00:00:00.000
