activitydetailid,lotid,area,civilian_hrs,fivedayletterno,lotdupinspectionrequestid,streetaddress,lotcleaningtotal,crossstreettwo,used_house1,total_tonnage,activitystatusdate,firstname,old_status_rea_dd,isdeleted,segmentid,ccuno,coordinatex,operatorid_detail,lotno,zone,requestconversion_notes,dumpsiteid,l_tires
20221,163786,39.0,0,,,,,,,5.0,2010-11-02T14:55:59.000,,,0,,305268,,694,55,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
84901,40251,39.0,0,,,,,,,2.42,2010-11-02T14:55:54.000,,,0,,609867,,579,2,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
174892,56436,,0,,,,,,,47.4,2010-11-02T14:55:56.000,,,0,,9701580,,623,17,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
94994,45939,39.0,0,,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,613396,,694,25,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
102402,51402,39.0,0,1.0,,,,,,0.0,2010-11-02T14:55:57.000,,,0,,707399,,694,32,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
41386,10285,39.0,0,,,,,,,0.25,2010-11-02T14:55:56.000,,,0,,408687,,694,55,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
209176,111750,,0,,,,,,,448.34,2010-11-02T14:55:57.000,,,0,,9801763,,618,19,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
138384,75626,39.0,0,1.0,,,,,,1.5,2010-11-02T14:55:56.000,,,0,,813701,,693,34,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
28812,161575,39.0,13,,,,,,,2.0,2010-11-02T14:55:59.000,,,0,,210261,,694,42,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
123590,66271,39.0,0,1.0,,,,,,0.0,2010-11-02T14:55:56.000,,,0,,807148,,694,48,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
64721,28725,40.0,0,,,,,,,1.47,2010-11-02T14:55:57.000,,,0,,512607,,694,1,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
263271,177491,0.0,0,,,BEACH 32 STREET,0.0,,16,2.6,2011-08-30T12:48:19.000,,,0,0.0,1108819,0.0,694,1,10.0,,0.0,0
160362,90958,39.0,0,2.0,,,1410.12,,,7.1,2010-11-02T14:55:56.000,,,0,,1005996,,695,28,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
