property_name,alert_meter_has_overlaps,year_built,_3rd_largest_property_use,multifamily_housing_number_3,financial_office_gross_floor,multifamily_housing_government,hospital_general_medical_8,college_university_gross,medical_office_number_of_1,alert_meter_has_gaps,office_gross_floor_area_ft,avoided_emissions_onsite,metered_areas_energy,energy_power_station_gross,hospital_general_medical_11,address_2,national_median_source_eui,financial_office_number_of_1,municipally_supplied_potable,alert_data_center_does_not,movie_theater_gross_floor,energy_star_certification_1,percent_of_total_electricity,weather_normalized_site_1,weather_normalized_site_eui,office_percent_that_can_be_1,nta,college_university_number,outpatient_rehabilitation,convention_center_gross_floor,bank_branch_number_of,longitude,energy_star_score,wholesale_club_supercenter,fuel_oil_4_use_kbtu,metered_areas_water,weather_normalized_site_2,retail_store_gross_floor,property_gfa_epa_calculated_1,number_of_buildings,retail_store_open_or_closed,office_number_of_computers,adult_education_gross_floor,other_number_of_computers,hotel_gym_fitness_center,medical_office_number_of,district_hot_water_use_kbtu,_2nd_largest_property_use_1,multifamily_housing_number_6,national_median_total_ghg,site_energy_use_kbtu,weather_normalized_site_3,estimated_data_flag_1,automobile_dealership_gross,data_center_it_source_energy,outdoor_water_use_all_water,postcode,diesel_2_use_kbtu,avoided_emissions_offsite,council_district,multifamily_housing_number_2,worship_facility_gross_floor
Beech Hills 2-1,Ok,1952,Not Available,1.97031,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,131.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,91.3,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.7384,40,Not Available,4251343.7,Not Available,Not Available,Not Available,60904.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1710,0,405.5,5593196.9,388341.1,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,0,Not Available
250 W. 40th,Ok,1924,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,52000,Not Available,Whole Building,Not Available,Not Available,Not Available,216.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,62.1,100,,Not Available,Not Available,Not Available,Not Available,,85,Not Available,1769403.1,Whole Building,0,5000,57000.0,1,0.2,91,Not Available,Not Available,Not Available,Not Available,Not Available,5000,Not Available,467.5,3585874.5,523882.6,Not Available,Not Available,Not Available,Not Available,10018,Not Available,0,,Not Available,Not Available
405 East 56th (079),Ok,1961,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,145.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,Not Available,Not Available,Not Available,Not Available,-73.963002,100,Not Available,Not Available,Not Available,Not Available,Not Available,140250.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20000,0,557.1,3538299.4,Not Available,Not Available,Not Available,Not Available,Not Available,10022,Not Available,0,5.0,Not Available,Not Available
LNJ Mazel Realty LLC,Ok,1930,Not Available,1.10644,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,123.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,63.9,Not Available,Flatbush,Not Available,Not Available,Not Available,Not Available,-73.957534,99,Not Available,Not Available,Whole Building,40116.2,Not Available,64170.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48,389.8,4066072.4,25102.5,Not Available,Not Available,Not Available,Not Available,11225,Not Available,0,45.0,0,Not Available
275-277 Realty LLC,Ok,1952,Not Available,1.32378,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,130.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,75.5,Not Available,Rugby-Remsen Village,Not Available,Not Available,Not Available,Not Available,-73.919253,79,Not Available,Not Available,Whole Building,49655.4,Not Available,79318.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,78,423.9,5883177.3,298724.9,Not Available,Not Available,Not Available,Not Available,11212,Not Available,0,41.0,0,Not Available
Beech Hills 1-13,Ok,1951,Not Available,1.81344,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,137.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,107.1,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.730317,31,Not Available,Not Available,Not Available,30582.7,Not Available,35292.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9520,0,195.6,3700570.5,211013.8,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,0,Not Available
1540 Walton Ave - 38872,Ok,1923,Not Available,1.34089,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,133,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,99.7,Not Available,West Concourse,Not Available,Not Available,Not Available,Not Available,-73.913831,47,Not Available,Not Available,Not Available,50553.9,Not Available,58916.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,58,334.1,5908689.2,240040.7,Not Available,Not Available,Not Available,Not Available,10452,Not Available,0,14.0,0,Not Available
1184 Evergreen Avenue,Ok,1928,Not Available,1.27005,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,130.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.2,67.7,Not Available,Soundview-Bruckner,Not Available,Not Available,Not Available,Not Available,-73.880881,84,Not Available,Not Available,Not Available,8348.1,Not Available,52754.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,51,334.3,3573120.7,228139.3,Not Available,Not Available,Not Available,Not Available,10472,Not Available,0,17.0,Not Available,Not Available
St. Mary's Hospital for Children,Ok,1958,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,1.94635,Not Available,427.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1,185.8,Not Available,Bayside-Bayside Hills,Not Available,Not Available,Not Available,Not Available,-73.770182,71,Not Available,Not Available,Not Available,186851.5,Not Available,187274.0,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2647.6,34928031.5,4721005.5,Not Available,Not Available,Not Available,Not Available,11360,Not Available,0,19.0,Not Available,Not Available
809 First Avenue,Ok,1965,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,100000,Not Available,Whole Building,Not Available,Not Available,Not Available,277.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,109.7,100,Turtle Bay-East Midtown,Not Available,Not Available,Not Available,Not Available,-73.968289,46,Not Available,Not Available,Whole Building,Not Available,Not Available,100000.0,1,Not Available,500,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,839.2,11113679.1,2291459.3,Not Available,Not Available,Not Available,Not Available,10017,Not Available,0,4.0,Not Available,Not Available
95 Wall Street,Ok,1969,Supermarket/Grocery Store,1.18732,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,142.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,70.6,Not Available,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Available,6.29,-74.007488,33,Not Available,Not Available,Not Available,1,Not Available,476727.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11602,0,2301.9,34123957.9,5254564.5,Not Available,Not Available,Not Available,Not Available,10005,Not Available,0,1.0,6,Not Available
Clearview 5 Bldg C-2,Ok,1961,Not Available,4.24469,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Multiple Addresses-See Unique Bldg ID,196.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1.5,187.8,Not Available,Whitestone,Not Available,Not Available,Not Available,Not Available,-73.802781,6,Not Available,Not Available,Whole Building,23668.5,Not Available,16020.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2038,0,124.8,3026940.8,188033.8,Not Available,Not Available,Not Available,Not Available,11357,Not Available,0,19.0,0,Not Available
St. Mary's Home for Working Girls,Ok,1960,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,168.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,133017.4,Not Available,Lenox Hill-Roosevelt Island,Not Available,Not Available,Not Available,Not Available,-73.959876,1,Not Available,Not Available,Not Available,439,Not Available,67655.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,629.9,8999294312,525199.9,Not Available,Not Available,Not Available,Not Available,10021,Not Available,0,4.0,Not Available,Not Available
66-72 Fort Washington Ave,Ok,1920,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,117.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,82.3,Not Available,Washington Heights South,Not Available,Not Available,Not Available,Not Available,-73.944129,49,Not Available,Not Available,Whole Building,46253.1,Not Available,68178.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10.4,329.7,5671426.1,288104,Not Available,Not Available,Not Available,Not Available,10032,Not Available,0,7.0,Not Available,Not Available
55 Water,Ok,1972,Bank Branch,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,3578561,Not Available,Whole Building,Not Available,Not Available,Not Available,339.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,115.3,100,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Available,16,-74.009781,70,Not Available,Not Available,Whole Building,Not Available,Not Available,3636683.0,1,Not Available,9481,Not Available,Not Available,Not Available,Not Available,Not Available,42757,Not Available,38971,414964118.6,78380372.4,Not Available,Not Available,162510092.1,Not Available,10041,7114604.5,0,1.0,Not Available,Not Available
440 Audubon Ave,Ok,1911,Not Available,1.53986,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,138.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,113.7,Not Available,Washington Heights North,Not Available,Not Available,Not Available,Not Available,-73.929545,34,Not Available,Not Available,Not Available,4408,Not Available,66240.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68,507.6,7551970.7,329450.5,Not Available,Not Available,Not Available,Not Available,10040,Not Available,0,10.0,0,Not Available
137-77 45th Ave - 10879,Ok,1973,Not Available,1.83014,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,148.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,31.8,Not Available,Flushing,Not Available,Not Available,Not Available,Not Available,-73.822806,93,Not Available,Not Available,Whole Building,Not Available,Not Available,73765.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,289.1,2356335.4,687490.4,Not Available,Not Available,Not Available,Not Available,11355,Not Available,0,20.0,4,Not Available
Fitzpatrick Grand Central Hotel,Ok,1952,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,228.5,Not Available,769098.7,Ok,Not Available,Not Available,Not Available,0.3,89.2,Not Available,Turtle Bay-East Midtown,Not Available,Not Available,Not Available,Not Available,-73.974403,49,Not Available,Not Available,Whole Building,19706.2,Not Available,72307.0,1,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,486.1,6569838.8,1312538.1,Not Available,Not Available,Not Available,Not Available,10017,Not Available,0,4.0,Not Available,Not Available
Arc Rebuilders Inc.,Ok,1986,Office,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,8000,Not Available,Whole Building,Not Available,Not Available,Not Available,123.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.2,34.2,100,Steinway,Not Available,Not Available,Not Available,Not Available,-73.898965,Not Available,Not Available,Not Available,Whole Building,20202,Not Available,100000.0,1,Not Available,14,Not Available,Not Available,Not Available,Not Available,Not Available,42000,Not Available,422.8,3445879.8,410596.1,Not Available,Not Available,Not Available,Not Available,11105,Not Available,0,22.0,Not Available,Not Available
145 East 16th Street (088),Ok,1963,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Gramercy,Not Available,Not Available,Not Available,Not Available,-73.986158,Not Available,Not Available,Not Available,Not Available,Not Available,12000,236275.0,1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12000,0,847.2,7385377.5,Not Available,Not Available,Not Available,Not Available,Not Available,10003,Not Available,0,2.0,Not Available,Not Available
708 W 171,Ok,1929,Not Available,1.06024,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,123.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,70.8,Not Available,Washington Heights South,Not Available,Not Available,Not Available,Not Available,-73.94142,86,Not Available,Not Available,Whole Building,38541.7,Not Available,62250.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52,331.1,4380354.2,161918.2,Not Available,Not Available,Not Available,Not Available,10032,Not Available,0,10.0,8,Not Available
"Nugarese Inc, 2101 Creston Ave",Ok,1927,Not Available,1.73684,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,142.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,124.5,Not Available,Mount Hope,Not Available,Not Available,Not Available,Not Available,-73.90355,25,Not Available,Not Available,Whole Building,8658.5,Not Available,60000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3000,50,456.5,7358119.7,350323.9,Not Available,Not Available,Not Available,Not Available,10453,Not Available,0,14.0,13,Not Available
Clearview 1 Bldg 0-07 to 0-14,Ok,1951,Not Available,3.9411,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Multiple Addresses-See Unique Bldg ID,193.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,211.5,Not Available,Ft. Totten-Bay Terrace-Clearview,Not Available,Not Available,Not Available,Not Available,-73.792659,3,Not Available,Not Available,Not Available,43500.2,Not Available,90330.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,869.2,19236363.3,1064593.3,Not Available,Not Available,Not Available,Not Available,11357,Not Available,0,19.0,1,Not Available
162-21 Powells Cove Blvd - 40021,Ok,1956,Not Available,0.94286,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,118.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,59.3,Not Available,Whitestone,Not Available,Not Available,Not Available,Not Available,-73.798808,88,Not Available,Not Available,Whole Building,83981.6,Not Available,175000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,108,837.7,10463359.2,579125.8,Not Available,Not Available,Not Available,Not Available,11357,Not Available,0,19.0,5,Not Available
"staten island kitchen cabinets mfg, inc",Ok,2009,Office,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,8700,Not Available,Whole Building,Not Available,Not Available,Not Available,123.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,22.8,100,New Springville-Bloomfield-Travis,Not Available,Not Available,Not Available,Not Available,-74.190595,Not Available,Not Available,Not Available,Not Available,8096.3,Not Available,82500.0,1,Not Available,10,Not Available,0,Not Available,Not Available,Not Available,36300,Not Available,317.1,1867191.9,314100,Not Available,Not Available,Not Available,Not Available,10312,Not Available,0,51.0,Not Available,Not Available
Highmount Associates 2,Ok,1940,Not Available,2.20734,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,158.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,110,Not Available,East Village,Not Available,Not Available,Not Available,Not Available,-73.985492,56,Not Available,Not Available,Whole Building,15839.8,Not Available,40320.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,55,315.7,4448313.4,214224.2,Not Available,Not Available,Not Available,Not Available,10003,Not Available,0,2.0,3,Not Available
400 Avenue U,Ok,2009,Not Available,0.96203,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,128.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,80.3,Not Available,Homecrest,Not Available,Not Available,Not Available,Not Available,-73.969313,23,Not Available,Not Available,Not Available,36247.2,Not Available,79000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29,342.8,6206324.1,797808.9,Not Available,Not Available,Not Available,Not Available,11223,Not Available,0,47.0,0,Not Available
280 Crown Street LLC,Ok,1927,Supermarket/Grocery Store,1.47559,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,76.1,Not Available,Crown Heights South,Not Available,Not Available,Not Available,Not Available,-73.951046,Not Available,Not Available,Not Available,Whole Building,36443.2,3000,60071.0,1,0.16667,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3000,75,307.3,4557397.5,272471.8,Not Available,Not Available,Not Available,Not Available,11225,Not Available,0,35.0,0,Not Available
647-651 West 171st St.,Ok,1922,Not Available,1.42586,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,134.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,51.5,Not Available,Washington Heights South,Not Available,Not Available,Not Available,Not Available,-73.939968,100,Not Available,3402530.1,Whole Building,2049.2,Not Available,71536.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,49,705.2,3606630.1,Not Available,Not Available,Not Available,Not Available,Not Available,10032,Not Available,Not Available,10.0,0,Not Available
401 East 88th (W11),Ok,1964,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yorkville,Not Available,Not Available,Not Available,Not Available,-73.948237,Not Available,Not Available,29157638.1,Whole Building,Not Available,6000,227750.0,1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6000,0,1627.8,36902391.3,Not Available,Not Available,Not Available,Not Available,Not Available,10128,Not Available,0,5.0,Not Available,Not Available
