address_1,latitude,longitude,hospital_general_medical_2,electricity_use_grid_purchase_1,generation_date,weather_normalized_site,k_12_school_gross_floor_area,stadium_closed_gross_floor,manufacturing_industrial,primary_property_type_self,electricity_use_generated,occupancy,municipally_supplied_potable_3,nyc_borough_block_and_lot,date_property_last_modified,refrigerated_warehouse_gross,hospital_general_medical_8,outpatient_rehabilitation,financial_office_number_of,hospital_general_medical_4,hospital_general_medical_14,water_use_all_water_sources,fitness_center_health_club,nta,national_median_reference,district_steam_cost,pre_school_daycare_gross,bank_branch_gross_floor_area,community_board,office_percent_that_can_be,food_service_gross_floor,indoor_water_use_all_water,other_number_of_workers_on,convenience_store_with_gas,fuel_oil_2_use_kbtu,estimated_data_flag,retail_store_open_or_closed,national_median_site_eui,hospital_general_medical_12,personal_services_health,weather_normalized_source,roller_rink_gross_floor_area,indoor_arena_gross_floor,social_meeting_hall_gross,multifamily_housing_percent,hospital_general_medical_1,urgent_care_clinic_other,worship_facility_gross_floor
148 Lafayette Street,40.719526,-73.999553,Not Available,7101672,2014-04-16T10:25:20.000,30012.7,Not Available,Not Available,Not Available,Office,Not Available,100,0,1002330026,02/10/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014.5,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,102.0,100,Not Available,2014.5,Not Available,Not Available,Not Available,No,Not Available,112.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
530 W57th St,40.770073,-73.990852,Not Available,99813829.1,2014-04-23T16:17:24.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01085-0001,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Clinton,"CBECS combination - 2, Bank_LG+Office",998913.4941,Not Available,Not Available,104.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,56.5,Not Available,Not Available,767.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
166-05 HIGHLAND AVE PLP,40.71119,-73.79724,Not Available,2538707.1,2014-05-01T11:03:38.000,101570.3,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4098490130,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Briarwood-Jamaica Hills,,Not Available,Not Available,Not Available,408.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,111,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5410 Netherland Ave.,40.902201,-73.90692,Not Available,1871791.5,2014-04-28T10:17:10.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,2-05950-0406,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4625.2,Not Available,North Riverdale-Fieldston-Riverdale,,Not Available,Not Available,Not Available,208.0,Not Available,Not Available,4625.2,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
33 Whitehall Street,40.703312,-74.013038,Not Available,37239557.5,2014-04-16T16:34:28.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1000100014,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Battery Park City-Lower Manhattan,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,101.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,110.1,Not Available,Not Available,305.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
36 West 93rd Street,40.790204,-73.96722,Not Available,Not Available,2014-05-01T16:57:24.000,Not Available,41000,Not Available,Not Available,K-12 School,Not Available,100,Not Available,Not Available,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,"CBECS combination - 4, K12",Not Available,Not Available,Not Available,107.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
460 HOWARD AVE OM,40.619147,-74.090405,Not Available,132483.9,2014-05-01T11:03:42.000,24369.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,5005950015,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Grymes Hill-Clifton-Fox Hills,,Not Available,Not Available,Not Available,501.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,135,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
280 Fort Washington Ave,40.844481,-73.940859,Not Available,631343.9,2014-04-22T15:42:39.000,1144,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1-02142-0089,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2220.2,Not Available,Washington Heights South,,Not Available,Not Available,Not Available,112.0,Not Available,Not Available,2220.2,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,182.1,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
145 West 96th Street,40.793421,-73.96884,Not Available,1341656.7,2014-04-07T08:49:58.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1018510005,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4015.5,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,4015.5,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
801-825 East 141 Street,40.805836,-73.908734,Not Available,776462,2014-04-03T08:42:42.000,22005.3,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse,Not Available,100,Not Available,2025990146,04/01/2014 12:01 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Mott Haven-Port Morris,"CBECS combination - 9, UnRfg Warehouse",Not Available,Not Available,Not Available,201.0,25,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,30.5,Not Available,Not Available,20.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
50 Rockefeller Plaza,40.75938,-73.97823,Not Available,23641505.7,2014-05-01T15:40:37.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01266-0001,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.0157,121.4,Not Available,Not Available,226.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
18 E 41st,,,Not Available,4682993.9,2014-05-01T18:20:36.000,4320.1,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01275-0061,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,101.6,Not Available,Not Available,156.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
145 East 48th Street,40.755042,-73.972774,Not Available,Not Available,2014-05-01T23:04:18.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1013037501,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,,325270.5228,Not Available,Not Available,106.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
67 WEST 47th STREET,40.757511,-73.980566,Not Available,4819091.7,2014-04-14T16:18:51.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01263-0005,10/30/2013 02:53 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6396.2,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",115584.2468,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,100.1,Not Available,Not Available,205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1919 Williamsbridge Road,40.852799,-73.853325,Not Available,1219237.3,2014-04-29T18:57:25.000,4908.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,2-02869-0009,04/28/2014 06:20 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Pelham Parkway,,Not Available,Not Available,Not Available,211.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,148.3,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
3280 NOSTRAND AVE ENTM,40.60411,-73.942596,Not Available,1778754.1,2014-05-01T11:03:39.000,65989.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,3073080032,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Madison,,Not Available,Not Available,Not Available,315.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,134.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
375 Park Avenue,40.758786,-73.972801,Not Available,101942473.6,2014-05-01T13:16:35.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1013070001,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",1790297.548,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,63.8,Not Available,Not Available,513.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
222 East 41st St.,40.749597,-73.973765,Not Available,21816147.2,2014-04-30T11:40:49.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,90,0.1223747,1-01314-0015,04/30/2014 07:39 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5005.1,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",277962.6159,Not Available,Not Available,106.0,100,Not Available,5005.1,Not Available,Not Available,Not Available,No,Not Available,113.8,Not Available,Not Available,197.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1516 Oriental Blvd.,40.578348,-73.939421,Not Available,14287374.7,2014-04-11T09:24:21.000,145911.6,Not Available,Not Available,Not Available,Senior Care Community,Not Available,100,0,3-08760-0200,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8010.5,Not Available,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"PBA - 17, Nursing",Not Available,Not Available,Not Available,315.0,Not Available,Not Available,8010.5,Not Available,Not Available,Not Available,No,Not Available,86.1,Not Available,Not Available,218.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
201 W 16 Street,40.740067,-73.999134,Not Available,Not Available,2014-04-30T13:50:10.000,1769.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1007660039,04/15/2014 11:45 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,,Not Available,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,Not Available,Not Available
100 Central Park South,40.765802,-73.97656,Not Available,2621812.9,2014-04-30T18:56:19.000,7175.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1010117505,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,,149738.7545,Not Available,Not Available,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,139.6,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
One New York Plaza,40.702628,-74.011689,Not Available,141925040.2,2014-04-25T11:35:46.000,0,Not Available,Not Available,Not Available,Office,Not Available,100,0,1-00004-7501,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,125897.3,Not Available,Battery Park City-Lower Manhattan,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,101.0,100,Not Available,36048.9,Not Available,Not Available,Not Available,No,0.12716,155.5,Not Available,Not Available,229.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
130 8th Avenue,40.672008,-73.974016,Not Available,872603,2014-04-28T09:32:21.000,42162.6,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,3-01071-0014,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1641.2,Not Available,Park Slope-Gowanus,,Not Available,Not Available,Not Available,306.0,Not Available,Not Available,1641.2,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,127.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4 East 60th Street,40.76472,-73.97216,Not Available,Not Available,2014-04-15T11:33:46.000,Not Available,Not Available,Not Available,Not Available,Hotel,Not Available,100,0,1013740065,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6217.6,Not Available,Upper East Side-Carnegie Hill,"CBECS combination - 7, Hotel",Not Available,Not Available,Not Available,108.0,Not Available,Not Available,6217.6,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3291 NOSTRAND AVE ENTM,40.603898,-73.942535,Not Available,1096806.8,2014-05-01T11:03:39.000,63206.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,3073090040,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Madison,,Not Available,Not Available,Not Available,315.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,113.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
18 West 18th Street,40.738859,-73.99266,Not Available,7407905.8,2014-04-30T17:00:35.000,156.7,52342,Not Available,Not Available,Office,Not Available,100,0,1008190056,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4713.5,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,90.64,Not Available,4713.5,Not Available,Not Available,Not Available,No,0,91,Not Available,Not Available,161.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
20-38 thru 20-50 Seagirt Blvd,,,Not Available,778385.4,2014-04-30T10:00:38.000,113161.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4-15780-0020,04/03/2014 10:41 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,66.7,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
249 East 48th Street,40.754111,-73.970565,Not Available,3139568.9,2014-05-01T23:04:04.000,2018,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1013227501,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,,Not Available,Not Available,Not Available,106.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15,Not Available,Not Available,Not Available
125 West 55th Street,40.763514,-73.979276,Not Available,Not Available,2014-04-30T11:37:15.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1010080019,11/19/2013 06:04 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
6 East 39th Street,40.751374,-73.981817,Not Available,3317386.9,2014-04-17T16:15:27.000,18.7,Not Available,Not Available,Not Available,Other,Not Available,100,Not Available,Not Available,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Murray Hill-Kips Bay,Not Available,Not Available,Not Available,Not Available,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,2309856.7,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1775 Broadway,40.766492,-73.981827,Not Available,25672358.9,2014-04-09T16:34:38.000,151539.4,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01029-7501,04/09/2014 07:45 AM EDT,Not Available,Not Available,Not Available,43,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,0,No,0.23579,94.3,Not Available,Not Available,135.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26-13 21st Street,40.773073,-73.925254,Not Available,6251329.9,2014-05-01T13:38:17.000,110078.1,Not Available,Not Available,Not Available,Senior Care Community,Not Available,100,Not Available,4008840065,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Old Astoria,"PBA - 17, Nursing",Not Available,Not Available,Not Available,401.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,126.8,Not Available,Not Available,195.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
White Plains Rd / Turnbull Ave,,,Not Available,10330614.8,2014-04-30T15:47:52.000,34698.6,Not Available,Not Available,Not Available,Office,Not Available,100,0.01233193,2036450001,04/30/2014 07:53 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,116.2,Not Available,,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,,100,Not Available,116.2,Not Available,Not Available,Not Available,No,Not Available,92.6,Not Available,Not Available,314.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
115 East 9th Street,40.730345,-73.989962,Not Available,5610041.1,2014-05-01T23:03:52.000,5811.3,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1005550028,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12586,Not Available,East Village,,Not Available,Not Available,Not Available,103.0,Not Available,Not Available,12586,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,131,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
155-165 E. Mosholu Pkwy N,40.87606,-73.881482,Not Available,956354.3,2014-04-30T06:38:27.000,4412.4,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,2-0335-0110,04/29/2014 12:15 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Norwood,,Not Available,Not Available,Not Available,207.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,118.5,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
152 West 57th Street,40.765185,-73.979279,Not Available,39001002.5,2014-04-30T15:54:01.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1010090005,04/28/2014 08:29 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18246.2,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,99.25,Not Available,12956,8,Not Available,Not Available,No,Not Available,108.4,Not Available,Not Available,233.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5 Penn Plaza,40.751861,-73.993716,Not Available,41540315.2,2014-04-09T16:25:56.000,10591.9,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-00757-0031,04/09/2014 07:23 AM EDT,Not Available,Not Available,Not Available,15,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,104.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,127.6,Not Available,Not Available,227.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26 East 63rd Street,40.76599,-73.969365,Not Available,2148876.6,2014-04-29T14:45:41.000,54782.8,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1013777502,04/29/2014 04:03 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,190.5,Not Available,Not Available,Not Available,2.5,Not Available,Not Available,Not Available
One Madison Avenue,,,Not Available,73912825.3,2014-04-27T08:13:57.000,22257,Not Available,Not Available,Not Available,Office,Not Available,100,0.1480863,1-00853-0002,11/04/2013 01:41 PM EST,Not Available,Not Available,Not Available,19,Not Available,Not Available,26529.1,Not Available,,"CBECS combination - 2, Bank_LG+Office",1242331.357,Not Available,Not Available,,100,Not Available,17427.3,Not Available,Not Available,Not Available,No,1.25554,133.5,Not Available,Not Available,236.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1071 6TH AVENUE,40.753894,-73.984812,Not Available,8741329,2014-04-29T11:57:02.000,25,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1009930036,03/28/2014 11:24 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2499.8,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,91.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
53 WEST 23RD STREET,40.742266,-73.991252,Not Available,10714147.4,2014-04-29T12:11:13.000,1637.5,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1008250012,03/28/2014 12:06 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2509.1,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,108.1,Not Available,Not Available,147.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
350 West 43rd Street,40.758509,-73.990745,Not Available,5567295.6,2014-04-30T11:41:33.000,5734,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1010330109,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Clinton,,Not Available,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,4,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,407.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
145 West 54th Street,40.763146,-73.980355,Not Available,28075587.4,2014-05-21T15:14:10.000,47154.6,Not Available,Not Available,Not Available,Hotel,Not Available,100,Not Available,1010070005,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,CBECS - Hotel & Motel/Inn,0,Not Available,Not Available,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,92.2,Not Available,Not Available,223.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40 Morningside Avenue,40.807006,-73.957188,Not Available,125206.1,2014-05-02T14:55:28.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1019450001,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Central Harlem South,,Not Available,Not Available,Not Available,110.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
601 Lexington Avenue,40.758465,-73.970914,Not Available,114619589,2014-04-29T16:22:30.000,27440,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1013087501,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,106.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.08126,137,Not Available,Not Available,286.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
20 Vesey Street,40.711843,-74.009562,Not Available,4127346.3,2014-04-24T17:24:01.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-00088-0005,04/09/2014 06:56 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,101.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,123.8,Not Available,Not Available,181.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
