brooklyn_cooperatives_comparable_properties_address,bin,postcode,brooklyn_cooperatives_comparable_properties_expense_per_sqft,comparable_rental_2_year_built,longitude,community_council,comparable_rental_1_gross_sqft,comparable_rental_1_estimated_expense,comparable_rental_1_full_market_value,comparable_rental_3_building_classification,comparable_rental_2_address,comparable_rental_3_full_market_value,comparable_rental_3_estimated_gross_income,comparable_rental_3_net_operating_income,comparable_rental_1_address,brooklyn_cooperatives_comparable_properties_building_classification,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,nta,brooklyn_cooperatives_comparable_properties_net_operating_income,brooklyn_cooperatives_comparable_properties_estimated_expense,comparable_rental_2_boro_block_lot,comparable_rental_3_neighborhood,latitude
"{'latitude': '40.684786580561', 'longitude': '-73.96711960443', 'human_address': '{""address"": ""451 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3321898.0,11238.0,7.13,1930.0,-73.967171,35.0,22500,186174.0,1367000,D3-ELEVATOR,"{'latitude': '40.684497260879', 'longitude': '-73.967136938919', 'human_address': '{""address"": ""464 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,005,000","357,895","150,618","{'latitude': '40.688104504418', 'longitude': '-73.960469215355', 'human_address': '{""address"": ""91 CLIFTON PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01948-0040,CLINTON HILL,Clinton Hill                                                               ,230723,210634,3-01960-0070,FORT GREENE,40.684945
"{'latitude': '40.604401888406', 'longitude': '-73.968166678192', 'human_address': '{""address"": ""1890 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,4.31,1926.0,,,91350,410736.0,2409000,D1-ELEVATOR,"{'latitude': '40.6053006172', 'longitude': '-73.96658378856', 'human_address': '{""address"": ""1777 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,607,000","936,052","653,494","{'latitude': '40.603601477319', 'longitude': '-73.966882440011', 'human_address': '{""address"": ""1850 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06681-0440,OCEAN PARKWAY-SOUTH,,628064,447804,3-06663-0063,OCEAN PARKWAY-NORTH,
"{'latitude': '40.615528406624', 'longitude': '-73.969156210971', 'human_address': '{""address"": ""1360 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3172890.0,11230.0,7.04,1953.0,-73.968858,44.0,54600,393649.0,2486000,D1-ELEVATOR,"{'latitude': '40.619360848307', 'longitude': '-73.969230360802', 'human_address': '{""address"": ""1201 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,387,000","811,455","471,509","{'latitude': '40.61663257771', 'longitude': '-73.969360065167', 'human_address': '{""address"": ""1314 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06568-0015,OCEAN PARKWAY-NORTH,Ocean Parkway South                                                        ,1119348,1225537,3-06542-0001,OCEAN PARKWAY-NORTH,40.615623
"{'latitude': '40.664085590097', 'longitude': '-73.980931764427', 'human_address': '{""address"": ""461 12 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,9.74,1920.0,,,13280,129377.0,863000, ,"{'latitude': '40.665655682039', 'longitude': '-73.979265416551', 'human_address': '{""address"": ""911 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.664701106501', 'longitude': '-73.980596071399', 'human_address': '{""address"": ""558 11 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-01096-0035,PARK SLOPE,,141295,142613,3-01093-0001, ,
"{'latitude': '40.671343012921', 'longitude': '-73.989082937308', 'human_address': '{""address"": ""192 8 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,4.39,1937.0,,,73956,513654.0,2772000, ,"{'latitude': '40.676321385053', 'longitude': '-73.9887644504', 'human_address': '{""address"": ""199 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.67085553875', 'longitude': '-73.988072500187', 'human_address': '{""address"": ""214 8 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05340-0022,KENSINGTON,,195624,150138,3-05325-0065, ,
"{'latitude': '40.672794360848', 'longitude': '-73.973457669693', 'human_address': '{""address"": ""100 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3024762.0,11215.0,5.56,1920.0,-73.973489,39.0,16470,200356.0,3254000,D1-ELEVATOR,"{'latitude': '40.700642038029', 'longitude': '-73.987868812094', 'human_address': '{""address"": ""70 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","4,287,000","903,286","585,336","{'latitude': '40.673754294167', 'longitude': '-73.975759053897', 'human_address': '{""address"": ""820 PRESIDENT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01067-0007,PARK SLOPE,Park Slope-Gowanus                                                         ,427392,149453,3-01079-0040,PARK SLOPE,40.672722
"{'latitude': '40.640306667779', 'longitude': '-73.991752350897', 'human_address': '{""address"": ""1163 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3135867.0,11219.0,6.47,1927.0,-73.991849,39.0,17800,168422.0,681000, ,"{'latitude': '40.644179538557', 'longitude': '-73.998257211075', 'human_address': '{""address"": ""862 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.643458138255', 'longitude': '-73.995572952164', 'human_address': '{""address"": ""958 42 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-05595-0030,BOROUGH PARK,Borough Park                                                               ,96168,115231,3-00733-0031, ,40.640347
"{'latitude': '40.639920801295', 'longitude': '-73.966045507508', 'human_address': '{""address"": ""385 ARGYLE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3118669.0,11218.0,4.44,1935.0,-73.966043,40.0,42368,267193.0,1053000,D1-ELEVATOR,"{'latitude': '40.638866430787', 'longitude': '-73.967725513522', 'human_address': '{""address"": ""395 STRATFORD ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,288,000","787,072","356,152","{'latitude': '40.638916685356', 'longitude': '-73.966882206167', 'human_address': '{""address"": ""410 WESTMINSTER ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05154-0024,FLATBUSH-CENTRAL,Flatbush                                                                   ,349490,264802,3-05154-0059,FLATBUSH-CENTRAL,40.639804
"{'latitude': '40.693152471111', 'longitude': '-73.995030396519', 'human_address': '{""address"": ""245 HENRY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3002223.0,11201.0,9.01,1923.0,-73.995034,33.0,63224,561427.0,4296000, ,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""63 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.691765672845', 'longitude': '-73.991909846471', 'human_address': '{""address"": ""59 LIVINGSTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00265-0006,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,465720,529815,3-00241-0011, ,40.693222
"{'latitude': '40.652601701816', 'longitude': '-73.961529063122', 'human_address': '{""address"": ""416 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3116130.0,11226.0,5.52,1960.0,-73.961521,40.0,121636,599685.0,3663000,D1-ELEVATOR,"{'latitude': '40.642039203618', 'longitude': '-73.962524371518', 'human_address': '{""address"": ""1710 CORTELYOU ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","5,643,000","1,847,222","892,474","{'latitude': '40.651380488147', 'longitude': '-73.961292647011', 'human_address': '{""address"": ""470 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05080-0024,FLATBUSH-CENTRAL,Flatbush                                                                   ,643288,725167,3-05160-0001,FLATBUSH-CENTRAL,40.652714
"{'latitude': '40.576808780649', 'longitude': '-73.979573892067', 'human_address': '{""address"": ""2885 12 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,12.94,1974.0,,,380000,3181083.0,25001000,D1-ELEVATOR,"{'latitude': '40.578166207029', 'longitude': '-73.991882080373', 'human_address': '{""address"": ""2428 NEPTUNE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","4,575,000","1,427,023","727,759","{'latitude': '40.574797359265', 'longitude': '-73.990957409813', 'human_address': '{""address"": ""2950 24 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07055-0013,CONEY ISLAND,,9742887,22472898,3-07014-0001,GRAVESEND,
"{'latitude': '40.691966227066', 'longitude': '-73.920857907648', 'human_address': '{""address"": ""75 LINDEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3076072.0,11221.0,4.98,1931.0,-73.920841,34.0,10084,78544.0,174000,C1-WALK-UP,"{'latitude': '40.687735390166', 'longitude': '-73.93767489833', 'human_address': '{""address"": ""723 GATES AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","771,000","322,840","128,966","{'latitude': '40.691244227177', 'longitude': '-73.926197200204', 'human_address': '{""address"": ""1046 GREENE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-01623-0029,BEDFORD STUYVESANT,Bushwick South                                                             ,42754,56030,3-01637-0032,BEDFORD STUYVESANT,40.691949
"{'latitude': '40.636393187154', 'longitude': '-73.987135379895', 'human_address': '{""address"": ""4418 14 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3136488.0,11219.0,6.78,1927.0,-73.987173,39.0,20160,128618.0,917000, ,"{'latitude': '40.637477643045', 'longitude': '-73.988695321647', 'human_address': '{""address"": ""1322 44 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.634936024567', 'longitude': '-74.008574758407', 'human_address': '{""address"": ""843 60 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-05707-0059,BOROUGH PARK,Borough Park                                                               ,135218,164782,3-05611-0016, ,40.636345
"{'latitude': '40.689136736879', 'longitude': '-73.965029895887', 'human_address': '{""address"": ""21 ST JAMES PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3055374.0,11205.0,7.03,1976.0,-73.965001,35.0,128000,1037068.0,6990000,D1-ELEVATOR,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""157 MARCUS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","3,720,000","1,564,357","735,489","{'latitude': '40.688662422549', 'longitude': '-73.948653796504', 'human_address': '{""address"": ""550 GREENE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01798-0040,BEDFORD STUYVESANT,Clinton Hill                                                               ,2608059,2608060,3-01588-0001,BEDFORD STUYVESANT,40.689103
"{'latitude': '40.591514525448', 'longitude': '-73.937354760505', 'human_address': '{""address"": ""2520 BATCHELDER STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3320931.0,11235.0,8.27,1911.0,-73.937271,48.0,1485000,12168435.0,55466000, ,"{'latitude': '40.642066831873', 'longitude': '-74.009845847049', 'human_address': '{""address"": ""5301 6 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.648493818806', 'longitude': '-73.882312171143', 'human_address': '{""address"": ""1325 PENNSYLVANIA AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-04452-0020,SPRING CREEK,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,4026723,4823217,3-00817-0005, ,40.591371
"{'latitude': '40.67176614599', 'longitude': '-73.974208409778', 'human_address': '{""address"": ""140 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3024923.0,11215.0,8.13,2002.0,-73.974275,39.0,36276,235768.0,947000, ,"{'latitude': '40.676649313031', 'longitude': '-73.983215083007', 'human_address': '{""address"": ""586 PRESIDENT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.673297997685', 'longitude': '-73.9654003462', 'human_address': '{""address"": ""326 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01179-0023,PROSPECT HEIGHTS,Park Slope-Gowanus                                                         ,1388305,794854,3-00958-0007, ,40.671695
"{'latitude': '40.660370179595', 'longitude': '-73.985807606335', 'human_address': '{""address"": ""400 17 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,2.2,1958.0,,,51176,374808.0,1628000,D1-ELEVATOR,"{'latitude': '40.600560556674', 'longitude': '-74.008544593727', 'human_address': '{""address"": ""330 19 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,288,000","787,072","356,152","{'latitude': '40.66149716671', 'longitude': '-73.982577225305', 'human_address': '{""address"": ""405 16 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05159-0053,FLATBUSH-CENTRAL,,507756,159412,3-05161-0014,FLATBUSH-CENTRAL,
"{'latitude': '40.640810926762', 'longitude': '-73.973923510372', 'human_address': '{""address"": ""340 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3126157.0,11218.0,6.01,,-73.973585,39.0,45900,275918.0,2013000, ,, , , ,"{'latitude': '40.636441925352', 'longitude': '-73.970228290809', 'human_address': '{""address"": ""805 DITMAS AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05392-0052,OCEAN PARKWAY-NORTH,Kensington-Ocean Parkway                                                   ,521406,438886,, ,40.640555
"{'latitude': '40.649135202407', 'longitude': '-73.945487464654', 'human_address': '{""address"": ""3400 SNYDER AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3110167.0,11203.0,6.33,1941.0,-73.945368,45.0,44400,212786.0,830000, ,"{'latitude': '40.645034731547', 'longitude': '-73.950854049622', 'human_address': '{""address"": ""2801 BEVERLY ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.600769830002', 'longitude': '-73.99372200113', 'human_address': '{""address"": ""31 31 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-04885-0054,FLATBUSH-EAST,East Flatbush-Farragut                                                     ,402498,723810,3-05139-0035, ,40.649161
"{'latitude': '40.675886044496', 'longitude': '-73.987794443362', 'human_address': '{""address"": ""263 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,10.04,1910.0,,,16400,198225.0,1397000,C7-WALK-UP,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""209 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,400,000","416,340","204,120","{'latitude': '40.712015925633', 'longitude': '-73.959112972595', 'human_address': '{""address"": ""215 ROEBLING STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-02420-0005,WILLIAMSBURG-SOUTH,,72825,75300,3-02420-0043,WILLIAMSBURG-SOUTH,
"{'latitude': '40.596169962996', 'longitude': '-73.950699382025', 'human_address': '{""address"": ""2675 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3201014.0,11229.0,4.75,1963.0,-73.950762,48.0,79200,333925.0,1496000,D1-ELEVATOR,"{'latitude': '40.596520157961', 'longitude': '-73.953087891932', 'human_address': '{""address"": ""2222 18 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,342,000","627,317","271,275","{'latitude': '40.596601833789', 'longitude': '-73.950981896179', 'human_address': '{""address"": ""2662 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07380-0013,SHEEPSHEAD BAY,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,613480,465500,3-07378-0078,SHEEPSHEAD BAY,40.596036
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""3215 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,4.88,1954.0,,,141880,926912.0,5038000,D1-ELEVATOR,"{'latitude': '40.630018969101', 'longitude': '-73.945983043195', 'human_address': '{""address"": ""3101 AURELIA COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,883,000","756,158","293,362","{'latitude': '40.589466537701', 'longitude': '-73.89993054907', 'human_address': '{""address"": ""3211 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07578-0001,FLATBUSH-EAST,,1240593,920075,3-07577-0025,FLATBUSH-EAST,
"{'latitude': '40.687653158436', 'longitude': '-73.954726279998', 'human_address': '{""address"": ""1059 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3050323.0,11216.0,8.39,1931.0,-73.954751,36.0,9360,68145.0,560000,C1-WALK-UP,"{'latitude': '40.686898399977', 'longitude': '-73.947552990751', 'human_address': '{""address"": ""784 MARCY AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","666,000","167,366","96,393","{'latitude': '40.683031012822', 'longitude': '-73.950053703672', 'human_address': '{""address"": ""425 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-01833-0001,BEDFORD STUYVESANT,Bedford                                                                    ,79718,96653,3-01808-0051,BEDFORD STUYVESANT,40.687639
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9323 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3155134.0,11209.0,6.1,1949.0,-74.039446,43.0,71346,547937.0,4045000,D1-ELEVATOR,"{'latitude': '40.620909904482', 'longitude': '-74.038039109393', 'human_address': '{""address"": ""9108 COLONIAL ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","5,060,000","1,167,869","702,202","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9747 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06129-0001,BAY RIDGE,Bay Ridge                                                                  ,838157,455682,3-06083-0041,BAY RIDGE,40.618305
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""82 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,2.74,1929.0,,,67602,513793.0,2607000,D1-ELEVATOR,"{'latitude': '40.65011511591', 'longitude': '-73.973910701566', 'human_address': '{""address"": ""31 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","3,223,000","1,152,382","542,002","{'latitude': '40.650142253722', 'longitude': '-73.975440172525', 'human_address': '{""address"": ""50 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05285-0001,WINDSOR TERRACE,,295895,236399,3-05320-0009,KENSINGTON,
"{'latitude': '40.594364129614', 'longitude': '-73.964489496344', 'human_address': '{""address"": ""2265 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3194014.0,11223.0,5.97,1958.0,-73.964796,47.0,67620,403654.0,3413000,D1-ELEVATOR,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2411 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,077,000","665,280","312,480","{'latitude': '40.594801722844', 'longitude': '-73.964576962002', 'human_address': '{""address"": ""2245 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07158-0033,OCEAN PARKWAY-SOUTH,Homecrest                                                                  ,488930,382558,3-07179-0042,OCEAN PARKWAY-SOUTH,40.59427
"{'latitude': '40.695105553607', 'longitude': '-73.992572938952', 'human_address': '{""address"": ""123 PIERREPONT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3001916.0,11201.0,8.29,1900.0,-73.992586,33.0,14608,111167.0,4601000,C1-WALK-UP,"{'latitude': '40.692407482192', 'longitude': '-73.994512632422', 'human_address': '{""address"": ""20 SIDNEY PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,867,000","365,810","250,286","{'latitude': '40.69384504967', 'longitude': '-73.993730021167', 'human_address': '{""address"": ""124 REMSEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-00254-0073,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,213291,123562,3-00263-0045,BROOKLYN HEIGHTS,40.695092
"{'latitude': '40.697531523759', 'longitude': '-73.99344249363', 'human_address': '{""address"": ""70 CLARK STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3001864.0,11201.0,7.87,1936.0,-73.993552,33.0,40410,377959.0,3642000,D1-ELEVATOR,"{'latitude': '40.698202590446', 'longitude': '-73.99584995323', 'human_address': '{""address"": ""12 CLARK STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","3,109,000","748,577","432,456","{'latitude': '40.696294859157', 'longitude': '-73.993523573907', 'human_address': '{""address"": ""145 HENRY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00237-0020,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,329363,240901,3-00234-0043,BROOKLYN HEIGHTS,40.697598
"{'latitude': '40.63186876152', 'longitude': '-74.014431194566', 'human_address': '{""address"": ""760 67 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,5.77,1950.0,,,73000,570130.0,3359000,D1-ELEVATOR,"{'latitude': '40.633705503383', 'longitude': '-74.023848669495', 'human_address': '{""address"": ""7101 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,376,000","704,235","372,485","{'latitude': '40.621967738256', 'longitude': '-74.017792216232', 'human_address': '{""address"": ""901 80 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05983-0001,DYKER HEIGHTS,,317169,264843,3-05892-0006,BAY RIDGE,
"{'latitude': '40.676169517679', 'longitude': '-73.959640169252', 'human_address': '{""address"": ""698 CLASSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3325284.0,11238.0,6.15,1907.0,-73.959615,35.0,13000,92428.0,257000,C1-WALK-UP,"{'latitude': '40.674495483463', 'longitude': '-73.958401072089', 'human_address': '{""address"": ""588 PARK PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,205,000","405,158","181,493","{'latitude': '40.678160392064', 'longitude': '-73.958844501294', 'human_address': '{""address"": ""651 CLASSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-01142-0008,CROWN HEIGHTS,Crown Heights North                                                        ,192672,197489,3-01168-0030,CROWN HEIGHTS,40.676173
"{'latitude': '40.633480535502', 'longitude': '-73.946783586797', 'human_address': '{""address"": ""720 31 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,6.19,1954.0,,,44300,381469.0,1727000, ,"{'latitude': '40.630018969101', 'longitude': '-73.945983043195', 'human_address': '{""address"": ""3101 AURELIA COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.633524960787', 'longitude': '-73.951799135958', 'human_address': '{""address"": ""2620 GLENWOOD ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07554-0043,MIDWOOD,,281312,267074,3-07577-0025, ,
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""62 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3002033.0,11201.0,11.33,1902.0,-73.99678,33.0,54640,662715.0,4356000, ,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""111 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""74 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00247-0028,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,563400,509850,3-00242-0008, ,40.695468
"{'latitude': '40.67559209178', 'longitude': '-73.968245440499', 'human_address': '{""address"": ""296 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3029326.0,11238.0,7.62,1926.0,-73.968307,35.0,31000,236190.0,1375000,D1-ELEVATOR,"{'latitude': '40.674069569571', 'longitude': '-73.97144654162', 'human_address': '{""address"": ""36 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,061,000","389,525","169,792","{'latitude': '40.676145109919', 'longitude': '-73.970860936377', 'human_address': '{""address"": ""214 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01169-0019,PROSPECT HEIGHTS,Prospect Heights                                                           ,206582,226497,3-01170-0005,PROSPECT HEIGHTS,40.675649
