globalid,parkzone,:@computed_region_92fq_4b7q,crossstreet2,bbl,locationdetails,closeddate,boroughcode,:@computed_region_efsh_h5xi,latitude,census_tract
93E6E620-E9D0-4AE8-8010-15A11CD682F2,,14.0,,,"Remove, 1, dangling, limb, over path. Tree ID: 5021894",2021-08-19T12:34:00,Staten Island,10700.0,,
E4B59EBA-D5D9-46EB-9F49-4575DA7A87AE,,25.0,BERRIMAN STREET,3044520927.0,,,Brooklyn,17215.0,40.655276,1070.01
8E9D23BF-E890-427C-B828-5F5549DC561F,,6.0,,,LP limbs are low obstructing play Tree ID: 5064718,2023-05-08T16:50:22,Queens,15311.0,,
3682BF31-0B34-44AF-A8BF-E5C52121D924,R005-ZN02,13.0,,,"Remove, 1, cracked, limb, on interior path Tree ID: 5581652",2021-01-05T16:08:17,Staten Island,10369.0,,
E7F98CE6-7FA6-4827-93BB-701CA4402C4A,,38.0,,,Remove dead limbs from tree adj to 235 Franklyn  Tree ID: 3756099,2020-09-21T20:07:00,Brooklyn,17212.0,,
8ECE1741-4B8F-48B0-860C-337B94EFA975,,27.0,,,"DIA #116719, 6/22/2020",2020-06-25T13:43:35,Brooklyn,17620.0,,
324BC248-51AD-4030-929B-37B377C3FD07,,17.0,,,remove 2 large dead limbs over sidewalk adj bb crt,2020-05-01T16:39:10,Brooklyn,13516.0,,
52D95EDD-D515-4EED-A611-3B2DECB5B399,,23.0,,1018500001.0,Dead pin oak limb over benches and PE,2020-04-01T17:46:00,Manhattan,12422.0,40.805758,197.01
83B42A64-39D3-4D7C-84D7-50D57A71FB11,,40.0,,,"remove downed tree, between w235, w236 Douglas ave Tree ID: 2265571",2020-08-10T01:20:00,Bronx,11609.0,,
644185E2-8881-464F-9F61-0949C0C4A9EA,,13.0,,,"DIA 133147, remove, 1, large hanging, limb, on Canal & Wright St Tree ID: 5021510",2021-10-04T19:03:22,,10691.0,,
8F258EF4-1654-49C7-AFFE-FCF2544E262D,Q020-ZN01,34.0,Vermont Pl,,IA ID#106780 over sidewalk along Highland Blvd near Vermont Pl,2019-11-15T19:01:00,Queens,15310.0,,
08C86474-703E-4B17-BBF8-4E45B7870941,,14.0,,,Inspect and remove dead LP along Stanwich st,2020-12-30T20:17:17,Staten Island,10691.0,,
5077B706-4345-41F6-90D3-5A41AC5905E0,,15.0,EAST   18 STREET,,,,Brooklyn,13826.0,,
CA57BC31-EBDA-4927-8ACF-3B737C60D857,,46.0,115 Ave,,DIA ID#131145  Over BBCT + path behind BF#1,,Queens,24671.0,,
6681B9AC-B632-4566-9F8F-86B56F6370E3,,16.0,256 STREET,,,2020-10-09T17:18:00,Queens,15785.0,,
8E81CB2C-74C2-41E1-8072-ED6854F1908F,,47.0,145 Road,,IA ID#106802 over less active lawn near entrance at 145 Rd & 183 St,2019-12-05T16:05:00,Queens,15313.0,,
F761ACF3-859A-4E72-B12C-03D12A77F613,,38.0,,,"DIA# 95097, DATE 9/18/17",2017-10-20T13:30:00,Brooklyn,17613.0,,
5D149323-CB18-4B3A-9B3D-66A13499E284,,15.0,HOMECREST AVENUE,,,,Brooklyn,13512.0,,
EBE39D49-7FED-46D7-8817-222F82EF074F,,26.0,EAST   86 STREET,,ON 86 STREET,2021-11-01T13:34:34,Brooklyn,13827.0,,
F675E753-5146-4CBC-B204-3DDF72CF66A2,X088-ZN02,31.0,,,down tree across path Tree ID: 5434639,2020-11-21T11:11:11,Bronx,11611.0,,
DDE20055-E11C-4046-BE03-5DA596103FDE,,24.0,,,Hanging Limbs Tree ID: 4950397,,Queens,14509.0,,
EFDC889E-9928-4905-8B0B-84C0E1313645,,49.0,,,Remove dead limb from tree Tree ID: 4693421,2020-10-07T15:30:00,Brooklyn,13516.0,,
88210C38-AE66-4B49-860A-86EFAC542F2E,,30.0,,,Tree down block sidewalk  Tree ID: 1410911,2019-08-14T14:53:45,Brooklyn,13828.0,,
3961FD18-7CFB-4F37-9214-0394C9AA7BBB,M071-ZN05,19.0,,,"1 RSD& 80 St, 2 RSD & 83 St",,Manhattan,12421.0,,
1B88248C-F23C-45C1-9919-30410CD6D1E0,,34.0,,,Dead limb over sidewalk Tree ID: 4622893,,Queens,15310.0,,
A88344C4-9F66-4DFE-8D88-11E135F5B256,,25.0,NEW LOTS AVENUE,,ON,2019-08-19T17:03:00,Brooklyn,17214.0,,
E5B5350A-B0B4-4BED-AC76-2D4AA2607C9D,,12.0,ROBINSON AVENUE,2056060001.0,,2017-08-07T15:34:24,Bronx,11274.0,40.813161,132.0
4E46EB70-AB33-479C-80A6-10032FC8D399,,38.0,,,"DIA #119034, 8/26/2020",2020-08-28T16:26:16,Brooklyn,16865.0,,
A00FC350-F99A-47B1-891A-66F42B3180F9,,49.0,KINGSTON AVENUE,,,,Brooklyn,17615.0,,
A8D3BDED-C0A0-499A-83BC-5F0E86C8ED0C,,43.0,,,Remove down tree obstructing path inside playground.  DM Tree ID: 5023626,2020-11-21T11:11:11,Bronx,10937.0,,
D935D77A-8C70-4F2E-8482-234CE663CE38,M095-ZN04,19.0,,1201469999.0,Remove dead tree Tree ID: 2119919,2021-11-22T10:40:00,Manhattan,12422.0,40.784594,167.0
74262DEA-551F-4CEA-871B-1C903AD7370D,,47.0,,,,2020-09-22T14:06:00,Queens,20529.0,,
219837AE-AFF8-4BEB-9782-EA304DE9EDDC,,7.0,,,Multiple hanging limbs across from 573 41st st Tree ID: 3627424,2022-08-01T14:05:50,Brooklyn,,,
1C62E9C9-503F-4522-BE6A-2396F0A78522,,40.0,,,Tree uprooted behind playground on path of Raoul Wallenberg DIA#156965 Tree ID: 4989779,,Bronx,11609.0,,
AA20AEC8-E37C-4083-939A-5AF47948D0B4,,40.0,,,Down tree blocking street  Tree ID: 5102198,2020-08-23T17:02:27,Bronx,11272.0,,
06E6BB02-3F09-4F6A-AB8F-D81E13D03A63,Q004-ZN01,4.0,,,Remove down limbs blocking pathways outside of track Tree ID: 4896031,2020-08-22T21:36:00,Queens,16859.0,,
1A281951-A5E9-4009-9250-6A2FA2650A7D,B073-ZN02,27.0,,,Dead tree just outside of meadow port arch Tree ID: 5378510,2020-12-03T17:13:16,Brooklyn,,,
86C6AF5D-621A-470A-9F48-34E0AE7A458A,Q005-ZN01,46.0,,,Prune several dead limbs  above hort area and tennis fence gate  Tree ID: 5010234,,Queens,24669.0,,
DD97AE90-EC09-4321-82B8-43BA89E8602B,,34.0,GROVE STREET,4035250048.0,,2015-12-03T13:16:00,Queens,15310.0,40.709853,593.0
D9A1BBB4-E4BA-4CCA-81FD-5D0B7F1ADC0A,,38.0,,,Prune one tree over sidewalk  Tree ID: 591831,2023-01-06T17:29:29,Brooklyn,18182.0,,
D1032504-73D2-4758-9E46-5D4FFFE52F08,,49.0,PATCHEN AVENUE,,,,Brooklyn,18181.0,,
FD46797A-7CF9-4ADE-8860-4C5D49F331AE,,20.0,Horace Harding Expy,,IA ID#119252. Over park bench on center path,2021-11-24T13:45:00,Queens,14197.0,,
110E495B-F113-4724-84C1-ED61306AB5D8,X008-ZN03,42.0,,,1 dead tree .1 broken branch tree next to it  Tree ID: 5443895,2022-12-14T17:33:06,Bronx,,,
373BD807-1106-46E1-8F0C-206C03EDCF8E,,6.0,,,Remove hanging limb. Limb hanging from branch adjacent flag pole Tree ID: 4998281,2022-10-20T18:27:00,Queens,24340.0,,
5D8A125B-B5D9-4299-A604-D91051173EF5,,34.0,,,Tree on perimeter of Park has deteriorated Tree ID: 4698605,2023-04-12T14:32:29,Queens,14788.0,,
04C406D8-0ADD-47FE-98E7-52D190355ED3,,,,,Remove dead limbs mid path by flag/ by DF off riverdale,2022-04-28T20:19:00,Brooklyn,10892.0,,
5112D291-B0CF-43F8-B8C5-2B12BA4F3140,,40.0,,,"Remove tree trunk, SW, E Mosh Pkwy S/E204st Tree ID: 2544011",,,11605.0,,
85BD371D-C6C4-47C5-8489-86F84F44D5C5,,40.0,,,"Dead tree, area bet cement bleachers and Metro North",,,10936.0,,
A4B509B1-9644-4CE5-A09C-0C2C46345F82,,27.0,,,Remove down limbs inside makeshift dog run Tree ID: 5065104,2021-11-18T15:42:19,Brooklyn,17620.0,,
7ACE8C0F-E5E6-4B19-9C00-E5D2EE174B36,B073-ZN25,27.0,,,Remove large dead limb  Tree ID: 5093212,2021-07-20T14:13:16,Brooklyn,,,
562414B9-7024-48C3-86F8-8EEE448779C9,,30.0,,,Prune one tree  Tree ID: 4998528,2022-04-05T14:50:38,Brooklyn,17613.0,,
E899EC67-852F-4200-8A60-E61A6BC51552,,7.0,,,Dead limb over playground  Tree ID: 242642,2022-04-28T15:00:00,Brooklyn,13514.0,,
40FE556D-695C-434D-80AB-514F075E3773,,30.0,FORREST STREET,,,2019-04-04T12:47:00,Brooklyn,17213.0,,
0C8CA03E-5784-4EB9-B678-D4212E23E361,,9.0,,,Hanging limb over parking area...,2020-01-22T15:33:00,Staten Island,10699.0,,
42B068D2-69DF-46CF-8ED7-72D1753C4629,,31.0,,,large hanging branch over sidewalk and roadway Tree ID: 5062845,,Bronx,11269.0,,
58F2B53C-A3DA-4B57-8474-37726096D1DA,,17.0,PATCHEN AVENUE,3016480033.0,,2015-09-21T20:13:00,Brooklyn,18181.0,40.687502,385.0
2438098B-AB1E-44E6-AD14-18FED90488AA,Q024-ZN06,3.0,,,Forestry clear sidewalk TD 164 St w/s btwn Underhill Av & Booth Memorial Av,2023-02-08T19:15:00,Queens,14507.0,,
