project_id,project_name,ulurp_numbers,primary_applicant,ceqr_type,completed_date,current_milestone,cc_district,mih_flag,dcp_visibility,current_envmilestone,noticed_date,community_district
2019R0431,SD SS 128 Johnson Avenue,190502RCR; 190503RCR,J. Mangone Construction,Type II,2019-08-21T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
2020K0123,Oasis Diner,,Oasis Diner,Not Applicable,2022-10-11T00:00:00.000,EC - Project Completed,,False,General Public,,,K18
P1984Y1189,,,Unknown,,,,,,General Public,,,
2020M0406,1841 Broadway,N210116ZCM,Global 1845 Broadway LLC,Type II,2021-01-15T00:00:00.000,ZC - Project Completed,,False,General Public,,,M07
P1977K0318,SALE OF CITY-OWNED PROPERTY,C770189PPK,DEPT OF REAL ESTATE,,1977-09-16T00:00:00.000,,,,General Public,,,K16
2020R0148,SS Woodvale Avenue,N200041RCR,Chris Ponisi,Type II,2019-10-01T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
P1985K0984,BROOKLYN RENAISSANCE PLAZA,C851074ZMK; C851075ZSK,DRP/MUSS DEVELOPMENT CO,,1986-06-17T00:00:00.000,,,,General Public,,,K02
P1977R0096,49 & 51 HEINZ AVE,N760112RCR,GRUSHKIN FOR KANDEL CORP,,1976-11-09T00:00:00.000,,,,General Public,,,R01
2020X0418,97 W 169th Street (Corporal Fischer),C210195HAX,HPD - NYC Dept of Housing Preservation & Development,Unlisted,2021-05-17T00:00:00.000,HA - Project Completed,,False,General Public,,2020-10-30T00:00:00.000,X04
2019M0468,AG Kitchen,,AG Kitchen,Not Applicable,2022-10-11T00:00:00.000,EC - Project Completed,,False,General Public,,,M07
P1977R0289,EASTENTRY RD NEAR FLAGG PL,N770154ZAR,"LOMBARDI, C",,1977-07-06T00:00:00.000,,,,General Public,,,R02
P1984Y1243,,,Unknown,,,,,,General Public,,,
2024M0102,Hotel Cecil & Minton's Playhouse Building,N 240020 HIM,LPC - NYC Landmarks Preservation Commission,Type II,,HI - Project Completed,,False,General Public,,,M10
P1977X0440,,C770339PPX,DEPT OF REAL ESTATE,,1978-03-02T00:00:00.000,,,,General Public,,,X08
P1977M0226,Milbank-Frawley URA Acquisition,N770101HFM,HDA,,1977-05-26T00:00:00.000,,,,General Public,,,M10
P1977M0405,,C770304PPM,DEPT OF REAL ESTATE,,1978-03-02T00:00:00.000,,,,General Public,,,M02
P1985M0257,461-463 W163RD ST,C850275PPM,DRP,,1985-02-28T00:00:00.000,,,,General Public,,,M12
2021K0145,281-311 Marcus Garvey Blvd.,230146ZMK; N230147ZRK; 230148ZSK; 230152ZSK,Omni New York LLC,Unlisted,,EAS - Final Letter Sent,,True,General Public,EAS - Review Filed EAS,2023-04-21T00:00:00.000,K03
2021R0136,SD 7558 Amboy Road,N210205RCR,Robert Kelly,Type II,2021-06-15T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
2020X0361,909 Castle Hill Avenue,C190118 ZMX; N210096 ZRX,Alfred Quinones,Unlisted,2021-07-15T00:00:00.000,EAS - Project Completed,,False,General Public,EAS - Review Filed EAS,2020-11-13T00:00:00.000,X09
2019X0470,624 Morris Avenue,C210339ZMX,"624 Morris B, LLC",Unlisted,2021-11-17T00:00:00.000,EAS - Project Completed,,False,General Public,EAS - Review Filed EAS,2021-04-02T00:00:00.000,X01
