manhattan_cooperatives_comparable_properties_boro_block_lot,longitude,comparable_rental_1_gross_sqft,bin,comparable_rental_1_building_classification,comparable_rental_2_estimated_gross_income,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_1_full_market_value,comparable_rental_2_address,comparable_rental_3_address,comparable_rental_2_full_market_value,borough,nta,comparable_rental_2_building_classification,comparable_rental_1_total_units,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_year_built,comparable_rental_2_total_units,comparable_rental_2_boro_block_lot,manhattan_cooperatives_comparable_properties_market_value_per_sqft
1-00931-0009,,22430,,D9-ELEVATOR,444456.0,0.14,5477000,"{'latitude': '40.599713463442', 'longitude': '-74.002179436602', 'human_address': '{""address"": ""220 25 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",214 EAST 24 STREET,2036000.0,1,,D9-ELEVATOR,35,34.86,1980,24.0,1-00905-0047,176.79
1-00877-0084,,56670,,D9-ELEVATOR,3548932.0,0.11,11494000,"{'latitude': '40.605227458458', 'longitude': '-74.000034101555', 'human_address': '{""address"": ""12 22 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",268 PARK AVENUE SOUTH,19463000.0,1,,D5-ELEVATOR,67,46.11,1927,87.0,1-00850-0064,247.47
1-00742-0022,,33547,,D3-ELEVATOR,764518.0,0.22,4916000,"{'latitude': '40.661722657017', 'longitude': '-73.994139274264', 'human_address': '{""address"": ""220 21 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",248 WEST 17 STREET,3856000.0,1,,D1-ELEVATOR,52,29.66,1920,35.0,1-00770-0051,149.62
1-00632-0056,-74.006466,11222,1011851.0,C4-WALK-UP,255402.0,0.06,2173000,"{'latitude': '40.735234515977', 'longitude': '-74.005405110904', 'human_address': '{""address"": ""97 PERRY STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",296 WEST 11 STREET,1118000.0,1,West Village                                                               ,C4-WALK-UP,24,46.33,1910,15.0,1-00622-0026,222.91
1-02063-0046,-73.944463,41800,1061524.0,D1-ELEVATOR,473251.0,0.05,1265000,"{'latitude': '40.796845088062', 'longitude': '-73.817725602243', 'human_address': '{""address"": ""400 150 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",291 EDGECOMBE AVENUE,1545000.0,1,Hamilton Heights                                                           ,D1-ELEVATOR,56,10.81,1920,30.0,1-02053-0101,31.31
1-00790-0040,,63158,,D9-ELEVATOR,7020404.0,0.73,13488000,"{'latitude': '40.756293486044', 'longitude': '-73.97441797743', 'human_address': '{""address"": ""295 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",186 ORCHARD STREET,38509000.0,1,,D9-ELEVATOR,75,35.41,1930,190.0,1-00878-0004,213.63
1-00791-0009,,34662,,D1-ELEVATOR,1304072.0,0.05,6263000,"{'latitude': '40.742548', 'longitude': '-73.995963', 'human_address': '{""address"": ""150 21 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,7707000.0,1,,D1-ELEVATOR,49, , ,61.0,1-00796-0067,163.61
1-00522-0004,-73.996342,38498,1008210.0,D6-ELEVATOR,1329829.0,0.76,7475000,"{'latitude': '40.720719458424', 'longitude': '-73.984217083894', 'human_address': '{""address"": ""19 CLINTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,7623000.0,1,West Village                                                               ,D1-ELEVATOR,36, , ,25.0,1-00350-0026,202.93
1-00521-0071,-73.992701,38498,1008198.0,D6-ELEVATOR,1329829.0,0.61,7475000,"{'latitude': '40.720719458424', 'longitude': '-73.984217083894', 'human_address': '{""address"": ""19 CLINTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,7623000.0,1,West Village                                                               ,D1-ELEVATOR,36, , ,25.0,1-00350-0026,202.95
1-01386-0069,-73.966871,188810,1041378.0,D6-ELEVATOR,9117276.0,0.21,44249000,"{'latitude': '40.770568878508', 'longitude': '-73.964063277217', 'human_address': '{""address"": ""737 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",993 LEXINGTON AVENUE,48934000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,110,41.53,1914,120.0,1-01406-0001,226.97
1-02149-0265,-73.926992,35135,1063591.0,C1-WALK-UP,483704.0,0.0,1082000,"{'latitude': '40.853513349271', 'longitude': '-73.926948257068', 'human_address': '{""address"": ""2608 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1598000.0,1,Washington Heights North                                                   ,C7-WALK-UP,40, , ,55.0,1-02159-0083,33.92
1-00786-0020,,88872,,D9-ELEVATOR,2430646.0,0.0,16854000,"{'latitude': '40.750506634715', 'longitude': '-73.997186196907', 'human_address': '{""address"": ""363 30 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,13533000.0,1,,D8-ELEVATOR,108, , ,80.0,1-00754-0001,176.63
