manhattan_cooperatives_comparable_properties_boro_block_lot,comparable_rental_2_year_built,comparable_rental_1_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_year_built,comparable_rental_2_boro_block_lot,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_total_units,comparable_rental_1_full_market_value,manhattan_cooperatives_comparable_properties_full_market_value,bin,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_1_market_value_per_sqft,latitude,manhattan_cooperatives_comparable_properties_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_neighborhood,comparable_rental_2_gross_sqft,manhattan_cooperatives_comparable_properties_building_classification,comparable_rental_2_address
1-01250-0001,1917.0,27.4,1923,1-01241-0001,0.5,63.0,13200000,13200000,1034003.0,0.3,114.0,40.791181,23.0,UPPER WEST SIDE (79-96),154800.0,D4-ELEVATOR,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""680 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02108-0079,1907.0,13.88,1907,1-02126-0038,0.55,20.0,707000,518000,1062525.0,0.55,43.2,40.83387,14.0,WASHINGTON HEIGHTS LOWER,16350.0,C6-WALK-UP,"{'latitude': '40.841258547763', 'longitude': '-73.936557986271', 'human_address': '{""address"": ""506 170 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01251-0071,1927.0,29.5,1901,1-01200-0005,0.05,83.0,8760000,9130000,1034108.0,0.55,137.0,40.793179,28.0,UPPER WEST SIDE (79-96),70144.0,D4-ELEVATOR,"{'latitude': '40.625222163224', 'longitude': '-74.038357910149', 'human_address': '{""address"": ""51 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01499-0065,1966.0,66.0,1922,1-01448-0001,0.45,66.0,18600000,6650000,,0.9,323.0,,27.8,UPPER EAST SIDE (79-96),56980.0,D4-ELEVATOR,"{'latitude': '40.769606603937', 'longitude': '-73.957750036571', 'human_address': '{""address"": ""1404 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01492-0003,1927.0,25.1,1930,1-01517-0020,0.65,97.0,8950000,14800000,1046609.0,0.5,104.0,40.777917,34.0,UPPER EAST SIDE (79-96),87192.0,D4-ELEVATOR,"{'latitude': '40.780956047947', 'longitude': '-73.954494490825', 'human_address': '{""address"": ""1327 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01549-0037,1910.0,40.2,1910,1-01553-0007,0.2,15.0,1830000,1090000,,0.2,197.0,,32.0,UPPER EAST SIDE (79-96),8825.0,C6-WALK-UP,"{'latitude': '40.620940789235', 'longitude': '-74.031787076755', 'human_address': '{""address"": ""309 90 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00722-0046,1920.0,31.3,1910,1-00790-0059,0.25,20.0,1400000,625000,,0.7,146.0,,30.8,CHELSEA,7375.0,C6-WALK-UP,"{'latitude': '40.666843843365', 'longitude': '-73.992019972049', 'human_address': '{""address"": ""140 15 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00341-0070,1963.0,22.65,1972,1-01624-0001,0.35,166.0,24700000,9300000,1077598.0,5.1,94.0,40.716214,19.25,LOWER EAST SIDE,212482.0,D4-ELEVATOR,"{'latitude': '40.786765668256', 'longitude': '-73.952273165413', 'human_address': '{""address"": ""1245 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01143-0039,1921.0,39.1,1915,1-01129-0047,0.3,42.0,4760000,4760000,,0.3,192.0,,38.0,UPPER WEST SIDE (59-79),26910.0,D4-ELEVATOR,"{'latitude': '40.63205523324', 'longitude': '-74.037085739379', 'human_address': '{""address"": ""22 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02075-0026,1912.0,8.92,1920,1-02109-0041,0.75,48.0,801000,1510000,,0.8,18.92,,14.0,HARLEM-UPPER,42438.0,D4-ELEVATOR,"{'latitude': '40.83371398796', 'longitude': '-73.940123916004', 'human_address': '{""address"": ""461 159 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01497-0028,1989.0,28.7,1925,1-01532-0016,1.3,111.0,12300000,14200000,,0.3,119.0,,29.4,UPPER EAST SIDE (79-96),104440.0,D4-ELEVATOR,"{'latitude': '40.623862495931', 'longitude': '-74.032622617933', 'human_address': '{""address"": ""241 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00521-0034,1900.0,39.0,1900,1-00526-0064,0.5,21.0,3570000,2100000,1008185.0,0.45,192.0,40.725336,39.0,GREENWICH VILLAGE-CENTRAL,19519.0,C6-WALK-UP,"{'latitude': '40.72886731601', 'longitude': '-74.000584744827', 'human_address': '{""address"": ""170 BLEECKER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01252-0075,1923.0,29.5,1901,1-01143-0015,0.05,68.0,8760000,6910000,1034141.0,1.15,137.0,40.794496,25.0,UPPER WEST SIDE (79-96),75144.0,D4-ELEVATOR,"{'latitude': '40.635279683424', 'longitude': '-74.031101468547', 'human_address': '{""address"": ""145 71 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01427-0030,1938.0,37.3,1937,1-01431-0016,0.5,90.0,13200000,13700000,,0.2,174.0,,33.0,UPPER EAST SIDE (59-79),82065.0,D4-ELEVATOR,"{'latitude': '40.631221459132', 'longitude': '-74.029897000109', 'human_address': '{""address"": ""231 76 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00609-0065,1900.0,33.6,1910,1-00585-0025,0.6,39.0,1310000,4190000,,0.55,156.0,,31.9,GREENWICH VILLAGE-WEST,19925.0,C6-WALK-UP,"{'latitude': '40.732095882095', 'longitude': '-74.005243232939', 'human_address': '{""address"": ""91 BEDFORD STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01444-0015,1931.0,30.5,1963,1-01438-0006,0.15,111.0,23300000,24600000,,0.3,142.0,,33.0,UPPER EAST SIDE (59-79),164567.0,D4-ELEVATOR,"{'latitude': '40.639820136466', 'longitude': '-74.021252210061', 'human_address': '{""address"": ""305 63 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02142-0089,1930.0,17.99,1915,1-02142-0227,0.4,47.0,3920000,2730000,1063491.0,0.2,67.0,40.844481,16.0,WASHINGTON HEIGHTS LOWER,42177.0,D4-ELEVATOR,"{'latitude': '40.84629938419', 'longitude': '-73.938704190797', 'human_address': '{""address"": ""715 175 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01451-0031,1920.0,52.0,1920,1-01439-0009,0.45,90.0,15800000,10600000,,0.6,253.0,,34.0,UPPER EAST SIDE (59-79),67390.0,D4-ELEVATOR,"{'latitude': '40.63931991165', 'longitude': '-74.021925284104', 'human_address': '{""address"": ""325 64 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01527-0041,1910.0,30.7,1910,1-01441-0023,0.8,30.0,2560000,3670000,,0.75,143.0,,39.0,UPPER EAST SIDE (79-96),18828.0,C6-WALK-UP,"{'latitude': '40.764111746338', 'longitude': '-73.958685331482', 'human_address': '{""address"": ""1225 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01207-0029,1927.0,26.1,1910,1-01186-0083,0.35,114.0,13600000,15500000,1000000.0,0.9,108.0,40.782295,23.0,UPPER WEST SIDE (79-96),134183.0,D4-ELEVATOR,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""393 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01473-0012,1910.0,44.4,1910,1-01453-0014,0.15,16.0,1750000,1610000,,0.15,218.0,,41.0,UPPER EAST SIDE (59-79),8016.0,C6-WALK-UP,"{'latitude': '40.62909663683', 'longitude': '-74.027739850575', 'human_address': '{""address"": ""323 78 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01491-0062,,55.0,1925,,0.85,,3030000,2330000,,,270.0,,42.0,UPPER EAST SIDE (79-96),,D4-ELEVATOR,
1-01067-0008,1960.0,28.1,1929,1-01066-0053,0.65,118.0,7630000,12400000,,0.05,116.0,,26.0,CLINTON,103612.0,D4-ELEVATOR,"{'latitude': '40.64192178874', 'longitude': '-74.015658477197', 'human_address': '{""address"": ""442 57 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01413-0064,1929.0,69.0,1947,1-01517-0050,0.2,98.0,26700000,12000000,,0.5,339.0,,33.0,UPPER EAST SIDE (59-79),80351.0,D4-ELEVATOR,"{'latitude': '40.781207858115', 'longitude': '-73.95431462642', 'human_address': '{""address"": ""1329 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01408-0022,1920.0,39.0,1923,1-01578-0023,0.7,43.0,6930000,6450000,,0.65,191.0,,35.0,UPPER EAST SIDE (59-79),34792.0,D4-ELEVATOR,"{'latitude': '40.563563892848', 'longitude': '-74.178784522149', 'human_address': '{""address"": ""40 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01351-0017,1940.0,31.1,1930,1-01490-0122,0.2,87.0,10300000,10800000,,1.05,145.0,,30.0,MIDTOWN EAST,75854.0,D4-ELEVATOR,"{'latitude': '40.626474707903', 'longitude': '-74.022244986526', 'human_address': '{""address"": ""555 78 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01510-0001,1964.0,29.2,1927,1-01427-0028,0.55,149.0,22500000,27600000,1047549.0,0.5,136.0,40.777095,36.0,UPPER EAST SIDE (79-96),166432.0,D4-ELEVATOR,"{'latitude': '40.769273854786', 'longitude': '-73.957992853519', 'human_address': '{""address"": ""1393 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01471-0045,1962.0,34.6,1964,1-01447-0023,0.35,145.0,26800000,24700000,1045974.0,0.25,161.0,40.770926,31.4,UPPER EAST SIDE (59-79),165527.0,D4-ELEVATOR,"{'latitude': '40.768014803945', 'longitude': '-73.95585246709', 'human_address': '{""address"": ""1347 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00752-0001,1961.0,28.9,1963,1-00775-0017,0.35,69.0,15700000,46300000,,0.2,135.0,40.749367,27.9,CHELSEA,50029.0,D4-ELEVATOR,"{'latitude': '40.599548933131', 'longitude': '-74.00225478357', 'human_address': '{""address"": ""231 25 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01564-0047,2004.0,35.2,1962,1-01571-0049,0.5,201.0,33900000,31400000,1050520.0,0.35,164.0,40.776048,32.5,UPPER EAST SIDE (79-96),194212.0,D4-ELEVATOR,"{'latitude': '40.618270784084', 'longitude': '-74.030108330581', 'human_address': '{""address"": ""408 92 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00178-0025,1925.0,25.3,1890,1-00753-0048,3.0,61.0,5540000,5070000,1001990.0,2.15,105.0,40.719218,25.0,CIVIC CENTER,53449.0,D4-ELEVATOR,"{'latitude': '40.749942949322', 'longitude': '-73.996027731108', 'human_address': '{""address"": ""308 30 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00825-0071,1907.0,44.4,1905,1-00818-0019,0.25,63.0,17200000,9760000,,0.35,219.0,,30.0,FLATIRON,41300.0,D0-ELEVATOR,"{'latitude': '40.66773000146', 'longitude': '-73.995418278486', 'human_address': '{""address"": ""27 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00817-0085,,30.1,1955,,0.15,,16600000,17100000,,,141.0,,29.0,FLATIRON,,D4-ELEVATOR,
1-01916-0029,1910.0,18.17,1910,1-01917-0064,0.1,11.0,583000,369000,1058102.0,0.05,68.0,40.81171,20.85,HARLEM-CENTRAL,8375.0,C6-WALK-UP,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""2253 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00590-0011,,41.8,1930,,0.2,,2910000,2210000,1010135.0,,205.0,40.731657,38.9,GREENWICH VILLAGE-WEST,,C6-WALK-UP,
1-00232-0009,1940.0,34.1,1900,1-00564-0004,1.6,47.0,6400000,5980000,1003031.0,1.05,159.0,40.720506,30.5,SOHO,43395.0,D4-ELEVATOR,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""107 UNIVERSITY PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02134-0195,1980.0,18.11,1920,1-02043-0029,0.2,177.0,12300000,5340000,1063275.0,0.9,68.0,40.834968,15.0,WASHINGTON HEIGHTS LOWER,198624.0,D4-ELEVATOR,"{'latitude': '40.821911173161', 'longitude': '-73.94418826037', 'human_address': '{""address"": ""2 BRADHURST AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02130-0044,1916.0,15.92,1911,1-02142-0034,0.15,31.0,1170000,820000,,0.25,54.0,,16.5,WASHINGTON HEIGHTS LOWER,23380.0,C6-WALK-UP,"{'latitude': '40.843429427795', 'longitude': '-73.939734363572', 'human_address': '{""address"": ""640 171 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01565-0007,1915.0,34.4,1920,1-01563-0024,0.15,20.0,1260000,1180000,,0.1,161.0,,35.0,UPPER EAST SIDE (79-96),7840.0,C6-WALK-UP,"{'latitude': '40.774193146287', 'longitude': '-73.948388094246', 'human_address': '{""address"": ""1569 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01427-0007,1929.0,41.0,1929,1-01517-0050,0.65,98.0,16300000,13300000,,0.8,201.0,,35.0,UPPER EAST SIDE (59-79),80351.0,D4-ELEVATOR,"{'latitude': '40.781207858115', 'longitude': '-73.95431462642', 'human_address': '{""address"": ""1329 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01409-0043,1910.0,41.0,1924,1-01485-0050,0.9,41.0,3340000,3560000,,0.55,201.0,,43.0,UPPER EAST SIDE (59-79),16037.0,D4-ELEVATOR,"{'latitude': '40.768005810725', 'longitude': '-73.952911684054', 'human_address': '{""address"": ""1380 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01578-0001,1968.0,25.4,1962,1-01581-0049,0.4,237.0,23900000,25300000,1051129.0,0.15,105.0,40.772996,35.0,UPPER EAST SIDE (79-96),241983.0,D4-ELEVATOR,"{'latitude': '40.774966563232', 'longitude': '-73.947830514588', 'human_address': '{""address"": ""1596 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00545-0007,1920.0,40.7,1900,1-00572-0049,0.5,36.0,3290000,4470000,1008791.0,0.4,199.0,40.728822,32.7,GREENWICH VILLAGE-CENTRAL,30858.0,D0-ELEVATOR,"{'latitude': '40.573349048142', 'longitude': '-74.115787223049', 'human_address': '{""address"": ""11 8 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00847-0050,1900.0,46.9,1905,1-00844-0008,0.25,16.0,9510000,5470000,,0.1,230.0,,31.0,FLATIRON,30680.0,D0-ELEVATOR,"{'latitude': '40.6680646639', 'longitude': '-73.995844244183', 'human_address': '{""address"": ""9 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01350-0011,1938.0,37.3,1929,1-01431-0016,1.1,90.0,13200000,13400000,,0.95,174.0,,31.0,MIDTOWN EAST,82065.0,D4-ELEVATOR,"{'latitude': '40.631221459132', 'longitude': '-74.029897000109', 'human_address': '{""address"": ""231 76 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00793-0022,1939.0,30.4,1909,1-00882-0028,0.2,77.0,5860000,7690000,,0.75,141.0,,31.0,CHELSEA,52092.0,D0-ELEVATOR,"{'latitude': '40.74175460069', 'longitude': '-73.983128904238', 'human_address': '{""address"": ""95 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01565-0028,1956.0,34.0,1959,1-01581-0045,0.45,97.0,13000000,12300000,,0.15,159.0,,32.0,UPPER EAST SIDE (79-96),77768.0,D4-ELEVATOR,"{'latitude': '40.621975948996', 'longitude': '-74.025431241042', 'human_address': '{""address"": ""510 85 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00769-0031,1927.0,33.7,1913,1-00882-0021,0.2,180.0,3220000,11600000,,0.75,157.0,,32.2,CHELSEA,152310.0,D0-ELEVATOR,"{'latitude': '40.741664668487', 'longitude': '-73.98319185678', 'human_address': '{""address"": ""88 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01535-0005,1910.0,49.9,1920,1-01412-0028,0.8,22.0,2330000,2130000,,0.6,244.0,,47.0,UPPER EAST SIDE (79-96),8615.0,C6-WALK-UP,"{'latitude': '40.630893659595', 'longitude': '-74.031949008768', 'human_address': '{""address"": ""167 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01241-0052,1923.0,24.7,1925,1-01142-0064,0.6,320.0,24600000,29100000,1033653.0,1.2,102.0,40.793084,25.0,UPPER WEST SIDE (79-96),235400.0,D4-ELEVATOR,"{'latitude': '40.777466678473', 'longitude': '-73.98195079238', 'human_address': '{""address"": ""2054 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01993-0043,1905.0,19.12,1926,1-01976-0055,0.35,24.0,1500000,1500000,1059845.0,0.15,72.0,40.813798,19.12,MORNINGSIDE HEIGHTS,15516.0,C6-WALK-UP,"{'latitude': '40.792178235021', 'longitude': '-73.845455271086', 'human_address': '{""address"": ""530 122 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01570-0012,1920.0,31.3,1985,1-01585-0036,0.35,80.0,7750000,8030000,,0.15,146.0,,34.0,UPPER EAST SIDE (79-96),48600.0,D4-ELEVATOR,"{'latitude': '40.777521216827', 'longitude': '-73.944980262217', 'human_address': '{""address"": ""530 89 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00722-0047,1920.0,31.3,1910,1-00790-0059,0.25,20.0,1400000,1120000,,0.7,146.0,,30.0,CHELSEA,7375.0,C6-WALK-UP,"{'latitude': '40.666843843365', 'longitude': '-73.992019972049', 'human_address': '{""address"": ""140 15 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01235-0026,1920.0,32.6,1940,1-01247-0015,0.45,47.0,3450000,2850000,,0.25,152.0,,28.0,UPPER WEST SIDE (79-96),24216.0,D4-ELEVATOR,"{'latitude': '40.624084783686', 'longitude': '-74.029527849967', 'human_address': '{""address"": ""343 85 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01010-0053,1940.0,47.6,1916,1-01043-0005,0.7,48.0,9900000,5980000,,0.4,234.0,,33.0,MIDTOWN WEST,37030.0,D4-ELEVATOR,"{'latitude': '40.6457447141', 'longitude': '-74.014351297974', 'human_address': '{""address"": ""369 52 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00387-0044,1920.0,27.1,1920,1-00398-0022,0.15,47.0,2340000,1130000,,0.15,112.0,,26.0,ALPHABET CITY,21600.0,D4-ELEVATOR,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""184 3 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01417-0042,1900.0,52.0,1964,1-01519-0040,0.35,44.0,8360000,5720000,,1.4,257.0,,35.0,UPPER EAST SIDE (59-79),35200.0,D4-ELEVATOR,"{'latitude': '40.620791981566', 'longitude': '-74.035914100713', 'human_address': '{""address"": ""172 91 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01562-0010,1920.0,32.2,1910,1-01582-0104,0.0,15.0,1200000,1080000,,0.2,150.0,,29.0,UPPER EAST SIDE (79-96),8180.0,C6-WALK-UP,"{'latitude': '40.6220414787', 'longitude': '-74.025420947304', 'human_address': '{""address"": ""509 85 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01508-0016,1996.0,49.7,1928,1-01439-0023,0.2,61.0,11600000,7700000,,0.85,245.0,,34.0,UPPER EAST SIDE (79-96),50225.0,D4-ELEVATOR,"{'latitude': '40.762879675158', 'longitude': '-73.959593646731', 'human_address': '{""address"": ""1185 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01381-0069,1938.0,37.3,1928,1-01431-0016,1.05,90.0,13200000,16600000,,0.65,174.0,,38.0,UPPER EAST SIDE (59-79),82065.0,D4-ELEVATOR,"{'latitude': '40.631221459132', 'longitude': '-74.029897000109', 'human_address': '{""address"": ""231 76 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02170-0520,1964.0,12.76,1963,1-02153-0001,0.45,485.0,7120000,7480000,1064114.0,0.9,39.7,40.857413,13.0,WASHINGTON HEIGHTS UPPER,517910.0,D4-ELEVATOR,"{'latitude': '40.847685742521', 'longitude': '-73.934934236688', 'human_address': '{""address"": ""1360 ST NICHOLAS AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01251-0054,1906.0,29.4,1927,1-01252-0001,0.55,59.0,9620000,10300000,,0.05,137.0,,28.0,UPPER WEST SIDE (79-96),63794.0,D4-ELEVATOR,"{'latitude': '40.793438637714', 'longitude': '-73.976491907662', 'human_address': '{""address"": ""200 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02077-0010,1930.0,18.96,1915,1-02079-0029,0.4,18.0,865000,415000,,0.1,71.0,,16.0,HARLEM-UPPER,14828.0,C6-WALK-UP,"{'latitude': '40.826641607035', 'longitude': '-73.946580456968', 'human_address': '{""address"": ""1760 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00482-0003,1920.0,38.8,1920,1-00504-0031,0.4,60.0,4140000,5070000,1007208.0,0.4,190.0,40.721757,34.0,SOHO,38880.0,D4-ELEVATOR,"{'latitude': '40.725890560093', 'longitude': '-74.00282405668', 'human_address': '{""address"": ""112 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00597-0045,1984.0,29.9,1920,1-00883-0047,0.95,37.0,15300000,2930000,1010368.0,1.7,140.0,40.727298,31.4,SOHO,30800.0,D4-ELEVATOR,"{'latitude': '40.741673661707', 'longitude': '-73.981078450011', 'human_address': '{""address"": ""382 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02218-0025,1936.0,15.86,1964,1-02250-0058,0.35,110.0,7300000,6630000,1064728.0,0.65,54.0,40.863179,15.0,INWOOD,124173.0,D4-ELEVATOR,"{'latitude': '40.872488715934', 'longitude': '-73.917257399666', 'human_address': '{""address"": ""600 218 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01870-0001,1920.0,19.91,1930,1-01884-0018,0.25,44.0,3470000,3830000,,0.7,74.0,,19.0,UPPER WEST SIDE (96-116),47731.0,D4-ELEVATOR,"{'latitude': '40.804516656215', 'longitude': '-73.963488172324', 'human_address': '{""address"": ""521 112 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01450-0023,1966.0,49.0,1966,1-01465-0021,0.25,442.0,90800000,57900000,1045148.0,0.3,241.0,40.769853,31.9,UPPER EAST SIDE (59-79),400612.0,D4-ELEVATOR,"{'latitude': '40.765928376837', 'longitude': '-73.954422545063', 'human_address': '{""address"": ""1313 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02070-0024,1910.0,11.77,1910,1-01988-0080,1.0,21.0,693000,348000,,0.15,33.1,,13.0,HARLEM-WEST,12395.0,C6-WALK-UP,"{'latitude': '40.819298149066', 'longitude': '-73.953090136823', 'human_address': '{""address"": ""531 135 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00632-0039,1930.0,37.1,1915,1-00592-0062,0.2,23.0,1120000,4120000,1011848.0,0.3,173.0,40.734526,34.4,GREENWICH VILLAGE-WEST,12144.0,D0-ELEVATOR,"{'latitude': '40.733202048191', 'longitude': '-74.000629710928', 'human_address': '{""address"": ""140 WAVERLY PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00348-0009,1910.0,26.0,1920,1-00309-0021,0.3,18.0,816000,430000,1004166.0,0.3,108.0,40.718948,23.2,LOWER EAST SIDE,8370.0,C6-WALK-UP,"{'latitude': '40.71660955675', 'longitude': '-73.990125629626', 'human_address': '{""address"": ""53 LUDLOW STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01384-0032,1963.0,43.2,1960,1-01527-0028,0.45,182.0,37000000,38000000,1041309.0,0.7,212.0,40.769354,40.2,UPPER EAST SIDE (59-79),189612.0,D4-ELEVATOR,"{'latitude': '40.775119447977', 'longitude': '-73.953748053541', 'human_address': '{""address"": ""1571 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01232-0057,1927.0,30.1,1914,1-01200-0005,1.5,83.0,7570000,6860000,,0.4,140.0,,28.0,UPPER WEST SIDE (79-96),70144.0,D4-ELEVATOR,"{'latitude': '40.625222163224', 'longitude': '-74.038357910149', 'human_address': '{""address"": ""51 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00740-0045,1900.0,38.9,1910,1-00588-0076,0.2,12.0,1530000,848000,,0.6,191.0,,37.0,CHELSEA,5172.0,C6-WALK-UP,"{'latitude': '40.732608495652', 'longitude': '-74.004946456669', 'human_address': '{""address"": ""27 GROVE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00890-0054,1920.0,36.7,1930,1-00768-0077,0.25,25.0,3530000,4660000,,1.1,171.0,,35.4,MURRAY HILL,22506.0,D4-ELEVATOR,"{'latitude': '40.600992872365', 'longitude': '-74.008088902234', 'human_address': '{""address"": ""274 19 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01347-0018,1923.0,26.4,1960,1-01391-0002,0.35,38.0,4320000,6150000,,1.2,109.0,,35.0,MIDTOWN EAST,39030.0,D4-ELEVATOR,"{'latitude': '40.775329430265', 'longitude': '-73.964904228432', 'human_address': '{""address"": ""952 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01497-0034,1913.0,51.0,1962,1-01508-0001,0.05,70.0,28200000,18700000,1046833.0,0.3,249.0,40.779685,34.0,UPPER EAST SIDE (79-96),113281.0,D4-ELEVATOR,"{'latitude': '40.775731914748', 'longitude': '-73.960245477978', 'human_address': '{""address"": ""903 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
