address_1,enclosed_mall_gross_floor,number_of_buildings,last_modified_date_property_2,hospital_general_medical,property_gfa_calculated_2,strip_mall_gross_floor_area,data_center_ups_output_meter,parking_completely_enclosed,data_center_it_source_energy,municipally_supplied_potable_2,national_median_source_eui,city,supermarket_grocery_number_1,data_center_it_site_energy,last_modified_date_electric,municipally_supplied_potable,multifamily_housing_gross,natural_gas_weather_normalized_1,wholesale_club_supercenter,weather_normalized_source,metered_areas_energy,community_board,bank_branch_gross_floor_area,_2nd_largest_property_use,financial_office_weekly,green_power_onsite_and_offsite,alert_energy_meter_has_gaps,data_center_ups_system,national_median_total_location,data_center_national_median,estimated_values_energy,multifamily_housing_number_2,senior_living_community_living,district_hot_water_use_kbtu,financial_office_number_of_1,water_use_all_water_sources,retail_store_gross_floor,target_energy_star_score,borough,kerosene_use_kbtu,hospital_general_medical_7,electricity_weather_normalized,medical_office_number_of_1,k_12_school_gross_floor_area,senior_living_community_gross,percent_of_recs_retained
209 AVENUE P,Not Available,1,2022-05-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4257.2,117.8,Brooklyn,Not Available,Not Available,2023-03-06T00:00:00.000,Not Available,77970,0.8,Not Available,105.5,Whole Property,311.0,Not Available,Not Available,Not Available,0,Ok,Not Available,417.9,Not Available,No,0,Not Available,Not Available,Not Available,4257.2,Not Available,Not Available,BROOKLYN,Not Available,Not Available,197648,Not Available,Not Available,Not Available,Not Available
415 West 150th Street,Not Available,1,2023-02-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,693.3,118.1,Manhattan,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,29529,0.3,Not Available,97.1,Whole Property,109.0,Not Available,Not Available,Not Available,0,Ok,Not Available,128.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,693.3,Not Available,Not Available,MANHATTAN,Not Available,Not Available,201790,Not Available,Not Available,Not Available,Not Available
1010 Bryant Avenue,Not Available,1,2022-05-18T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7453.2,144.8,Bronx,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,46030,0.1,Not Available,142.5,Whole Property,202.0,Not Available,Not Available,Not Available,0,Ok,Not Available,368.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,7453.2,Not Available,Not Available,BRONX,Not Available,Not Available,259943.9,Not Available,Not Available,Not Available,Not Available
1543 East 19th Street,Not Available,1,2022-04-26T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,112.7,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,67810,2,Not Available,59.1,Whole Property,314.0,Not Available,Not Available,Not Available,0,Ok,Not Available,236.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,404188.3,Not Available,Not Available,Not Available,Not Available
30-47 29th Street,Not Available,1,2023-03-14T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1345,147.7,Queens,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,34500,80.8,Not Available,113,Whole Property,401.0,Not Available,Not Available,Not Available,0,Ok,Not Available,230.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,1345,Not Available,Not Available,QUEENS,Not Available,Not Available,101521.8,Not Available,Not Available,Not Available,Not Available
37-05 30th St,Not Available,1,2023-04-24T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,124.8,Queens,Not Available,Not Available,2023-04-12T00:00:00.000,Not Available,166738,Not Available,Not Available,60.2,Whole Property,401.0,Not Available,Other - Utility,Not Available,0,Ok,Not Available,789.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,11022,Not Available,QUEENS,Not Available,Not Available,1319147.8,Not Available,Not Available,Not Available,Not Available
5-11 Windham Loop,Not Available,1,2023-03-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6251.6,125.1,Staten Island,Not Available,Not Available,2023-04-05T00:00:00.000,Not Available,176455,0,Not Available,111.8,Whole Property,502.0,Not Available,Not Available,Not Available,0,Ok,Not Available,669.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,6251.6,Not Available,Not Available,STATEN IS,Not Available,Not Available,2042340.4,Not Available,Not Available,Not Available,Not Available
75-05 113th Street,Not Available,1,2018-10-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3009.4,141.9,Queens,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,60106,0.8,Not Available,119.9,Whole Property,406.0,Not Available,Not Available,Not Available,0,Ok,Not Available,369.8,Not Available,No,0,Not Available,Not Available,Not Available,3009.4,Not Available,90,QUEENS,Not Available,Not Available,257436.8,Not Available,Not Available,Not Available,Not Available
869 East 147th St,Not Available,1,2023-04-28T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,126.8,Bronx,Not Available,Not Available,2023-05-15T00:00:00.000,Not Available,174574,0.2,Not Available,85.8,Whole Property,201.0,Not Available,Not Available,Not Available,0,Ok,Not Available,774.6,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,1198516.7,Not Available,Not Available,Not Available,Not Available
61-20 woodside ave,Not Available,1,2021-07-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4399.3,101,woodside,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,52000,0.8,Not Available,174.8,Whole Property,402.0,Not Available,Not Available,Not Available,0,Ok,Not Available,209.7,Not Available,No,0,Not Available,Not Available,Not Available,4399.3,Not Available,Not Available,QUEENS,Not Available,Not Available,489824,Not Available,Not Available,Not Available,Not Available
450 Walnut Street,Not Available,1,2019-07-17T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,109.2,Yonkers,Not Available,Not Available,2023-04-29T00:00:00.000,65946.6,42945,0.5,Not Available,83.4,Whole Property,,Not Available,Not Available,Not Available,0,Ok,Not Available,201.5,Not Available,No,6,Not Available,Not Available,Not Available,65946.6,Not Available,Not Available,,Not Available,Not Available,138453.4,Not Available,Not Available,Not Available,Not Available
421 West 21st Street,Not Available,1,2023-04-25T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1039.7,145.6,Manhattan,Not Available,Not Available,2023-04-25T00:00:00.000,Not Available,26800,1.5,Not Available,412.9,Whole Property,104.0,Not Available,Not Available,Not Available,0,Ok,Not Available,148,Not Available,No,17,Not Available,Not Available,Not Available,1039.7,Not Available,Not Available,MANHATTAN,Not Available,Not Available,706771.9,Not Available,Not Available,Not Available,Not Available
188 6 Avenue,Not Available,1,2022-04-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,159.6,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,11310,0,Not Available,49.7,Whole Property,102.0,Not Available,Not Available,Not Available,0,Ok,Not Available,55.7,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,56822.2,Not Available,Not Available,Not Available,Not Available
148-25 89 Ave,Not Available,1,2022-04-07T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8928,122,Jamaica,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,127200,87.7,Not Available,134.8,Whole Property,412.0,Not Available,Not Available,Not Available,0,Ok,Not Available,703.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,8928,Not Available,Not Available,QUEENS,Not Available,Not Available,506392.9,Not Available,Not Available,Not Available,Not Available
147-25 Sanford Ave,Not Available,1,2020-03-10T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4697,119.3,Flushing,Not Available,Not Available,2023-04-09T00:00:00.000,Not Available,82014,0.7,Not Available,113.1,Whole Property,407.0,Not Available,Not Available,Not Available,0,Ok,Not Available,430.9,Not Available,No,0,Not Available,Not Available,Not Available,4697,Not Available,90,QUEENS,Not Available,Not Available,297227.2,Not Available,Not Available,Not Available,Not Available
"39 WEST 31 STREET, 10001",Not Available,1,2022-04-07T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2507.5,164.7,New York,Not Available,Not Available,2023-03-22T00:00:00.000,Not Available,Not Available,0,Not Available,132.8,Whole Property,105.0,Not Available,Not Available,Not Available,0,Ok,Not Available,811,Not Available,No,Not Available,Not Available,Not Available,Not Available,2507.5,Not Available,Not Available,MANHATTAN,Not Available,Not Available,1539122.8,Not Available,Not Available,Not Available,Not Available
148-45 89th Avenue,Not Available,1,2016-05-10T00:00:00.000,Not Available,2875,Not Available,Not Available,2875,Not Available,8570.4,131.7,Queens,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,82284,67.9,Not Available,113.2,Whole Property,412.0,Not Available,Parking,Not Available,0,Ok,Not Available,464.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,8570.4,Not Available,Not Available,QUEENS,Not Available,Not Available,360662.3,Not Available,Not Available,Not Available,Not Available
428 E 92 Street,Not Available,1,2022-12-14T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,47.8,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,0,Not Available,3.1,Whole Property,108.0,Not Available,Not Available,Not Available,0,Ok,Not Available,107.4,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available
145 West 96th Street,Not Available,1,2014-08-05T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3112.6,122.4,New York,Not Available,Not Available,2023-03-24T00:00:00.000,Not Available,102000,Not Available,Not Available,Not Available,Whole Property,107.0,Not Available,Not Available,Not Available,0,Ok,Not Available,529,Not Available,No,Not Available,Not Available,Not Available,Not Available,3112.6,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
124 Jackson Street,Not Available,1,2019-10-02T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,685.2,103.4,"Brooklyn, New York",Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,27000,0.2,Not Available,80.2,Whole Property,301.0,Not Available,Not Available,Not Available,0,Ok,Not Available,102.4,Not Available,No,21,Not Available,Not Available,Not Available,685.2,Not Available,Not Available,BROOKLYN,Not Available,Not Available,153797.6,Not Available,Not Available,Not Available,Not Available
67 Morton Street,Not Available,1,2023-03-14T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,121.4,New York,Not Available,Not Available,2023-03-13T00:00:00.000,Not Available,40215,8.6,Not Available,44.7,Whole Property,102.0,Not Available,Not Available,Not Available,0,Ok,Not Available,167,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,149859,Not Available,Not Available,Not Available,Not Available
259 West 30th St,Not Available,1,2020-03-16T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,587.7,178.2,New York,Not Available,Not Available,2023-03-20T00:00:00.000,Not Available,Not Available,0,Not Available,107.3,Whole Property,105.0,Not Available,Not Available,Not Available,0,Ok,Not Available,772.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,587.7,Not Available,90,MANHATTAN,Not Available,Not Available,695391.2,Not Available,Not Available,Not Available,Not Available
939 Eigth Avenue,Not Available,1,2015-02-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,118.1,New York,0,Not Available,2023-04-25T00:00:00.000,Not Available,51412,Not Available,Not Available,Not Available,Whole Property,,Not Available,Supermarket/Grocery Store,Not Available,0,Ok,Not Available,257.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
300 West 22nd Street,Not Available,1,2023-03-30T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2190.3,204.4,New York,Not Available,Not Available,2023-03-29T00:00:00.000,Not Available,Not Available,0.7,Not Available,324.9,Whole Property,104.0,Not Available,Not Available,Not Available,0,Ok,Not Available,218.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,2190.3,Not Available,Not Available,MANHATTAN,Not Available,Not Available,829334.9,Not Available,Not Available,Not Available,Not Available
1477 54 ST,Not Available,1,2020-04-20T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2366.1,115.9,Brooklyn,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,68373,0.7,Not Available,108.8,Whole Property,312.0,Not Available,Not Available,Not Available,0,Ok,Not Available,356.4,Not Available,No,0,Not Available,Not Available,Not Available,2366.1,Not Available,90,BROOKLYN,Not Available,Not Available,227697.4,Not Available,Not Available,Not Available,Not Available
79-55 Albion Avenue,Not Available,1,2023-07-17T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,304.7,Queens,12,Not Available,2023-07-13T00:00:00.000,Not Available,Not Available,0.3,Not Available,265.1,Whole Property,404.0,Not Available,Non-Refrigerated Warehouse,Not Available,0,Ok,Not Available,433.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,1060837.1,Not Available,Not Available,Not Available,Not Available
82 Washington place,Not Available,1,2022-04-21T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,983.7,142.9,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,27108,0.5,Not Available,80.1,Whole Property,102.0,Not Available,Not Available,Not Available,0,Ok,Not Available,163.7,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,983.7,Not Available,Not Available,MANHATTAN,Not Available,Not Available,91081.7,Not Available,Not Available,Not Available,Not Available
97 Grand Avenue,Not Available,2,2022-03-24T00:00:00.000,Not Available,16200,Not Available,Not Available,0,Not Available,2211.4,131.9,Brooklyn,Not Available,Not Available,2023-04-25T00:00:00.000,Not Available,60210,0.1,Not Available,101.4,Whole Property,302.0,Not Available,Parking,Not Available,0,Ok,Not Available,254.2,Not Available,No,124,Not Available,Not Available,Not Available,2211.4,Not Available,Not Available,BROOKLYN,Not Available,Not Available,580321.9,Not Available,Not Available,Not Available,Not Available
2036 Amsterdam Avenue,Not Available,1,2020-03-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,126.7,New York,Not Available,Not Available,2023-04-07T00:00:00.000,Not Available,131626,0.7,Not Available,119.5,Whole Property,112.0,Not Available,Not Available,Not Available,0,Ok,Not Available,702.5,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,90,MANHATTAN,Not Available,Not Available,657564.6,Not Available,Not Available,Not Available,Not Available
40-36 27 Street,Not Available,1,2022-09-08T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2098.3,134.6,Queens,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,54.8,Not Available,157.7,Whole Property,401.0,Not Available,Not Available,Not Available,0,Ok,Not Available,159,Not Available,No,Not Available,Not Available,Not Available,Not Available,2098.3,Not Available,Not Available,QUEENS,Not Available,Not Available,329214.9,Not Available,Not Available,Not Available,Not Available
255 Ocean Avenue,Not Available,1,2019-02-14T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2356.1,143.5,Brooklyn,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,41444,0.9,Not Available,125.3,Whole Property,309.0,Not Available,Not Available,Not Available,0,Ok,Not Available,264.7,Not Available,No,0,Not Available,Not Available,Not Available,2356.1,Not Available,Not Available,BROOKLYN,Not Available,Not Available,154069.9,Not Available,Not Available,Not Available,Not Available
40 WOODRUFF AVE,Not Available,1,2014-08-05T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,112.5,Brooklyn,Not Available,Not Available,2023-03-06T00:00:00.000,Not Available,76065,0.6,Not Available,90.5,Whole Property,314.0,Not Available,Not Available,Not Available,0,Ok,Not Available,372.9,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,237700.3,Not Available,Not Available,Not Available,Not Available
40-51 denman street,Not Available,1,2016-05-10T00:00:00.000,Not Available,5000,Not Available,Not Available,5000,Not Available,9123.5,141.7,queens,Not Available,Not Available,2023-03-16T00:00:00.000,Not Available,77724,82.8,Not Available,135,Whole Property,404.0,Not Available,Parking,Not Available,0,Ok,Not Available,473.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,9123.5,Not Available,Not Available,QUEENS,Not Available,Not Available,391815,Not Available,Not Available,Not Available,Not Available
39 Avenue of the Americas,Not Available,1,2020-04-10T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9886,180.1,Tribeca,Not Available,Not Available,2023-04-20T00:00:00.000,Not Available,Not Available,0.4,Not Available,198.5,Whole Property,101.0,Not Available,Restaurant,Not Available,0,Ok,Not Available,426.9,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,9886,Not Available,Not Available,MANHATTAN,Not Available,Not Available,1083262.9,Not Available,Not Available,Not Available,Not Available
2306 Ocean Ave,Not Available,1,2021-07-23T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4872.8,108.6,Brooklyn,Not Available,Not Available,2023-03-08T00:00:00.000,Not Available,84375,0.7,Not Available,102.1,Whole Property,315.0,Not Available,Not Available,Not Available,0,Ok,Not Available,417.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,4872.8,Not Available,Not Available,BROOKLYN,Not Available,Not Available,212765.6,Not Available,Not Available,Not Available,Not Available
801 Avenue C,Not Available,1,2019-02-13T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1411.1,128,Brooklyn,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,43210,0.8,Not Available,107.9,Whole Property,312.0,Not Available,Not Available,Not Available,0,Ok,Not Available,253,Not Available,No,0,Not Available,Not Available,Not Available,1411.1,Not Available,Not Available,BROOKLYN,Not Available,Not Available,111160,Not Available,Not Available,Not Available,Not Available
2519 Creston Ave,Not Available,1,2023-05-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122.3,Bronx,Not Available,Not Available,2023-05-12T00:00:00.000,Not Available,208069,0.2,Not Available,57.2,Whole Property,207.0,Not Available,Not Available,Not Available,0,Ok,Not Available,909,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,895428.5,Not Available,Not Available,Not Available,Not Available
21-24 44 Avenue,Not Available,1,2021-07-27T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,570,Not Available,Queens,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,Not Available,Not Available,139.3,Whole Property,402.0,Not Available,Not Available,Not Available,0,Ok,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,570,Not Available,Not Available,QUEENS,Not Available,Not Available,222604.2,Not Available,Not Available,Not Available,Not Available
312 West 37 Street,Not Available,1,2021-08-24T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,135.1,Manhattan,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,38.3,Not Available,213.5,Whole Property,104.0,Not Available,Not Available,Not Available,0,Ok,Not Available,548.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,2170948.5,Not Available,Not Available,Not Available,Not Available
58 2nd Ave,Not Available,1,2020-03-16T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2684.8,55.1,Brooklyn,Not Available,Not Available,2023-04-04T00:00:00.000,Not Available,Not Available,0.3,Not Available,49.6,Whole Property,306.0,Not Available,Not Available,Not Available,0,Ok,Not Available,897.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,2684.8,Not Available,90,BROOKLYN,Not Available,Not Available,919050,Not Available,Not Available,Not Available,Not Available
403 Broome Street,Not Available,1,2021-09-02T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,131,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,0,Not Available,63.3,Whole Property,102.0,Not Available,Not Available,Not Available,0,Ok,Not Available,101,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,168741,Not Available,Not Available,Not Available,Not Available
1001 St. Nicholas Ave,Not Available,1,2023-04-25T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10000.5,131.2,New York,Not Available,Not Available,2023-04-16T00:00:00.000,Not Available,76221,0.9,Not Available,182.2,Whole Property,112.0,Not Available,Not Available,Not Available,0,Ok,Not Available,410.9,Not Available,Yes,0,Not Available,Not Available,Not Available,10000.5,Not Available,90,MANHATTAN,Not Available,Not Available,663326.1,Not Available,Not Available,Not Available,Not Available
94-11 34 Road,Not Available,1,2020-04-02T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7452.1,132.2,Queens,Not Available,Not Available,2023-04-09T00:00:00.000,Not Available,77387,0.7,Not Available,103.1,Whole Property,403.0,Not Available,Not Available,Not Available,0,Ok,Not Available,452.5,Not Available,No,0,Not Available,Not Available,Not Available,7452.1,Not Available,90,QUEENS,Not Available,Not Available,247385.8,Not Available,Not Available,Not Available,Not Available
2471 Davidson Ave,Not Available,1,2019-07-15T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5448.3,126,Bronx,Not Available,Not Available,2023-03-28T00:00:00.000,Not Available,27310,0,Not Available,163.7,Whole Property,207.0,Not Available,Not Available,Not Available,0,Ok,Not Available,206.7,Not Available,No,0,Not Available,Not Available,Not Available,5448.3,Not Available,Not Available,BRONX,Not Available,Not Available,131632.6,Not Available,Not Available,Not Available,Not Available
122 57 Street,Not Available,1,2022-04-18T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,78.3,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,0.1,Not Available,23.2,Whole Property,307.0,Not Available,Not Available,Not Available,0,Ok,Not Available,103.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,36414,Not Available,Not Available,Not Available,Not Available
924 East 181st Street,Not Available,1,2021-03-22T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,137.5,Bronx,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,30617,115.2,Not Available,183.9,Whole Property,206.0,Not Available,Not Available,Not Available,0,Ok,Not Available,182.6,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,201671.5,Not Available,Not Available,Not Available,Not Available
87-15 165 Street,Not Available,1,2020-03-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4184,135.6,Queens,Not Available,Not Available,2023-04-09T00:00:00.000,Not Available,58840,0.6,Not Available,99.7,Whole Property,408.0,Not Available,Not Available,Not Available,0,Ok,Not Available,342,Not Available,No,0,Not Available,Not Available,Not Available,4184,Not Available,90,QUEENS,Not Available,Not Available,225793.5,Not Available,Not Available,Not Available,Not Available
2842 Grand Concourse,Not Available,1,2020-07-22T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5487.7,118.1,Bronx,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,87737,0.5,Not Available,78.9,Whole Property,207.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,442,Not Available,No,0,Not Available,Not Available,Not Available,5487.7,450,Not Available,BRONX,Not Available,Not Available,282326.1,Not Available,Not Available,Not Available,Not Available
236 17th Street,Not Available,1,2022-12-21T00:00:00.000,Not Available,2905,Not Available,Not Available,0,Not Available,641.5,118.1,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,25205,13.1,Not Available,99.7,Whole Property,307.0,Not Available,Parking,Not Available,0,Ok,Not Available,98.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,641.5,Not Available,Not Available,BROOKLYN,Not Available,Not Available,226790.4,Not Available,Not Available,Not Available,Not Available
790 7th Ave,Not Available,1,2022-03-30T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,179,New York,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,Not Available,Not Available,Not Available,205.6,Whole Property,105.0,Not Available,Not Available,Not Available,0,Ok,Not Available,3805.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,3636693.8,Not Available,Not Available,Not Available,Not Available
99-04 57th Avenue,Not Available,3,2020-04-09T00:00:00.000,Not Available,5875,Not Available,Not Available,5875,Not Available,Not Available,123.6,Queens,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,156960,62.2,Not Available,111,Whole Property,404.0,Not Available,Parking,Not Available,0,Ok,Not Available,812.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,749960,Not Available,Not Available,Not Available,Not Available
1144 Pelham Parkway South,Not Available,1,2020-03-18T00:00:00.000,Not Available,2500,Not Available,Not Available,2500,Not Available,5706.4,105,Bronx,Not Available,Not Available,2023-03-16T00:00:00.000,Not Available,80250,0,Not Available,45.5,Whole Property,211.0,Not Available,Parking,Not Available,0,Ok,Not Available,273,Not Available,No,0,Not Available,Not Available,Not Available,5706.4,Not Available,90,BRONX,Not Available,Not Available,339711.8,Not Available,Not Available,Not Available,Not Available
48 Great Jones Street,Not Available,1,2023-03-16T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,426.8,118.1,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,31191,20.3,Not Available,90.3,Whole Property,102.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,173,Not Available,No,Not Available,Not Available,Not Available,Not Available,426.8,5199,Not Available,MANHATTAN,Not Available,Not Available,217639,Not Available,Not Available,Not Available,Not Available
1166 Manhattan Ave,Not Available,1,2022-01-29T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,116.4,Brooklyn,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,301.0,Not Available,Not Available,Not Available,Not Available,Unable to Check (not enough data),Not Available,81.3,Not Available,Unable to Check (not enough data),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41-43 39 Place,Not Available,1,2020-03-16T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3047,111.6,Sunnyside,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,89880,0,Not Available,28.8,Whole Property,402.0,Not Available,Not Available,Not Available,0,Ok,Not Available,320.3,Not Available,No,0,Not Available,Not Available,Not Available,3047,Not Available,90,QUEENS,Not Available,Not Available,247290.6,Not Available,Not Available,Not Available,Not Available
