address_1,supermarkets_grocery_gross,bank_financial_institution_4,medical_office_number_of,chilled_water_other_kbtu,longitude,council_district,hotel_room_density,community_board,difference_from_national,other_water_use_kgal,senior_care_facility_workers,multifamily_home_government,year_s_labeled,multifamily_home_gross_floor,house_of_worship_gross_floor,retail_walk_in_refrig_density,fuel_oil_4_use_kbtu,house_of_worship_pc_density,warehouse_unrefrigerated_4,senior_care_facility_number_3,parking_weekly_hours_of_access,current_water_period_ending,medical_office_weekly,senior_care_facility_total_1,multifamily_home_resident,chilled_water_electric_driven,supermarkets_grocery_number_1,multifamily_home_number_of,supermarkets_grocery_percent,rating,electricity_use_kbtu,swimming_pool_months_in_use,hospital_maximum_number_of,parking_enclosed_floor_area,hotel_workers_density,target_rating_1_100,swimming_pool_indoor_outdoor,bank_financial_institution_3,chilled_water_engine_driven,residence_halls_dormitories_4,multifamily_home_laundry_1,current_total_ghg_emissions,residence_halls_dormitories_3,supermarkets_grocery_weekly,national_average_pue,space_use_alerts,retail_gross_floor_area_sq,year_built
181 Second Avenue,,,,,-73.986192,2.0,,103.0,0.7,,,0.0,,2576.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,5.0,,0.0,2994538.46,,,,,0.0,,,,,0.0,388.42,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Weekly operating hours is much lower than normal for Reading Village East Office space.<br> Less than 50% of the Total Floor Space can be benchmarked.<br>",272.0,1920.0
295 Greenwich Street,,,,,-74.011017,1.0,,101.0,,,,0.0,,116600.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,11.0,,0.0,4569451.0,,,,,0.0,,,,,24.0,823.34,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",8600.0,1986.0
71 Murray Street,,,,,-74.010569,1.0,,101.0,,,,0.0,,54022.0,,0.0,,,,,,2011-12-31T00:00:00.000,,,,,,13.0,,0.0,,,,,,,,,,,,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",1650.0,1911.0
505 West 37th Street,,,,,-73.998177,3.0,,104.0,,,,1.0,,864868.0,,,,,,,168.0,2200-01-01T00:00:00.000,,,No specific resident population,,,44.0,,0.0,19716474.82,,,65647.0,,0.0,,,,,0.0,2119.03,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2007.0
143 Avenue B,,,,,-73.980185,2.0,,103.0,,,,0.0,,79032.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,16.0,,0.0,1489976.04,,,,,0.0,,,,,0.0,489.73,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1985.0
462-464 Broadway,,,,,-74.00053,1.0,,102.0,278.3,,,,,,,,,,,,,2011-12-31T00:00:00.000,,,,,,,,0.0,17328508.41,,,,,0.0,,,,,,2833.04,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Weekly operating hours is much lower than normal for OFFICE-VACANT.<br>",,1886.0
18 Waverly Place,,,,,-73.994537,1.0,,102.0,407.7,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,4501110.4,,,,,0.0,,,,,,447.97,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1892.0
175 ELDRIDGE ST LOWER E.S. INFILL I,,,,,-73.990822,1.0,,103.0,,,,0.0,,201034.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,6.0,,0.0,1651950.71,,,,,0.0,,,,,0.0,1038.7,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1988.0
179 Henry Street,,,,,-73.98837,1.0,,103.0,,,,1.0,,65989.0,,,,,,,,2200-01-01T00:00:00.000,,,Dedicated Senior/Independent Living,,,11.0,,0.0,2014620.9,,,,,0.0,,,,,0.0,406.05,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1968.0
"23 Waverly Place, 15 Waverly Place",,,,,-73.99444,1.0,,102.0,,,,0.0,,95590.0,,,,,,,,2012-02-29T00:00:00.000,,,No specific resident population,,,6.0,,0.0,3434150.17,,,,,0.0,,,,,0.0,322.42,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1890.0
302 West 12 Street,,,,,-74.004561,3.0,,102.0,,,,0.0,,148935.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,18.0,,0.0,3329685.53,,,,,0.0,,,,,3.0,978.21,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",5331.0,1910.0
315 Hudson Street,,,,,-74.00749,3.0,,102.0,,,,,,,,0.0,,,,,,2012-02-29T00:00:00.000,,,,,,,,0.0,,,,,,,,,,,,,,,,Weekly operating hours is much lower than normal for Retail Space (Vacant).<br>,47059.0,1908.0
644 Broadway,,,,,-73.99575,1.0,,102.0,,,,0.0,,55065.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,8.0,,0.0,1893832.65,,,,,0.0,,,,,13.0,458.13,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",7500.0,1900.0
441 9th Ave,,,,,-73.996048,3.0,,104.0,-18.8,,,,,,,,,,,,133.0,2200-01-01T00:00:00.000,,,,,,,,70.0,24685137.6,,,37580.0,,0.0,,,,,,2615.62,,,1.82,Weekly operating hours is much lower than normal for Vacant.<br>,,1958.0
99 Bank Street,,,,,-74.006502,3.0,,102.0,,,,0.0,,101602.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,7.0,,0.0,328105.09,,,,,0.0,,,,,0.0,393.91,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1985.0
341 West 11th Street,,,,,-74.007989,3.0,,102.0,,,,0.0,,53500.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,1295979.96,,,,,0.0,,,,,,276.53,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1900.0
2 River Terrace,,,,,-74.016651,1.0,,101.0,,,,0.0,,463284.0,,0.0,,,,,112.0,2200-01-01T00:00:00.000,,,No specific resident population,,,32.0,,0.0,16510734.04,,,66928.0,,0.0,,,,,488.0,2461.99,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",1453.0,2008.0
31 E 12th St,,,,,-73.992538,2.0,,102.0,,,,0.0,,65926.0,,,4834750.83,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,12.0,,0.0,1117729.51,,,,,0.0,,,,,5.0,529.78,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2000.0
645-675 Water Street,,,,,-73.98265,1.0,,103.0,,,,0.0,,272140.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,21.0,,0.0,5675751.17,,,,,0.0,,,,,0.0,2067.63,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1963.0
629 West 54 Street,,,,,-73.993513,6.0,,104.0,,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,1931.0
81-89 East 10th Street,,,,,-73.989897,2.0,,103.0,,,,0.0,,117012.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,5.0,,0.0,6575790.6,,,,,0.0,,,,,,618.75,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1900.0
40-42 Horatio St.,,,,,-74.004947,3.0,,102.0,,,,0.0,,19800.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,5.0,,0.0,263745.22,,,,,0.0,,,,,0.0,159.03,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1910.0
40 West 4th Street,,,,,-73.996006,1.0,,102.0,-72.6,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,3223657.6,,,,,0.0,,,,,,302.66,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1972.0
475 10th Avenue,,,,,-73.998018,3.0,,104.0,-34.2,,,,,,,,1543333.91,,,,,2011-12-31T00:00:00.000,,,,,,,,82.0,12407454.16,,,,,0.0,,,,,,1548.75,,,,,,1915.0
31 AVE A ETAL - FIRST HOUSES,,,,,-73.985594,2.0,,103.0,,,,0.0,,107538.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,5.0,,0.0,624319.73,,,,,0.0,,,,,0.0,542.49,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1936.0
420 West 23rd Street,,,,,-74.002162,3.0,,104.0,,,,0.0,,49214.0,,,,,,,,2011-10-31T00:00:00.000,,,No specific resident population,,,12.0,,0.0,1621175.53,,,,,0.0,,,,,2.0,291.88,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1985.0
380 Lafayette St,,,,,-73.993477,1.0,,102.0,314.3,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,1.0,4882572.0,,,,,0.0,,,,,,1825.27,,,,,,1906.0
320 Albany Street,,,1.0,,-74.016751,1.0,,101.0,,,,0.0,,150221.0,,,,,,,112.0,2200-01-01T00:00:00.000,65.0,,No specific resident population,,,14.0,,0.0,3475457.04,,,10690.0,,0.0,,,,,22.0,767.17,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1986.0
60 East 8th Street,,,,,-73.99313,1.0,,102.0,,,,0.0,,470253.0,,,,,,,168.0,2200-01-01T00:00:00.000,,,No specific resident population,,,35.0,,0.0,12193512.17,,,42250.0,,0.0,,,,,1.0,4261.68,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1965.0
500 Greenwich Street,,,,,-74.009178,3.0,,102.0,-83.7,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,100.0,682997.1,,,,,0.0,,,,,,64.12,,,,Using default values for Space Use attributes.<br>,,1930.0
21-29  West 4th Street,,,,,-73.995378,1.0,,102.0,-69.6,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,2333808.0,,,,,0.0,,,,,,219.12,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1891.0
33 Maiden Lane,,,,,-74.008678,1.0,,101.0,-31.9,,,,2011.0,,,,,,,,,2012-01-31T00:00:00.000,,,,,,,,80.0,31851918.39,,,,,0.0,,,,,,3407.25,,,,Weekly operating hours is much lower than normal for 6 FL.<br> Weekly operating hours is much lower than normal for 7 FL.<br> Weekly operating hours is much lower than normal for 8 FL.<br>,,1986.0
12-16 Vestry Street,,,,,-74.007356,1.0,,101.0,-19.3,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,68.0,2380959.64,,,,,0.0,,,,,,262.65,,,,Weekly operating hours is much lower than normal for Vacant.<br>,,1882.0
3-9 East 12th Street,,,,,-73.994219,2.0,,102.0,-44.9,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,5756726.4,,,,,0.0,,,,,,652.2,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2011.0
442 Hudson Street,,,,,-74.006697,3.0,,102.0,,,,0.0,,125340.0,,0.95,7240060.17,,,,,2200-01-01T00:00:00.000,,,,,,6.0,,0.0,3562861.58,,,,,0.0,,,,,0.0,914.35,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",2100.0,1926.0
49 West 12th Street,,,,,-73.996164,3.0,,102.0,,,,0.0,,74163.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,10.0,,0.0,1482273.13,,,,,0.0,,,,,0.0,470.66,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1952.0
48 Wall Street,,,,,-74.009396,1.0,,101.0,-33.7,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,81.0,16595367.65,,,,,0.0,,,,,,1788.76,,,,Using default values for Space Use attributes.<br>,,1928.0
26 East 10th Street,,,,,-73.994072,2.0,,102.0,,,,0.0,,101840.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,12.0,,0.0,1885204.72,,,,,0.0,,,,,20.0,498.55,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1926.0
55 3rd Avenue,,,,,-73.98884,2.0,,103.0,,,,0.0,,57746.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,12.0,,0.0,4915214.34,,,,,0.0,,,,,0.0,979.38,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using temporary values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1988.0
229 Mulberry Street,,,,,-73.996046,1.0,,102.0,,,,0.0,,49000.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,7.0,,0.0,379960.32,,,,,0.0,,,,,0.0,165.37,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1997.0
515 Broadway,,,,,-73.999206,1.0,,102.0,,,,0.0,,100000.0,,0.0,4967725.89,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,5.0,,0.0,764936.96,,,,,0.0,,,,,0.0,440.83,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",26000.0,1985.0
11 Park Place,,,,,-74.008296,1.0,,101.0,,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,1926.0
8 Union Square South,,2.3,,,-73.991982,2.0,,102.0,,,,0.0,,74457.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,16.0,,0.0,1615209.62,,,,,0.0,,65.0,,,20.0,287.39,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,2007.0
,,,,,,,,,,,,0.0,,5207812.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,14.0,,0.0,135487443.2,,,,,0.0,,,,,0.0,14085.36,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1959.0
36 Monroe St.,,,,,-73.994723,1.0,,103.0,,,,0.0,,108453.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,13.0,,0.0,2496299.21,,,,,0.0,,,,,0.0,836.25,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1935.0
121 Reade Street,,,,,-74.009455,1.0,,101.0,,,,0.0,,118968.0,,,2708363.1,,,,168.0,2200-01-01T00:00:00.000,,,No specific resident population,,,11.0,,0.0,3759404.72,,,7600.0,,0.0,,,,,0.0,716.72,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1997.0
184 Forsythe,,,,,,,,,,,,0.0,,9024.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,6.0,,0.0,707406.55,,,,,0.0,,,,,0.0,361.4,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2001.0
47-01 49th Street,,,,,-73.916355,26.0,,402.0,,,,,,,,,,,,,,2011-10-31T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,1922.0
