fullpermitno,trailerstate,axle10space,endzipcode,truckyear,permitallowedto,axle5weight,overallheight,trailerlength,totalnumberofaxle,totalgrossweight,axle2weight,axle3space
GRF3-2022511-16870,NJ,,10017,2007,2022-05-11T05:30:00.000Z,19200.0,13.0,55.0,6,110800,19600,4.06
UYFE-2021107-28563,ME,,11111,2014,2021-10-07T05:30:00.000Z,5600.0,11.06,53.0,6,40000,5600,4.08
GIMG-2022711-24778,GA,,11222,2016,2022-07-11T02:59:00.000Z,,12.06,44.0,4,47000,10500,30.02
FMUU-2022110-642,PA,,10309,2006,2022-01-10T05:29:00.000Z,10000.0,13.06,53.0,5,67000,17500,4.04
L9H2-2022930-36228,NJ,,10017,2000,2022-09-30T05:30:00.000Z,14850.0,13.0,50.0,8,117950,14850,4.06
TEN7-202351-17825,PA,,11111,1996,2023-05-01T16:00:00.000Z,9250.0,13.06,53.0,5,49000,9250,4.04
ZKSE-2022323-9676,PA,,10027,2004,2022-03-23T00:00:00.000Z,9000.0,13.06,53.0,5,46500,12000,4.03
SRUX-2022104-36582,NY,,22222,2015,2022-10-04T05:30:00.000Z,7400.0,13.06,48.0,6,49000,7400,30.0
D47Q-2023320-11995,PA,,11222,1996,2023-03-20T04:59:00.000Z,,13.06,53.0,4,53080,19480,38.06
H2XS-2023428-17638,ME,,10455,2023,2023-04-28T05:30:00.000Z,17666.0,13.06,57.0,7,119000,17666,4.06
AZUT-2021915-25576,NJ,,11232,2006,2021-09-15T03:59:00.000Z,12668.0,13.06,53.0,5,60000,12000,3.0
WIU1-2022128-45817,ME,,11378,2007,2022-12-08T05:30:00.000Z,11000.0,13.06,53.0,6,63300,10000,5.01
YY6Z-2023124-3254,GA,,10018,2016,2023-01-24T02:59:00.000Z,15000.0,13.06,53.0,5,75000,15000,4.0
SW1M-2023316-11502,NJ,,22222,2016,2023-03-16T05:30:00.000Z,6000.0,12.0,48.0,9,58000,6000,4.06
FYZP-2021917-26079,NY,,10465,2014,2021-09-17T05:30:00.000Z,5625.0,10.02,52.02,6,49100,13300,31.11
Z6EV-202247-11952,NJ,,22222,1992,2022-04-07T05:30:00.000Z,16630.0,13.06,48.0,5,78520,16630,4.06
WN4W-2023511-19012,NY,,10001,2011,2023-05-11T03:59:00.000Z,13050.0,13.04,48.0,5,65100,14000,4.02
TB62-2022324-9936,NY,,11111,2006,2022-03-24T05:30:00.000Z,8000.0,13.06,34.0,5,41950,11950,29.07
FZZ3-2023315-11314,NJ,,11201,2007,2023-03-15T05:30:00.000Z,16500.0,12.1,53.0,5,78000,16500,4.06
QZLL-202255-16199,ON,,22222,2016,2022-05-05T05:30:00.000Z,5250.0,13.0,53.0,5,33000,5250,5.0
C2DA-202263-19861,,,10002,2011,2022-06-03T07:00:00.000Z,26400.0,13.01,,6,158400,26400,10.02
VTMI-2023518-19927,,,22222,2019,2023-05-18T07:00:00.000Z,26400.0,13.01,,6,158400,26400,9.04
KEUA-2023913-29281,NJ,,10017,2007,2023-09-13T05:30:00.000Z,19200.0,13.0,55.0,6,110800,19600,4.06
EED7-2022321-9153,NJ,,22222,2021,2022-03-21T05:30:00.000Z,7000.0,13.01,48.0,5,40000,7000,4.06
KO4Z-2021720-19005,AL,,22222,2018,2021-07-20T05:30:00.000Z,7000.0,13.06,55.0,7,57000,8000,4.08
Q5KC-2021929-27557,PA,,11222,1996,2021-09-29T04:59:00.000Z,,13.06,53.0,4,53080,19480,38.06
PADY-202214-88,PA,,11101,1998,2022-01-04T03:29:00.000Z,,13.06,47.03,4,55000,15000,33.09
E6PC-2023410-14796,NJ,,22222,2016,2023-04-10T05:30:00.000Z,7200.0,13.06,50.0,6,50000,7200,4.06
DTYG-202347-14628,NY,,22222,2016,2023-04-07T05:30:00.000Z,4600.0,12.0,48.0,6,35000,4600,4.02
MGO1-20221012-37888,PA,2.09,11111,2021,2022-10-12T05:30:00.000Z,6444.0,13.06,64.0,10,70000,6444,4.03
LJEN-202352-18003,NJ,,22222,2012,2023-05-02T05:30:00.000Z,17312.0,13.06,49.0,6,98566,17312,4.06
KH1Q-20211116-33290,NH,,11111,2016,2021-11-16T05:30:00.000Z,8000.0,13.06,53.0,5,45000,8000,4.04
YI5V-20231117-35022,NJ,,22222,2015,2023-11-17T05:30:00.000Z,15625.0,12.08,55.0,5,74500,15625,4.06
E6PC-2023410-14964,NJ,,10017,2016,2023-04-10T05:30:00.000Z,19500.0,13.06,65.0,9,170600,19700,4.06
L79N-202227-3807,ME,,22222,2007,2022-02-07T05:30:00.000Z,13400.0,13.11,48.0,6,79000,13400,4.06
VJV5-20221117-43001,PA,,11231,2005,2022-11-17T03:59:00.000Z,9000.0,12.0,47.0,5,53000,13000,34.05
DPAP-2021122-34967,IN,,22222,2009,2021-12-02T16:00:00.000Z,13000.0,13.06,53.0,5,64000,13000,4.04
